Gujarati,Punjabi
ગર્ભપાત,ਅਧੂਰਾ ਛੱਡਣਾ
ગર્ભપાત સમય,ਅਧੂਰਾ ਛੱਡੋ
અબાધિત સંબોધન,निरपेक्ष an s
પૂર્ણ સંબોધન,ਪੂਰਨ ਪਤਾ
સંપૂર્ણ સંમેલન,ਸੰਪੂਰਨ ਸੰਜਮ
પૂર્ણ સંહિતા,ਸੰਪੂਰਨ ਕੋਡ
પૂર્ણ સંહિતા,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
પૂર્ણ આદેશ,ਸੰਪੂਰਨ ਕਮਾਂਡ
સંપૂર્ણ સંકલન,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
અબાધિત આંકડા,ਸੰਪੂਰਨ ਡੇਟਾ
નિરપેક્ષ ભૂલ,ਪੂਰੀ ਗਲਤੀ
પૂર્ણ અભિવ્યક્તિ,ਪੂਰਨ ਸਮੀਕਰਨ
અબાધિત સૂચના,ਪੂਰਨ ਹਦਾਇਤ
અબાધિત લોડર,ਸੰਪੂਰਨ ਲੋਡਰ
સંપૂર્ણ,ਸੰਪੂਰਨ ਕ੍ਰਮ
પૂર્ણ કાર્યક્રમ,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
અબાધિત મુદત,ਸੰਪੂਰਨ ਅਵਧੀ
અબાધિત મૂલ્ય,ਸਹੀ ਮੁੱਲ
અબાધિત વેક્ટર,ਸੰਪੂਰਨ ਵੈਕਟਰ
નિષ્ક્રિય,ਸਾਰ
યોગ્યતા,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
સાર -સારાંશ,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
પ્રવેગશ ગાળો,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
પ્રવેગકોનો સમય,ਪ੍ਰਵੇਗ ਟਾਈਮ
ઉચ્ચારણ,ਲਹਿਜ਼ਾ
સ્વીકૃતિ કસોટી,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
પ્રવેશ,ਪਹੁੰਚ
પ્રવેશ હાથ,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
પ્રવેશ -વ્યવસ્થા,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
પ્રવેશ સત્તાવાર,ਪਹੁੰਚ ਅਥਾਰਟੀ
પ્રવેશ -ખર્ચ,ਐਕਸੈਸ ਚਾਰਜ
પ્રવેશ -વર્ગ,ਐਕਸੈਸ ਕਲਾਸ
પ્રવેશ -આધાર વ્યવસ્થાપન,ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ
પર્યાવરણ,ਐਕਸੈਸ ਵਾਤਾਵਰਣ
પ્રવેશ અંતર,ਐਕਸੈਸ ਪਾੜਾ
પ્રવેશ -સૂચિ,ਐਕਸੈਸ ਇੰਡੈਕਸ
પ્રવેશ -રેખા,ਐਕਸੈਸ ਲਾਈਨ
પ્રવેશ -પદ્ધતિ,ਐਕਸੈਸ ਵਿਧੀ
પ્રવેશ પદ્ધતિ,ਐਕਸੈਸ ਵਿਧੀ
પ્રવેશ -પદ્ધતિ,ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ
પ્રવેશ -પદ્ધતિ,ਐਕਸੈਸ ਮੋਡ
પ્રવેશ -હક,ਸਹੀ ਪਹੁੰਚ
પ્રવેશ -સ્કેન,ਐਕਸੈਸ ਸਕੈਨ
પ્રવેશ સમય,ਐਕਸੈਸ ਟਾਈਮ
નામું,ਲੇਖਾ
હિસાબ -પદ્ધતિ પદ્ધતિ,ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ
હિસાબ -વ્યવસ્થા,ਲੇਖਾ ਮਸ਼ੀਨ
ખાતા નંબર,ਅਕਾਊਂਟ ਨੰਬਰ
સંચયી પ્રજનનકર્તા,ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ
એકઠા કરનાર,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ
સંચિત રજિસ્ટર,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ
સંચય -પાળી સૂચના,ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ
ચોકસાઈ,ਸ਼ੁੱਧਤਾ
ચોકસાઈ નિયંત્રણ,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ
ચોકસાઈ નિયંત્રણ પદ્ધતિ,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ
પાસાનો પાસાનો પો,ਏਸ ਪਾਇਲਟ
પાત્ર સ્વીકારવું,ਅੱਖਰ ਮੰਨੋ
ધ્વનિકર્તા,ਧੁਨੀ ਕਥਾ
ધ્વનિ -જોડાણ,ਧੁਨੀ
ધ્વનિ વિલંબ રેખા,ਧੁਨੀ ਦੇਰੀ ਨਾਲ
ધ્વનિમૂર્તિ,ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ
ધ્વનિ -મોડેમ,ਧੁਨੀ ਮਾਡਮ
ધ્વનિ સંકેત,ਧੁਨੀ ਸੰਕੇਤ
ધ્વનિ સંગ્રહ,ਧੁਨੀ ਸਟੋਰੇਜ
ટૂંકાક્ષર,ਐਕਰੋਨਾਈਮ
ક્રિયા,ਕਾਰਵਾਈ
કાર્ય -ચક્ર,ਐਕਸ਼ਨ ਚੱਕਰ
ક્રિયા -રેખ,ਐਕਸ਼ਨ ਲਾਈਨ
ક્રિયા,ਐਕਸ਼ਨ ਸੰਦੇਸ਼
કાર્ય -સ્પષ્ટીકરણ,ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ
સક્રિય,ਸਰਗਰਮੀ
સક્રિય,ਕਿਰਿਆਸ਼ੀਲ
સક્રિય ફાઈલ,ਐਕਟਿਵ ਫਾਈਲ
સક્રિય રેખા,ਐਕਟਿਵ ਲਾਈਨ
સક્રિય કડી,ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ
સક્રિય માસ્ટર ફાઇલ,ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ
સક્રિય મુખ્ય વસ્તુ,ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ
સક્રિય ઉપગ્રહ,ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ
સક્રિય કેન્દ્ર,ਐਕਟਿਵ ਸਟੇਸ਼ਨ
સક્રિય સંગ્રહ,ਐਕਟਿਵ ਸਟੋਰੇਜ
પ્રવૃત્તિ,ਸਰਗਰਮੀ
પ્રવૃત્તિ સ્તરે,ਸਰਗਰਮੀ ਪੱਧਰ
પ્રવૃત્તિ લોડિંગ,ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ
પ્રવૃત્તિ ગુણોત્તર,ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ
વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું),ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ)
વાસ્તવિક કોડ (= સંપૂર્ણ કોડ),ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ)
વાસ્તવિક ડેટા ટ્રાન્સફર રેટ,ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ
વાસ્તવિક દશાંશ બિંદુ,ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ
વાસ્તવિક સૂચના (= અસરકારક સૂચના),ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ)
ખરેખર ચા,ਅਸਲ ਕੁੰਜੀ
વાસ્તવિક સમય,ਅਸਲ ਸਮਾਂ
વાસ્તવિક કામનો સમય,ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ
કાર્યકારી સંકેત,ਅਦਾਕਾਰੀ ਸੰਕੇਤ
અનુકૂલનક્ષમતા,ਅਨੁਕੂਲਤਾ
અનુકૂલન,ਅਡੈਪਟਰ
અનુકૂલનશીલ ચેનલ ફાળવણી,ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ
અનુકૂલનશીલ એકીકરણ,ਅਨੁਕੂਲ ਏਕੀਕਰਣ
અનુકૂલનશીલ બરાબરી,ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ
ઉમેરાયેલ નોંધ,ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ
પરિવર્તન,ਐਡੇਂਡ
પ્રહાર,ਐਡਰਰ
ઉપદેશક,ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ
ફાઇલ ઉમેરો,ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ
વધારાના પાત્ર (= વિશેષ પાત્ર),ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ)
વધારાની રેકોર્ડર,ਜੋੜ ਰਿਕਾਰਡਰ
વધારાનો કોઠો,ਜੋੜ ਸਾਰਣੀ
ઉમેરણ લક્ષણ,ਜੋੜ
મોડમાં ઉમેરો,ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ
કામગીરી ઉમેરો,ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ
સંબોધન,ਪਤਾ
સરનામા -માપદંડ,ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ
સરનામું આડી સ્થિતિ,ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ
સંબોધન - બિંદુ,ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ
પ્રતિયોગી સ્થિતિ,ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ
સરનામું રજિસ્ટર,ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ
પ્રત્યુત્તરપાત્ર સંગ્રહ,ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ
સરનાક verભી સ્થિતિ,ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ
સરનાવ બસ,ਪਤਾ ਬੱਸ
સરનામું,ਪਤਾ ਕੋਡ
સરખામણી કરનાર,ਪਤਾ ਕੰਪਰੇਟਰ
સરનામું,ਪਤਾ ਬਕਾਏ
નિવારણ,ਪਤਾ ਲਗਾਤਾਰ
ધર્મપરિવર્તન,ਪਤਾ ਬਦਲਣਾ
માહિતી,ਪਤਾ ਡਾਟਾ
સંબોધિત મેમરી,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
સંબોધન અસરકારક,ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ
સરનાવનું ક્ષેત્ર,ਪਤਾ ਖੇਤਰ
સરનાકનું બંધારણ,ਪਤਾ ਫਾਰਮੈਟ
મફત કાર્યક્રમ,ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ
સંબોધન,ਸੰਬੋਧਨ ਕਰਨਾ
"સંબોધન
 પાત્ર","ਸੰਬੋਧਨ ਕਰਨਾ
 ਅੱਖਰ"
સંબોધન,ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ
સંબોધન,ਪਤਾ ਲਗਾਉਣ
વર્ચુઅલ મેમરીને સંબોધવા,ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ
સરનામું,ਪਤਾ ਲਗਾਉਣਾ
સરનામાંહીન સૂચના બંધારણ,ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ
સરનામા,ਐਡਰੈੱਸ ਲਾਈਨ
સરનામાંનું નકશો,ਪਤਾ ਮੈਪਿੰਗ
સરનાવ,ਪਤਾ ਮਾਰਕ
સરનામા -ફેરફાર,ਪਤਾ ਸੋਧ
સરનામા ભાગ,ਪਤਾ ਭਾਗ
સરનાક નિર્દેશક,ਪਤਾ ਪੁਆਇੰਟਰ
સરના નોંધણી,ਪਤਾ ਰਜਿਸਟਰ
સરનામે સંકેત,ਪਤਾ ਸਿਗਨਲ
સરનાવનું કદ,ਪਤਾ ਅਕਾਰ
સરનાવની જગ્યા,ਪਤਾ ਸਪੇਸ
સરનામું સ્થાન ઓળખકર્તા,ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ
સરનાવ બંધ,ਪਤਾ ਬੰਦ
