Kannada,Tamil
ಅಬ್ಯಾಕಸ್,அபாகஸ்
ಅಸಹಜ ಮುಕ್ತಾಯ,அசாதாரண நிறுத்தம்
ಸ್ಥಗಿತಗೊಳಿಸು,கருக்கலைப்பு
ಸಂಪೂರ್ಣ,அறுதி
ಸಂಪೂರ್ಣ ವಿಳಾಸ,முழுமையான முகவரி
ಸಂಪೂರ್ಣ ವಿಳಾಸ,முழுமையான முகவரி
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,முழுமையான அசெம்பிளர்
ಸಂಪೂರ್ಣ ಕೋಡ್,முழுமையான குறியீடு
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,முழுமையான கட்டளை
ಸಂಪೂರ್ಣ ಡೇಟಾ,முழுமையான தரவு
ಸಂಪೂರ್ಣ ಸೂಚನೆ,முழுமையான அறிவுறுத்தல்
ಸಂಪೂರ್ಣ ಮೋಡ್,முழுமையான பயன்முறை
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,முழுமையான பாதை
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,முழுமையான நிரலாக்கம்
ಅಮೂರ್ತ ವರ್ಗ,சுருக்க வர்க்கம்
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,சுருக்க தரவு வகை
ಅಮೂರ್ತ ಯಂತ್ರ,சுருக்க இயந்திரம்
ಅಮೂರ್ತ ಚಿಹ್ನೆ,சுருக்க சின்னம்
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,சுருக்க தொடரியல்
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ஏற்றுக்கொள்ளும் சோதனை
ಪ್ರವೇಶ ದೃಢೀಕರಣ,அணுகல் அங்கீகாரம்
ಪ್ರವೇಶ ಕೋಡ್,அணுகல் குறியீடு
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,நுழைவு கட்டுப்பாடு
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,அணுகல் ஸ்கேன்
ಪರಿಕರ,துணை
ಖಾತೆ,கணக்கு
ಖಾತೆ ID,கணக்கு ஐடி
ಸಂಚಯಕ,திரட்டி
ನಿಖರತೆ,துல்லியம்
ಪ್ರವೇಶ,அணுகல்
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,அணுகல் கட்டுப்பாட்டு பைட்
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,அணுகல் குறியீடு
ಪ್ರವೇಶ ಕೀ,அணுகல் விசை
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,அணுகல் அணி
ಪ್ರವೇಶ ಮೋಡ್,அணுகல் முறை
ಪ್ರವೇಶ ಸವಲತ್ತು,அணுகல் சலுகை
ಪ್ರವೇಶ ಭದ್ರತೆ,அணுகல் பாதுகாப்பு
ಪ್ರವೇಶ ಸರ್ವರ್,அணுகல் சேவையகம்
ಪ್ರವೇಶ ಸಮಯ,அணுகல் நேரம்
ಸ್ವೀಕೃತಿ,ஒப்புகை
ಅಕೌಸ್ಟಿಕ್ಸ್,ஒலியியல்
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,சுருக்கம்
ಕ್ರಿಯೆಯ ಸಂದೇಶ,செயல் செய்தி
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,செயல்படுத்துதல்
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP),செயலில் உள்ள சர்வர் பக்கம் (ASP)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,செயலில் உள்ள பதிப்பு
ಅಸೈಕ್ಲಿಕ್,அசைக்ளிக்
ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್,அசைக்ளிக் வரைபடம்
ಅದಾ ಭಾಷೆ,அட மொழி
ಅಡಾಪ್ಟರ್,அடாப்டர்
ಸೇರಿಸಿ,கூட்டு
ಕಡತವನ್ನು ಸೇರಿಸು,கோப்பை சேர்க்க
ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ,செயல்பாட்டைச் சேர்க்கவும்
