Gujarati,English
ખર્ચ,Abatement
સંક્ષેપ,Abbreviation
અપહરણ,Abduction
સ્થગ,Abeyance
ક્ષમતા,Ability
આરંભ,Ab initio
કઠોર,Able
અસામાન્ય,Abnormal
નાબૂદી,Abolition
નાબૂદી પોસ્ટ,Abolitionof post
ઉપર ઉલ્લેખ કર્યો છે,Above mentioned
ઉપર જણાવેલ,Above quoted
ઉપર જણાવ્યું હતું કે,Above said
ગેરહાજરી,Absence
ગેરહાજર,Absentee
ગેરહાજરી,Absenteeism
અનુપસ્થિત નિવેદનો,Absentee statement
અબાધિત,Absolute
અબાધિત ઈજારો,Absolute monopoly
અબાધિત માલિકી,Absolute ownership
સમાવેશ,Absorption
નિષ્ક્રિય,Abstract
અખબારો,Abstractstatement
વાહિયાત,Absurd
વિપુલતા,Abundance
સત્તાનો દુરુપયોગ,Abuse of power
અપશબ્દો,Abusive language
શૈક્ષણિક,Academic
શૈક્ષણિક ચર્ચા,Academic discussion
શૈક્ષણિક રજા,Academic leave
શૈક્ષણિક લાયકાત,Academic qualification
વિદ્યા,Academic record
સહયોગ કરવો,Accede
સ્વીકારવું,Accept
સ્વીકૃતિ,Acceptance
પદની સ્વીકૃતિ,Acceptance of office
પ્રતિજ્ ofા,Acceptance of tender
પ્રવેશ,Access
સંચાર,Accession
સહાયક,Accessory
અકસ્માત,Accident
સ્વાર્થીકરણ,Acclimatization
આવાસ,Accommodation
સંલગ્ન,Accompanist
સંલગ્ન,Accord
અનુસાર,Accordance
તદનુસાર,Accordingly
હિસાબ,Account
જવાબદારી,Accountability
જવાબદાર,Accountable
હિસાબની સંખ્યા,Accountancy
હિસાબ રાખનાર,Accountant
માટે એકાઉન્ટ,Account for
હિસાબનું માથું,Account head
ઉપાર્જિત લાભ,Accrued benefit
ઉપાર્જિત પેન્શન,Accrued pension
સંચય,Accumulation
ચોકસાઈ,Accuracy
ચોક્કસ,Accurate
આક્ષેપ કરવો,Accuse
આરોપી,Accused
સિદ્ધિ,Achievement
સ્વીકૃતિ,Acknowledgement
સ્વીકૃતિ,Acknowledgement due
પરિચય,Acquaintance
સંપાદન,Acquisition
મુક્તિ,Acquittance
કૃત્ય,Act
કાર્યકારી ભથ્થું,Acting allowance
ક્રિયા,Action
કાર્ય યોજના,Action plan
સક્રિય,Active
સક્રિયપણે,Actively
સક્રિયકાર્ય,Activist
ભગવાનનો કૃત્ય,Act of God
ગેરવર્તન,Act of misconduct
કમિશન અને કમિશન અને બાદબાકી,Act of commission and omission
વાસ્તવિક,Actual
વાસ્તવિક,Actuals
અનુકૂલન,Adaptation
વધારા,Addition
વધારાનો ખર્ચ,Additional charge
વધારાના નિધિ,Additional fund
વધારાની અનુદાન,Additional grant
વધારાની માહિતી,Additional information
વધારાનો પગાર,Additional pay
ઉમેરો અને ફેરફાર,Addition and alteration
સંબોધન,Address
સંબોધન કરનાર,Addressee
સ્વાગતનું સરનામું,Address of welcome
પૂરતું,Adequate
ને અનુરૂપ બનાવવું,Adhere to
તદર્થ,Ad hoc
તદર્થપત્ર,Ad hoc claim
તદર્થ સમિતિ,Ad hoc committee
તદર્થ વધારો,Ad hoc increase
તદ્દન ચુકવણી,Ad hoc payment
અડીને,Adjacent
અડીને (= સુસંગત),Adjoining (=contiguous)
મોકૂફી,Adjournment
મોકૂફીની દરખાસ્ત,Adjournment motion
