Gujarati,English
એબેલિયન જૂથ,Abelian group
અબેલીયન સેમીગ્રુપ,abelian semigroup
એબ્સીસા,abscissa
સંપૂર્ણ,absolute
સંપૂર્ણ સંકલન,absolute convergence
સંપૂર્ણ ભૂલ,absolute error
સંપૂર્ણ મહત્તમ,absolute maximum
સંપૂર્ણ લઘુત્તમ,absolute minimum
સંપૂર્ણ મૂલ્ય,absolute value
સંપૂર્ણ વેગ,absolute velocity
અમૂર્ત બીજગણિત,abstract algebra
અમૂર્ત જૂથ સિદ્ધાંત,abstract group theory
પ્રવેગ,acceleration
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,acceleration due to gravity
સ્વીકાર્ય પસંદગી સમૂહ,acceptable choice set
સ્વીકાર્ય ગુણવત્તા સ્તર,acceptable quality level
સ્વીકાર્ય શ્રેણી,acceptable range
સ્વીકાર્ય વિશ્વસનીયતા સ્તર,acceptable reliability level
સ્વીકાર્ય નમૂના,acceptable sampling
સંચિત ભૂલ,accumulated error
ચોકસાઈ,accuracy
અભિનય બળ,acting force
ક્રિયા,action
ક્રિયા અને પ્રતિક્રિયા,action and reaction
વાસ્તવિક વિજ્ઞાન,acturial science
તીવ્ર કોણીય ત્રિકોણ,acute angled triangle
એસાયક્લિક,acyclic
ઉમેરો,add
ઉમેરનાર,adder
વધુમાં,addition
વધારાનું સૂત્ર,addition formula
જટિલ સંખ્યાઓનો ઉમેરો,addition of complex numbers
કાર્યોનો ઉમેરો,addition of functions
મેટ્રિસિસનો ઉમેરો,addition of matrices
બહુપદીનો ઉમેરો,addition of polynomials
સંભાવનાઓનો ઉમેરો,addition of probabilities
વેક્ટરનો ઉમેરો,addition of vectors
વધારાનું પ્રમેય,addition theorem
ઉમેરણ જૂથ,additive group
ઉમેરણ વ્યસ્ત,additive inverse
ઉમેરણ મિલકત,additive property
ઉમેરણ,additivity
સંલગ્નતા મેટ્રિક્સ,adjacency matrix
અડીને,adjacent
અડીને આવેલા ખૂણા,adjacent angles
અડીને શિરોબિંદુ,adjacent vertex
સંલગ્ન,adjoin
સંલગ્ન,adjoining
સંલગ્ન નિર્ણાયક,adjoint determinant
સંલગ્ન વિભેદક સમીકરણ,adjoint differential equation
સંલગ્ન સમીકરણ,adjoint equation
સંલગ્ન મેટ્રિક્સ,adjoint matrix
મેટ્રિક્સનો સંલગ્ન ભાગ,adjoint of matrix
એડજ્યુગેટ મેટ્રિક્સ,adjugate matrix
સ્વીકાર્ય નિર્ણય કાર્ય,admissible decision function
સ્વીકાર્ય પૂર્વધારણા,admissible hypothesis
એરોડાયનેમિક બળ,aerodynamic force
એરોડાયનેમિક્સ,aerodynamics
સંલગ્ન ભૂમિતિ,affine geometry
affine મેપિંગ,affine mapping
સંલગ્ન રૂપાંતર,affine transformation
એકંદર ચલો,aggregating variables
બીજગણિત,algebra
બીજગણિતીય રીતે બંધ,algebraically closed
બીજગણિતીય સમીકરણ,algebraic equation
બીજગણિતીય અભિવ્યક્તિ,algebraic expression
બીજગણિત સ્વરૂપ,algebraic form
બીજગણિત કાર્ય,algebraic function
બીજગણિત ભૂમિતિ,algebraic geometry
બીજગણિત ગુણાકાર,algebraic multiplicity
બીજગણિત સિસ્ટમ,algebraic system
તમામ પૂર્ણાંક સમસ્યા,all-integer problem
ફાળવણી સમસ્યા,allocation problem
આલ્ફાબેટીકલ નોટેશન,alphabetical notation
આલ્ફાબેટીક અક્ષર,alphabetic character
વૈકલ્પિક કોણ,alternate angle
વૈકલ્પિક સ્વરૂપ,alternating form
વૈકલ્પિક જૂથ,alternating group
વૈકલ્પિક મેટ્રિક્સ,alternating matrix
વૈકલ્પિક શ્રેણી,alternating series
વૈકલ્પિક પૂર્વધારણા,alternative hypothesis
વૈકલ્પિક ઓપ્ટિમા,alternative optima
વૈકલ્પિક પરિણામ,alternative outcome
એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર,analog-to-digital converter
એનાલોગ કમ્પ્યુટર,analogue computer
વિશ્લેષણ,analysis
