Odiya,English
ପରିତ୍ୟାଗ ଅଙ୍ଗ |,Aborted organ
ପରିତ୍ୟାଗ,Aborted seed
ଗର୍ଭପାତ,Abortion
ସଂପୂର୍ଣ୍ଣ ତୃଣ,Absolute weed
ଅବଶୋଷିତ କେସନ,Absorbed cation
ଶୋଷଣ,Absorption
Abayssinian mystard |,Abyssinian mustard
ଅରିକାଇଡ୍ |,Acaricide
ଉଚ୍ଚାରଣ,Accentric
ଉଚ୍ଚାରଣ (ସେଲ୍),Accentuate (cell)
ଗ୍ରହଣ କରାଯାଇଥିବା ସହନଶୀଳତା |,Accepted tolerance
ଆନୁଷଙ୍ଗିକ,Accessory
ସୁକମ୍ଲାଇଜେସନ୍,Acclimatization
ଜମା,Accumulation
ସଠିକତା,Accuracy
Acervulus,Acervulus
ଯୁକ୍ତିଯୁକ୍ତିକ,Acetification
ଅମ୍ଳଗତ,Acidification
ଏସିଡିମିଟର,Acidimeter
ଅମ୍ଳତା,Acidity
ଏସିଡୋଫିଲିକ୍ |,Acidophilic
ACIDUCED ROX FHSHATE |,Acidulated rock phosphate
ଅସିଡିଆରି |,Aciduric
ଜଳଜଳ |,Aquifer
ଅଧିଗ୍ରହଣ,Acquisition
ଏକର,Acre
ଏକରାଗେଜ୍,Acreage
ଆକ୍ରୋଣ୍ଟ୍ରିକ୍ କ୍ରୋମୋଜୋମ୍ |,Acrocentric chromosome
ଆଖୋପ୍ଟାଲ୍ |,Acropetal
ଆନୋକୋମ୍,Acrosome
ଆକ୍ଟିନୋମିସେସିସ୍ |,Actinomycetes
ସକ୍ରିୟ ମୂଳ କ୍ଷେତ୍ର,Active root zone
ତୀବ୍ର,Acute
ଅନୁକେତ,Adaptability
ଆଡାପ୍ଟେସନ୍,Adaptation
ଆଡେସନ୍,Adhesion
ଆଦିବ,Adipose
ଆଡଜଷ୍ଟମେଣ୍ଟ ସମୀକରଣ |,Adjustment equation
ଆଡୋବ ମାଟି |,Adobe soil
ବ୍ୟଭିଚାର,Adulterant
ବିଶ୍ୱସ୍ତତା,Adventitious
Aechidispor,Aecidiospore
ଏଓଲ୍ସିଆସ୍ ପ୍ରକ୍ରିୟା |,Aeolian process
ଆଦାମୀ,Aeolian
ଆରେଟ୍,Aerate
ବାୟୁ,Aerial
ଏରୋମିଟର |,Aerometer
ଏରୋସୋଲ୍ |,Aerosol
ବାୟେ,Aestivation
ଆୟନୋଜି (ଇଟିଓଲୋଜି),Aetiology (etiology)
ଆଗ ଶତ୍ରୁମାନଙ୍କର,Afforestation
ଆଗ୍ରିଲେସନ୍,Agitation
Awarmark,Agmark
କୃଷି,Agrarian
କୃଷି କ୍ଲିନିକ୍ |,Agricultural clinic
କୃଷି ଶ୍ରମ,Agricultural labour
କୃଷି ମାର୍କେଟିଂ |,Agricultural marketing
କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |,Agricultural technology
କୃଷି,Agriculture
ଯୁକ୍ତିଯୁକ୍ତ,Agrisilviculture
Agrobizioditicity |,Agrobiodiversity
Agrobiofogic ତ୍ରୁଟିଗୁଡିକ |,Agrobiological defects
Agrobiogioly |,Agrobiology
ଭୟଙ୍କର ବିବିଧତା |,Agroclimatic diversity
ଭୟଙ୍କର ଜୋନିଂ |,Agroclimatic zoning
Agroftry,Agroforestry
ସହଯୋଗୀ,Agrology
କିରେନୋନୋମ୍ବନ,Agronomy
Agronastoal,Agropastoral
ସହପ୍ରଗୋକ୍ତ,Agroprocessing
ଦୁର୍ଗସ୍,Agrostology
Agrotype,Agrotype
ବାୟୁ ପ୍ଲାଣ୍ଟ |,Air plant
ଆକିଓଚି ମାଟି |,Akiochi soil
ଆଲବିନିମ୍,Albinism
Altfisolles,Alfisols
ଆଲିଜି |,Algae
Alegal ରୋଗ,Algal disease
ଆଲକାଲି ପାଣି |,Alkali water
କ୍ଷାରିକ |,Alkaline
ଆହେଲେ |,Allele
ଆଲଲେଇଚିକ୍,Allelochemicals
ଆଲୋଲେମୋର୍ଫେଫେଫେଫ |,Allelomorph
ଆଲୋଲୋପାଥି |,Allelopathy
ଆଲି କ୍ରପ୍ କରିବା |,Alley cropping
Alloarcy,Allocarpy
ଆଲଗଲାମି |,Allogamy
Allomitry,Allometry
ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |,Allopolyploid
Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍),Allosynapsis (allosyndesis)
ବିକଳ୍ପ ନୋଟିଂ |,Alternate bearing
ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |,Alternate land use
ପରିବେଶ,Ambient
ଅମୃତାରା,Ameliorant
ଅମିତୋସାଇସ୍ |,Amitosis
ଅମୃତନ,Amminization
ଆମୋନିଫିକେଟ୍,Ammonification
ଆମୋନିଫାୟର୍,Ammonifier
ଅମୋରଫ,Amorph
ଆମ୍ଫିମିକ୍ସିସ୍ |,Amphimixis
ଆମ୍ଫୋଷ୍ଟିକ୍ |,Amphoteric
ଆନାବୋଲିଜିମ୍ |,Anabolism
ଆନାରୋବେ |,Anaerobe
ଆନୁପ୍ଲଏଡ୍ |,Aneuploid
କୋଣ ବୃକ୍ଷ,Angle planting
ପଶୁ କୁମ୍ଭାରୀ,Animal husbandry
ପଶୁ ମନା କରେ |,Animal refuse
ଆନିମେଟ୍ ଶକ୍ତିମାନ |,Animate energy
Aningoploid,Anisoploid
ବାର୍ଷିକ ଉଦ୍ଭିଦ |,Annual plant
ବାର୍ଷିକ,Annual
ଆନେସିଟି,Anthesis
ଆନ୍ଥ୍ରାକ୍ସ |,Anthrax
ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |,Anthropogenic factor
ଆଣ୍ଟିବାସିସ୍,Antibiosis
ଆଣ୍ଟିବାୟୋଟିକ୍ |,Antibiotic
ପ୍ରତିକାର,Antidote
ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |,Antioxidants
ଆଣ୍ଟିଟୋକ୍ସିନ୍ |,Antitoxin
ବ୍ରହ୍ମାଣ୍ଡ,Annulus
ଆପିଡ୍ |,Aphid
ଆପିକାଲ୍ ଗୁଣ୍ଡ |,Apical bud
ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |,Apical dominance
ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା),Apiculture (bee keeping)
ଆପୋମିକ୍ସସ୍ |,Apomixis
ଆପୋଟୋଏସ୍,Apoptosis
ଅନୁକ୍ରମଣିକା,Appendage
ଭୋକକାରୀ,Appetizer
ପ୍ରୟୋଗ କରାଯାଏ |,Applied
ଜଳୀୟ ତୃଣ,Aquatic weed
ଅର୍ବ୍ରାଲ୍ |,Arboreal
ସ୍ଥାପନ |,Arborization
ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |,Archaeo-botanical records
କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ,Area statistics
କ୍ଷେତ୍ର,Area
ARID ECOSYSem |,Arid ecosystem
ଅରିଲ୍,Aril
ସୁଗନ୍ଧ,Aroma
ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |,Aromatic plant
ସୁଗନ୍ଧିତ ଚାଉଳ |,Aromatic rice
ତୀର,Arrowing
ଆସେସିସ୍,Asepsis
ଅଭିଯୁକ୍ତ,Aseptic
ଶ୍ୱେକାର ପ୍ରଚାର,Asexual propagation
ଆମ୍ପେ,Assay
ସମ୍ପତ୍ତି,Assets
ଆସିମେଇର |,Assimilation
ସଙ୍ଗଠନ,Association
Astringent,Astringent
ଆସନାପାସୀ |,Asynapsis
ସଂଲଗ୍ନବାଦ,Atavism
ପରମାଣିଜର,Atomizer
ଆଟ୍ରୋଫି |,Atrophy
ଅଟୋଗାମି |,Autogamy
ଅଟଲିସିସ୍ |,Autolysis
AroutDation,Autoxidation
ଅଟୋପୋଲାପ୍ଲୋଡ୍ |,Autopolyploid
Auxins,Auxins
Awn (ବ୍ରଷ୍ଟଲ୍),Awn (bristle)
ବାଦାମ |,Almond
ଆଲୋ,Aloe
ଅମରାନ୍ତିନ |,Amaranthus
ଆମି,Ammi
ଅଜାନର ଘାସ |,Anjan grass
ଆଠର୍ିୟମ୍ |,Anthurium
"ଆଲୋଲା, ଭାରତୀୟ ଗୋଲାକାର |","Aonla, Indian gooseberry"
ଆପଲ୍,Apple
ଆପ୍ରିକେଟ୍ |,Apricot
ଆର୍ବିଆନ୍ ଜସ୍ମିନ୍ |,Arbian jasmine
Areca but,Areca nut
ଅର୍ଜନୁନ୍,Arjun
ଆସଫୋଏଡା,Asfoetida
ପାଉଁଶ ଗୁଣ୍ଡ |,Ash gourd
ଅଶୋକା ଗଛ |,Ashoka tree
ଅଶମ୍ମା ତୃଣକ (ଇଫୋରିୟା),Ashthma weed (euphorbia)
ଅସରପା,Asparagus
ଆଭୋକାଡୋ |,Avocado
ଆଲଫାଲଫା (ଲୁସେର୍ନ),Alfalfa (lucerne)
