Bengali,Punjabi
অ্যাবায়োটিক প্রজনন,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
প্যারানরমাল,ਅਲੌਕਿਕ
1. চতুর্থ পেট 2. Evomasome,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
স্টোমাটাল বৃদ্ধি অঙ্গ,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
স্তব্ধ বৃদ্ধি বীজ,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
শোষিত ক্যাটান,ਲੀਨ cation
শোষণ,ਸਮਾਈ
আবিসিনিয়ান সরিষা,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
1. অ্যাক্যারিসাইড,1. ਐਕਰੀਸਾਈਡ
কেন্দ্রমুখী,centripetal
পরিবর্ধন (কোষ),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
অনুমোদিত সহনশীলতা,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
অভিযোজন,ਅਨੁਕੂਲਨ
সঞ্চয়,ਇਕੱਠਾ ਕਰਨਾ
1. শূন্যতা 2. নির্ভুলতা,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
1. অ্যাসারভাউলাস 2. স্পোরোফাইট,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
অম্লতা,ਐਸਿਡਿਟੀ
অ্যাসিডোফাইল,ਐਸਿਡੋਫਾਈਲ
অম্লীয় রক ফসফেট,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
অ্যাসিডযুক্ত,ਤੇਜ਼ਾਬ
aquifer,aquifer
অধিগ্রহণ,ਪ੍ਰਾਪਤੀ
একর,ਏਕੜ
1. এলাকা 2. এলাকা,1. ਖੇਤਰ 2. ਖੇਤਰ
শেষ বিন্দু ক্রোমোজোম,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
দূরদর্শী,ਅਗਾਂਹਵਧੂ
acrosome,acrosome
actinomycetes,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
সক্রিয় কোর,ਸਰਗਰਮ ਕੋਰ
1. উগ্র 2. তীব্র,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
অভিযোজনযোগ্যতা,ਅਨੁਕੂਲਤਾ
কাস্টমাইজেশন,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
1. আনুগত্য 2. আনুগত্য,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
sebaceous,sebaceous
সমন্বয় সমীকরণ,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
adobe মাটি,ਅਡੋਬ ਮਿੱਟੀ
ভেজাল,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
ectopic,ਐਕਟੋਪਿਕ
ইসিডিওস্পোর ইসিডিয়াম স্পোর,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
এরোডাইনামিক প্রক্রিয়া,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
ventral,ਵੈਂਟ੍ਰਲ
বায়ু করা,ਹਵਾ ਦੇਣ ਲਈ
1. বায়ু 2. আকাশী,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
এরোসল,ਐਰੋਸੋਲ
