Punjabi,English
ਐਬੈਕਸਿਅਲ ਸਤਹ,Abaxial surface
ਪੇਟ,Abdomen
ਪੇਟ AORTA,Abdominal aorta
ਪੇਟ ਗੰਗਾਲੀਆ,Abdominal ganglia
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,Abelmoschus esculentus
ਅਸਧਾਰਨ,Aberration
ਅੱਛਾ,Abies
ਅਬਿੰਗਡਨ ਕਛੂਆ,Abingdon tortoise
ਅਬੀਓਜੀਨੇਸਿਸ,Abiogenesis
ਅਬੀਓਟਿਕ,Abiotic
ਅਬੀਓਟਿਕ ਕਾਰਕ,Abiotic factor
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,Abnormal urine
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,ABO blood group
Abscisic ਐਸਿਡ,Abscisic acid
ਵਿਵੇਕ,Abscission
ਸੋਖਣਾ,Absorb
ਸਮਾਈ ਪੀਕ,Absorption peak
ਸਮਾਈ,Absorption
ਅੱਕੀਆ ਕੈਟੂਯੂ,Acacia catechu
ਅਕਾਰੀਆ ਅਰਬੀ,Acaria arabica
ਐਕਾਪ੍ਰਿਨ,Acaprin
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,Acceptable sexual behaviour
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,Accessory gland
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,Accessory gland
ਸਹਾਇਕ ਅੰਗ,Accessory organ
ਅਨੁਕੂਲਤਾ,Acclimatization
ਅਹਿਮ,Acclimatize
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),Accommodation (focusing)
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,Accommodation of eye
ਅਦਭੁਤ ਵਾਧਾ,Accretionary growth
ਇਕੱਠਾ,Accumulation
ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,Accumulation of organic matter
ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,Accumulation of soil
ਐਸੀਲੂਲਰ,Acellular
ਐਸੀਲੂਲਰ ਜੀਵ,Acellular organism
