Bengali,Hindi
অ্যাসিডয়েড,एसीडायड
বায়বীয় মাটি,जलोढ़ मृदा
সমষ্টি,समुच्चय
সমষ্টি,समुच्चयन
কৃষিবিদ্যা,सस्य मृदा विज्ञान
কৃষিবিদ্যা,सस्य विज्ञान
A- দিগন্ত,"A-संस्तर, A-होराइजन"
আও-দিগন্ত,Ao-संस्तर/Ao-होराइजन
আও-দিগন্ত,Aoo-संस्तर/होराइजन
মাটির বায়ু ক্ষমতা,मृदा की वायु धारिता
মাটির বায়ু উপাদান,मृदा का वायु अंग
এয়ার পিকনোমিটার,वायु पिक्नोमीटर
অ্যালিটিক মাটি,एलीटिक मृदा
পলিমাটি,जलोढ़ मृदा
অ্যামফোলাইটয়েড,एम्फोलीटायड
অ্যানিয়ন,ऋणायन
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
আরিস,कोर
আশলার সূক্ষ্ম গাঁথনি,बारीक वराश्म चिनाई
আশলার রাজমিস্ত্রি,वराश्म चिनाई
অ্যাজোনাল মাটি,अस्तरीय मृदा/अक्षेत्रीय मृदा
পেছনের অভিনেতা,कर्ष खनित्र
পিছনের খিলান,पश्च डाट
ব্যাক ব্যান্ড,पश्च पट्ट
পিছনের ব্রাশ,उपटा प्रलेप
ফিরে চেক,पश्च रोधक
পিছনে কাউন্টার,पश्च पटल
পিছনে কাটা,पश्च कर्तन
ব্যাক ড্রাফ্ট ড্যাম্পার,उपटा झोंका अवमंदक
পিছনের ড্রেন,पश्च नली
ব্যাকড্রপ,पश्च पट
ব্যাক ফিল,पृष्ठ भरण
ব্যাক ফিললেট,पश्च पट्टिका
পিছনে ফ্ল্যাপ কবজা,पृष्ठ पल्ला कब्जा
পিছনে প্রবাহ সংযোগ,प्रतीप प्रवाह संयोजन
পিছনে প্রবাহ প্রতিরোধক,प्रतीप प्रवाह निरोधक
ব্যাক গেজ,पश्चांतर
পিছনে নর্দমা,पश्च नली
পিছনের চুলা,अग्निस्थान पृष्ठ
ব্যাকিং,पीठ/पृष्ठ भाग
ব্যাকিং বোর্ড,पिछला तख्ता
ফিরতি চাপ,पश्च दाब
পিছনে প্রপ,पश्च टेक
পিছনের দৃষ্টি,पश्चावलोकन
পিঠের জল,पश्चजल
বিভ্রান্ত,व्यारोध
ব্যাগওয়ার্ক,थैला पुशताबंदो
ব্যালাস্ট,गिट्टी
বল কাদামাটি,बॉल मृत्तिका
বল শঙ্কু বাতা,बॉल शंकुआकार शिकंजा
কাঁটাতার,काँटेदार तार
বার কুকুর,छड़ कुत्ता
বার্জ বোর্ড,त्रयंकी पार्श्व फलक
বেরিয়াম সালফেট পরীক্ষা,बेरियम सल्फेट परीक्षण
ব্যারেজ,बैराज
ব্যারেট,बरेट
বেস,क्षार
বেস বিনিময়,बेस विनिमय
বেস লাইন,आधार रेखा
বেসমেন্ট,तहखाना/अधोभवन
বেসমেন্ট প্রাচীর,अधोगृह भित्ति
বেস প্লেট,आधार पट्टिका
"বেস প্লেট, নিয়মিত",समायोज्य आधार पट्टिका
বেস স্যাচুরেশন,क्षार संतृप्ति
বেসয়েড,बेसाइड
ব্যাট,रोड़ा
স্নান এবং WC,स्नानागर व शौच कुण्ड
ব্যাটার পেগ,सलामी खूँटी
ব্যাটার পিয়ার,सलामी पाया
ব্যাটারের নিয়ম,सलामी नियम
বাল্ক (বাল্ক),बॉक
বে,खंडक
বহনকারী,धारक
ভারবহন ক্ষমতা,धारण क्षमता
ভারবহন গাদা,धारक पाइल
ভারবহন স্তর,धारक स्तर
বিছানা,आधार तल
বেডিং প্লেন,संस्तरण तल
বেড জয়েন্ট,पड़ी दरज
বিছানা শিলা,अश्माधार
শয়নকক্ষ,शयन कक्ष
মোম,मधुमोम
বেল বক্স,बैल बॉक्स
বেলিং বালতি,बैलिंग बकेट
বেলোফ্রাম,बैलोफ्राम
বেঞ্চড ফাউন্ডেশন,पैड़ीदार नींव
বেঞ্চিং,पैड़ी बनाना
মাপকাঠি,निदेश तलचिह्न
বেনিফিট খরচ বিশ্লেষণ,हितलाभ लागत विश्लेषण
বারম,उपतट
বেভেলড ক্লোজার,ढालू डेली
"বি-দিগন্ত,&quot;বি-",संस्तर/B-होराइजन
বিয়াট,बीएट
বাইন্ডার,बंधक
বাঁধাই উপাদান,बंधक पदार्थ
বায়োটের তত্ত্ব,बायोट का सिद्धांत
বিটুমেন,बीटूमन
কালো তুলার মাটি,काली मृदा
কালো পৃথিবী,काली मिट्टी
কালো টার্ফ মাটি,काली शाब्दल मृदा
ব্লেড,फलक
ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট,वात्या भट्टी धातुमल सीमेंट
অবরুদ্ধ কাঠামো,खंडीय संरचना
বগি প্রতিরোধ,बोगी संचलन प्रतिरोध
বগ-লোহা আকরিক,दलदल लोह खनित्र
বন্ধন,चाल (चिनाई की)
বন্ডেড সদস্য,बद्ध अवयव
বন্ধন পোস্ট উত্তেজনা,बद्ध प्रत्ययित तनन
বন্ড পাথর,बंधक पत्थर
আবদ্ধ জল,बद्ध जल
বক্স নর্দমা,पेटिकाकार नाली
বন্ধনী,बंधनी
ইট-অন-এজ,खड़ी ईंट
লাগাম,ब्राइडल
উজ্জ্বলতা,द्युति
বাদামী মাটি,भूरी मृदा
বিল্ডিং,भवन
বিল্ডিং সার্ভেয়ার,भवन सर्वेक्षक
বাফার,बफर (रोधक)
বাফার বক্ররেখা,रोधनवक या अनुपामन वक
