Gujarati,Malayalam
મહારમાન સપાટી,നിബാക്സിയൽ ഉപരിതലം
પેટ,അടിവയറ്
પેટનો એરોર્ટા,വയറുവേദന അയോട്ടോ
આધાર ગેંગલિયા,വയറിലെ ഗാംഗ്ലിയ
Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ,Abelmoschus എസ്സുലന്റസ്
વિપુલતા,വെറുക്കല്
નાજુક,അബി)
એબિંગ્ડન કાચબો,അബിങ്ഡൺ ആമ
સ્વત્વાર્પણ,അബിയോജെനിസിസ്
અહંકારી,അബിയോട്ടിക്
અભણ પરિબળ,അശുഭാപ്തി ഘടകം
અસામાન્ય પેશાબ,അസാധാരണമായ മൂത്രം
એબીઓ રક્ત જૂથ,അബോ രക്തം ഗ്രൂപ്പ്
સદસ્યાટ,അബ്സിസിക് ആസിഡ്
વિકલાંગતા,നിര്വഹണം
શોષવું,ഉള്ക്കൊള്ളുക
શોષણ ટોચ,ആഗിരണം കൊടുമുടി
સમાવેશ,ആഗിരണം
બાવળ,അക്കേഷ്യ കാറ്റെച്ചു
એકરિયા અરબીકા,അക്കാര്യ അറബിക്ക
એકર,അകാപ്രിൻ
સ્વીકાર્ય જાતીય વર્તન,സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം
સહાયક ગ્રંથિ,ആക്സസറി ഗ്രന്ഥി
સહાયક ગ્રંથિ,ആക്സസറി ഗ്രന്ഥി
સહાયક અંગ,ആക്സസറി അവയവം
સ્વાર્થીકરણ,ACCLIMATIES
મામૂલી કરવું,അക്ലിമിലൈസ്
આવાસ (ધ્યાન કેન્દ્રિત),താമസം (ഫോക്കസിംഗ്)
આંખનું સ્થાન,കണ്ണിന്റെ താമസം
પરિધિ,പ്രകടിപ്പിക്കുന്ന വളർച്ച
સંચય,കൂന്വാരം
કાર્બનિક પદાર્થનું સંચય,ജൈവവസ്തുക്കളുടെ ശേഖരണം
જમીનનો સંચય,മണ്ണിന്റെ ശേഖരണം
મધ્યમ,അസെലുലാർ
મધ્ય જીવ,അസെല്ലുലാർ ജീവികൾ
અકારો,Aecetabulum
Ecetaldehyde,അസെറ്റൽഡിഹൈഡ്
એસીટીલ કોએન્ઝાઇમ,അസെറ്റി കൊവെൻസിഎംഇ
એકલતા,അച്ചാതിന
અચેન પ્રકાર,നെച്ചെൻ തരം
અહંકાર,അച്ചീൻ
આચ્છાદન,ആൾമെംഡിഡോസ്പോര്പോറിയ
એસિડ વરસાદ,അമ്ല മഴ
અમ્દિન,അസിഡിറ്റി
અમ્બલિક ગેસ,അസിഡിറ്റിക് വാതകം
અમલ્ય,അസിഡിറ്റി
કોતરણીનો કોષ,അക്കിനാർ സെൽ
Acાંકણ,അക്കോമോമോമറ്റ്
એક જાતની કળા,അക്കോണിറ്റം
એકોખી,ആക്രമണാത്മക പുഴു
ધ્વનિ ક્ષેત્ર,അക്കോസ്റ്റിക് സോണിംഗ്
પ્રાપ્ત કરેલું પાત્ર,സ്വന്തമാക്കിയ പ്രതീകം
હસ્તગત પ્રતિરક્ષા,പ്രതിരോധശേഷി നേടി
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്)
ક્રોધાવેશ,അങ്കാരിയ
એસિડાઇન રંગ,അക്രിക്കൈൻ ഡൈ
અતિશય,അക്രോസെന്റ്
કરચલી,അക്രോമീൻ
સર્કરો,അക്രോരേറ്റൽ സീക്വൻസ്
સરકરાનો હુકમ,അക്രോപോളൽ ഓർഡർ
ગળાશ,അക്രോസിൻ
કાર્ય,ആക്ടിൻ
કૃત્ય,ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ
અભિપ્રાયનું,ആക്ടിനോമോർഫിക്
કૃત્ય,ആക്റ്റിനോമൈസെറ്റുകൾ
કાર્ય માટેની ક્ષમતા,പ്രവർത്തന സാധ്യത
સક્રિય કાદવ,സജീവമാക്കിയ സ്ലഡ്ജ്
સક્રિય કાદવ ફ્લોક,സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്
સક્રિય energyર્જા,സജീവമാക്കൽ .ർജ്ജം
સક્રિય શોષણ,സജീവമായ ആഗിരണം
સક્રિય પ્રતિરક્ષા,സജീവ പ്രതിരോധശേഷി
સક્રિય કિરણોત્સર્ગ,സജീവ വികിരണം
સક્રિય સ્થળ,സജീവ സൈറ്റ്
સક્રિય,ആധ്രിക്കുക
અણીદાર,അക്യുമിനേറ്റ്
એડ્મસિયા,ആദാംസിയ
અનુકૂલનક્ષમતા,പൊരുത്തപ്പെടലി
અનુકૂલન,പൊരുത്തപ്പെടുത്തൽ
પ્રકાશ શાસન માટે અનુકૂલન,ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ
પાણીની અછતને અનુકૂલન,ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ
અનુકૂલનશીલ લાક્ષણિકતાઓ,അഡാപ്റ്റീവ് സവിശേഷതകൾ
અનુકૂલનશીલ પ્રતિરક્ષા,അഡാപ്റ്റീവ് പ്രതിരോധശേഷി
અનુકૂલનશીલ કિરણોત્સર્ગ,അഡാപ്റ്റീവ് വികിരണം
અનુકૂલન લક્ષણ,അഡാപ്റ്റീവ് സ്വഭാവം
ઉપદેશક,അഡാക്സിയൽ ഉപരിതലം
વ્યસનકારક વિકાર,ആസക്തി നിഴൽ
એક જાતની adાળ,ആദൈൈൻ
એડોનોકોર્ટિકોટ્રોપિન,Adenocortiopin
એનોહિપોફિસીસ,ആദിനോഹൈപഫിസിസ്
એડેનોસિન ડિફોસ્ફેટ,Adenosin diphosphate
એમેનોસિન,Adenosine deaminase
એનોસિન મોનોફોસ્ફેટ,അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്
એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી),അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി)
સાયક્લેઝ,Adenileat സൈക്ലെസ്
ચપળ બળ,പശ ശക്തി
શણગારવું,മുദവയ്ക്കുക
એડિપોસાઇટ (ચરબી કોષ),Adipocyte (FALE സെൽ)
ચરબી પેશી,അഡിപോസ് ടിഷ്യു
Nતરતું,ആരാധന
સંલગ્ન સમુદાય,സമീപ കമ്മ്യൂണിറ്റി
વ્યવહાસી,അഡ്രീനല്
એડ્રીનલ ગ્રંથિ,അഡ്രീനൽ ഗ്രന്ഥി
એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ),അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth)
એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ),അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth)
શોષક,ദുര്ധി പകര്
શોષક,ദുര്ഗയോധം
અદ્યતન તાર,വിപുലമായ കീടങ്ങൾ
