Marathi,Malayalam
Uptement,ശീതീകരണം
संक्षेप,ചുരുക്കല്
अपहरण,പിടിച്ചുകൊണ്ടുപോകല്
अबाधित,Aveyne
क्षमता,കഴിവ്
अब इनिशिओ,Ab initio
सक्षम,കഴിവുള്ള
असामान्य,വിലക്ഷണമായ
निर्मूलन,നിർത്തലാക്കൽ
रद्दबातल पोस्ट,നിർത്തലാക്കൽ പോസ്റ്റ്
वर दिल्याप्रमाणे,മുകളിൽ സൂചിപ്പിച്ച
वर उद्धृत,മുകളിൽ ഉദ്ധരിച്ചത്
वरील म्हणाले,മുകളിൽ പറഞ്ഞത്
अनुपस्थिती,അസാന്നിദ്ധം
अनुपस्थित,ഹാജരാകാത്ത
अनुपस्थिति,ഹാജരാകാത്തീയത
अनुपस्थित विधान,ഹാജരാകാതിരിക്കുക
परिपूर्ण,കേശവം
परिपूर्ण मक्तेदारी,കേവല കുത്തക
परिपूर्ण मालकी,കേവല ഉടമസ്ഥാവകാശം
शोषण,ആഗിരണം
गोषवारा,വേര്പെട്ടുനില്ക്കുന്ന
अमूर्त स्टेटमेंट,അനുഗമിക്കുന്നു
बेशुद्ध,അസംബന്ധം
विपुलता,സമൃദ്ധി
शक्तीचा गैरवापर,അധികാര ദുരുപയോഗം
अपमानास्पद भाषा,അധിക്ഷേപകരമായ ഭാഷ
शैक्षणिक,പണ്ഡിതോചിതമായ
शैक्षणिक चर्चा,അക്കാദമിക് ചർച്ച
शैक्षणिक रजा,അക്കാദമിക് അവധി
शैक्षणिक पात्रता,വിദ്യാഭ്യാസ യോഗ്യത
शैक्षणिक नोंद,അക്കാദമിക് റെക്കോർഡ്
प्रवेश,നിര്വഹിക്കുക
स्वीकारा,അംഗീകരിക്കുക
स्वीकृती,കൈക്കൊള്ളല്
कार्यालय स्वीकारणे,ഓഫീസിന്റെ സ്വീകാര്യത
निविदा स्वीकारणे,ടെണ്ടർ സ്വീകാര്യത
प्रवेश,പ്രവേശനം
प्रवेश,അപേക്ഷ
Ory क्सेसरी,ഉപസാധനം
अपघात,ആകസ്മികത
सहनशीलता,ACCLIMATIES
निवास,സ്ഥലസൗകരം
सोबत,അനുഗമിച്ചു
करार,അക്കോര്
अनुयायी,അഭാവം
त्यानुसार,അക്കാരണത്താല്
खाते,കണക്ക്
उत्तरदायित्व,ഉത്തരവാദിത്തം
जबाबदार,ഉത്തരവാദിയായ
अकाउंटन्सी,അക്കൗണ്ടൻസി
अकाउंटंट,കണക്കെഴുത്തുകാരി
साठी खाते,അക്കൗണ്ട്
खाते डोके,അക്കൗണ്ട് തല
जमा लाभ,വർദ്ധിച്ച ആനുകൂല്യം
जमा पेन्शन,വർദ്ധിച്ച പെൻഷൻ
संचय,കൂന്വാരം
अचूकता,കൃതത
अचूक,സൂക്ഷ്മമായ
आरोप,ബോധിപ്പിക്കുന്ന
आरोपी,കുറ്റക്കാരന്
यश,നേട്ടം
पोचपावती,അംഗീകാരം
पावती देय,അംഗീകാരത്തിന്റെ
ओळखी,പരിചയം
संपादन,കൈവശപ്പെടുത്തൽ
शोध,കുറ്റപാട്വിൽപ്പന
कायदा,പവര്ത്തിക്കുക
अभिनय भत्ता,അഭിനയ അലവൻസ്
क्रिया,പവര്ത്തി
कृती योजना,പ്രവർത്തന പദ്ധതി
सक्रिय,സജീവമായ
सक्रियपणे,സജീവമായി
कार्यकर्ता,ചുറുചുറുക്കുള്ളവള്
देवाची करणी,ദൈവിക പ്രവൃത്തി
गैरवर्तन कायदा,ദുരാചാരത്തിന്റെ പ്രവർത്തനം
कमिशनचे कार्य आणि वगळणे,കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം
वास्तविक,യഥാര്ത്ഥത്തിലുള്ള
वास्तविक,വാസ്തവങ്ങൾ
रुपांतर,പൊരുത്തപ്പെടുത്തൽ
या व्यतिरिक्त,കൂട്ടല്
अतिरिक्त शुल्क,അധിക നിരക്ക്
अतिरिक्त निधी,അധിക ഫണ്ട്
अतिरिक्त अनुदान,അധിക ഗ്രാന്റ്
अतिरिक्त माहिती,അധിക വിവരം
अतिरिक्त वेतन,അധിക വേതനം
जोड आणि बदल,കൂട്ടിച്ചേർക്കലും മാറ്റവും
पत्ता,അഭിസംബോധന ചെയ്യുക
पत्ता,വിലാസശാല
स्वागताचा पत्ता,സ്വാഗത വിലാസം
पुरेसे,പരാപ്തമായ
चे पालन करा,ഇത് പാലിക്കുക
अ‍ॅड हॉक,ആഡ് ഹോക്ക്
तदर्थ दावा,AD HOC ക്ലെയിം
तदर्थ समिती,താൽക്കാലിക സമിതി
तदर्थ वाढ,താൽക്കാലിക വർദ്ധനവ്
तदर्थ देयक,പരസ്യ ഹോക് പേയ്മെന്റ്
