Bengali,English
আবেলিয়ান গ্রুপ,Abelian group
আবেলিয়ান সেমিগ্রুপ,abelian semigroup
abscissa,abscissa
পরম,absolute
পরম মিলন,absolute convergence
পরম ত্রুটি,absolute error
পরম সর্বোচ্চ,absolute maximum
পরম সর্বনিম্ন,absolute minimum
পরম মান,absolute value
পরম বেগ,absolute velocity
বিমূর্ত বীজগণিত,abstract algebra
বিমূর্ত গ্রুপ তত্ত্ব,abstract group theory
ত্বরণ,acceleration
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,acceleration due to gravity
গ্রহণযোগ্য পছন্দ সেট,acceptable choice set
গ্রহণযোগ্য মানের স্তর,acceptable quality level
গ্রহণযোগ্য পরিসীমা,acceptable range
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,acceptable reliability level
গ্রহণযোগ্য নমুনা,acceptable sampling
সঞ্চিত ত্রুটি,accumulated error
সঠিকতা,accuracy
অভিনয় শক্তি,acting force
কর্ম,action
কর্ম এবং প্রতিক্রিয়া,action and reaction
বাস্তব বিজ্ঞান,acturial science
তীব্র কোণযুক্ত ত্রিভুজ,acute angled triangle
অ্যাসাইক্লিক,acyclic
যোগ করুন,add
যোগকারী,adder
সংযোজন,addition
সংযোজন সূত্র,addition formula
জটিল সংখ্যার সংযোজন,addition of complex numbers
ফাংশন সংযোজন,addition of functions
ম্যাট্রিক্সের সংযোজন,addition of matrices
বহুপদ সংযোজন,addition of polynomials
সম্ভাবনার সংযোজন,addition of probabilities
ভেক্টর সংযোজন,addition of vectors
সংযোজন উপপাদ্য,addition theorem
সংযোজনকারী গ্রুপ,additive group
সংযোজন বিপরীত,additive inverse
সংযোজক সম্পত্তি,additive property
সংযোজন,additivity
অন্তিক ম্যাট্রিক্স,adjacency matrix
সংলগ্ন,adjacent
সন্নিহিত কোণ,adjacent angles
সংলগ্ন শীর্ষবিন্দু,adjacent vertex
সংলগ্ন,adjoin
সংলগ্ন,adjoining
সংলগ্ন নির্ধারক,adjoint determinant
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,adjoint differential equation
সংলগ্ন সমীকরণ,adjoint equation
সংলগ্ন ম্যাট্রিক্স,adjoint matrix
ম্যাট্রিক্সের সংলগ্ন,adjoint of matrix
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,adjugate matrix
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,admissible decision function
গ্রহণযোগ্য অনুমান,admissible hypothesis
এরোডাইনামিক বল,aerodynamic force
বায়ুগতিবিদ্যা,aerodynamics
affine জ্যামিতি,affine geometry
affine ম্যাপিং,affine mapping
affine রূপান্তর,affine transformation
একত্রিত ভেরিয়েবল,aggregating variables
বীজগণিত,algebra
বীজগণিতভাবে বন্ধ,algebraically closed
বীজগণিত সমীকরণ,algebraic equation
বীজগাণিতিক এক্সপ্রেশন,algebraic expression
বীজগাণিতিক ফর্ম,algebraic form
বীজগণিতীয় ফাংশন,algebraic function
বীজগণিত জ্যামিতি,algebraic geometry
বীজগণিতের বহুত্ব,algebraic multiplicity
বীজগণিত ব্যবস্থা,algebraic system
সমস্ত পূর্ণসংখ্যা সমস্যা,all-integer problem
বরাদ্দ সমস্যা,allocation problem
বর্ণানুক্রমিক স্বরলিপি,alphabetical notation
বর্ণানুক্রমিক অক্ষর,alphabetic character
বিকল্প কোণ,alternate angle
বিকল্প ফর্ম,alternating form
বিকল্প গোষ্ঠী,alternating group
বিকল্প ম্যাট্রিক্স,alternating matrix
বিকল্প সিরিজ,alternating series
বিকল্প অনুমান,alternative hypothesis
বিকল্প অপটিমা,alternative optima
বিকল্প ফলাফল,alternative outcome
এনালগ থেকে ডিজিটাল রূপান্তরকারী,analog-to-digital converter
অ্যানালগ কম্পিউটার,analogue computer
বিশ্লেষণ,analysis
সহভক্তির বিশ্লেষণ,analysis of covariance
গণনা তথ্য বিশ্লেষণ,analysis of enumeration data
বৈচিত্র্যের বিশ্লেষণ,analysis of variance
বিশ্লেষণাত্মক জ্যামিতি,analytic geometry
বিশ্লেষণমূলক ফাংশন,analytic function
কোণ,angle
যোগাযোগের কোণ,angle of contact
বিচ্যুতি কোণ,angle of deflection
বিষণ্নতা কোণ,angle of depression
বিচ্যুতি কোণ,angle of deviation
বিবর্তন কোণ,angle of diffraction
উচ্চতা কোণ,angle of elevation
ঘটনার কোণ,angle of incidence
অভিক্ষেপ কোণ,angle of projection
প্রতিফলন কোণ,angle of reflection
প্রতিসরণ কোণ,angle of refraction
ঘূর্ণন কোণ,angle of rotation
মোট প্রতিফলনের কোণ,angle of total reflection
কৌণিক ত্বরণ,angular acceleration
কৌণিক গতি,angular motion
কৌণিক গতি,angular speed
কৌণিক বেগ,angular velocity
অ্যানুলাস,annulus
উত্তর,answer
বিরোধী – ডেরিভেটিভ,anti – derivative
অপ্রতিসম ফাংশন,antisymmetric function
প্রযোজ্য,applicable
আবেদন,application
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,applied dynamic programming
প্রয়োগ করা জ্যামিতি,applied geometry
ফলিত গণিত,applied mathematics
ফলিত পরিসংখ্যান,applied statistics
আন্দাজ,approximately
প্রায় একটানা ফাংশন,approximately continuous function
আনুমানিক পদ্ধতি,approximate method
আনুমানিক সমাধান,approximate solution
আনুমানিক সমস্যা,approximation problem
আনুমানিক সম্পত্তি,approximation property
যোগ্যতা পরীক্ষার ব্যাটারি,aptitude test battery
Argand ডায়াগ্রাম,Argand diagram
নির্বিচারে নির্বাচিত,arbitrarily chosen
ইচ্ছামত,arbitrary
নির্বিচারে ধ্রুবক,arbitrary constant
নির্বিচারে উপাদান,arbitrary element
নির্বিচারে পয়েন্ট,arbitrary point
আর্কিমিডিয়ান আইন,Archemedean law
আর্কিমিডিসের নীতি,Archimedes principle
চাপ দৈর্ঘ্য,arc length
বৃত্তের চাপ,arc of circle
আর্ক সাইন ডিস্ট্রিবিউশন,arc sine distribution
চাপ সাইন রূপান্তর,arc sine transformation
এলাকা,area
আঞ্চলিক টেক্সচার,areal texture
জটিল সংখ্যার যুক্তি,argument of complex number
গাণিতিক গড়,arithmetic mean
গাণিতিক অপারেশন,arithmetic operation
পাটিগণিত একক,arithmetic unit
ব্যবস্থা,arrangement
অ্যারে,array
কৃত্রিম উপগ্রহ,artificial satellite
কৃত্রিম পরিবর্তনশীল,artificial variable
আরোহণ,ascend
আরোহী,ascending
মাত্রার আরোহী ক্রম,ascending order of magnitude
আরোহী সিরিজ,ascending series
সংযোজনকারী ভাষা,assembler language
নিয়োগ সমস্যা,assignment problem
সহযোগী আইন,associative law
অপারেটরদের সহযোগী আইন,associative law of operators
সহযোগী অপারেশন,associative operation
সহযোগীতা,associativity
ধরে নেওয়া গড়,assumed mean
অনুমান সম্ভাব্যতা বন্টন,assumed probability distribution
ধৃষ্টতা,assumption
জ্যোতিষশাস্ত্র,astrology
মহাকাশচারী প্রকৌশলী,astronautical engineer
জ্যোতির্বিজ্ঞানী,astronomer
জ্যোতির্বিদ্যা ঘড়ি,astronomical clock
জ্যোতির্বিদ্যা,astronomy
অপ্রতিসম বক্ররেখা,asymmetrical curve
অসমতা,asymmetry
উপসর্গ,asymptote
অ্যাসিম্পোটিক,asymptotic
লক্ষণগতভাবে দক্ষ অনুমানকারী,asymptotically efficient estimator
asymptotically নিরপেক্ষ অনুমানকারী,asymptotically unbiased estimator
অ্যাসিম্পোটিক আচরণ,asymptotic behavior
অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন,asymptotic distribution function
অ্যাসিম্পোটিক সম্প্রসারণ,asymptotic expansion
বায়ুমণ্ডলীয় চাপ,atmospheric pressure
এলোমেলোভাবে,at random
বৈশিষ্ট্য,attribute
