Tamil,Telugu
கைவிடப்பட்ட உறுப்பு,గర్భస్రావం చేసిన అవయవం
நிறுத்தப்பட்ட விதை,గర్భస్రావం చేసిన విత్తనం
கருக்கலைப்பு,గర్భస్రావం
முழுமையான களை,సంపూర్ణ కలుపు
உறிஞ்சப்பட்ட கேஷன்,గ్రహించిన కేషన్
உறிஞ்சுதல்,శోషణ
அபிசீனிய கடுகு,అబిస్సినియన్ ఆవాలు
அகரைடு,అకారిసైడ్
உச்சரிப்பு,యాక్సెంట్రిక్
உச்சநிலை (செல்),ఉచ్ఛారణ (సెల్)
ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை,అంగీకరించబడిన సహనం
துணை,అనుబంధ
பழக்கவழக்கமயமாக்கல்,అలవాటు
குவிப்பு,చేరడం
துல்லியம்,ఖచ్చితత్వం
அசெருலஸ்,అసర్వులస్
அசிடிபிகேஷன்,ఎసిటిఫికేషన్
அமிலமயமாக்கல்,ఆమ్లీకరణ
அமிலமீட்டர்,అసిడిమీటర్
அமிலத்தன்மை,ఆమ్లత్వం
அமிலத்தன்மை கொண்ட,అసిడోఫిలిక్
அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்,ఆమ్లీకృత రాక్ ఫాస్ఫేట్
அமிலத்தன்மை,యాసిడ్యూరిక్
நீர்வாழ்,జలాశయం
கையகப்படுத்தல்,సముపార్జన
ஏக்கர்,ఎకరాలు
ஏக்கர் தூரம்,ఎకరాల
அக்ரோசென்ட்ரிக் குரோமோசோம்,అక్రోసెంట్రిక్ క్రోమోజోమ్
அக்ரோபெட்டல்,అక్రోపెటల్
சக்ரோசோம்,అక్రోసోమ్
ஆக்டினோமைசீட்கள்,ఆక్టినోమైసెట్స్
செயலில் ரூட் மண்டலம்,యాక్టివ్ రూట్ జోన్
கடுமையான,తీవ్రమైన
தகவமைப்பு,అనుకూలత
தழுவல்,అనుసరణ
ஒட்டுதல்,సంశ్లేషణ
கொழுப்பு,కొవ్వు
சரிசெய்தல் சமன்பாடு,సర్దుబాటు సమీకరణం
அடோப் மண்,అడోబ్ నేల
கலப்படம்,కల్తీ
சாகச,సాహసోపేతమైనది
Aecidiospore,Aecidiospore
ஏலியன் செயல்முறை,అయోలియన్ ప్రక్రియ
ஏயோலியன்,అయోలియన్
காற்றோட்டம்,ఎఫరేట్
வான்வழி,ఆకాశయాన
ஏரோமானி,ఏరోమీటర్
ஏரோசோல்,ఏరోసోల్
அவதூறு,ఎస్టివేషన్
ஏட்டாலஜி (நோயியல்,పశ్చాత్తాప విజ్ఞానము
காடு வளர்ப்பு,అటవీ నిర్మూలన
கிளர்ச்சி,ఆందోళన
அக்மார்க்,అగ్మార్క్
விவசாய,వ్యవసాయం
வேளாண் மருத்துவமனை,వ్యవసాయ క్లినిక్
விவசாய உழைப்பு,వ్యవసాయ శ్రమ
விவசாய சந்தைப்படுத்தல்,వ్యవసాయ మార్కెటింగ్
விவசாய தொழில்நுட்பம்,వ్యవసాయ సాంకేతిక పరిజ్ఞానం
வேளாண்மை,వ్యవసాయం
வேளாண் வளர்ப்பை,అగ్రిసిల్వికల్చర్
வேளாண் பன்முகத்தன்மை,అగ్రోబియోడివైవర్సిటీ
வேளாண் வியாபார குறைபாடுகள்,అగ్రోబయోలాజికల్ లోపాలు
வேளாண்வியல்,అగ్రోబయాలజీ
வேளாண் பன்முகத்தன்மை,అగ్రోక్లిమాటిక్ వైవిధ్యం
வேளாண் மண்டல,అగ్రోక్లిమాటిక్ జోనింగ్
வளர்ப்பு,అగ్రోఫారెస్ట్రీ
விவசாயவியல்,వ్యవసాయ శాస్త్రం
வேளாண்,వ్యవసాయ శాస్త్రం
அக்ரோபாஸ்டோரல்,అగ్రోపాస్టోరల్
அக்ரோபிராசெசிங்,అగ్రోప్రాసెసింగ్
அக்ரோஸ்டாலஜி,అగ్రోస్టాలజీ
வேளாண் வகை,అగ్రోటైప్
விமான ஆலை,ఎయిర్ ప్లాంట్
அகியோச்சி மண்,అకియోచి నేల
ஆல்பினிசம்,అల్బినిజం
அல்பிசோல்ஸ்,ఆల్ఫిసోల్స్
பாசி,ఆల్గే
பாசி நோய்,ఆల్గల్ వ్యాధి
கார நீர்,క్షార నీరు
கார,ఆల్కలీన్
அல்லீல்,యుగ్మ వికల్పం
அல்லீல கெமிக்கல்ஸ்,అల్లెలోకెమికల్స్
அல்லீலோமார்ப்,అల్లెలోమోర్ఫ్
அலெலோபதி,అల్లెలోపతి
சந்து பயிர்,అల్లే క్రాపింగ్
ஒதுக்கீடு,కేటాయింపు
Allocamy,అయోగాగమి
அலோமெட்ரி,అలోమెట్రీ
அலோபோலிப்ளோயிட்,అల్లోపాలిప్లోయిడ్
அலோசினாப்சிஸ் (அலோசின்டெசிஸ்),(అలోసిన్సిస్ఐలు
மாற்று தாங்கி,ప్రత్యామ్నాయ బేరింగ్
மாற்று நில பயன்பாடு,ప్రత్యామ్నాయ భూ వినియోగం
சுற்றுப்புறம்,పరిసర
