Gujarati,Malayalam
એસી સમકક્ષ સર્કિટ,എ.സി തുല്യമായ സർക്യൂട്ട്
આંકડાકીય કન્વર્ટર માટે એનાલોગ,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
સંપૂર્ણ શૂન્ય,കേവല പൂജ്യം
શોષણ ગુણાંક,ആഗിരണം ഗുണകം
શોષણ સ્પેક્ટ્રમ,ആഗിരണം സ്പെക്ട്രം
રીસેપ્ટર અણુ,റിസപ്റ്റർ ആറ്റം
વૈકલ્પિક વર્તમાન જોડાણ,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
ઇલેક્ટ્રોન લણણી,ഇലക്ട്രോൺ വിളവെടുപ്പ്
છિદ્ર સંગ્રહ,ദ്വാര സംഭരണം
સક્રિયકરણ ઊર્જા,സജീവമാക്കൽ ഊർജ്ജം
સક્રિય એમ્પ્લીફાયર,സജീവ ആംപ്ലിഫയർ
સક્રિય ડાયોડ સર્કિટ,സജീവ ഡയോഡ് സർക്യൂട്ട്
સક્રિય ફિલ્ટર,സജീവ ഫിൽട്ടർ
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
સક્રિય લોડ,സജീവ ലോഡ്
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
સક્રિય વિસ્તાર,സജീവമായ പ്രദേശം
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
ઉમેરનાર,ചേർക്കുന്നയാൾ
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
પ્રવેશ,നുഴഞ്ഞുകയറ്റം
એરિયલ,ഏരിയൽ
pep આવર્તન,പെപ് ആവൃത്തി
એર કન્ડીશનર,എയർ കണ്ടീഷണർ
ગોઠવણી,വിന്യാസം
અલ્ગોરિધમ,അൽഗോരിതം
બધા પાસ ફિલ્ટર,എല്ലാ പാസ് ഫിൽട്ടറും
એલોય જંકશન,അലോയ് ജംഗ്ഷൻ
એટેન્યુએશન,ശോഷണം
વૈકલ્પિક પ્રવાહ,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
આસપાસનું તાપમાન,അന്തരീക്ഷ ഊഷ്മാവ്
દ્વિધ્રુવી,ബൈപോളാർ
એમ્પ્લીફિકેશન,ആംപ്ലിഫിക്കേഷൻ
એમ્પ્લીફાયર,ആംപ്ലിഫയർ
એમ્પ્લીફાયર કાર્યક્ષમતા,ആംപ്ലിഫയർ കാര്യക്ഷമത
પરિમાણો,അളവുകൾ
કંપનવિસ્તાર એટેન્યુએશન,ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ
કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ
કંપનવિસ્તાર મોડ્યુલેશન,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ
કંપનવિસ્તાર મોડ્યુલેટર,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ
એંગસ્ટ્રોમ એકમ,angstrom യൂണിറ്റ്
એનાલોગ સર્કિટ,അനലോഗ് സർക്യൂട്ട്
એનાલોગ કમ્પ્યુટર,അനലോഗ് കമ്പ്യൂട്ടർ
એનાલોગ ફિલ્ટર,അനലോഗ് ഫിൽട്ടർ
એનાલોગ મલ્ટિમીટર,അനലോഗ് മൾട്ടിമീറ്റർ
એનાલોગ સ્વીચ,അനലോഗ് സ്വിച്ച്
અને દરવાજો,ഒപ്പം ഗേറ്റും
કોણીય આવર્તન,കോണീയ ആവൃത്തി
"anion, anion","അയോൺ, അയോൺ"
એનિલિંગ તાપમાન,അനീലിംഗ് താപനില
એનોડ,ആനോഡ്
એનોડ એમ્પ્લીફાયર,ആനോഡ് ആംപ്ലിഫയർ
anodyne,അനോഡൈൻ
એન્ટેના,ആന്റിന
એન્ટેના ઘટક,ആന്റിന ഘടകം
વિરોધી પ્રતિબિંબીત કોટિંગ,ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്
એન્ટિલોગિન એમ્પ્લીફાયર,ആന്റിലോഗിൻ ആംപ്ലിഫയർ
પ્રતિરોધક સર્કિટ,antiresonant സർക്യൂട്ട്
દ્વારક સમયગાળો,ദ്വാരക കാലഘട്ടം
વર્ચ્યુઅલ પાવર,വെർച്വൽ പവർ
વાયર કનેક્શન,വയർ കണക്ഷൻ
અંદાજિત વોલ્ટેજ ગેઇન,ഏകദേശ വോൾട്ടേജ് നേട്ടം
આર્મસ્ટ્રોંગ મોડ્યુલેટર,ആംസ്ട്രോങ് മോഡുലേറ്റർ
એન્ટેના એરે,ആന്റിന അറേ
"કદ ગુણોત્તર, પાસા ગુણોત્તર","വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം"
ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ),ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്)
સ્વચાલિત મલ્ટિવાઇબ્રેટર,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
ફ્લોટિંગ મલ્ટિવાઇબ્રેટર,ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ
અસમપ્રમાણ જંકશન,അസമമായ ജംഗ്ഷൻ
અસુમેળ કેલ્ક્યુલેટર,അസിൻക്രണസ് കാൽക്കുലേറ്റർ
પરમાણુ,ആണവ
અણુ સંખ્યા,ആറ്റോമിക നമ്പർ
અણુ માળખું,ആറ്റോമിക് ഘടന
ઓડિયો એમ્પ્લીફાયર,ഓഡിയോ ആംപ്ലിഫയർ
ઓડિયો એમ્પ્લીફાયર,ഓഡിയോ ആംപ്ലിഫയർ
ઓડિયો કેસેટ,ഓഡിയോ കാസറ്റ്
ઓડિયો સર્કિટ,ഓഡിയോ സർക്യൂട്ട്
સાંભળી શકાય તેવી આવર્તન,കേൾക്കാവുന്ന ആവൃത്തി
આપોઆપ વોલ્ટેજ નિયંત્રણ,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം
હિમપ્રપાત,ഹിമപാതം
સરેરાશ ડિટેક્ટર,ശരാശരി ഡിറ്റക്ടർ
અક્ષીય મોડ,അക്ഷീയ മോഡ്
અક્ષીય ગુણોત્તર,അക്ഷീയ അനുപാതം
એન્ટેના,ആന്റിന
પાછળનું ઇલેક્ટ્રોમોટિવ બળ,ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്
પાછળનો વિસ્તાર,പിൻ പ്രദേശം
પાછા સ્કેટર,തിരികെ ചിതറിക്കിടക്കുക
પૃષ્ઠભૂમિ ચાર્જ,പശ്ചാത്തല ചാർജ്
બાજુનો અવાજ,സൈഡ് ശബ്ദം
પ્રત્યાગમન,പിന്നോക്കാവസ്ഥ
પશ્ચાદવર્તી ઇરેડિયેશન,പിൻഭാഗത്തെ വികിരണം
બેકવર્ડ ડાયોડ / બેકવર્ડ ડાયોડ,ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്
બેકવર્ડ વેવ ઓસિલેટર,ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ
"અવરોધ, અવરોધ","തടസ്സം, തടസ്സം"
અવરોધ,തടസ്സം
સંતુલિત પુલ,സമതുലിതമായ പാലം
