Gujarati,Telugu
મહારમાન સપાટી,అబాక్సియల్ ఉపరితలం
પેટ,ఉదరం
પેટનો એરોર્ટા,ఉదర బృహద్ధమని
આધાર ગેંગલિયા,ఉదర గాంగ్లియా
Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ,అబెల్మోస్చస్ ఎస్కులెంటస్
વિપુલતા,అబెర్రేషన్
નાજુક,అబీస్
એબિંગ્ડન કાચબો,అబింగ్డన్ తాబేలు
સ્વત્વાર્પણ,అబియోజెనిసిస్
અહંકારી,అబియోటిక్
અભણ પરિબળ,అబియోటిక్ కారకం
અસામાન્ય પેશાબ,అసాధారణ మూత్రం
એબીઓ રક્ત જૂથ,అబో బ్లడ్ గ్రూప్
સદસ્યાટ,అబ్సిసిక్ ఆమ్లం
વિકલાંગતા,అబ్సిసిషన్
શોષવું,గ్రహించండి
શોષણ ટોચ,శోషణ శిఖరం
સમાવેશ,శోషణ
બાવળ,అకాసియా కాటెచు
એકરિયા અરબીકા,అకారియా అరబికా
એકર,అకాప్రిన్
સ્વીકાર્ય જાતીય વર્તન,ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన
સહાયક ગ્રંથિ,అనుబంధ గ్రంథి
સહાયક ગ્રંથિ,అనుబంధ గ్రంథి
સહાયક અંગ,అనుబంధ అవయవం
સ્વાર્થીકરણ,అలవాటు
મામૂલી કરવું,అలవాటు
આવાસ (ધ્યાન કેન્દ્રિત),వసతి
આંખનું સ્થાન,కంటి వసతి
પરિધિ,అక్రెషన్ పెరుగుదల
સંચય,చేరడం
કાર્બનિક પદાર્થનું સંચય,సేంద్రీయ పదార్థాలు చేరడం
જમીનનો સંચય,నేల చేరడం
મધ્યમ,ఎసిల్యులర్
મધ્ય જીવ,ఎసెల్యులర్ జీవి
અકારો,ఎసిటాబులం
Ecetaldehyde,ఎసిటాల్డిహైడ్
એસીટીલ કોએન્ઝાઇમ,ఎసిటైల్ కోఎంజైమ్
એકલતા,అచతినా
અચેન પ્રકાર,అచెనే రకం
અહંકાર,అచెన్
આચ્છાદન,అచ్లామిడోస్పోరే
એસિડ વરસાદ,ఆమ్ల వర్షము
અમ્દિન,ఆమ్ల
અમ્બલિક ગેસ,ఆమ్ల వాయువు
અમલ્ય,ఆమ్లత్వం
કોતરણીનો કોષ,అసినార్ సెల్
Acાંકણ,Acoelomate
એક જાતની કળા,అకోనిటమ్
એકોખી,ఎకార్న్ పురుగు
ધ્વનિ ક્ષેત્ર,ఎకౌస్టిక్ జోనింగ్
પ્રાપ્ત કરેલું પાત્ર,సంపాదించిన పాత్ర
હસ્તગત પ્રતિરક્ષા,రోగనిరోధక శక్తిని సంపాదించింది
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),ఇమ్యునో లోపం (AIDS)
ક્રોધાવેશ,అక్రినియా
એસિડાઇન રંગ,యాక్రిడిన్ డై
અતિશય,అక్రోసెంట్రిక్
કરચલી,అక్రోమియన్
સર્કરો,అక్రోపెటల్ సీక్వెన్స్
સરકરાનો હુકમ,అక్రోపెటల్ ఆర్డర్
ગળાશ,అక్రోసిన్
કાર્ય,ఆక్టిన్
કૃત્ય,ఆక్టిన్ లాంటి ప్రోటీన్
અભિપ્રાયનું,ఆక్టినోమోర్ఫిక్
કૃત્ય,ఆక్టినోమైసెట్స్
કાર્ય માટેની ક્ષમતા,చర్య సామర్థ్యం
સક્રિય કાદવ,సక్రియం చేయబడిన బురద
સક્રિય કાદવ ફ્લોક,సక్రియం చేయబడిన బురద ఫ్లోక్
સક્રિય energyર્જા,యాక్టివేషన్ ఎనర్జీ
સક્રિય શોષણ,క్రియాశీల శోషణ
સક્રિય પ્રતિરક્ષા,క్రియాశీల రోగనిరోధక శక్తి
સક્રિય કિરણોત્સર્ગ,క్రియాశీల రేడియేషన్
સક્રિય સ્થળ,క్రియాశీల సైట్
સક્રિય,యాక్టివిన్
અણીદાર,అక్యూమినేట్
એડ્મસિયા,ఆడమియా
અનુકૂલનક્ષમતા,అనుకూలత
અનુકૂલન,అనుసరణ
પ્રકાશ શાસન માટે અનુકૂલન,కాంతి పాలనకు అనుసరణ
પાણીની અછતને અનુકૂલન,నీటి కొరతకు అనుసరణ
અનુકૂલનશીલ લાક્ષણિકતાઓ,అనుకూల లక్షణాలు
અનુકૂલનશીલ પ્રતિરક્ષા,అనుకూల రోగనిరోధక శక్తి
અનુકૂલનશીલ કિરણોત્સર્ગ,అడాప్టివ్ రేడియేషన్
અનુકૂલન લક્ષણ,అనుకూల లక్షణం
ઉપદેશક,అడాక్సియల్ ఉపరితలం
વ્યસનકારક વિકાર,వ్యసనపరుడైన రుగ్మత
એક જાતની adાળ,అడెనిన్
એડોનોકોર્ટિકોટ્રોપિન,అడెనోకార్టికోట్రోపిన్
એનોહિપોફિસીસ,అడెనోహైపోఫిసిస్
એડેનોસિન ડિફોસ્ફેટ,అడెనోసిన్ డిఫాస్ఫేట్
એમેનોસિન,అడెనోసిన్ డీమినేస్
એનોસિન મોનોફોસ્ફેટ,అడెనోసిన్ మోనోఫాస్ఫేట్
એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી),గ్రంధి ముడతలు
સાયક્લેઝ,అడెనిలేట్ సైక్లేస్
ચપળ બળ,అంటుకునే శక్తి
શણગારવું,అడిపేట్
એડિપોસાઇટ (ચરબી કોષ),కొవ్వు పెండినవి
ચરબી પેશી,కొవ్వు కణజాలము
Nતરતું,Adnate
સંલગ્ન સમુદાય,ప్రక్కనే ఉన్న సంఘం
વ્યવહાસી,అడ్రినల్
એડ્રીનલ ગ્રંથિ,అడ్రినల్ గ్రంథి
એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ),ఎడ్రినల్ గ్రంథి
એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ),ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్
શોષક,Adsorbent
શોષક,శోషణ
અદ્યતન તાર,అధునాతన కార్డేట్
ફાયદાકારક પરિવર્તન,ప్రయోజనకరమైన మ్యుటేషన్
સાહસિક,అడ్వెసిషియల్
અગમ્ય મૂળ,సాహసోపేతమైన రూట్
પ્રતિકૂળ અસર,ప్రతికూల ప్రభావం
એડીસ,AEDES
સંસ્કૃતિનો વાયુ,సంస్కృతి వాయువు
વિમાન,ఏరెన్చైమా
હવાઈ,ఆకాశయాన
હવાઈ ​​મૂળ,వైమానిక రూట్
હવાઈ ​​ગોળી,వైమానిక షూట్
વાયુગામી શ્વસન,ఏరోబిక్ శ్వాసక్రియ
વાયુગામી શ્વસન,ఏరోబిక్ శ్వాసక్రియ
સૌંદર્ય શાસ્ત્ર,సౌందర్యం
નિલાસ્ય,ఎస్టివేషన్
નિલાસ્ય,ఎస్టివేషన్
સંલગ્ન,అనుబంధ
લગાવ રંગ,అనుబంధ క్రోమాటోగ్రఫీ
પીડિત અંગ,బాధిత అవయవం
વનીકરણ,అటవీ నిర్మూలన
અકસ્માત,అగామోస్పెర్మీ
પાટિયું,అగర్
અણીદાર,అగరోస్
એલોઝ જેલ એલેટ્રોફોરેસિસ,అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్
પિલર જેલ,అగరోస్ పాలిమర్ జెల్
અવસ્થામાં,అగాస్ట్
ખાડી,కిత్తలి
વય વહેંચણી,వయస్సు పంపిణీ
વય પિરામિડ,వయస్సు పిరమిడ్
Agલટ,సంకలనం
સમૂહ,మొత్తం
એકંદર,ఫోలికల్ యొక్క మొత్తం
એકંદર,ఫోలికల్ యొక్క మొత్తం
એકંદર,సమూహనం
આક્રમકતા,దూకుడు
આંદોલનકારી પદ્ધતિ,ఆందోళన వ్యవస్థ
એકરાગ,అగ్నాథ
અણી,అగౌటి
અગ્રાણ ક્લોરોપ્લાસ્ટ,అగ్రనాల్ క్లోరోప్లాస్ట్
એકરારવાળું,అగ్రన్యులర్
એગ્રાન્યુલોસાઇટ,అగ్రనులోసైట్
કૃષિ,వ్యవసాయం
કૃષિ -પ્રવેશ,అగ్రోఫారెస్ట్రీ
મધ્યસ્થી,అగ్రోబాక్టీరియం మధ్యవర్తిత్వం
એગ્રોબેક્ટેરિયમ ટ્યુમેફેસિઅન્સ,అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్
કૃષિ -તકનીકી,వ్యవసాయ రసాయన
કૃષિ -તકનીકી,వ్యవసాయ రసాయన
કૃષિ -ક્ષેત્ર,అగ్రోక్లిమాటిక్ జోన్
કૃષિવિજ્ trાન,వ్యవసాయ లక్షణం
કૃષિવિજ્yાન,వ్యవసాయ శాస్త్రం
સહાય,ఎయిడ్స్
હવાઈ ​​મૂત્રાશય,గాలి మూత్రాశయం
હવાઈ ​​કન્ડિશનર,వాతానుకూలీన యంత్రము
હવાઈ ​​માર્ગ,గాలి మార్గం
હવા પ્રદૂષણ,వాయుకాలుష్యం
હવાઈ ​​કોથળી,ఎయిర్ శాక్
હવાઈપૂટી,ఎయిర్ వాక్యూల్
હવાઈ ​​શ્વાસ,గాలి-శ్వాస
અણીદાર,అలైన్
અણીદાર સ્નાયુ,అలారి కండరం
અલાસ્કા બ્રાઉન રીંછ,అలాస్కాన్ బ్రౌన్ బేర్
કોયડો,అల్బినో
કાંચક,అల్బుగో
આલ્બ્યુબિન,అల్బుమిన్
શામક બીજ,అల్బుమినస్ సీడ్
આલ્બમિન્યુરિયા,అల్బుమినూరియా
આવરણ,అల్బర్నమ్
અણી,ఆల్కే
શણગાર,ఆల్డెహీడ్
મિથોસ્ટેરોન,ఆల్డోస్టెరాన్ వ్యవస్థ
અલડોસ્ટેરા,ఆల్డోస్టెరాన్
Alલ્યુરોન સ્તર,అల్యూరోన్ పొర
એક જાતનો અવાજ,అల్యూరోప్లాస్ట్
એક જાતની કળા,అల్ఫాల్ఫా
એલ્ગલ મોર,ఆల్గల్ బ్లూమ్
જાસૂસ,అల్జీన్
પરાયું ડીએનએ,గ్రహాంతర DNA
પરિયન જાતિઓ,గ్రహాంతర జాతులు
ગોઠવણી,అమరిక
ગોઠવણી,అమరిక
ઉદાર નહેર,అలిమెంటరీ కెనాల్
અંતરીલ પદ્ધતિ,అలిమెంటరీ సిస్టమ్
અણી,అలిస్మాసిస్
ક્ષુદ્ર,ఆల్కలాయిడ్
ક્ષુદ્ર,ఆల్కలీన్
આલ્કીપ્ટોન્યુરિયા,అల్కాప్టోటోరియా
અણી,అల్లాంటోయిస్
એલીલ આવર્તન,యుగ్మ వికల్ప ఫ్రీక్వెన్సీ
એલીલ,యుగ్మ వికల్పం
એલેલોમોર્ફિક જોડી,అల్లెలోమోర్ఫిక్ జత
એલર્જન,అలెర్జీ
મગર,ఎలిగేటర్
એલીયમ સી.પી.ઇ.પી.એ.,అల్లియం సెపా
સહ -સંબંધ,అయోగాగమి
અલગ,అల్లోగ్రాఫ్ట్
એલોપેટ્રિક સ્પષ્ટીકરણ,అల్లోపాట్రిక్ స్పెసియేషన్
ફિલોપ્લોઇડ,అల్లోపాలిప్లోయిడ్
એલોસ્ટીક અસર,అలోస్టెరిక్ ప్రభావం
એલોસ્ટીક ઉત્સુક,అలోస్టెరిక్ ఎంజైమ్
એલોસ્ટીક અવરોધક,అలోస్టెరిక్ ఇన్హిబిటర్
ખેલ -મોડ્યુલેશન,అలోస్టెరిక్ మాడ్యులేషన్
એલોસ્ટીક સ્થળ,అలోస్టెరిక్ సైట్
એલોસ્ટીક અવરોધ,అలోస్టెరిక్ నిరోధం
એલોટેટ્રાપ્લોઇડ,అలోటెట్రాప్లాయిడ్
કૃતિ,ఆల్నస్
કુંવાર,కలబంద
ચેતાક્ષની સાથે,ఆక్సాన్ వెంట
આલ્ફા-એન્ટાઇટ્રિપ્સિન,ఆల్ఫా-యాంటిట్రిప్సిన్
અણી,ఆల్ఫా-లాక్టల్బ్యూమిన్
આધ્યાત્મિક આબોહવાની સ્થિતિ,ఆల్పైన్ వాతావరణ పరిస్థితి
ઘાસચારો,ఆల్పైన్ మేడో
આલ્પાઈન ઝોન,ఆల్పైన్ జోన్
અલ્ટોનીયા,ఆల్స్టోనియా
અનાદર,ఆల్టర్నేరియా
વૈભવી,ప్రత్యామ్నాయ
એકાંત,తరం యొక్క ప్రత్యామ్నాయం
Altણ માંદગી,ఎత్తు రుగ్మత
Altંચાઈ,ఎత్తు
મૂર્ત નળી,అల్వియోలార్ డక్ట్
પહાડી,అలిట్స్
અલ્ઝાઇમર રોગ,అల్జీమర్స్ వ్యాధి
આદિક કોષ,అమాక్రిన్ సెల్
અમરાન્થેસી,అమరాంతేసి
અમરાન્થસ,అమరాంథస్
આસપાસના ઓસ્મોટિક એકાગ્રતા,పరిసర ఓస్మోటిక్ గా ration త
મંગળિયા,అంబిస్టోమా
કાર્યરત થવું,అమైడ్
એમિનો એસિડ,అమైనో ఆమ్లం
