Marathi,Punjabi
अबेलियन गट,ਅਬੇਲੀਅਨ ਸਮੂਹ
अबेलियन अर्धसमूह,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
abscissa,abscissa
निरपेक्ष,ਅਸੀਮ
परिपूर्ण अभिसरण,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
पूर्ण त्रुटी,ਪੂਰਨ ਗਲਤੀ
परिपूर्ण कमाल,ਪੂਰਨ ਅਧਿਕਤਮ
परिपूर्ण किमान,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
परिपूर्ण मूल्य,ਸਹੀ ਮੁੱਲ
परिपूर्ण वेग,ਪੂਰਨ ਗਤੀ
अमूर्त बीजगणित,ਸਾਰ ਅਲਜਬਰਾ
अमूर्त गट सिद्धांत,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
प्रवेग,ਪ੍ਰਵੇਗ
गुरुत्वाकर्षणामुळे प्रवेग,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
स्वीकार्य निवड संच,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
स्वीकार्य गुणवत्ता पातळी,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
स्वीकार्य श्रेणी,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
स्वीकार्य विश्वसनीयता पातळी,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
स्वीकार्य नमुना,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
संचित त्रुटी,ਸੰਚਿਤ ਗਲਤੀ
अचूकता,ਸ਼ੁੱਧਤਾ
अभिनय शक्ती,ਐਕਟਿੰਗ ਫੋਰਸ
क्रिया,ਕਾਰਵਾਈ
क्रिया आणि प्रतिक्रिया,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
वास्तविक विज्ञान,ਅਸਲ ਵਿਗਿਆਨ
तीव्र कोन त्रिकोण,ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
अॅसायक्लिक,acyclic
जोडा,ਸ਼ਾਮਲ ਕਰੋ
जोडणारा,ਜੋੜਨ ਵਾਲਾ
या व्यतिरिक्त,ਇਸ ਤੋਂ ਇਲਾਵਾ
जोड सूत्र,ਜੋੜ ਫਾਰਮੂਲਾ
जटिल संख्यांची बेरीज,ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
कार्ये जोडणे,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
मॅट्रिक्स जोडणे,ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ
बहुपदी जोडणे,ਬਹੁਪਦ ਦਾ ਜੋੜ
