Assamese,Hindi
এচিড’ইড,एसीडायड
ইঅ’লিয়ান মাটি,जलोढ़ मृदा
গোট খোৱা,समुच्चय
সংগ্ৰহ,समुच्चयन
কৃষি বিজ্ঞান,सस्य मृदा विज्ञान
কৃষি বিজ্ঞান,सस्य विज्ञान
এ-দিগন্ত,"A-संस्तर, A-होराइजन"
আও-দিগন্ত,Ao-संस्तर/Ao-होराइजन
আও-দিগন্ত,Aoo-संस्तर/होराइजन
মাটিৰ বায়ু ক্ষমতা,मृदा की वायु धारिता
মাটিৰ বায়ুৰ পৰিমাণ,मृदा का वायु अंग
এয়াৰ পিকনোমিটাৰ,वायु पिक्नोमीटर
এলিটিক মাটি,एलीटिक मृदा
জলজ মাটি,जलोढ़ मृदा
এম্ফোলাইট’ইড,एम्फोलीटायड
এনিয়ন,ऋणायन
"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
আৰিছ,कोर
আছলাৰ মিহি শিলৰ কাম,बारीक वराश्म चिनाई
আছলাৰ শিলৰ কাম,वराश्म चिनाई
এজ’নেল মাটি,अस्तरीय मृदा/अक्षेत्रीय मृदा
পিঠিৰ অভিনেতা,कर्ष खनित्र
পিছফালৰ খোলা,पश्च डाट
বেক বেণ্ড,पश्च पट्ट
পিছফালৰ ব্ৰাছ,उपटा प्रलेप
বেক চেক,पश्च रोधक
বেক কাউণ্টাৰ,पश्च पटल
পিঠি কাটি থকা,पश्च कर्तन
বেক ড্ৰাফ্ট ডেম্পাৰ,उपटा झोंका अवमंदक
বেক ড্ৰেইন,पश्च नली
বেক ড্ৰপ,पश्च पट
বেক ফিল,पृष्ठ भरण
পিছফালৰ ফিলেট,पश्च पट्टिका
বেক ফ্লেপ হিঞ্জ,पृष्ठ पल्ला कब्जा
বেক ফ্ল&#39; সংযোগ,प्रतीप प्रवाह संयोजन
বেক ফ্ল’ প্ৰিভেণ্টাৰ,प्रतीप प्रवाह निरोधक
বেক গেজ,पश्चांतर
পিছফালৰ নালা,पश्च नली
পিছফালৰ অগ্নিকুণ্ড,अग्निस्थान पृष्ठ
বেকিং,पीठ/पृष्ठ भाग
বেকিং বৰ্ড,पिछला तख्ता
পিঠিৰ চাপ,पश्च दाब
বেক প্ৰপ,पश्च टेक
পিছফালৰ দৃষ্টি,पश्चावलोकन
পিছফালৰ পানী,पश्चजल
বেফেল,व्यारोध
বেগৱৰ্ক,थैला पुशताबंदो
বেলেষ্ট,गिट्टी
বল মাটি,बॉल मृत्तिका
বল কন ক্লেম্প,बॉल शंकुआकार शिकंजा
কাঁইটীয়া তাঁৰ,काँटेदार तार
বাৰ কুকুৰ,छड़ कुत्ता
বাৰ্জ বৰ্ড,त्रयंकी पार्श्व फलक
বেৰিয়াম ছালফেট পৰীক্ষা,बेरियम सल्फेट परीक्षण
বেৰেজ,बैराज
বেৰেট,बरेट
ভেঁটি,क्षार
ভিত্তি বিনিময়,बेस विनिमय
ভিত্তি লাইন,आधार रेखा
বেছমেণ্ট,तहखाना/अधोभवन
বেছমেণ্টৰ দেৱাল,अधोगृह भित्ति
বেচ প্লেট,आधार पट्टिका
"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য",समायोज्य आधार पट्टिका
ভিত্তি পৰিপূৰকতা,क्षार संतृप्ति
বেছ’ইড,बेसाइड
বেট,रोड़ा
বাথ আৰু ডব্লিউ চি,स्नानागर व शौच कुण्ड
বেটাৰ পেগ,सलामी खूँटी
বেটাৰ ঘাট,सलामी पाया
বেটাৰৰ নিয়ম,सलामी नियम
Baulk (বালক),बॉक
উপসাগৰ,खंडक
বাহক,धारक
বহন ক্ষমতা,धारण क्षमता
বেয়াৰিং পাইল,धारक पाइल
বহন স্তৰ,धारक स्तर
বিছনা,आधार तल
বিচনাৰ বিমান,संस्तरण तल
বিচনাৰ সংযোগ,पड़ी दरज
বিচনাৰ শিল,अश्माधार
শোৱনি কোঠা,शयन कक्ष
মৌমাখিৰ মোম,मधुमोम
বেল বাকচ,बैल बॉक्स
বেলিং বাল্টি,बैलिंग बकेट
বেলোফ্ৰেম,बैलोफ्राम
বেঞ্চযুক্ত ভেটি,पैड़ीदार नींव
বেঞ্চিং কৰা,पैड़ी बनाना
বেঞ্চ মাৰ্ক,निदेश तलचिह्न
লাভৰ খৰচ বিশ্লেষণ,हितलाभ लागत विश्लेषण
বাৰ্ম,उपतट
বেভেলড বন্ধ,ढालू डेली
"খ-দিগন্ত,&quot;খ-",संस्तर/B-होराइजन
বিয়াত,बीएट
বাইণ্ডাৰ,बंधक
বান্ধি ৰখা সামগ্ৰী,बंधक पदार्थ
বায়টৰ তত্ত্ব,बायोट का सिद्धांत
বিটুমিন,बीटूमन
ক’লা কপাহী মাটি,काली मृदा
ক&#39;লা পৃথিৱী,काली मिट्टी
ক’লা টাৰ্ফ মাটি,काली शाब्दल मृदा
ব্লেড,फलक
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,वात्या भट्टी धातुमल सीमेंट
ব্লকযুক্ত গঠন,खंडीय संरचना
বগী প্ৰতিৰোধ,बोगी संचलन प्रतिरोध
বোগ-লোহাৰ অক্সাইড,दलदल लोह खनित्र
বান্ধোন,चाल (चिनाई की)
বণ্ডেড সদস্য,बद्ध अवयव
বণ্ডেড পোষ্ট টেনচিং,बद्ध प्रत्ययित तनन
বণ্ড ষ্টোন,बंधक पत्थर
বান্ধি থোৱা পানী,बद्ध जल
