Hindi,Tamil
ए.सी. समतुल्य परिपथ,ஏசி சமமான சுற்று
अनुरूप से अंकीय परिवर्तक,எண் மாற்றிக்கு ஒப்புமை
परम शून्य,முழுமையான பூஜ்ஜியம்
अवशोषण गुणांक,உறிஞ்சுதல் குணகம்
अवशोषण स्पेक्ट्रम,உறிஞ்சுதல் நிறமாலை
ग्राही परमाणु,ஏற்பி அணு
प्रत्यावर्ती धारा युग्मन,மாற்று மின்னோட்ட இணைப்பு
इलेक्ट्रॉन संचयन,எலக்ட்ரான் அறுவடை
होल संचयन,துளை சேமிப்பு
सक्रियण ऊर्जा,செயல்படுத்தும் ஆற்றல்
सक्रिय प्रवर्धक,செயலில் பெருக்கி
सक्रिय डायोड परिपथ,செயலில் உள்ள டையோடு சுற்று
सक्रिय फिल्टर,செயலில் வடிகட்டி
सक्रिय उच्च आवृत्ति पारक फिल्टर,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
सक्रिय लोड,செயலில் சுமை
सक्रिय निमन आवृत्ति पारक फिल्टर,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
सक्रिय क्षेत्र,செயலில் உள்ள பகுதி
अनुकूली इलेक्ट्रॉनिकी,தகவமைப்பு மின்னணுவியல்
योजक,சேர்ப்பான்
समायोजी बैंड विस्तार,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
प्रवेश्यता,ஊடுருவல்
एरियल,ஏரியல்
स्फूर्ति आवृत्ति,பெப் அதிர்வெண்
वातानुकूलक,காற்றுச்சீரமைப்பி
संरेखन,சீரமைப்பு
आल्गोरिदम,அல்காரிதம்
समस्त पारक फिल्टर,அனைத்து பாஸ் வடிகட்டி
मिश्रधातु संधि,அலாய் சந்திப்பு
क्षीणन,தணிவு
प्रत्यावर्ती धारा,மாறுதிசை மின்னோட்டம்
परिवेश ताप,சுற்றுப்புற வெப்பநிலை
उभयध्रुवीय,இருமுனை
प्रवर्धन,பெருக்கம்
प्रवर्धक,பெருக்கி
प्रवर्धक दक्षता,பெருக்கி செயல்திறன்
आयाम,பரிமாணங்கள்
आयाम क्षीणन,வீச்சு குறைதல்
आयाम मॉडुलित ए.एम. दोलित्र,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
आयाम मॉडुलन,வீச்சு பண்பேற்றம்
आयाम मॉडुलक,வீச்சு மாடுலேட்டர்
एंगस्ट्रॉम इकाई,angstrom அலகு
अनुरूप परिपथ,அனலாக் சுற்று
अनुरूप कंप्यूटर,அனலாக் கணினி
अनुरूप फिल्टर,அனலாக் வடிகட்டி
अनुरूप बहुमापी,அனலாக் மல்டிமீட்டர்
अनुरूप स्विच,அனலாக் சுவிட்ச்
AND गेट,மற்றும் வாயில்
कोणीय आवृत्ति,கோண அதிர்வெண்
"ऋणायन, एनॉयन","அயனி, அயனி"
अनीलन तापमान,அனீலிங் வெப்பநிலை
ऐनोड,நேர்மின்முனை
ऐनोड प्रवर्धक,அனோட் பெருக்கி
ऐनोडी करण,அனோடைன்
ऐन्टेना,ஆண்டெனா
ऐन्टेना घटक,ஆண்டெனா கூறு
परावर्तन रोधी लेपन,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
प्रतिलघुगुणक प्रवर्धक,ஆன்டிலோகின் பெருக்கி
प्रतिअनुनादी परिपथ,எதிரொலி சுற்று
द्वारक काल,துவாரகர் காலம்
आभासीय शक्ति,மெய்நிகர் சக்தி
तार संयोजन,கம்பி இணைப்பு
सन्निकट वोल्टता लब्धि,தோராயமான மின்னழுத்த ஆதாயம்
आर्मस्ट्रांग माडुलक,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
ऐन्टेना-व्यूह,ஆண்டெனா வரிசை
"आकार अनुपात, अभिमुखता अनुपात","அளவு விகிதம், தோற்ற விகிதம்"
अस्थायी परिपथ (मुक्तचालित परिपथ),மிதக்கும் சுற்று (இலவச இயக்க சுற்று)
स्वचालित बहुकंपित्र,தானியங்கி மல்டிவிபிரேட்டர்
अस्थायी बहुकंपित्र,மிதக்கும் மல்டிவிபிரேட்டர்
असममित संधि,சமச்சீரற்ற சந்திப்பு
अतुल्यकाली गणक,ஒத்திசைவற்ற கால்குலேட்டர்
परमाणु,அணுக்கரு
परमाणु संख्या,அணு எண்
परमाणु संरचना,அணு அமைப்பு
श्रव्य प्रवर्धक,ஒலி பெருக்கி
श्रव्य प्रवर्धक,ஒலி பெருக்கி
श्रव्य कैसेट,ஆடியோ கேசட்
श्रव्य परिपथ,ஒலி சுற்று
श्रव्य आवृत्ति,கேட்கக்கூடிய அதிர்வெண்
स्वत: वोल्टता नियंत्रण,தானியங்கி மின்னழுத்த கட்டுப்பாடு
एवलांश,பனிச்சரிவு
औसत संसूचक,சராசரி கண்டுபிடிப்பான்
अक्षीय विधा,அச்சு முறை
अक्षीय अनुपात,அச்சு விகிதம்
ऐन्टेना,ஆண்டெனா
पश्च विद्युत वाहक बल,பின் மின்னோட்ட விசை
पश्च क्षेत्र,பின் பகுதி
पश्च प्रकीर्णन,மீண்டும் சிதறல்
पृष्ठभूमि आवेश,பின்னணி கட்டணம்
पार्श्व रव,பக்க சத்தம்
पश्चगमन,பின்னடைவு
पश्चपालि विकिरण,பின்புற கதிர்வீச்சு
बैकवार्ड डायोड/पश्च डायोड,பின்னோக்கி டையோடு / பின்தங்கிய டையோடு
पश्चगामी तरंग दोलक,பின்னோக்கி அலை ஆஸிலேட்டர்
"बाधिका, व्यारोध","தடை, தடை"
बाधिका,தடை
संतुलित सेतु,சீரான பாலம்
संतुलित विमॉडुलक,சமநிலை மாடுலேட்டர்
संतुलित मॉडुलक,சமநிலை மாடுலேட்டர்
संतुलित परिपथ,சமநிலை சுற்று
संतुलित ढाल संसूचक,சமச்சீர் சாய்வு கண்டறிதல்
धारा स्थिरक प्रतिरोध,தற்போதைய நிலைப்படுத்தி எதிர்ப்பு
बोलोमीटर,போலோமீட்டர்
बोलोमीटर सेतु,போலோமீட்டர் பாலம்
बलून,பலூன்
बनाना जैक,வாழை பலா
बनाना प्लग,வாழை பிளக்
"बैंड, पट्टी","பட்டை, கட்டு"
बैंड चालक,இசைக்குழு இயக்கி
बैंड ऊर्जा,இசைக்குழு ஆற்றல்
बैंड अंतराल,பட்டை இடைவெளியை
बैडपारक प्रवर्धक,பேட்பார்க் பெருக்கி
बैंड पारक फिल्टर,பேண்ட் பாஸ் வடிகட்டி
बॉड दर जनित्र,பாட் ரேட் ஜெனரேட்டர்
बैंडफैलाव,பட்டை பரவல்
बैंड रोधक,இசைக்குழு மின்தடை
बैंड विरामक फिल्टर,பேண்ட் பிரேக்கர் வடிகட்டி
बैंड विस्तार,இசைக்குழு விரிவாக்கம்
बैंड वर्जक फिल्टर,பேண்ட் ரிமூவர் வடிகட்டி
बैंड विस्तार विक्षेपण गुणक,பேண்ட் விரிவாக்கம் விலகல் பெருக்கி
बैंड विस्तार दूरी गुणक,பேண்ட் நீட்டிப்பு தூரம் பெருக்கி
"पुंज संधारित्र, बैंक संधारित्र","பீம் மின்தேக்கி, வங்கி மின்தேக்கி"
"बारकर कूट, बारकर कोड","குரைக்கும் குறியீடு, குரைக்கும் குறியீடு"
बार्रवाउजेन कसौटी,barravaugen அளவுகோல்
बैरेटर,பார்ப்பனர்
रोध,தடை
रोध संधारित्र,இன்சுலேடிங் மின்தேக்கி
रोधिका उर्जा,தடை ஆற்றல்
रोधी वोल्टता,மின்தடை மின்னழுத்தம்
बार्टलेट विंडो,பார்ட்லெட் ஜன்னல்
"आधार, बेस","அடிப்படை, அடிப்படை"
आधार बैंड,அடிப்படை இசைக்குழு
आधार बैंड संचरण,அடிப்படை இசைக்குழு பரிமாற்றம்
आधार आवेश,அடிப்படை கட்டணம்
आधार धारा,அடிப்படை மின்னோட்டம்
आधार धारा स्रोत,அடிப்படை தற்போதைய ஆதாரம்
आधार कर्तन,அடிப்படை வெட்டுதல்
आधार मादन,ஆதார் மதன்
आधार उत्सर्जक संभरण,அடிப்படை உமிழ்ப்பான் ஊட்டம்
आधार उत्सर्जक संधि,அடிப்படை உமிழ்ப்பான் சந்திப்பு
आधार अंतःक्षेपण,அடிப்படை ஊசி
आधार रेखा,தரை வரி
आधार प्रतिरोध,அடிப்படை எதிர்ப்பு
आधार स्रोत,அடிப்படை ஆதாரம்
आधार विस्तारण प्रतिरोध,அடிப்படை விரிவாக்க எதிர்ப்பு
आधार विस्तारण प्रतिरोध,அடிப்படை விரிவாக்க எதிர்ப்பு
आधार मोटाई,அடிப்படை தடிமன்
आधार अभिगमन,அடிப்படை அணுகல்
"आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन","அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்"
आधार संग्राहक संधि,அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்
बास,வாசனை
बास आवृत्ति,பாஸ் அதிர்வெண்
बैटरी,மின்கலம்
बॉड,பாட்
बॉड रेट,பாட் விகிதம்
बॉड दर जनित्र,பாட் ரேட் ஜெனரேட்டர்
बोदो कोड,போடோ குறியீடு
"संकेत देना, बीकन","சமிக்ஞை, கலங்கரை விளக்கம்"
"मणिका, बीड","மாணிக்கா, பீட்"
मणिक संधारित्र,பித்து மின்தேக்கி
मणिकातापी प्रतिरोधक,மணிகர்தாபி எதிர்ப்பாளர்கள்
"किरणपुंज ऐन्टेना, बीम ऐन्टेना","பீம் ஆண்டெனா, பீம் ஆண்டெனா"
किरणपुंज खोजी,பீம் டிடெக்டர்
