Hindi,Punjabi
विफलन,ਅਧੂਰਾ ਛੱਡਣਾ
विफलन कालद,ਅਧੂਰਾ ਛੱਡੋ
निरपेक्ष पता,निरपेक्ष an s
निरपेक्ष पताभिगमन,ਪੂਰਨ ਪਤਾ
निरपेक्ष कोडांतरक,ਸੰਪੂਰਨ ਸੰਜਮ
निरपेक्ष कूट,ਸੰਪੂਰਨ ਕੋਡ
निरपेक्ष कूटलेखन,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
निरपेक्ष समादेश,ਸੰਪੂਰਨ ਕਮਾਂਡ
निरपेक्ष निर्देशांक,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
निरपेक्ष आंकड़े,ਸੰਪੂਰਨ ਡੇਟਾ
निरपेक्ष त्रुटि,ਪੂਰੀ ਗਲਤੀ
निरपेक्ष व्यंजक,ਪੂਰਨ ਸਮੀਕਰਨ
निरपेक्ष अनुदेश,ਪੂਰਨ ਹਦਾਇਤ
निरपेक्ष भारक,ਸੰਪੂਰਨ ਲੋਡਰ
निरपेक्ष आदेश,ਸੰਪੂਰਨ ਕ੍ਰਮ
निरपेक्ष क्रमादेशन,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
निरपेक्ष पद,ਸੰਪੂਰਨ ਅਵਧੀ
निरपेक्ष मान,ਸਹੀ ਮੁੱਲ
निरपेक्ष सदिश,ਸੰਪੂਰਨ ਵੈਕਟਰ
"सारांश, अमूर्त",ਸਾਰ
"सारांशन, अमूर्तकरण, साराहरण",ਐਬਸਟ੍ਰੈਕਟਿੰਗ
अमूर्त प्रतीक,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
त्वरण अवधि,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
त्वरण काल,ਪ੍ਰਵੇਗ ਟਾਈਮ
उच्चारण चिह्न,ਲਹਿਜ਼ਾ
स्वीकरण परीक्षण,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
अभिगम,ਪਹੁੰਚ
अभिगम बाहु,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
अभिगम व्यवस्था,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
अभिगम प्राधिकारक,ਪਹੁੰਚ ਅਥਾਰਟੀ
अभिगम शुल्क,ਐਕਸੈਸ ਚਾਰਜ
अभिगम वर्ग,ਐਕਸੈਸ ਕਲਾਸ
अभिगम आँकड़ासंचय प्रबंध,ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ
अभिगम परिवेश,ਐਕਸੈਸ ਵਾਤਾਵਰਣ
अभिगम अंतराल,ਐਕਸੈਸ ਪਾੜਾ
अभिगम सूचक,ਐਕਸੈਸ ਇੰਡੈਕਸ
अभिगम लाइन,ਐਕਸੈਸ ਲਾਈਨ
अभिगम यांत्रिकत्व,ਐਕਸੈਸ ਵਿਧੀ
अभिगम विधि,ਐਕਸੈਸ ਵਿਧੀ
अभिगम विधि नेमका,ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ
अभिगम विधा,ਐਕਸੈਸ ਮੋਡ
अभिगम अधिकार,ਸਹੀ ਪਹੁੰਚ
अभिगम क्रमवीक्षण,ਐਕਸੈਸ ਸਕੈਨ
अभिगम काल,ਐਕਸੈਸ ਟਾਈਮ
लेखा कार्य,ਲੇਖਾ
लेखाकार्य वित्त तंत्र,ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ
लेखा यंत्र,ਲੇਖਾ ਮਸ਼ੀਨ
खाता संख्या,ਅਕਾਊਂਟ ਨੰਬਰ
संचयी पुनरुत्पादक,ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ
संचायक,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ
संचायक पंजी,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ
संचायक विस्थापन अनुदेश,ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ
परिशुद्धता,ਸ਼ੁੱਧਤਾ
परिशुद्धता नियंत्रण संप्रतीक,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ
परिशुद्धता नियंत्रण तंत्र,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ
उत्कृष्ठ मार्गदर्शी,ਏਸ ਪਾਇਲਟ
पावती संप्रतीक,ਅੱਖਰ ਮੰਨੋ
ध्वनिक युग्मक,ਧੁਨੀ ਕਥਾ
ध्वनिक युग्मन,ਧੁਨੀ
ध्वनिक विलंब लाइन,ਧੁਨੀ ਦੇਰੀ ਨਾਲ
ध्वनिक स्मृति,ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ
ध्वनिक मोडेम,ਧੁਨੀ ਮਾਡਮ
ध्वनिक संकेत,ਧੁਨੀ ਸੰਕੇਤ
ध्वनिक भंडारण,ਧੁਨੀ ਸਟੋਰੇਜ
परिवर्णी शब्द,ਐਕਰੋਨਾਈਮ
क्रिया,ਕਾਰਵਾਈ
क्रिया चक्र,ਐਕਸ਼ਨ ਚੱਕਰ
क्रिया लाइन,ਐਕਸ਼ਨ ਲਾਈਨ
क्रिया संदेश,ਐਕਸ਼ਨ ਸੰਦੇਸ਼
क्रिया विनिर्देश,ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ
सक्रियण,ਸਰਗਰਮੀ
सक्रिय,ਕਿਰਿਆਸ਼ੀਲ
सक्रिय संचिका,ਐਕਟਿਵ ਫਾਈਲ
सक्रिय लाइन,ਐਕਟਿਵ ਲਾਈਨ
सक्रिय कड़ी,ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ
सक्रिय प्रधान संचिका,ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ
सक्रिय प्रधान मद,ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ
सक्रिय उपग्रह,ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ
सक्रिय केन्द्र,ਐਕਟਿਵ ਸਟੇਸ਼ਨ
सक्रिय भंडारण,ਐਕਟਿਵ ਸਟੋਰੇਜ
सक्रियता,ਸਰਗਰਮੀ
सक्रियता स्तर,ਸਰਗਰਮੀ ਪੱਧਰ
सक्रियता भारण,ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ
सक्रियता अनुपात,ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ
निरपेक्ष पता,ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ)
निरपेक्ष कूट,ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ)
वास्तविक आँकडा स्थानांतरण दर,ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ
वास्तविक दशमलव बिन्दु,ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ
