Marathi,Bengali
अबेलियन गट,আবেলিয়ান গ্রুপ
अबेलियन अर्धसमूह,আবেলিয়ান সেমিগ্রুপ
abscissa,abscissa
निरपेक्ष,পরম
परिपूर्ण अभिसरण,পরম মিলন
पूर्ण त्रुटी,পরম ত্রুটি
परिपूर्ण कमाल,পরম সর্বোচ্চ
परिपूर्ण किमान,পরম সর্বনিম্ন
परिपूर्ण मूल्य,পরম মান
परिपूर्ण वेग,পরম বেগ
अमूर्त बीजगणित,বিমূর্ত বীজগণিত
अमूर्त गट सिद्धांत,বিমূর্ত গ্রুপ তত্ত্ব
प्रवेग,ত্বরণ
गुरुत्वाकर्षणामुळे प्रवेग,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
स्वीकार्य निवड संच,গ্রহণযোগ্য পছন্দ সেট
स्वीकार्य गुणवत्ता पातळी,গ্রহণযোগ্য মানের স্তর
स्वीकार्य श्रेणी,গ্রহণযোগ্য পরিসীমা
स्वीकार्य विश्वसनीयता पातळी,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
स्वीकार्य नमुना,গ্রহণযোগ্য নমুনা
संचित त्रुटी,সঞ্চিত ত্রুটি
अचूकता,সঠিকতা
अभिनय शक्ती,অভিনয় শক্তি
क्रिया,কর্ম
क्रिया आणि प्रतिक्रिया,কর্ম এবং প্রতিক্রিয়া
वास्तविक विज्ञान,বাস্তব বিজ্ঞান
तीव्र कोन त्रिकोण,তীব্র কোণযুক্ত ত্রিভুজ
अॅसायक्लिक,অ্যাসাইক্লিক
जोडा,যোগ করুন
जोडणारा,যোগকারী
या व्यतिरिक्त,সংযোজন
जोड सूत्र,সংযোজন সূত্র
जटिल संख्यांची बेरीज,জটিল সংখ্যার সংযোজন
कार्ये जोडणे,ফাংশন সংযোজন
मॅट्रिक्स जोडणे,ম্যাট্রিক্সের সংযোজন
बहुपदी जोडणे,বহুপদ সংযোজন
संभाव्यता जोडणे,সম্ভাবনার সংযোজন
वेक्टर जोडणे,ভেক্টর সংযোজন
अतिरिक्त प्रमेय,সংযোজন উপপাদ্য
मिश्रित गट,সংযোজনকারী গ্রুপ
additive inverse,সংযোজন বিপরীত
अतिरिक्त गुणधर्म,সংযোজক সম্পত্তি
जोड,সংযোজন
संलग्नता मॅट्रिक्स,অন্তিক ম্যাট্রিক্স
समीप,সংলগ্ন
समीप कोन,সন্নিহিত কোণ
समीप शिरोबिंदू,সংলগ্ন শীর্ষবিন্দু
संलग्न,সংলগ্ন
शेजारील,সংলগ্ন
