Marathi,Odiya
एसी समतुल्य सर्किट,AC ସମାନ ସର୍କିଟ |
एनालॉग ते अंकीय कनवर्टर,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
पूर्ण शून्य,ସଂପୂର୍ଣ୍ଣ ଶୂନ
शोषण गुणांक,ଶୋଷଣ ଗୁଣବତ୍ତା
शोषण स्पेक्ट्रम,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
रिसेप्टर अणू,ରିସେପ୍ଟର ପରମାଣୁ |
पर्यायी वर्तमान जोडणी,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
इलेक्ट्रॉन कापणी,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
भोक संचयन,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
सक्रियता ऊर्जा,ସକ୍ରିୟ ଶକ୍ତି
सक्रिय अॅम्प्लीफायर,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
सक्रिय डायोड सर्किट,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
सक्रिय फिल्टर,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
सक्रिय उच्च वारंवारता पर्केट फिल्टर,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
सक्रिय भार,ସକ୍ରିୟ ଭାର
सक्रिय कमी वारंवारता पार्स फिल्टर,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
सक्रिय क्षेत्र,ସକ୍ରିୟ କ୍ଷେତ୍ର |
अनुकूली इलेक्ट्रॉनिक्स,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
जोडणारा,ଆଡର୍
समायोज्य बँड विस्तार,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
प्रवेश,ଅନୁପ୍ରବେଶ
एरियल,ଆରିଏଲ
pep वारंवारता,ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
एअर कंडिशनर,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
संरेखन,ଶ୍ରେଣୀବଦ୍ଧତା |
अल्गोरिदम,ଆଲଗୋରିଦମ |
सर्व पास फिल्टर,ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |
मिश्र धातु जंक्शन,ମିଶ୍ରିତ ଜଙ୍କସନ |
क्षीणन,ଆଘାତ
पर्यायी प्रवाह,ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |
वातावरणीय तापमान,ପରିବେଶର ତାପମାତ୍ରା |
द्विध्रुवीय,ଦ୍ୱିପାକ୍ଷିକ
प्रवर्धन,ବୃଦ୍ଧି
अॅम्प्लिफायर,ଏମ୍ପ୍ଲିଫାୟର୍
एम्पलीफायर कार्यक्षमता,ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |
परिमाण,ପରିମାପ
मोठेपणा क्षीणन,ପ୍ରଶସ୍ତତା ଆଘାତ
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର
मोठेपणा मॉड्यूलेशन,ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ
मोठेपणा मॉड्युलेटर,ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର
अँग्स्ट्रोम युनिट,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |
अॅनालॉग सर्किट,ଆନାଗଲ୍ ସର୍କିଟ୍ |
अॅनालॉग संगणक,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
अॅनालॉग फिल्टर,ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |
अॅनालॉग मल्टीमीटर,ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |
अॅनालॉग स्विच,ଆନାଗଲ୍ ସୁଇଚ୍ |
आणि गेट,ଏବଂ ଫାଟକ |
कोनीय वारंवारता,କୋଣ ଅନୁକୋଣ
"anion, anion","ଆୟନ, ଆୟନ"
एनीलिंग तापमान,ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |
एनोड,anode
एनोड अॅम्प्लिफायर,ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
anodyne,anodyne
अँटेना,ଆଣ୍ଟେନା |
अँटेना घटक,ଆଣ୍ଟେନା ଉପାଦାନ |
विरोधी परावर्तक कोटिंग,ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |
अँटिलॉगिन अॅम्प्लिफायर,ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |
अँटीरेझोनंट सर्किट,ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |
द्वारक काळ,ଦ୍ୱାରକ ଅବଧି |
आभासी शक्ती,ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |
वायर कनेक्शन,ତାର ସଂଯୋଗ
अंदाजे व्होल्टेज वाढ,ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |
आर्मस्ट्राँग मॉड्युलेटर,ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର
अँटेना अॅरे,ଆଣ୍ଟେନା ଆରେ |
"आकार गुणोत्तर, गुणोत्तर","ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |"
फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट),ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ)
