Gujarati,Tamil
એસિડોઇડ,அமிலத்தன்மை
એઓલિયન માટી,அயோலியன் மண்
એકંદર,மதிப்பீட்டு
એકત્રીકરણ,திரட்டுதல்
કૃષિશાસ્ત્ર,வேளாண்மை
કૃષિવિજ્ઞાન,வேளாண்மை
A-ક્ષિતિજ,A- அடிவானம்
Ao-ક્ષિતિજ,Ao- அடிவானம்
Aoo-ક્ષિતિજ,Aoo- அடிவானம்
માટીની હવા ક્ષમતા,மண்ணின் காற்று திறன்
જમીનની હવાની સામગ્રી,மண்ணின் காற்றின் உள்ளடக்கம்
એર પિકનોમીટર,காற்று பிக்னோமீட்டர்
એલિટિક માટી,அல்லிடிக் மண்
કાંપવાળી માટી,வண்டல் மண்
એમ્ફોલિટોઇડ,ஆம்போலிடாய்டு
આયન,அயன்
"દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
એરિસ,அரிஸ்
Ashlar દંડ ચણતર,Ashlar நன்றாக கொத்து
Ashlar ચણતર,ஆஷ்லர் கொத்து
એઝોનલ માટી,அசோனல் மண்
પાછળનો અભિનેતા,பின் நடிகர்
પાછળની કમાન,பின் வளைவு
બેક બેન્ડ,பின் இசைக்குழு
પાછળ બ્રશ,பின் தூரிகை
બેક ચેક,மீண்டும் சரிபார்க்கவும்
બેક કાઉન્ટર,பின் கவுண்டர்
પાછળ કટીંગ,முதுகு வெட்டுதல்
બેક ડ્રાફ્ટ ડેમ્પર,பின் வரைவு damper
બેક ડ્રેઇન,பின் வடிகால்
બેક ડ્રોપ,பின் துளி
પાછળ ભરો,பின் நிரப்பவும்
બેક ફીલેટ,பின் ஃபில்லட்
બેક ફ્લૅપ મિજાગરું,பின் மடல் கீல்
બેક ફ્લો કનેક્શન,பின் ஓட்ட இணைப்பு
બેક ફ્લો નિવારક,பின் ஓட்டம் தடுப்பான்
બેક ગેજ,பின் அளவுகோல்
પાછળ ગટર,பின்புற சாக்கடை
બેક હર્થ,பின் அடுப்பு
બેકિંગ,ஆதரவு
બેકિંગ બોર્ડ,பேக்கிங் போர்டு
પાછળ ધકેલાતું દબાણ,பின் அழுத்தம்
બેક પ્રોપ,பின் முட்டு
પાછળની દૃષ્ટિ,பின் பார்வை
પાછું પાણી,பின் நீர்
બેફલ,குழப்பம்
બેગવર્ક,பை வேலை
બેલાસ્ટ,பேலாஸ்ட்
બોલ માટી,பந்து களிமண்
બોલ શંકુ ક્લેમ્બ,பந்து கூம்பு கவ்வி
કાંટાળો તાર,முள்வேலி
બાર કૂતરો,பார் நாய்
બાર્જ બોર્ડ,விசைப்படகு பலகை
બેરિયમ સલ્ફેટ ટેસ્ટ,பேரியம் சல்பேட் சோதனை
બેરેજ,சரமாரி
બેરેટ,பாரெட்
પાયો,அடித்தளம்
આધાર વિનિમય,அடிப்படை பரிமாற்றம்
બેઝ લાઇન,அடிப்படை வரி
ભોંયરું,அடித்தளம்
ભોંયરું દિવાલ,அடித்தள சுவர்
બેઝ પ્લેટ,அடித்தட்டு
"બેઝ પ્લેટ, એડજસ્ટેબલ","அடிப்படை தட்டு, சரிசெய்யக்கூடியது"
આધાર સંતૃપ્તિ,அடிப்படை செறிவு
બેસોઇડ,பாசாய்டு
બેટ,வௌவால்
સ્નાન અને WC,பாத் மற்றும் WC
સખત મારપીટ,இடி ஆப்பு
સખત મારપીટ પિયર,பேட்டர் பையர்
સખત મારપીટનો નિયમ,பேட்டர் விதி
બૉલ્ક (બાલ્ક),பால்க் (பால்க்)
ખાડી,விரிகுடா
ધારક,தாங்குபவர்
બેરિંગ ક્ષમતા,தாங்கும் திறன்
બેરિંગ ખૂંટો,தாங்கும் பைல்
બેરિંગ સ્ટ્રેટમ,தாங்கி அடுக்கு
પથારી,படுக்கை
પથારીનું વિમાન,படுக்கை விமானம்
બેડ સંયુક્ત,படுக்கை கூட்டு
બેડ રોક,படுக்கை பாறை
બેડ રૂમ,படுக்கை அறை
મીણ,தேன் மெழுகு
બેલ બોક્સ,மணி பெட்டி
બેલિંગ ડોલ,பெல்லிங் வாளி
બેલોફ્રેમ,பெல்லோஃப்ராம்
બેન્ચ્ડ ફાઉન્ડેશન,பெஞ்ச் அடித்தளம்
બેન્ચિંગ,பெஞ்சிங்
બેન્ચ માર્ક,பெஞ்ச் மார்க்
લાભ ખર્ચ વિશ્લેષણ,நன்மை செலவு பகுப்பாய்வு
બેર્મ,பெர்ம்
બેવેલ્ડ બંધ,வளைந்த மூடல்
"B-ક્ષિતિજ,&quot;B-","பி-ஹரைசன்,&quot;பி-"
બાયટ,பயாட்
બાઈન્ડર,பைண்டர்
બંધનકર્તા સામગ્રી,பிணைப்பு பொருள்
બાયોટનો સિદ્ધાંત,பயோட்டின் கோட்பாடு
બીટુમેન,பிடுமின்
કાળી કપાસની માટી,கருப்பு பருத்தி மண்
કાળી પૃથ્વી,கருப்பு பூமி
કાળી જડિયાંવાળી જમીન,கருப்பு தரை மண்
બ્લેડ,கத்தி
બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ,ஊது உலை கசடு சிமெண்ட்
બ્લોકી માળખું,தடுப்பு அமைப்பு
બોગી પ્રતિકાર,போகி எதிர்ப்பு
બોગ-આયર્ન ઓર,போக்-இரும்பு தாது
બોન્ડ,பத்திரம்
બંધાયેલા સભ્ય,பிணைக்கப்பட்ட உறுப்பினர்
બોન્ડેડ પોસ્ટ ટેન્શનિંગ,பிணைக்கப்பட்ட பிந்தைய பதற்றம்
બોન્ડ પથ્થર,பத்திர கல்
બંધાયેલ પાણી,கட்டுப்பட்ட நீர்
બોક્સ ગટર,பெட்டி சாக்கடை
તાણવું,பிரேஸ்
ઈંટ પર ધાર,விளிம்பில் செங்கல்
બ્રિડલ,கடிவாளம்
તેજ,பிரகாசம்
બ્રાઉન માટી,பழுப்பு மண்
બિલ્ડીંગ,கட்டிடம்
બિલ્ડીંગ સર્વેયર,கட்டிட சர்வேயர்
બફર,தாங்கல்
બફર વળાંક,தாங்கல் வளைவு
બફરિંગ,தாங்கல்
બફરિંગ ક્ષમતા,தாங்கல் திறன்
બંદર,பண்டர்
બટ્રેસ,பட்டர்ஸ்
સી-ક્ષિતિજ,சி-அடிவானம்
કેબલ,கேபிள்
કેબલ મોલ્ડિંગ,கேபிள் மோல்டிங்
કેબલિંગ,கேபிளிங்
કેબિન,அறை
કેબિન હૂક,கேபின் ஹூக்
કેબિનેટ,மந்திரி சபை
કેબોલ્ટે છોડી દીધું,கபோல்ட் வெளியேறினார்
કાફેટેરિયા,சிற்றுண்டியகம்
કેજ,கூண்டு
પાંજરાનું બાંધકામ,கூண்டு கட்டுமானம்
કાઈનનું સૂત્ર,கெய்னின் சூத்திரம்
કેસોન,கெய்சன்
કેસોન રોગ,கெய்சன் நோய்
કેસોન ફાઉન્ડેશન,கெய்சன் அடித்தளம்
Caisson ખૂંટો,கெய்சன் குவியல்
કેલ્કેરિયસ ઈંટ,சுண்ணாம்பு செங்கல்
કેલ્કેરિયસ માટી,சுண்ணாம்பு களிமண்
કેલ્કેરિયસ પોપડો,சுண்ணாம்பு மேலோடு
કેલ્સિફિકેશન,கால்சிஃபிகேஷன்
કેલ્સિનેશન,கால்சினேஷன்
કેલ્સિન,கால்சின்
કેલ્સાઇટ,கால்சைட்
