English,Gujarati
Abaxial surface,મહારમાન સપાટી
Abdomen,પેટ
Abdominal aorta,પેટનો એરોર્ટા
Abdominal ganglia,આધાર ગેંગલિયા
Abelmoschus esculentus,Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ
Aberration,વિપુલતા
Abies,નાજુક
Abingdon tortoise,એબિંગ્ડન કાચબો
Abiogenesis,સ્વત્વાર્પણ
Abiotic,અહંકારી
Abiotic factor,અભણ પરિબળ
Abnormal urine,અસામાન્ય પેશાબ
ABO blood group,એબીઓ રક્ત જૂથ
Abscisic acid,સદસ્યાટ
Abscission,વિકલાંગતા
Absorb,શોષવું
Absorption peak,શોષણ ટોચ
Absorption,સમાવેશ
Acacia catechu,બાવળ
Acaria arabica,એકરિયા અરબીકા
Acaprin,એકર
Acceptable sexual behaviour,સ્વીકાર્ય જાતીય વર્તન
Accessory gland,સહાયક ગ્રંથિ
Accessory gland,સહાયક ગ્રંથિ
Accessory organ,સહાયક અંગ
Acclimatization,સ્વાર્થીકરણ
Acclimatize,મામૂલી કરવું
Accommodation (focusing),આવાસ (ધ્યાન કેન્દ્રિત)
Accommodation of eye,આંખનું સ્થાન
Accretionary growth,પરિધિ
Accumulation,સંચય
Accumulation of organic matter,કાર્બનિક પદાર્થનું સંચય
Accumulation of soil,જમીનનો સંચય
Acellular,મધ્યમ
Acellular organism,મધ્ય જીવ
Acetabulum,અકારો
Acetaldehyde,Ecetaldehyde
Acetyl coenzyme,એસીટીલ કોએન્ઝાઇમ
Achatina,એકલતા
Achene type,અચેન પ્રકાર
Achene,અહંકાર
Achlamydosporeae,આચ્છાદન
Acid rain,એસિડ વરસાદ
Acidic,અમ્દિન
Acidic gas,અમ્બલિક ગેસ
Acidity,અમલ્ય
Acinar cell,કોતરણીનો કોષ
Acoelomate,Acાંકણ
Aconitum,એક જાતની કળા
Acorn worm,એકોખી
Acoustic zoning,ધ્વનિ ક્ષેત્ર
Acquired character,પ્રાપ્ત કરેલું પાત્ર
Acquired immunity,હસ્તગત પ્રતિરક્ષા
Acquired immuno deficiency syndrome (AIDS),હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ)
Acrania,ક્રોધાવેશ
Acridine dye,એસિડાઇન રંગ
Acrocentric,અતિશય
Acromion,કરચલી
Acropetal sequence,સર્કરો
Acropetal order,સરકરાનો હુકમ
Acrosin,ગળાશ
Actin,કાર્ય
Actin-like protein,કૃત્ય
Actinomorphic,અભિપ્રાયનું
Actinomycetes,કૃત્ય
Action potential,કાર્ય માટેની ક્ષમતા
Activated sludge,સક્રિય કાદવ
Activated sludge floc,સક્રિય કાદવ ફ્લોક
Activation energy,સક્રિય energyર્જા
Active absorption,સક્રિય શોષણ
Active immunity,સક્રિય પ્રતિરક્ષા
Active radiation,સક્રિય કિરણોત્સર્ગ
Active site,સક્રિય સ્થળ
Activin,સક્રિય
Acuminate,અણીદાર
Adamsia,એડ્મસિયા
Adaptability,અનુકૂલનક્ષમતા
Adaptation,અનુકૂલન
Adaptation to light regime,પ્રકાશ શાસન માટે અનુકૂલન
Adaptation to water scarcity,પાણીની અછતને અનુકૂલન
Adaptive characteristics,અનુકૂલનશીલ લાક્ષણિકતાઓ
Adaptive immunity,અનુકૂલનશીલ પ્રતિરક્ષા
Adaptive radiation,અનુકૂલનશીલ કિરણોત્સર્ગ
Adaptive trait,અનુકૂલન લક્ષણ
Adaxial surface,ઉપદેશક
Addictive disorder,વ્યસનકારક વિકાર
Adenine,એક જાતની adાળ
Adenocorticotropin,એડોનોકોર્ટિકોટ્રોપિન
Adenohypophysis,એનોહિપોફિસીસ
Adenosin diphosphate,એડેનોસિન ડિફોસ્ફેટ
Adenosine deaminase,એમેનોસિન
Adenosine monophosphate,એનોસિન મોનોફોસ્ફેટ
Adenosine triphosphate (ATP),એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી)
Adenylate cyclase,સાયક્લેઝ
Adhesive force,ચપળ બળ
Adipate,શણગારવું
Adipocyte (fat cell),એડિપોસાઇટ (ચરબી કોષ)
Adipose tissue,ચરબી પેશી
Adnate,Nતરતું
Adjoining community,સંલગ્ન સમુદાય
Adrenal,વ્યવહાસી
Adrenal gland,એડ્રીનલ ગ્રંથિ
Adrenocorticotropic hormone (ACTH),એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ)
