Malayalam,Kannada
അബെലിയൻ ഗ്രൂപ്പ്,ಅಬೆಲಿಯನ್ ಗುಂಪು
അബെലിയൻ സെമിഗ്രൂപ്പ്,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
abscissa,ಅಬ್ಸಿಸ್ಸಾ
കേവല,ಸಂಪೂರ್ಣ
കേവലമായ ഒത്തുചേരൽ,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
സമ്പൂർണ്ണ പിശക്,ಸಂಪೂರ್ಣ ದೋಷ
കേവല പരമാവധി,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
സമ്പൂർണ്ണ മിനിമം,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
യഥാർത്ഥ മൂല്യം,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
കേവല വേഗത,ಸಂಪೂರ್ಣ ವೇಗ
അമൂർത്ത ബീജഗണിതം,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
ത്വരണം,ವೇಗವರ್ಧನೆ
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
സ്വീകാര്യമായ നിലവാരം,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
സ്വീകാര്യമായ ശ്രേണി,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
സ്വീകാര്യമായ വിശ്വാസ്യത നില,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
സ്വീകാര്യമായ സാമ്പിൾ,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
സഞ്ചിത പിശക്,ಸಂಚಿತ ದೋಷ
കൃത്യത,ನಿಖರತೆ
പ്രവർത്തന ശക്തി,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
നടപടി,ಕ್ರಮ
പ്രവർത്തനവും പ്രതികരണവും,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
യഥാർത്ഥ ശാസ്ത്രം,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
നിശിത കോണുള്ള ത്രികോണം,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
അസൈക്ലിക്,ಅಸೈಕ್ಲಿಕ್
ചേർക്കുക,ಸೇರಿಸಿ
ചേർക്കുന്നയാൾ,ಸೇರಿಸುವವನು
കൂട്ടിച്ചേർക്കൽ,ಜೊತೆಗೆ
കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം,ಸೇರ್ಪಡೆ ಸೂತ್ರ
സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ
ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ
സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ,ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ
വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ,ವಾಹಕಗಳ ಸೇರ್ಪಡೆ
കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം,ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ
സങ്കലന ഗ്രൂപ്പ്,ಸಂಯೋಜಕ ಗುಂಪು
വിപരീത വിപരീതം,ಸಂಯೋಜಕ ವಿಲೋಮ
അഡിറ്റീവ് പ്രോപ്പർട്ടി,ಸಂಯೋಜಕ ಆಸ್ತಿ
അഡിറ്റിവിറ്റി,ಸಂಕಲನ
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
തൊട്ടടുത്തുള്ള,ಪಕ್ಕದ
അടുത്തുള്ള കോണുകൾ,ಪಕ್ಕದ ಕೋನಗಳು
തൊട്ടടുത്തുള്ള ശീർഷകം,ಪಕ್ಕದ ಶೃಂಗ
ചേരുക,ಹೊಂದು
തൊട്ടടുത്തുള്ള,ಪಕ್ಕದ
അനുബന്ധ ഡിറ്റർമിനന്റ്,ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ
അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം,ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
അനുബന്ധ സമവാക്യം,ಸಂಯೋಜಿತ ಸಮೀಕರಣ
അനുബന്ധ മാട്രിക്സ്,ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
മാട്രിക്സിന്റെ അനുബന്ധം,ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ
അഡ്ജുഗേറ്റ് മാട്രിക്സ്,ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
അനുവദനീയമായ അനുമാനം,ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ
എയറോഡൈനാമിക് ശക്തി,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
എയറോഡൈനാമിക്സ്,ವಾಯುಬಲವಿಜ್ಞಾನ
അഫൈൻ ജ്യാമിതി,ಅಫೈನ್ ಜ್ಯಾಮಿತಿ
അഫൈൻ മാപ്പിംഗ്,ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್
അഫൈൻ പരിവർത്തനം,ಅಫೈನ್ ರೂಪಾಂತರ
അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ,ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ
ബീജഗണിതം,ಬೀಜಗಣಿತ
ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു,ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ
ബീജഗണിത സമവാക്യം,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
ബീജഗണിത പദപ്രയോഗം,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
ബീജഗണിത രൂപം,ಬೀಜಗಣಿತ ರೂಪ
ബീജഗണിത പ്രവർത്തനം,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
ബീജഗണിത ജ്യാമിതി,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
ബീജഗണിത ഗുണിതം,ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ
ബീജഗണിത വ്യവസ്ഥ,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
വിഹിതം പ്രശ്നം,ಹಂಚಿಕೆ ಸಮಸ್ಯೆ
അക്ഷരമാലാ ക്രമം,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
അക്ഷരമാലാക്രമം,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
ഇതര കോൺ,ಪರ್ಯಾಯ ಕೋನ
ഒന്നിടവിട്ട രൂപം,ಪರ್ಯಾಯ ರೂಪ
ഇതര ഗ്രൂപ്പ്,ಪರ್ಯಾಯ ಗುಂಪು
ഒന്നിടവിട്ട മാട്രിക്സ്,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ഒന്നിടവിട്ട പരമ്പര,ಪರ್ಯಾಯ ಸರಣಿ
ഇതര സിദ്ധാന്തം,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
ഇതര ഒപ്റ്റിമ,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ
ഇതര ഫലം,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ,ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ
അനലോഗ് കമ്പ്യൂട്ടർ,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
വിശകലനം,ವಿಶ್ಲೇಷಣೆ
സഹവർത്തിത്വത്തിന്റെ വിശകലനം,ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ
എണ്ണൽ ഡാറ്റയുടെ വിശകലനം,ಎಣಿಕೆಯ ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ
വ്യതിയാനത്തിന്റെ വിശകലനം,ವ್ಯತ್ಯಾಸದ ವಿಶ್ಲೇಷಣೆ
അനലിറ്റിക് ജ്യാമിതി,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
വിശകലന പ്രവർത്തനം,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
കോൺ,ಕೋನ
കോൺടാക്റ്റ് കോൺ,ಸಂಪರ್ಕದ ಕೋನ
വ്യതിചലനത്തിന്റെ കോൺ,ವಿಚಲನ ಕೋನ
വിഷാദത്തിന്റെ ആംഗിൾ,ಖಿನ್ನತೆಯ ಕೋನ
വ്യതിയാനത്തിന്റെ കോൺ,ವಿಚಲನ ಕೋನ
ഡിഫ്രാക്ഷൻ കോൺ,ವಿವರ್ತನೆಯ ಕೋನ
എലവേഷൻ കോൺ,ಎತ್ತರದ ಕೋನ
സംഭവത്തിന്റെ കോൺ,ಘಟನೆಯ ಕೋನ
പ്രൊജക്ഷൻ കോൺ,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
പ്രതിഫലനത്തിന്റെ കോൺ,ಪ್ರತಿಬಿಂಬದ ಕೋನ
അപവർത്തന കോൺ,ವಕ್ರೀಭವನದ ಕೋನ
ഭ്രമണകോണ്,ತಿರುಗುವಿಕೆಯ ಕೋನ
മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ,ಒಟ್ಟು ಪ್ರತಿಫಲನದ ಕೋನ
കോണീയ ത്വരണം,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
കോണീയ ചലനം,ಕೋನೀಯ ಚಲನೆ
കോണീയ വേഗത,ಕೋನೀಯ ವೇಗ
കോണീയ പ്രവേഗം,ಕೋನೀಯ ವೇಗ
വാർഷികം,ವಾರ್ಷಿಕ
ഉത്തരം,ಉತ್ತರ
ആന്റി-ഡെറിവേറ്റീവ്,ವಿರೋಧಿ ಉತ್ಪನ್ನ
ആന്റിസിമെട്രിക് പ്രവർത്തനം,ಆಂಟಿಸಿಮೆಟ್ರಿಕ್ ಕಾರ್ಯ
ബാധകമാണ്,ಅನ್ವಯಿಸುವ
അപേക്ഷ,ಅಪ್ಲಿಕೇಶನ್
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
പ്രയോഗിച്ച ജ്യാമിതി,ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,ಅನ್ವಯಿಕ ಗಣಿತ
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು
ഏകദേശം,ಸರಿಸುಮಾರು
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ
ഏകദേശ രീതി,ಅಂದಾಜು ವಿಧಾನ
ഏകദേശ പരിഹാരം,ಅಂದಾಜು ಪರಿಹಾರ
ഏകദേശ പ്രശ്നം,ಅಂದಾಜು ಸಮಸ್ಯೆ
ഏകദേശ സ്വത്ത്,ಅಂದಾಜು ಆಸ್ತಿ
ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ് ബാറ്ററി,ಆಪ್ಟಿಟ್ಯೂಡ್ ಟೆಸ್ಟ್ ಬ್ಯಾಟರಿ
അർഗൻഡ് ഡയഗ്രം,ಅರ್ಗಾಂಡ್ ರೇಖಾಚಿತ್ರ
ഏകപക്ഷീയമായി തിരഞ്ഞെടുത്തു,ನಿರಂಕುಶವಾಗಿ ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ
ഏകപക്ഷീയമായ,ನಿರಂಕುಶ
ഏകപക്ഷീയമായ സ്ഥിരാങ്കം,ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ
ഏകപക്ഷീയമായ ഘടകം,ಅನಿಯಂತ್ರಿತ ಅಂಶ
ഏകപക്ഷീയമായ പോയിന്റ്,ಅನಿಯಂತ್ರಿತ ಬಿಂದು
ആർക്കെമീഡിയൻ നിയമം,ಆರ್ಕೆಮಿಡಿಯನ್ ಕಾನೂನು
ആർക്കിമിഡീസ് തത്വം,ಆರ್ಕಿಮಿಡಿಸ್ ತತ್ವ
ആർക്ക് നീളം,ಆರ್ಕ್ ಉದ್ದ
വൃത്താകൃതിയിലുള്ള കമാനം,ವೃತ್ತದ ಚಾಪ
ആർക്ക് സൈൻ വിതരണം,ಆರ್ಕ್ ಸೈನ್ ವಿತರಣೆ
ആർക്ക് സൈൻ പരിവർത്തനം,ಆರ್ಕ್ ಸೈನ್ ರೂಪಾಂತರ
പ്രദേശം,ಪ್ರದೇಶ
ഏരിയൽ ടെക്സ്ചർ,ಪ್ರದೇಶದ ವಿನ್ಯಾಸ
സങ്കീർണ്ണ സംഖ്യയുടെ വാദം,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ವಾದ
ഗണിത അർത്ഥം,ಅಂಕಗಣಿತದ ಸರಾಸರಿ
ഗണിത പ്രവർത്തനം,ಅಂಕಗಣಿತದ ಕಾರ್ಯಾಚರಣೆ
ഗണിത യൂണിറ്റ്,ಅಂಕಗಣಿತದ ಘಟಕ
ക്രമീകരണം,ವ್ಯವಸ್ಥೆ
അറേ,ಶ್ರೇಣಿ
കൃത്രിമ ഉപഗ്രഹം,ಕೃತಕ ಉಪಗ್ರಹ
കൃത്രിമ വേരിയബിൾ,ಕೃತಕ ವೇರಿಯಬಲ್
കയറുക,ಏರು
ആരോഹണം,ಆರೋಹಣ
മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം,ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ
ആരോഹണ പരമ്പര,ಆರೋಹಣ ಸರಣಿ
അസംബ്ലർ ഭാഷ,ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ
അസൈൻമെന്റ് പ്രശ്നം,ನಿಯೋಜನೆ ಸಮಸ್ಯೆ
സഹകാരി നിയമം,ಸಹಾಯಕ ಕಾನೂನು
ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം,ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ಕಾನೂನು
അനുബന്ധ പ്രവർത്തനം,ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ
സഹവാസം,ಸಹಭಾಗಿತ್ವ
അർത്ഥമാക്കുന്നത്,ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ
പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു,ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ
അനുമാനം,ಊಹೆ
ജ്യോതിഷം,ಜ್ಯೋತಿಷ್ಯ
ബഹിരാകാശ എഞ്ചിനീയർ,ಗಗನಯಾತ್ರಿ ಇಂಜಿನಿಯರ್
ജ്യോതിശാസ്ത്രജ്ഞൻ,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
ജ്യോതിശാസ്ത്ര ഘടികാരം,ಖಗೋಳ ಗಡಿಯಾರ
ജ്യോതിശാസ്ത്രം,ಖಗೋಳಶಾಸ್ತ್ರ
അസമമായ വക്രം,ಅಸಮವಾದ ಕರ್ವ್
അസമമിതി,ಅಸಿಮ್ಮೆಟ್ರಿ
ലക്ഷണം,ಲಕ್ಷಣರಹಿತ
അസിംപ്റ്റോട്ടിക്,ಲಕ್ಷಣರಹಿತ
അസിംപ്റ്റിക്കലി കാര്യക്ഷമമായ എസ്റ്റിമേറ്റർ,ಲಕ್ಷಣರಹಿತ ಪರಿಣಾಮಕಾರಿ ಅಂದಾಜುಗಾರ
അസ്‌മിപ്റ്റിക്കലി പക്ഷപാതമില്ലാത്ത എസ്റ്റിമേറ്റർ,ಲಕ್ಷಣರಹಿತವಾಗಿ ನಿಷ್ಪಕ್ಷಪಾತ ಅಂದಾಜುಗಾರ
അസിംപ്റ്റോട്ടിക് സ്വഭാവം,ಲಕ್ಷಣರಹಿತ ನಡವಳಿಕೆ
അസിംപ്റ്റോട്ടിക് ഡിസ്ട്രിബ്യൂഷൻ ഫംഗ്ഷൻ,ಲಕ್ಷಣರಹಿತ ವಿತರಣಾ ಕಾರ್ಯ
അസിംപ്റ്റോട്ടിക് വികാസം,ಲಕ್ಷಣರಹಿತ ವಿಸ್ತರಣೆ
അന്തരീക്ഷമർദ്ദം,ವಾತಾವರಣದ ಒತ್ತಡ
മാറി മാറി,ಯಾದೃಚ್ಛಿಕವಾಗಿ
ആട്രിബ്യൂട്ട്,ಗುಣಲಕ್ಷಣ
ആട്രിബ്യൂട്ടുകൾ സാമ്പിൾ നടപടിക്രമം,ಮಾದರಿ ವಿಧಾನದ ಗುಣಲಕ್ಷಣಗಳು
വർദ്ധിപ്പിച്ച മാട്രിക്സ്,ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്,ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ
ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ,ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ
ഓട്ടോകോവേരിയൻസ്,ಆಟೋಕೋವೇರಿಯನ್ಸ್
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್
സ്വയം റിഗ്രഷൻ,ಸ್ವಯಂ ಹಿನ್ನಡೆ
സഹായ സമവാക്യം,ಸಹಾಯಕ ಸಮೀಕರಣ
ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (ASN കർവ്),ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (ASN ಕರ್ವ್)
സിദ്ധാന്തം,ಮೂಲತತ್ವ
അച്ചുതണ്ട് സമീപനം,ಅಕ್ಷೀಯ ವಿಧಾನ
സംഭാവ്യതയുടെ സിദ്ധാന്തം,ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ
അച്ചുതണ്ട്,ಅಕ್ಷರೇಖೆ
അബ്സിസ്സയുടെ അച്ചുതണ്ട്,ಅಬ್ಸಿಸ್ಸಾದ ಅಕ್ಷ
ഭൂമിയുടെ അച്ചുതണ്ട്,ಭೂಮಿಯ ಅಕ್ಷ
വിപ്ലവത്തിന്റെ അച്ചുതണ്ട്,ಕ್ರಾಂತಿಯ ಅಕ್ಷ
ഭ്രമണത്തിന്റെ അച്ചുതണ്ട്,ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ
സ്പിന്നിന്റെ അച്ചുതണ്ട്,ಸ್ಪಿನ್ ಅಕ್ಷ
തിരികെ-പകരം,ಬ್ಯಾಕ್-ಬದಲಿ
പിന്നാക്ക വ്യത്യാസം,ಹಿಂದುಳಿದ ವ್ಯತ್ಯಾಸ
ബാക്ക്വാർഡ്-ഇന്റർപോളേഷൻ ഫോർമുല,ಹಿಂದುಳಿದ-ಪ್ರಕ್ಷೇಪಣ ಸೂತ್ರ
ബാലൻസ്,ಸಮತೋಲನ
സമതുലിതമായ ഡിസൈൻ,ಸಮತೋಲಿತ ವಿನ್ಯಾಸ
ബാലൻസ് ഷീറ്റ്,ಆಯವ್ಯಯ ಪಟ್ಟಿ
ബാലിസ്റ്റിക് മിസൈൽ,ಬ್ಯಾಲಿಸ್ಟಿಕ್ ಕ್ಷಿಪಣಿ
ബാലിസ്റ്റിക്സ്,ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್
ബാർ,ಬಾರ್
അടിസ്ഥാനം,ಬೇಸ್
അടിസ്ഥാന കോൺ,ಮೂಲ ಕೋನ
ലോഗരിതം അടിസ്ഥാനം,ಲಾಗರಿಥಮ್ನ ಆಧಾರ
അടിസ്ഥാന,ಮೂಲಭೂತ
അടിസ്ഥാന പ്രായോഗിക പരിഹാരം,ಮೂಲ ಕಾರ್ಯಸಾಧ್ಯ ಪರಿಹಾರ
അടിസ്ഥാന പരിഹാരം,ಮೂಲ ಪರಿಹಾರ
അടിസ്ഥാന വേരിയബിൾ,ಮೂಲ ವೇರಿಯಬಲ್
അടിസ്ഥാനം,ಆಧಾರದ
അടിസ്ഥാന ഘടകം,ಆಧಾರ ಅಂಶ
അടിസ്ഥാന മാട്രിക്സ്,ಆಧಾರ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ഒരു വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം,ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ
ഉപസ്ഥലത്തിന്റെ അടിസ്ഥാനം,ಉಪಸ್ಥಳದ ಆಧಾರ
ബയേസിയൻ എസ്റ്റിമേറ്റ്,ಬೇಸಿಯನ್ ಅಂದಾಜು
ബയേസിന്റെ നിയമം,ಬೇಯ್ಸ್ ಕಾನೂನು
ബയേസിന്റെ സിദ്ധാന്തം,ಬೇಯಸ್ ಪ್ರಮೇಯ
ബെർണൂലി വിതരണം,ಬರ್ನೌಲ್ಲಿ ವಿತರಣೆ
ബെർണൂലി നമ്പർ,ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆ
ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ,ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ
ബെർണൂലിയുടെ സമവാക്യം,ಬರ್ನೌಲಿಯ ಸಮೀಕರಣ
ബെറി പ്രവർത്തനം,ಬೆರ್ರಿ ಕಾರ್ಯ
ഏറ്റവും അനുയോജ്യം,ಅತ್ಯುತ್ತಮ ಫಿಟ್
ഏറ്റവും അനുയോജ്യമായ ലൈൻ,ಅತ್ಯುತ್ತಮ - ಫಿಟ್ ಲೈನ್
മികച്ച പരിഹാരം,ಉತ್ತಮ ಪರಿಹಾರ
മികച്ച തന്ത്രങ്ങൾ,ಅತ್ಯುತ್ತಮ ತಂತ್ರಗಳು
ബീറ്റ വിതരണം,ಬೀಟಾ ವಿತರಣೆ
പക്ഷപാതം,ಪಕ್ಷಪಾತ
പക്ഷപാതപരമായ കണക്ക്,ಪಕ್ಷಪಾತದ ಅಂದಾಜು
ബൈഹാർമോണിക് സമവാക്യം,ಬೈಹಾರ್ಮೋನಿಕ್ ಸಮೀಕರಣ
ബിജക്ഷൻ,ಬೈಜೆಕ್ಷನ್
ബിജക്റ്റീവ് മാപ്പ്,ಬೈಜೆಕ್ಟಿವ್ ನಕ್ಷೆ
ബിജക്റ്റീവ് മാപ്പിംഗ്,ಬೈಜೆಕ್ಟಿವ್ ಮ್ಯಾಪಿಂಗ್
ബിലീനിയർ രൂപം,ಬೈಲಿನಿಯರ್ ರೂಪ
ബിലീനിയർ ഫംഗ്ഷൻ,ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ
ബിലീനിയർ ഹെർമിഷ്യൻ രൂപം,ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ರೂಪ
ബൈനറി,ಅವಳಿ
ബൈനറി കോഡ്,ಬೈನರಿ ಕೋಡ್
ബൈനറി കോഡ് ചെയ്ത ദശാംശം,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ
ബൈനറി കോഡിംഗ്,ಬೈನರಿ ಕೋಡಿಂಗ್
ബൈനറി കമ്പ്യൂട്ടർ,ಬೈನರಿ ಕಂಪ್ಯೂಟರ್
ബൈനറി അക്കം,ದ್ವಿಮಾನ ಅಂಕಿ
ബൈനറി പ്രവർത്തനം,ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ
ബൈനറി സിസ്റ്റം,ಬೈನರಿ ಸಿಸ್ಟಮ್
ബൈനറി വേരിയബിൾ,ಬೈನರಿ ವೇರಿಯಬಲ್
ദ്വിപദ ഗുണകം,ದ್ವಿಪದ ಗುಣಾಂಕ
ദ്വിപദ വിതരണം,ದ್ವಿಪದ ವಿತರಣೆ
ദ്വിപദ സമവാക്യം,ದ್ವಿಪದ ಸಮೀಕರಣ
ദ്വിപദ വിപുലീകരണം,ದ್ವಿಪದ ವಿಸ್ತರಣೆ
ദ്വിപദ പദപ്രയോഗം,ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ
ബൈനോമിയൽ റാൻഡം വേരിയബിൾ,ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್
ദ്വിപദ സിദ്ധാന്തം,ದ್ವಿಪದ ಪ್ರಮೇಯ
വിഭജനം,ಇಬ್ಭಾಗ
വിഭജന രീതി,ವಿಭಜನಾ ವಿಧಾನ
ദ്വിഭാഗം,ದ್ವಿಭಾಜಕ
ബൈസീരിയൽ,ಬೈಸೀರಿಯಲ್
ബിറ്റ്,ಸ್ವಲ್ಪ
ദ്വിപദ ദ്വിപദ വിതരണം,ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ
