Bengali,Tamil
অ্যাব্যাক্সিয়াল পৃষ্ঠ,அபாக்ஸியல் மேற்பரப்பு
পেট,அடிவயிறு
পেটের মহাধমনী,வயிற்று பெருநாடி
পেটের গ্যাংলিয়া,வயிற்று கேங்க்லியா
আবেলমোসচাস এসকুলেন্টাস,அபெல்மோஷஸ் எஸ்குலெண்டஸ்
অবসন্নতা,மாறுபாடு
Abies,அபிஸ்
অ্যাবিংডন কচ্ছপ,அபிங்டன் ஆமை
অ্যাবোজেনেসিস,அபியோஜெனெஸிஸ்
অ্যাবায়োটিক,அஜியோடிக்
জীবক্রিয়া ফ্যাক্টর,அஜியோடிக் காரணி
অস্বাভাবিক প্রস্রাব,அசாதாரண சிறுநீர்
আবো ব্লাড গ্রুপ,ABO இரத்தக் குழு
অ্যাবসিসিক অ্যাসিড,அப்சிசிக் அமிலம்
অ্যাবসিশন,கஷ்டம்
শোষণ,உறிஞ்சும்
শোষণ শিখর,உறிஞ்சுதல் உச்சம்
শোষণ,உறிஞ்சுதல்
বাবলা ক্যাটেকু,அகாசியா கேடெச்சு
অ্যাকারিয়া আরবিকা,அகாரியா அரபிகா
অ্যাকাপ্রিন,அகப்ரின்
গ্রহণযোগ্য যৌন আচরণ,ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை
আনুষঙ্গিক গ্রন্থি,துணை சுரப்பி
আনুষঙ্গিক গ্রন্থি,துணை சுரப்பி
আনুষঙ্গিক অঙ্গ,துணை உறுப்பு
প্রশংসাপত্র,பழக்கவழக்கமயமாக்கல்
প্রশংসিত,பழக்கப்படுத்துங்கள்
আবাসন (ফোকাসিং),தங்குமிடம் (கவனம் செலுத்துதல்)
চোখের থাকার ব্যবস্থা,கண் தங்குமிடம்
স্বীকৃত বৃদ্ধি,திரட்டல் வளர்ச்சி
জমা,குவிப்பு
জৈব পদার্থ জমে,கரிமப் பொருட்களின் குவிப்பு
মাটি জমে,மண்ணின் குவிப்பு
অ্যাসেলুলার,அசெல்லுலர்
অ্যাসেলুলার জীব,அசெல்லுலர் உயிரினம்
অ্যাসিটাবুলাম,அசிடபூலம்
অ্যাসিটালডিহাইড,அசிடால்டிஹைட்
এসিটাইল কোএনজাইম,அசிடைல் கோஎன்சைம்
আছাটিনা,அச்சாடினா
অ্যাকিন টাইপ,அச்சீன் வகை
আচিন,அச்சீன்
Achlamydosporye,அச்ச்சைடோஸ்போரே
এসিড বৃষ্টি,அமில மழை
অ্যাসিডিক,அமிலத்தன்மை
অ্যাসিডিক গ্যাস,அமில வாயு
অম্লতা,அமிலத்தன்மை
অ্যাকিনার সেল,அசிநார் செல்
অ্যাকোলোমেট,அகோலோமேட்
অ্যাকোনিটাম,அகோனிட்டம்
অ্যাকর্ন কৃমি,ஏகோர்ன் புழு
অ্যাকোস্টিক জোনিং,ஒலி மண்டலம்
অর্জিত চরিত্র,வாங்கிய எழுத்து
অনাক্রম্যতা অর্জিত,நோய் எதிர்ப்பு சக்தி
অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস),வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்)
অ্যাক্রানিয়া,அக்னியா
অ্যাক্রিডিন ডাই,அக்ரிடைன் சாயம்
অ্যাক্রোসেন্ট্রিক,அக்ரோஷென்ட்ரிக்
অ্যাক্রোমিয়ন,அக்ரோமியன்
অ্যাক্রোপেটাল সিকোয়েন্স,அக்ரோபெட்டல் வரிசை
অ্যাক্রোপেটাল অর্ডার,அக்ரோபெட்டல் ஆர்டர்
অ্যাক্রোসিন,அக்ரோசின்
অ্যাক্টিন,ஆக்டின்
অ্যাক্টিনের মতো প্রোটিন,ஆக்டின் போன்ற புரதம்
অ্যাক্টিনোমর্ফিক,ஆக்டினோமார்பிக்
অ্যাক্টিনোমাইসেটস,ஆக்டினோமைசீட்கள்
কর্ম সম্ভাব্য,செயல்பாட்டு திறன்
সক্রিয় কর্দম,செயல்படுத்தப்பட்ட கசடு
সক্রিয় স্ল্যাজ ফ্লক,செயல்படுத்தப்பட்ட கசடு மிதவை
অ্যাক্টিভেশন শক্তি,செயல்படுத்தும் ஆற்றல்
সক্রিয় শোষণ,செயலில் உறிஞ்சுதல்
সক্রিয় অনাক্রম্যতা,செயலில் நோய் எதிர்ப்பு சக்தி
সক্রিয় বিকিরণ,செயலில் கதிர்வீச்சு
সক্রিয় সাইট,செயலில் உள்ள தளம்
অ্যাক্টিভিন,ஆக்டிவின்
একুমিনেট,அக்யூமினேட்
অ্যাডামসিয়া,ஆடம்ஸியா
অভিযোজনযোগ্যতা,தகவமைப்பு
অভিযোজন,தழுவல்
হালকা শাসনের সাথে অভিযোজন,ஒளி ஆட்சிக்கு தழுவல்
জলের ঘাটতির সাথে অভিযোজন,நீர் பற்றாக்குறைக்கு தழுவல்
অভিযোজিত বৈশিষ্ট্য,தகவமைப்பு பண்புகள்
অভিযোজিত অনাক্রম্যতা,தகவமைப்பு நோய் எதிர்ப்பு சக்தி
অভিযোজিত বিকিরণ,தகவமைப்பு கதிர்வீச்சு
অভিযোজিত বৈশিষ্ট্য,தகவமைப்பு பண்பு
অ্যাড্যাক্সিয়াল পৃষ্ঠ,அடாக்ஸியல் மேற்பரப்பு
আসক্তিজনিত ব্যাধি,போதை கோளாறு
অ্যাডেনিন,அடினின்
অ্যাডেনোকোর্টিকোট্রপিন,அடினோகார்டிகோட்ரோபின்
অ্যাডেনোহাইপোফাইসিস,அடினோஹைபோஃபிசிஸ்
অ্যাডেনোসিন ডিফোসফেট,அடினோசின் டைபாஸ்பேட்
অ্যাডেনোসিন ডায়ামিনেজ,அடினோசின் டீமினேஸ்
অ্যাডেনোসিন মনোফসফেট,அடினோசின் மோனோபாஸ்பேட்
অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি),அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி)
অ্যাডিনলেট সাইক্লাস,அடினிலேட் சைக்லேஸ்
আঠালো শক্তি,பிசின் சக்தி
Adipate,கொழுப்பு
অ্যাডিপোকাইট (ফ্যাট সেল),அடிபோசைட் (கொழுப்பு செல்)
মেদ কলা,கொழுப்பு திசு
অ্যাডনেট,Adnate
সংলগ্ন সম্প্রদায়,அருகிலுள்ள சமூகம்
অ্যাড্রিনাল,அட்ரீனல்
অ্যাড্রিনাল গ্রন্থি,அட்ரினல் சுரப்பி
অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ),அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH)
অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH),அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH)
Adsorbent,Adsorbent
