English,Gujarati
abacus,અબેકસ
abnormal termination,અસામાન્ય સમાપ્તિ
abort,ગર્ભપાત
absolute,સંપૂર્ણ
absolute address,સંપૂર્ણ સરનામું
absolute addressing,સંપૂર્ણ સંબોધન
absolute assembler,સંપૂર્ણ એસેમ્બલર
absolute code,સંપૂર્ણ કોડ
absolute command,સંપૂર્ણ આદેશ
absolute data,સંપૂર્ણ ડેટા
absolute instruction,સંપૂર્ણ સૂચના
absolute mode,સંપૂર્ણ મોડ
absolute path,સંપૂર્ણ માર્ગ
absolute programming,સંપૂર્ણ પ્રોગ્રામિંગ
abstract class,અમૂર્ત વર્ગ
abstract data type,અમૂર્ત ડેટા પ્રકાર
abstract machine,અમૂર્ત મશીન
abstract symbol,અમૂર્ત પ્રતીક
abstract syntax,અમૂર્ત વાક્યરચના
acceptance testing,સ્વીકૃતિ પરીક્ષણ
access authentication,ઍક્સેસ પ્રમાણીકરણ
access code,ઍક્સેસ કોડ
access control,વપરાશ નિયંત્રણ
access scan,એક્સેસ સ્કેન
accessory,સહાયક
account,એકાઉન્ટ
account ID,એકાઉન્ટ ID
accumulator,સંચયક
accuracy,ચોકસાઈ
acess,ઍક્સેસ
acess control byte,એક્સેસ કંટ્રોલ બાઈટ
acess index,એક્સેસ ઇન્ડેક્સ
acess key,ઍક્સેસ કી
acess matrix,એક્સેસ મેટ્રિક્સ
acess mode,ઍક્સેસ મોડ
acess privilege,એક્સેસ વિશેષાધિકાર
acess security,ઍક્સેસ સુરક્ષા
acess server,ઍક્સેસ સર્વર
acess time,ઍક્સેસ સમય
acknowledgement,સ્વીકૃતિ
acoustics,ધ્વનિશાસ્ત્ર
acronym,ટૂંકાક્ષર
action message,ક્રિયા સંદેશ
activation,સક્રિયકરણ
active server page (ASP),સક્રિય સર્વર પૃષ્ઠ (ASP)
active version,સક્રિય સંસ્કરણ
acyclic,એસાયક્લિક
acyclic graph,એસાયક્લિક ગ્રાફ
Ada language,અદા ભાષા
adapter,એડેપ્ટર
add,ઉમેરો
add file,ફાઇલ ઉમેરો
add operation,કામગીરી ઉમેરો
adder,ઉમેરનાર
address,સરનામું
address bus,સરનામું બસ
address file,સરનામું ફાઇલ
address format,સરનામું ફોર્મેટ
address generator,સરનામું જનરેટર
address line,એડ્રેસ લાઇન
address mapping,સરનામું મેપિંગ
address pointer,સરનામું નિર્દેશક
address register,સરનામું રજીસ્ટર
address resolution,સરનામું રિઝોલ્યુશન
address translation,સરનામા અનુવાદ
addressed memory,સંબોધિત મેમરી
addressing,સંબોધન
adequacy criteria,પર્યાપ્તતા માપદંડ
adjoint,સંલગ્ન
administration,વહીવટ
administrator,સંચાલક
adobe acrobat,એડોબ એક્રોબેટ
adobe photoshop,એડોબ ફોટોશોપ
Advance Business Application Programming (ABAP),એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP)
advanced data,અદ્યતન ડેટા
advanced information system,અદ્યતન માહિતી સિસ્ટમ
advanced technology (AT),અદ્યતન ટેકનોલોજી (AT)
agent,એજન્ટ
aggregation,એકત્રીકરણ
airborne computer system,એરબોર્ન કમ્પ્યુટર સિસ્ટમ
aldus page maker,aldus પૃષ્ઠ નિર્માતા
alert box,ચેતવણી બોક્સ
algol,algol
algorithm,અલ્ગોરિધમ
algorithm analysis,અલ્ગોરિધમ વિશ્લેષણ
algorithm efficiency,અલ્ગોરિધમ કાર્યક્ષમતા
alias,ઉપનામ
alignment,ગોઠવણી
allocation,ફાળવણી
alphabetic,આલ્ફાબેટીક
alphanumeric,આલ્ફાન્યૂમેરિક
alphanumeric key board,આલ્ફાન્યૂમેરિક કી બોર્ડ
alpha-test,આલ્ફા-પરીક્ષણ
alpha-version,આલ્ફા-સંસ્કરણ
alt key,alt કી
altavista,અલ્ટાવિસ્ટા
ambiguity,અસ્પષ્ટતા
ambiguous grammar,અસ્પષ્ટ વ્યાકરણ
American National Standards Institute (ANSI),અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI)
American Standard Code For Information Interchange (ASCII),અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII)
analog,એનાલોગ
analog computer,એનાલોગ કમ્પ્યુટર
analog device,એનાલોગ ઉપકરણ
analog modem,એનાલોગ મોડેમ
Analog To Digital Converter (ADC),એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC)
AND,અને
AND circuit,અને સર્કિટ
AND gate,અને દરવાજો
AND not operation (Exclusion),અને ઓપરેશન નહીં (બાકાત)
animation,એનિમેશન
annotation,ટીકા
anomaly,વિસંગતતા
antecedent,પૂર્વવર્તી
anticipatory paging,આગોતરી પેજીંગ
anti-symmetric,વિરોધી સપ્રમાણ
antivirus program,એન્ટિવાયરસ પ્રોગ્રામ
applet,એપ્લેટ
application developer,એપ્લિકેશન ડેવલપર
application programming,એપ્લિકેશન પ્રોગ્રામિંગ
application programming interface (API),એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API)
application software,એપ્લિકેશન સોફ્ટવેર
applicative language,લાગુ પડતી ભાષા
approximation theory,અંદાજ સિદ્ધાંત
architecture,સ્થાપત્ય
area transfer,વિસ્તાર ટ્રાન્સફર
argument,દલીલ
arithmatic and logic unit,અંકિત અને તર્ક એકમ
arithmatic check,અંકિત તપાસ
arithmatic constant,અંકિત સ્થિરાંક
arithmatic data,અંકિત માહિતી
arithmatical instruction,અંકગણિત સૂચના
arithmetic and logic unit (ALU),અંકગણિત અને તર્ક એકમ (ALU)
ARPANET,અર્પાનેટ
array,એરે
array cache,એરે કેશ
array computer,એરે કમ્પ્યુટર
array element,એરે તત્વ
array name,એરે નામ
array processor,એરે પ્રોસેસર
arrow keys,તીર કીઓ
articulation,ઉચ્ચારણ
articulation point,ઉચ્ચારણ બિંદુ
artificial compaction,કૃત્રિમ કોમ્પેક્શન
artificial control,કૃત્રિમ નિયંત્રણ
artificial intelligence,કૃત્રિમ બુદ્ધિ
ascender,ચડતા
ascending sort,ચડતા સૉર્ટ
ASCII betical order,ASCII બેટીકલ ઓર્ડર
ASCII control character,ASCII નિયંત્રણ પાત્ર
ASCII file,ASCII ફાઇલ
ASCII font,ASCII ફોન્ટ
ASCII transfer,ASCII ટ્રાન્સફર
aspect ratio,પાસા ગુણોત્તર
ASPI,ASPI
ASR timer,ASR ટાઈમર
assemble,ભેગા
assembler,એસેમ્બલર
assembly,એસેમ્બલી
assembly language,એસેમ્બલી ભાષા
assertion,નિવેદન
assignment,સોંપણી
association,સંગઠન
associative address,સહયોગી સરનામું
associative memory,સહયોગી મેમરી
asteric,એસ્ટરીક
asymmetric,અસમપ્રમાણ
asynchronous,અસુમેળ
asynchronous Digital Subscriber Line (ADSL),અસુમેળ ડિજિટલ સબસ્ક્રાઇબર લાઇન (ADSL)
asynchronous Time Division Multiplexing (ATDM),અસુમેળ સમય વિભાગ મલ્ટિપ્લેક્સીંગ (ATDM)
asynchronous transfer,અસુમેળ ટ્રાન્સફર
asynchronous Transfer Mode (ATM),અસુમેળ ટ્રાન્સફર મોડ (ATM)
atom,અણુ
attached document,જોડાયેલ દસ્તાવેજ
attached file,જોડેલી ફાઈલ
attachment,જોડાણ
attribute,લક્ષણ
audio,ઓડિયો
audit programming,ઓડિટ પ્રોગ્રામિંગ
audit trail,વિષ્લેષણ
augmentation,વૃદ્ધિ
authentication protocol,પ્રમાણીકરણ પ્રોટોકોલ
authoring system,ઓથરિંગ સિસ્ટમ
authorization,અધિકૃતતા
auto abstract,સ્વતઃ અમૂર્ત
autobooting,ઓટોબૂટિંગ
autocad,ઓટોકેડ
autolog on,ઓટોલોગ ચાલુ
automata,ઓટોમેટા
automata theory,ઓટોમેટા સિદ્ધાંત
automatic computing,આપોઆપ કમ્પ્યુટિંગ
automatic data processing,સ્વચાલિત ડેટા પ્રોસેસિંગ
automatic error correction,આપોઆપ ભૂલ સુધારણા
automatic function,સ્વચાલિત કાર્ય
automatic indexing,આપોઆપ અનુક્રમણિકા
automatic library call,સ્વચાલિત પુસ્તકાલય કૉલ
