Hindi,Marathi
ऐम्पियर (मात्रक),अँपिअर (युनिट)
ऐंगस्ट्रम,angstrum
ए-वर्ग प्रवर्धक,ए-क्लास अॅम्प्लिफायर
ए.एन रेडियो सहाय,एएन रेडिओ सहाय
ए-क्रमवीक्षण प्रस्तुति,एक-स्कॅनिंग सादरीकरण
ए-दर्श,a-darsh
ए-स्कोप प्रदर्शन,ए-स्कोप कामगिरी
ए-टी कर्तित क्रिस्टल,A-T वक्र क्रिस्टल
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
पूर्वाह्न,आहे
ए.एम.यू. (परमाणु संहति मात्रक),AMU (अणु वस्तुमान एकक)
आर्ड-वार्क*,आर्ड-वार्क*
ऐब-ऐम्पियर,ab-ampere
ए-बी वर्ग प्रवर्धक,A-B वर्ग अॅम्प्लिफायर
आदितः,adah
ए-बी शक्ति पिटक,A-B शक्ती पिटक
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = संरेखन चार्ट = nomograph
ऐबे संख्या (ऐबे नियतांक),अबे क्रमांक (अबे स्थिरांक)
ऐबे अपवर्तनमापी,abe refractometer
ऐबे ज्या अवस्था,अबे साइन राज्य
स्वचालित बायस प्रतिकार,स्वयंचलित पूर्वाग्रह भरपाई
ऐबकूलॉम,abcoulom
"विपथन, अपेरण",विकृती
विपथन संशोधक लेन्स,विकृती सुधारक लेन्स
आकाश-विपथन,आकाश विकृती
एबफैराड,abfarad
एबहेनरी,एबेनरी
ऐबनी प्रभाव (ऐबनी नियम),इबोनी प्रभाव
अपसामान्य ध्रुवण,असामान्य ध्रुवीकरण
अपसामान्य संचरण,असामान्य प्रसार
अपसामान्य परावर्तन,अलौकिक प्रतिबिंब
अपसामान्य अपवर्तन*,असामान्य अपवर्तन*
अपसामान्य प्रतिरोध,अलौकिक प्रतिकार
ऐब-ओम,ab-om
"पूर्वपात, विफलन","प्राबल्य, अपयश"
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित","संलग्न, सहसा, उभे, विभक्त, खंडित"
सहसा जंप,अनेकदा उडी मारते
भुज*,हात*
लुप्त परावर्तन,हरवलेले प्रतिबिंब
लुप्त स्पैक्ट्रम,गहाळ स्पेक्ट्रम
"निरपेक्ष, परम, अचर, परिशुद्ध","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
निरपेक्ष त्वरण,परिपूर्ण प्रवेग
निरपेक्ष यथार्थता,परिपूर्ण वास्तव
निरपेक्ष पता,परिपूर्ण पत्ता
भूसापेक्ष तुंगतामापी,भौगोलिक उच्चांक
भूसापेक्ष तुंगता,भौगोलिक उंची
निरपेक्ष ऐम्पियर,परिपूर्ण अँपिअर
परम क्वथनांक,परिपूर्ण उकळत्या बिंदू
निरपेक्ष तेजमापीय दीप्ति,परिपूर्ण प्रकाश
निरपेक्ष धारिता,परिपूर्ण क्षमता
निरपेक्ष ऊँचाई,परिपूर्ण उंची
निरपेक्ष वर्णाक,परिपूर्ण रंगद्रव्य
"निरपेक्ष विन्यास, असंदिग्ध विन्यास","परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन"
निरपेक्ष कूलॉम,परिपूर्ण कूलॉम्ब
पूर्ण अंधकार,पूर्ण अंधार
निरपेक्ष कालनिर्धारण,परिपूर्ण वेळापत्रक
निरपेक्ष घनत्व*,परिपूर्ण घनता*
निरपेक्ष अपवहन,पूर्ण निचरा
निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक),संपूर्ण EMU (विद्युत चुंबकीय एकक)
निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक),संपूर्ण ESU (स्थिर एकक)
निरपेक्ष दक्षता,परिपूर्ण कार्यक्षमता
निरपेक्ष विद्युतमापी,परिपूर्ण इलेक्ट्रोमीटर
"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति",परिपूर्ण वारंवारता परिपूर्ण वारंवारता
निरपेक्ष आर्द्रता,परिपूर्ण आर्द्रता
निरपेक्ष आपतन,परिपूर्ण घटना
निरपेक्ष अपवर्तनांक,परिपूर्ण अपवर्तक निर्देशांक
निरपेक्ष अस्‍थायित्व,पूर्ण अस्थिरता
निरपेक्ष अस्‍थायित्व,पूर्ण अस्थिरता
"निरपेक्ष तीव्रता, निरपेक्ष उग्रता","परिपूर्ण तीव्रता, परिपूर्ण तीव्रता"
शैथिल्य की निरपेक्ष सीमा,अस्थेनियाची परिपूर्ण मर्यादा
निरपेक्ष ज्योतिर्मयता देहली,परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा
निरपेक्ष ज्योति वक्र,परिपूर्ण प्रकाश वक्र
निरपेक्ष कांतिमान,परिपूर्ण परिमाण
निरपेक्ष दाबांतरमापी,परिपूर्ण बॅरोमीटर
परम उच्चिष्ठ,सर्वोच्च सर्वोच्च
निरपेक्ष चरम सीमांक,पूर्ण टोक
परम निम्निष्ठ,परिपूर्ण सर्वात कमी
निरपेक्ष संवेग,परिपूर्ण गती
निरपेक्ष गति,परिपूर्ण गती
निरपेक्ष संगीत,परिपूर्ण संगीत
निरपेक्ष प्रेक्षण,परिपूर्ण निरीक्षण
निरपेक्ष ओम,परिपूर्ण ओम
निरपेक्ष दिगविन्यास,परिपूर्ण अभिमुखता
निरपेक्ष विद्युत्-शीलता,परिपूर्ण विद्युत ऋणात्मकता
निरपेक्ष तारत्व,परिपूर्ण गुरुत्व
निरपेक्ष दाब,परिपूर्ण दबाव
निरपेक्ष गुणधर्म,परिपूर्ण मालमत्ता
निरपेक्ष अदिश,परिपूर्ण स्केलर
ताप का परम मापक्रम*,तापमानाचे अंतिम प्रमाण*
"निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता","परिपूर्ण समक्रमण, परिपूर्ण समक्रमण"
निरपेक्ष प्रतिबल,पूर्ण ताण
निरपेक्ष सममिति,परिपूर्ण सममिती
निरपेक्ष गति-निकाय,परिपूर्ण गती शरीर
निरपेक्ष मात्रक पद्धति,परिपूर्ण एकक प्रणाली
परम ताप,परिपूर्ण तापमान
निरपेक्ष काल,परिपूर्ण वेळ
निरपेक्ष मात्रक,निरपेक्ष एकके
निरपेक्ष मान,परिपूर्ण मूल्य
पूर्णाक अभिकलित्र,पूर्णांक कॅल्क्युलेटर
निरपेक्ष वेग,परिपूर्ण वेग
निरपेक्ष श्यानता,परिपूर्ण चिकटपणा
निरपेक्ष भार,परिपूर्ण वजन
परम शून्य*,पूर्ण शून्य*
शून्य का निरपेक्ष भाजक,शून्याचा पूर्ण विभाजक
अवशोषण करना,शोषून घेणे
अवशोषणांक*,शोषक निर्देशांक*
अवशोषित ऊर्जा,शोषलेली ऊर्जा
"अवशोषक, अवशोषी","शोषक, शोषक"
अवशोषी माध्यम*,शोषक माध्यम*
अवशोषण सामर्थ्य,शोषण क्षमता
अवशोषणांश,शोषण
अवशोषणमापी*,शोषणमापक*
अवशोषणामिति*,शोषणमापन*
अवशोषण,शोषण
अवशोषण - बैन्ड*,शोषण - बँड*
अवशोषण परिपथ,शोषण सर्किट
अवशोषण-गुणांक,शोषण गुणांक
अवशोषण-स्तम्भ,शोषण स्तंभ
अवशोषण-स्थिरांक,अवशोषण स्थिर
अवशोषण सांतत्यक,शोषण सातत्य
अवशोषण-परिक्षेत्र,शोषण क्षेत्र
अवशोषण-धारा,शोषण प्रवाह
अवशोषण वक्र*,शोषण वक्र*
अवशोषण भंग,शोषण फ्रॅक्चर
अवशोषण कोर,शोषण कोर
अवशोषण गुणक,शोषण घटक
अवशोषण फिल्टर,शोषण फिल्टर
अवशोषण ज्वाला प्रकाशमिति*,शोषण फ्लेम फोटोमेट्री*
अवशोषण आर्द्रतामापी,शोषण हायग्रोमीटर
अवशोषण घातांक,शोषण घातांक
अवशोषण सीमांत,शोषण सीमांत
अवशोषण रेखा,शोषण रेखा
अवशोषणजन्य हानि,शोषण नुकसान
अवशोषण माडुलन,शोषण मॉड्यूलेशन
प्रकाश अवशोषण,प्रकाश शोषण
विकिरण ऊर्जा का अवशोषण,रेडिएशन उर्जेचे शोषण
अवशोषण शिखर,शोषण शिखर
अवशोषण प्रकाशमिति,शोषण फोटोमेट्री
अवशोषण अनुपात,शोषण प्रमाण
अवशोषण श्रेणी*,शोषण श्रेणी*
अवशोषण स्पेक्ट्रम प्रकाशमिति*,शोषण स्पेक्ट्रम फोटोमेट्री*
अवशोषण स्पेक्ट्रम*,शोषण स्पेक्ट्रम*
"अवशोषण नली, अवशोषण नाल","शोषक नळी, शोषक नळी"
अवशोषण तरगमापी,शोषण हायग्रोमीटर
अवशोषी*,शोषक*
अवशोषी क्षीणकारी,शोषक बाष्पीभवक
अवशोषण नियम*,शोषण कायदा*
अवशोषण माध्यम,शोषण माध्यम
"अवशोषण क्षमता, अवशोषकता*","शोषक क्षमता, शोषकता*"
अवशोषकता*,शोषण*
स्टूडिओ सज्जा,स्टुडिओ सजावट
बाहुल्य अनुपात,गुणोत्तर गुणोत्तर
ऐबवोल्ट,उद्धटपणा
ऐबवाट,बद्दल
त्वरित करना,गती वाढवणे
त्वरण-विराम दूरी,प्रवेग-थांबा अंतर
त्वरित,घाई केली
त्वरित कालप्रभावन परीक्षण,द्रुत वेळ प्रभाव चाचणी
त्वरित प्रवाह,जलद प्रवाह
त्वरित गति,जलद गती
त्वरित निकाय,द्रुत शरीर
त्वरक तुला,प्रवेगक तोलणारा
त्वरक इलैक्ट्रोड*,प्रवेगक इलेक्ट्रोड*
त्वरक काल*,प्रवेगक वेळ*
त्वरक प्रावस्था,प्रवेगक टप्पा
त्वरक दर,प्रवेगक दर
त्वरक वोल्टता*,प्रवेगक व्होल्टेज*
त्वरण,प्रवेग
त्वरणिक अपदहन,प्रवेगक ज्वलन
त्वरण गुणांक,प्रवेग गुणांक
त्वरण घटक,प्रवेग घटक
गुरूत्वीय त्वरण,गुरुत्वाकर्षणामुळे प्रवेग
त्वरण गुणक,प्रवेग घटक
त्वरणिक प्रतिभरण,प्रवेगक शुल्क
गुरूत्व त्वरण,गुरुत्वाकर्षणाचा प्रवेग
त्वरण विभव,प्रवेग क्षमता
त्वरण-नियम,प्रवेग कायदा
त्वरण-प्रक्रम,प्रवेग प्रक्रिया
त्वरण प्रेदश,प्रवेग क्षेत्र
त्वरण प्रविधी,प्रवेग पद्धत
"त्वरण सहिष्णुता, त्वरण सहनसीमा","प्रवेग सहिष्णुता, प्रवेग सहिष्णुता"
त्वरण-सदिश,प्रवेग वेक्टर
त्वरण-वोल्टता,प्रवेग-व्होल्टेज
त्वरण तरंग,प्रवेग लहर
त्वरक,प्रवेगक
"त्वरित्र, त्वरक*","प्रवेग, प्रवेगक*"
त्वरक समीकरण,प्रवेगक समीकरण
त्वरणलेखी*,प्रवेगक*
त्वरणमापी,प्रवेगमापक
त्वरणमापीय सुमेलन,एक्सीलरोमीटर जुळणी
प्राक्प्रबलक,prestresser
मान्य वर्ण,वैध वर्ण
स्वीकरण-कोण,स्वीकृती कोन
स्वीकरण-विनिर्देश,स्वीकृती तपशील
स्वीकारी परीक्षण,स्वीकार्य चाचणी
"ग्राही*, स्वीकारी","स्वीकारणारा*, स्वीकारणारा"
ग्राही परमाणु,रिसेप्टर अणू
ग्राही आबंध,रिसेप्टर बाँड
ग्राही परिपथ,रिसीव्हर सर्किट
ग्राही स्तर,रिसेप्टर पातळी
आदाता अणु,दाता रेणू
ग्राही गुणधर्म,रिसेप्टर गुणधर्म
ग्राही गुणधर्म तल,रिसेप्टर गुणधर्म पातळी
त्वरक नली,प्रवेगक नळी
"अभिगम, प्रतीक्षा, अभिगम्यता","प्रवेश, प्रतीक्षा, प्रवेश"
अभिगम भुज,भुज प्रवेश
अभिगम-तंत्र,प्रवेश प्रणाली
अभिगम काल,प्रवेश वेळ
अभिगम्यता,प्रवेशयोग्यता
"अतिरिक्त, सहायक, गौण (वि, ), उपसाधन","अतिरिक्त, सहाय्यक, सहायक (v, ), उपकरणे"
अतिरिक्त प्रतिबन्ध,अतिरिक्त निर्बंध
संयोगी संपात,संधी योगायोग
संयोगी संपात-संशोधन,अपघाती सुधारणा
आकस्मिक द्विजनन,अपघाती बायोजेनेसिस
आकस्मिक द्विअपवर्तन,अपघाती वळवणे
आगन्तुक त्रुटि,अभ्यागत त्रुटी
"आकस्मिक रोक, आकस्मिक जकड़","अचानक थांबणे, अचानक पकडणे"
आकस्मिक संचारण,अपघाती प्रेषण
आकस्मिक विचरण,यादृच्छिक भिन्नता
समंजन,समायोजन
प्रतिस्थित,स्थानबद्ध
संचित त्रुटि,संचित त्रुटी
"संचय, संचयन","जमा करणे, जमा करणे"
ऊर्जा संचय,ऊर्जा साठवण
संचायक*,संचयक*
यथार्थता,अचूकता
यथार्थ,वास्तव
यथार्थ उपकरण प्रेक्षण,वास्तविक साधन निरीक्षण
यथार्थ परास चिह्नक,अचूक श्रेणी मार्कर
यथार्थ क्रमवीक्षण,अचूक स्कॅनिंग
अभ्यसन,सराव
त्वरक कोष्ठ*,प्रवेगक सेल*
अवर्णक लेन्स*,अक्रोमॅटिक लेन्स*
अवर्णक*,अक्रोमॅटिक*
अवर्णक विश्लेषक,अॅक्रोमॅटिक विश्लेषक
आवृत्ति निरपेक्ष ऐन्टेना,वारंवारता तटस्थ अँटेना
अवर्णक आकृति,अक्रोमॅटिक आकार
अवर्णक फ्रिंज,अक्रोमॅटिक फ्रिंज
अवर्णक लेन्स*,अक्रोमॅटिक लेन्स*
अवर्णक बिन्दु पथ,अक्रोमॅटिक पॉइंट पथ
अवर्णक अभिदृश्य लेन्स,अॅक्रोमॅटिक लेन्स
अवर्णक प्रिज़्म,अॅक्रोमॅटिक प्रिझम
अवर्णक दूरदर्शक,अॅक्रोमॅटिक टेलिस्कोप
अवर्णकता*,रंगद्रव्य*
अवर्णीकरण*,अॅक्रोमॅटायझेशन*
अवर्णकता*,अक्रोमॅटिकता*
"एक्लास्टिक, अनपवर्तनिक, अवपवर्तनी","लवचिक, अपवर्तक, अपवर्तक"
"एकॉर्न नली, बंजु नली","एकोर्न नळी, बंजू नळी"
लघु वाल्व,सूक्ष्म झडप
एकूफ़ोनी,इकोफोनी
ध्वानिक,ध्वनिक
ध्वानिक अवशोषकता,ध्वनिक शोषकता
ध्वानिक क्षीणन गुणांक,ध्वनिक क्षीणन गुणांक
ध्वानिक क्षीणनांक,ध्वनिक क्षीणन
ध्वानिक चोर अलार्म,ध्वनिक चोर अलार्म
ध्वानिक धारिता,ध्वनिक क्षमता
श्रवण-केन्द्र,श्रवण केंद्र
ध्वानिक स्पष्टकारी,ध्वनिक स्पष्टीकरण
ध्वानिक छदपट्ट,ध्वनिक आवरण
ध्वानिक अनुवृत्ति,ध्वनिक प्रतिसाद
ध्वानिक घटक,ध्वनिक घटक
ध्वानिक चालकता,ध्वनिक चालकता
ध्वानिक अवमंदन,ध्वनिक ओलसर
ध्वानिक परिक्षेपण,ध्वनिक फैलाव
ध्वनि हासक,ध्वनी हॅकर
ध्वानिक ऊर्जा*,ध्वनिक ऊर्जा*
ध्वनिक ऊर्जा समीकरण,ध्वनिक ऊर्जा समीकरण
ध्वानिक समीकरण,ध्वनिक समीकरण
ध्वानिक पुनर्निवेश,ध्वनिक पुनर्स्थापना
क्लैडनी आकृतियाँ,क्लॅडनी आकार
ध्वानिक फ़िल्टर,ध्वनिक फिल्टर
ध्वनि जनित्र,ध्वनी जनरेटर
ध्वानिक ग्रेटिंग,ध्वनिक जाळी
ध्वानिक प्रतिबाधा*,ध्वनिक प्रतिबाधा*
ध्वानिक जड़त्व,ध्वनिक जडत्व
ध्वानिक तीव्रता,ध्वनिक तीव्रता
ध्वानिक व्यतिकरणमापी,ध्वनिक हस्तक्षेप मीटर
ध्वानिक अतिक्रमण संसूचक,ध्वनिक हस्तक्षेप डिटेक्टर
ध्वानिक लेन्स,ध्वनिक लेन्स
ध्वनि लाइन,ध्वनी ओळ
ध्वानिक संहति,ध्वनिक वस्तुमान
ध्वानिक सामग्री,ध्वनिक साहित्य
ध्वानिक माध्य मुक्त पथ,ध्वनिक अर्थ मुक्त मार्ग
ध्वानिक विधा,ध्वनिक मोड
ध्वानिक रव,ध्वनिक आवाज
ध्वानिक ओम*,ध्वनिक ओम*
"ध्वानिक पैनल, ध्वानिक पट्ट","ध्वनिक पॅनेल, ध्वनिक मंडळ"
ध्वानिक प्रावस्था स्थिरांक,ध्वनिक टप्पा स्थिर
ध्वानिक उद्ग्राही,ध्वनिक प्राप्तकर्ता
ध्वानिक दाब,ध्वनिक दाब
ध्वनि का समरूपता नियम,ध्वनीचा सममिती नियम
ध्वानिक संचरणांक,ध्वनिक प्रसारण
ध्वानिक गुणधर्म,ध्वनिक गुणधर्म
ध्वानिक चतुर्ध्रुवी,अकौस्टिक क्वाड्रपोल
ध्वानिक विकिरक अवयव,ध्वनिक विकिरण घटक
ध्वनिक विकिरण,ध्वनिक विकिरण
ध्वनि-विकिरक,ध्वनीरोधक
ध्वानिक-विकिरणमापी,ध्वनिक रेडिओमीटर
ध्वानिक प्रतिघात,ध्वनिक प्रतिसाद
ध्वानिक पारस्पर्य प्रमेय,ध्वनिक परस्पर प्रमेय
ध्वानिक अपचयन गुणक,ध्वनिक घट घटक
ध्वानिक परावर्तन गुणांक,ध्वनिक परावर्तन गुणांक
ध्वानिक अपवर्तन,ध्वनिक अपवर्तन
ध्वानिक प्रतिरोध,ध्वनिक प्रतिकार
ध्वानिक अनुक्रियता,ध्वनिक प्रतिसाद
ध्वानिक प्रकीर्णन,ध्वनिक विखुरणे
श्रवण-बिन्दु,श्रवण बिंदू
ध्वानिक दुर्नम्यता,ध्वनिक कडकपणा
ध्वानिक तंत्र,ध्वनिक प्रणाली
ध्वानिक तापमापी,ध्वनिक थर्मामीटर
ध्वानिक-वेग,ध्वनिक वेग
ध्वनि तरंग,ध्वनी लहर
ध्वानिक,ध्वनिक
ध्वनि अवशोषण गुणांक,ध्वनी शोषण गुणांक
ध्वनि अवशोषण घटक,ध्वनी शोषण घटक
ध्वानिक परिपथ,ध्वनिक सर्किट
ध्वानिक अनुवृत्ति,ध्वनिक प्रतिसाद
ध्वानिक विलंब लाइन,ध्वनिक विलंब रेखा
ध्वानिक विरूपण,ध्वनिक विकृती
ध्वानिक और्जिकी,ध्वनिक ध्वनीशास्त्र
ध्वानिक फ़िल्टर,ध्वनिक फिल्टर
ध्वानिक प्रतिबाधा*,ध्वनिक प्रतिबाधा*
ध्वनि-भ्रामिका,फोनोग्राफ
ध्वानिक ओम*,ध्वनिक ओम*
ध्वानिक कला नियतांक,ध्वनिक स्थिरांक
ध्वानिक फ़ोनान,ध्वनिक फोनन
ध्वानिक संचरण नियतांक,ध्वनिक प्रसारण स्थिर
ध्वनि परिवर्तन गुणांक,ध्वनी रूपांतरण गुणांक
ध्वानिक प्रतिरोध,ध्वनिक प्रतिकार
ध्वानिक दुर्नम्यता,ध्वनिक कडकपणा
ध्वनि-मात्रक,ध्वनी युनिट
ध्वनिरूद्ध,ध्वनीरोधक
ध्वानिक पार्श्व रेखा,अकौस्टिक साइड लाइन
