Kannada,Malayalam
ಅಬೆಲಿಯನ್ ಗುಂಪು,അബെലിയൻ ഗ്രൂപ്പ്
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,അബെലിയൻ സെമിഗ്രൂപ്പ്
ಅಬ್ಸಿಸ್ಸಾ,abscissa
ಸಂಪೂರ್ಣ,കേവല
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,കേവലമായ ഒത്തുചേരൽ
ಸಂಪೂರ್ಣ ದೋಷ,സമ്പൂർണ്ണ പിശക്
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,കേവല പരമാവധി
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,സമ്പൂർണ്ണ മിനിമം
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,യഥാർത്ഥ മൂല്യം
ಸಂಪೂರ್ಣ ವೇಗ,കേവല വേഗത
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,അമൂർത്ത ബീജഗണിതം
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
ವೇಗವರ್ಧನೆ,ത്വരണം
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,സ്വീകാര്യമായ നിലവാരം
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,സ്വീകാര്യമായ ശ്രേണി
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,സ്വീകാര്യമായ വിശ്വാസ്യത നില
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,സ്വീകാര്യമായ സാമ്പിൾ
ಸಂಚಿತ ದೋಷ,സഞ്ചിത പിശക്
ನಿಖರತೆ,കൃത്യത
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,പ്രവർത്തന ശക്തി
ಕ್ರಮ,നടപടി
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,പ്രവർത്തനവും പ്രതികരണവും
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,യഥാർത്ഥ ശാസ്ത്രം
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,നിശിത കോണുള്ള ത്രികോണം
ಅಸೈಕ್ಲಿಕ್,അസൈക്ലിക്
ಸೇರಿಸಿ,ചേർക്കുക
ಸೇರಿಸುವವನು,ചേർക്കുന്നയാൾ
ಜೊತೆಗೆ,കൂട്ടിച്ചേർക്കൽ
ಸೇರ್ಪಡೆ ಸೂತ್ರ,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
ಸಂಯೋಜಕ ಗುಂಪು,സങ്കലന ഗ്രൂപ്പ്
ಸಂಯೋಜಕ ವಿಲೋಮ,വിപരീത വിപരീതം
ಸಂಯೋಜಕ ಆಸ್ತಿ,അഡിറ്റീവ് പ്രോപ്പർട്ടി
ಸಂಕಲನ,അഡിറ്റിവിറ്റി
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
ಪಕ್ಕದ,തൊട്ടടുത്തുള്ള
ಪಕ್ಕದ ಕೋನಗಳು,അടുത്തുള്ള കോണുകൾ
ಪಕ್ಕದ ಶೃಂಗ,തൊട്ടടുത്തുള്ള ശീർഷകം
ಹೊಂದು,ചേരുക
ಪಕ್ಕದ,തൊട്ടടുത്തുള്ള
ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ,അനുബന്ധ ഡിറ്റർമിനന്റ്
ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
ಸಂಯೋಜಿತ ಸಮೀಕರಣ,അനുബന്ധ സമവാക്യം
ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,അനുബന്ധ മാട്രിക്സ്
ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ,മാട്രിക്സിന്റെ അനുബന്ധം
ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ,അനുവദനീയമായ അനുമാനം
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,എയറോഡൈനാമിക് ശക്തി
ವಾಯುಬಲವಿಜ್ಞಾನ,എയറോഡൈനാമിക്സ്
ಅಫೈನ್ ಜ್ಯಾಮಿತಿ,അഫൈൻ ജ്യാമിതി
ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್,അഫൈൻ മാപ്പിംഗ്
ಅಫೈನ್ ರೂಪಾಂತರ,അഫൈൻ പരിവർത്തനം
ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ,അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ
ಬೀಜಗಣಿತ,ബീജഗണിതം
ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ,ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,ബീജഗണിത സമവാക്യം
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,ബീജഗണിത പദപ്രയോഗം
ಬೀಜಗಣಿತ ರೂಪ,ബീജഗണിത രൂപം
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,ബീജഗണിത പ്രവർത്തനം
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,ബീജഗണിത ജ്യാമിതി
ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ,ബീജഗണിത ഗുണിതം
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,ബീജഗണിത വ്യവസ്ഥ
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം
ಹಂಚಿಕೆ ಸಮಸ್ಯೆ,വിഹിതം പ്രശ്നം
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,അക്ഷരമാലാ ക്രമം
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,അക്ഷരമാലാക്രമം
ಪರ್ಯಾಯ ಕೋನ,ഇതര കോൺ
ಪರ್ಯಾಯ ರೂಪ,ഒന്നിടവിട്ട രൂപം
ಪರ್ಯಾಯ ಗುಂಪು,ഇതര ഗ്രൂപ്പ്
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ഒന്നിടവിട്ട മാട്രിക്സ്
ಪರ್ಯಾಯ ಸರಣಿ,ഒന്നിടവിട്ട പരമ്പര
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,ഇതര സിദ്ധാന്തം
ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ,ഇതര ഒപ്റ്റിമ
ಪರ್ಯಾಯ ಫಲಿತಾಂಶ,ഇതര ഫലം
ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ,അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,അനലോഗ് കമ്പ്യൂട്ടർ
ವಿಶ್ಲೇಷಣೆ,വിശകലനം
ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ,സഹവർത്തിത്വത്തിന്റെ വിശകലനം
