Malayalam,Kannada
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
ഒഴിഞ്ഞുമാറുക,ವ್ಯಭಿಚಾರ
അടിമത്തം നിർത്തലാക്കൽ,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
ആദിവാസികൾ,ಮೂಲನಿವಾಸಿಗಳು
അബ്രഹാം യുഗം,ಅಬ್ರಹಾಂ ಯುಗ
ഹാജരാകാത്ത ഭൂവുടമകൾ,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
അക്കാദമി,ಅಕಾಡೆಮಿ
അക്ര സമ്മേളനം,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
സമാഹരണങ്ങൾ,ಸಂಚಯಗಳು
സംസ്കരണം,ಸಂಸ್ಕಾರ
അസെൽഡാമ,ಅಸೆಲ್ಡಾಮಾ
അച്ചായൻ (=അച്ചിയൻ),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
അക്രോപോളിസ്,ಆಕ್ರೊಪೊಲಿಸ್
ആക്റ്റ ദിയുർന,ಆಕ್ಟಾ ಡೈರ್ನಾ
ആക്റ്റ സെനറ്റസ്,ಆಕ್ಟಾ ಸೆನಾಟಸ್
ആക്റ്റ് അഡീഷണൽ,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
സെറ്റിൽമെന്റ് നിയമം,ವಸಾಹತು ಕಾಯಿದೆ
പരസ്യ കരാർ മുദ്ര,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
