Kannada,English
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,Abaxial surface
ಹೊಟ್ಟೆ,Abdomen
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,Abdominal aorta
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,Abdominal ganglia
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,Abelmoschus esculentus
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,Aberration
ಅಬ್ಬರ,Abies
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,Abingdon tortoise
ಕ್ಷು ತನ್ನತೆ,Abiogenesis
ಅಸಹ್ಯವಾದ,Abiotic
ಉದಾಸೀಯ ಅಂಶ,Abiotic factor
ಅಸಹಜ ಮೂತ್ರ,Abnormal urine
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,ABO blood group
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,Abscisic acid
ಕಂದಿಸುವುದು,Abscission
ಹೀರಿಕೊಳ್ಳಿ,Absorb
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,Absorption peak
ಹೀರುವಿಕೆ,Absorption
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,Acacia catechu
ಅಕ್ಯಾಬಿಕಾ,Acaria arabica
ಅಣಕಾದ,Acaprin
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,Acceptable sexual behaviour
ಪರಿಕರ ಗ್ರಂಥಿ,Accessory gland
ಪರಿಕರ ಗ್ರಂಥಿ,Accessory gland
ಪರಿಕರ ಅಂಗ,Accessory organ
ಒಗ್ಗೂಡಿಸುವಿಕೆ,Acclimatization
ಒಗ್ಗಿಸು,Acclimatize
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),Accommodation (focusing)
ಕಣ್ಣಿನ ವಸತಿ,Accommodation of eye
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,Accretionary growth
ಸಂಗ್ರಹಣೆ,Accumulation
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,Accumulation of organic matter
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,Accumulation of soil
ಉಭಯಾಕಾರದ,Acellular
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,Acellular organism
ಅಸೆಟಾಬುಮ್,Acetabulum
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,Acetaldehyde
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,Acetyl coenzyme
ಕಸ,Achatina
ಮೊಲ ಪ್ರಕಾರ,Achene type
ಉಂಗುರ,Achene
ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ,Achlamydosporeae
ಆಮ್ಲ ಮಳೆ,Acid rain
ಆಮ್ಲೀಯ,Acidic
ಆಮ್ಲೀಯ ಅನಿಲ,Acidic gas
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,Acidity
ಅಸಿನಾರ್ ಕೋಶ,Acinar cell
ಜಾಮಕೀಯ,Acoelomate
