Hindi,Odiya
"1.एबेकस ,2. गिनतारा",ଆବାକସ୍ |
असामान्य समापन,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
अवरोधन,ପରିତ୍ୟାଗ
"1. निरपेक्ष ,2. परम",ସଂପୂର୍ଣ୍ଣ
निरपेक्ष पता,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
निरपेक्ष पताभिगमन,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
निरपेक्ष कोडांतरक,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",ସଂପୂର୍ଣ୍ଣ କୋଡ୍
निरपेक्ष समादेश,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
निरपेक्ष अनुदेश,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
निरपेक्ष विधा,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
निरपेक्ष पथ,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
अमूर्त वर्ग,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
अमूर्त आंकड़ा प्रकार,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
अमूर्त मशीन,ବିସ୍ତୃତ ମେସିନ୍ |
अमूर्त प्रतीक,ବିସ୍ତୃତ ପ୍ରତୀକ |
अमूर्त वाक्य विन्यास,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
स्वीकृति परीक्षण,ଗ୍ରହଣ ପରୀକ୍ଷା
अभिगम प्रमाणन,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
"1. अभिगम कूट ,2. अभिगम कोड",ପ୍ରବେଶ କୋଡ୍
अभिगम नियंत्रण,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
