English,Hindi
Abaxial surface,अपाक्ष पृष्ठ
Abdomen,उदर
Abdominal aorta,उदर महाधमनी
Abdominal ganglia,उदर गुच्छिका
Abelmoschus esculentus,अबेलमॉस्कस एस्कुलेन्टस
Aberration,विपथन
Abies,ऐबीज (बलूत)
Abingdon tortoise,ऐबिंग्डन कछुआ
Abiogenesis,अजीवात्जनन
Abiotic,अजीवीय
Abiotic factor,"अजीवीय कारक, अजैव कारक"
Abnormal urine,अपसामानय मूत्र
ABO blood group,ए.बी.ओ. रुधिर वर्ग
Abscisic acid,एब्सिसिक अम्ल
Abscission,विलगन
Absorb,अवशोषण करना
Absorption peak,अवशोषण शिखर
Absorption,अवशोषण
Acacia catechu,अकेशिया कैटेच्यू
Acaria arabica,अकेशिया अरेबिका (बबूल)
Acaprin,ऐकैप्रिन
Acceptable sexual behaviour,स्वीकार्य लैंगिक व्यवहार
Accessory gland,सहायक ग्रंथि
Accessory gland,अतिरिक्त ग्रंथि
Accessory organ,सहायक अंग
Acclimatization,"पर्यनुकूलन, दशानुकूलन"
Acclimatize,"पर्यनुकूलित करना, दशानुकूलित करना"
Accommodation (focusing),समंजन (फोकसन)
Accommodation of eye,नेत्र की समंजन क्षमता
Accretionary growth,अभिवर्धी वृद्धि
Accumulation,"संचय, संचयन"
Accumulation of organic matter,कार्बनिक पदार्थों का एकत्रीकरण
Accumulation of soil,मृदा संचयन
Acellular,अकोशिकीय
Acellular organism,अकोशिकीय जीव
Acetabulum,"श्रोणिउलूखल, ऐसीटैबुलम"
Acetaldehyde,ऐसीटेल्डिहाइड
Acetyl coenzyme,ऐसीटिल सह-ऐंजाइम
Achatina,ऐकेटाइना
Achene type,ऐकीन प्रकार
Achene,ऐकीन
Achlamydosporeae,ऐक्लेमाइडोस्पोरी
Acid rain,अम्ल वर्षा
Acidic,अम्लीय
Acidic gas,अम्लीय गैस
Acidity,अम्लता
Acinar cell,गुच्छकोष्ठक कोशिका
Acoelomate,अगुहिक
Aconitum,ऐकोनिटम
Acorn worm,"एकॉर्न कृमि, बंजुक कृमि"
Acoustic zoning,"ध्वानिक मंडलन, ध्वानिक जोननिर्माण"
Acquired character,उपार्जित लक्षण
Acquired immunity,उपार्जित प्रतिरक्षा
Acquired immuno deficiency syndrome (AIDS),उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स)
Acrania,ऐक्रैनिया
Acridine dye,एक्रिडीन रंजक
Acrocentric,अग्रकेंद्री
Acromion,अंसकूट
Acropetal sequence,अग्राभिसारी अनुक्रम
Acropetal order,अग्राभिसारी क्रम
Acrosin,एक्रोसिन
Actin,ऐक्टिन
Actin-like protein,ऐक्टिन-सम प्रोटीन
Actinomorphic,त्रिज्यासममित
Actinomycetes,एक्टिनोमाइसिटीज
Action potential,क्रिया विभव
Activated sludge,सक्रियित आपंक
Activated sludge floc,सक्रियित आपंक फ्लॉक
Activation energy,सक्रियण ऊर्जा
Active absorption,सक्रिय अवशोषण
Active immunity,सक्रिय प्रतिरक्षा
Active radiation,सक्रिय विकिरण
Active site,सक्रिय स्थल
Activin,ऐक्टिविन
Acuminate,लंबाग्र
Adamsia,ऐडैम्सिया
Adaptability,अनुकूलनशीलता
Adaptation,अनुकूलन
Adaptation to light regime,प्रकाश प्रवृत्ति के प्रति अनुकूलन
Adaptation to water scarcity,जलाभाव के प्रति अनुकूलन
Adaptive characteristics,अनुकूली (अभि) लक्षण
Adaptive immunity,अनुकूली प्रतिरक्षा
Adaptive radiation,अनुकूली विकिरण
Adaptive trait,अनुकूली विशेषक
Adaxial surface,अभ्यक्ष पृष्ठ
Addictive disorder,व्यसनी विकार
Adenine,ऐडेनीन
Adenocorticotropin,ऐडिनोकॉर्टिकोट्रॉपिन
Adenohypophysis,ऐडेनोहाइपोफाइसिस
Adenosin diphosphate,ऐडेनोसिन डाइफास्फेट
Adenosine deaminase,ऐडेनोसिन डीएमीनेज
Adenosine monophosphate,ऐडेनोसिन मोनोफॉस्फेट
Adenosine triphosphate (ATP),ऐडेनोसिन ट्राइफॉस्फेट
Adenylate cyclase,एडेनिलेट साइक्लेज
Adhesive force,आसंजी बल
Adipate,ऐडिपेट
Adipocyte (fat cell),वसाणु (वसा कोशिका)
Adipose tissue,वसा ऊतक
Adnate,संलग्न
Adjoining community,संलग्न समुदाय
Adrenal,अधिवृक्क
Adrenal gland,अधिवृक्क ग्रंथि
Adrenocorticotropic hormone (ACTH),एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन
Adrenocorticotropic releasing hormone (ACTRH),एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन
Adsorbent,अधिशोषक
Adsorption,अधिशोषण
Advanced chordate,उन्नत कशेरुकी
Advantageous mutation,लाभकारी उत्परिवर्तन
Adventitial,बाह्य कंचुक
Adventitious root,अपस्थानिक जड़
Adverse effect,प्रतिकूल प्रभाव
Aedes,ईडीज
Aeration of culture,संवर्ध-वातन
Aerenchyma,वायूतक
Aerial,"वायव (वि.), एरियल (सं.)"
Aerial root,वायव जड़
Aerial shoot,वायव प्ररोह
Aerobic respiration,वायु श्वसन
Aerobic respiration,ऑक्सी श्वसन
Aesthetics,सौंदर्यबोध
Aestivation,पुष्पदल विन्यास
Aestivation,ग्रीष्मनिष्क्रियता
Afferent,अभिवाही
Affinity chromatography,बंधुता वर्णलेखन
Afflicted organ,ग्रसित अंग
Afforestation,वनरोपण
Agamospermy,अनिषेकबीजता
Agar,ऐगार
Agarose,ऐगेरोस
Agarose gel eletrophoresis,ऐगेरोस जेल वैद्युतकण संचलन
Agarose polymer gel,एगेरोस बहुलक जेल
Agast,एगास्ट
Agave,अगेव
Age distribution,आयु अनुसार वितरण
Age pyramid,आयु पिरैमिड
Agglutination,आश्लेषण
Aggregate,पुंज
Aggregate of follicle,पुटक पुंज
Aggregate of follicle,पुटक समुच्चय
Aggregation,"समुच्चय, समुच्चयन"
Aggressiveness,आक्रामकता
Agitator system,प्रक्षोभक तंत्र
Agnatha,ऐग्नेथा
Agouti,अगूटी
Agranal chloroplast,ग्रेना-रहित हरितलवक
Agranular,"अकणकीय, रवाहीन"
Agranulocyte,अकणिकाणु
Agriculture,"कृषि, खेती"
Agroforestry,कृषिवानिकी
Agrobacterium mediated,"ऐग्रोबैक्टीरियम माध्यित, कृषि-जीवाणु माध्यित"
Agrobacterium tumefaciens,ऐग्रोबैक्टीरियम टूमिफेसियन्स
Agrochemical,कृषि-रसायन
Agrochemical,कृषि रसायनिक
Agroclimatic zone,कृषि-जलवायु अंचल
Agronomic trait,सस्यीय विशेषक
Agronomy,सस्यविज्ञान
AIDS,एड्स
Air bladder,वायु आशय
Air conditioner,वातानुकूलक
Air passage,वायु पथ
Air pollution,वायु प्रदूषण
Air sac,वायु कोश
Air vacuole,वायु धानी
Air-breathing,वायु-श्वसन
Alain,एलेन
Alary muscle,पक्षाकार पेशी
Alaskan brown bear,अलास्काई भूरा भालू
Albino,वर्णकहीन
Albugo,ऐल्बूगो
Albumin,ऐल्बूमिन
Albuminous seed,ऐल्बूमिनी बीज
Albuminuria,"ऐल्बूमिनमेह, ऐल्बूमिन्यूरिया"
Alburnum,"रसकाष्ठ, एल्बर्नम"
Alcedae,ऐल्सीडी
Aldehyede,ऐल्डिहाइड
Aldosterone system,ऐल्डोस्टेरोन तंत्र
Aldosterone,ऐल्डोस्टेरोन
Aleurone layer,ऐल्यूरॉन परत
Aleuroplast,ऐल्यूरोप्लास्ट
Alfalfa,ऐल्फाल्फा
Algal bloom,शैवाल प्रस्फुटन
Algin,ऐल्जिन
Alien DNA,विजातीय डी. एन. ए
Alien species,विदेशी जाति
Alignment,संरेखण
Alignment,अनुयोजन
Alimentary canal,आहार नाल
Alimentary system,आहार-तंत्र
Alismaceace,ऐलिस्मेसी
Alkaloid,ऐल्केलॉइड
Alkaline,क्षारीय
Alkaptonuria,ऐल्कैप्टनमेह
Allantois,अपरापोषिका
Allele frequency,विकल्पी आवृत्ति
Allele,"विकल्पी, युग्मविकल्पी"
Allelomorphic pair,विकल्पी युग्म
Allergen,"प्रत्यूर्जक, एलर्जन"
Alligator,"नक्र, ऐलिगेटर"
Allium cepa,ऐलियम सीपा
Allogamy,परनिषेचन
Allograft,अपरनिरोप
Allopatric speciation,विस्थानिक जाति-उद्भवन
Allopolyploid,अपरबहुगुणित
Allosteric effect,अपरस्थली प्रभाव
Allosteric enzyme,अपरस्थली एंजाइम
Allosteric inhibitor,अपरस्थलीय संदमक
Allosteric modulation,अपरस्थली मॉडुलन
Allosteric site,अपरस्थलीय स्थान
Allosteric inhibition,अपरस्थली संदमन
Allotetraploid,अपरचतुर्गुणित
Alnus,ऐलनस
Aloe,ऐलो
Along the axon,ऐक्सॉन की दिशा में
Alpha-antitrypsin,ऐल्फा-ऐंटीट्रीप्सिन
Alpha-lactalbumin,"ऐल्फा लैक्टऐल्बूमिन, ऐल्फा-दुग्धऐल्बूमिन"
Alpine climate condition,अल्पाइन जलवायवीय परिस्थिति
Alpine meadow,अल्पाइन शाद्वल
Alpine zone,अल्पाइन क्षेत्र
Alstonia,ऐल्स्टोनिया
Alternaria,आल्टर्नेरिया
Alternate,एकांतर
Alternation of generation,पीढ़ी-एकांतरण
Altitude sickness,तुंगता अस्वस्थता
Altitude,तुगंता
Alveolar duct,कूपिका वाहिनी
Alytes,एलाइटीज
Alzheimer's disease,ऐल्जाइमर रोग
