Bengali,Marathi
অ্যাবায়োটিক প্রজনন,अजैविक पुनरुत्पादन
প্যারানরমাল,अलौकिक
1. চতুর্থ পেট 2. Evomasome,1. चौथे पोट 2. इवोमासोम
স্টোমাটাল বৃদ্ধি অঙ্গ,रंध्र वाढीचा अवयव
স্তব্ধ বৃদ্ধি বীজ,वाढ खुंटलेले बीज
1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা,1. अवांछित तण 2. पूर्ण तण
শোষিত ক্যাটান,शोषलेले केशन
শোষণ,शोषण
আবিসিনিয়ান সরিষা,Abyssinian मोहरी
1. অ্যাক্যারিসাইড,1. ऍकेरिसाइड
কেন্দ্রমুখী,केंद्राभिमुख
পরিবর্ধন (কোষ),प्रवर्धन (सेल)
অনুমোদিত সহনশীলতা,मंजूर सहिष्णुता
1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
অভিযোজন,रुपांतर
সঞ্চয়,जमा
1. শূন্যতা 2. নির্ভুলতা,1. अचूकता 2. अचूकता
1. অ্যাসারভাউলাস 2. স্পোরোফাইট,1. एसरव्हुलस 2. स्पोरोफाइट
1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন,1. आम्लीकरण 2. आम्लीकरण
1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার,1. ऍसिडोमीटर 2. ऍसिडीमीटर
অম্লতা,आंबटपणा
অ্যাসিডোফাইল,ऍसिडोफाइल
অম্লীয় রক ফসফেট,ऍसिडिफाइड रॉक फॉस्फेट
অ্যাসিডযুক্ত,आम्लीकृत
aquifer,जलचर
অধিগ্রহণ,संपादन
একর,एकर
1. এলাকা 2. এলাকা,1. क्षेत्रफळ 2. क्षेत्रफळ
শেষ বিন্দু ক্রোমোজোম,अंतिम बिंदू गुणसूत्र
দূরদর্শী,पुढे दिसणारा
acrosome,acrosome
actinomycetes,actinomycetes
সক্রিয় কোর,सक्रिय कोर
1. উগ্র 2. তীব্র,1. उग्र 2. तीव्र
অভিযোজনযোগ্যতা,अनुकूलता
কাস্টমাইজেশন,सानुकूलन
1. আনুগত্য 2. আনুগত্য,1. आसंजन 2. आसंजन
sebaceous,सेबेशियस
সমন্বয় সমীকরণ,समायोजन समीकरण
adobe মাটি,adobe माती
ভেজাল,भेसळ करणारा
ectopic,एक्टोपिक
ইসিডিওস্পোর ইসিডিয়াম স্পোর,Isidiospore Isidium बीजाणू
এরোডাইনামিক প্রক্রিয়া,वायुगतिकीय प्रक्रिया
ventral,वेंट्रल
বায়ু করা,वायुवीजन करणे
1. বায়ু 2. আকাশী,1. हवा 2. आकाशी
1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার,1. एरोमीटर 2. एरोमीटर 3. एरोमीटर
এরোসল,एरोसोल
1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা,1. फुलणे 2. उन्हाळी सुप्तता
রোগের বিজ্ঞান,रोग विज्ञान
বনায়ন,वनीकरण
1. আন্দোলন 2. অশান্তি,1. आंदोलन 2. अशांतता
এগমার্ক,Agmark
1. জমি সংক্রান্ত 2. কৃষি,1. जमिनीशी संबंधित 2. कृषी
কৃষি ক্লিনিক,कृषी चिकित्सालय
1. কৃষি শ্রম 2. কৃষি শ্রম,1. शेतमजूर 2. शेतमजूर
কৃষি বিপণন,कृषी विपणन
কৃষি প্রযুক্তি,कृषी तंत्रज्ञान
1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান,1. शेती 2. शेती 3. कृषी विज्ञान
কৃষি বনায়ন,कृषी वनीकरण
কৃষি জীববৈচিত্র্য,कृषी जैवविविधता
কৃষি জৈব ত্রুটি,कृषी सेंद्रिय दोष
কৃষি জীববিজ্ঞান,कृषी जीवशास्त्र
কৃষি-জলবায়ু বৈচিত্র্য,कृषी-हवामान विविधता
কৃষি জলবায়ু অঞ্চল সৃষ্টি,कृषी हवामान क्षेत्र निर्मिती
কৃষি বনবিদ্যা,कृषी वनीकरण
কৃষিবিদ্যা,कृषीशास्त्र
কৃষিবিজ্ঞান,कृषीविषयक
কৃষি যাজক,कृषी खेडूत
ফসল প্রক্রিয়াকরণ,पीक प्रक्रिया
ঘাস বিজ্ঞান,गवत विज्ञान
ফসলের ধরন,पीक प्रकार
এপিফাইট,epiphyte
aikiochi মাটি,aikiochi माती
বর্ণান্ধতা,रंगाधळेपण
আলফিসল,अल्फिसोल
শৈবাল,एकपेशीय वनस्पती
শেওলা রোগ,एकपेशीय वनस्पती रोग
ক্ষার জল,अल्कली पाणी
ক্ষারীয়,अल्कधर्मी
বিকল্প,पर्यायी
অ্যালেলো রসায়ন,allelo रसायनशास्त्र
অ্যালিল,एलील
অ্যালিলোপ্যাথি,ऍलेलोपॅथी
ভেথি ফসল,वेठी पीक
পরিপূর্ণতা,पूर्णता
নিষিক্তকরণ,गर्भाधान
1. আপেক্ষিকতা 2. অ্যালোমেট্রি,1. सापेक्षता 2. अॅलोमेट्री
multiploidy,मल्टिप्लॉइडी
1. প্যারাজিগোসিটি,1. पॅराझिगोसिटी
1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন,1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य
বিকল্প ভূমি ব্যবহার,पर्यायी जमिनीचा वापर
পরিবেশ,वातावरण
সংস্কারক,सुधारक
মাইটোসিস,मायटोसिस
আমীনান,आमीनान
ammonion,अमोनियन
amniferous,amniferous
1. অকার্যকর রূপ 2. অরূপী,1. अप्रभावी रूप 2. अरुपी
উভচর মিশ্রণ,उभयचर मिश्रण
amphoteric,एम्फोटेरिक
মজুদ,साठा करणे
1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব,1. ऍनेरोबिक 2. ऍनेरोबिक जीव
হ্যাপ্লয়েড,हॅप्लॉइड
কৌণিক রোপণ,टोकदार लागवड
পশুপালন,पशुसंवर्धन
প্রাণীর মলমূত্র,प्राण्यांचे मलमूत्र
জীবন্ত শক্তি,जिवंत ऊर्जा
অস্বাভাবিক,विसंगत
এক বছর বয়সী উদ্ভিদ,एक वर्ष जुनी वनस्पती
বার্ষিক,वार्षिक
1. পরমানন্দ 2. উচ্ছ্বাস,1. परमानंद 2. तेज
অ্যানথ্রাক্স,ऍन्थ्रॅक्स
নৃতাত্ত্বিক কারণ,मानववंशजन्य घटक
বেঁচে থাকা,जगणे
1. অ্যান্টিবায়োটিক 2. অ্যান্টিবায়োটিক,1. प्रतिजैविक 2. प्रतिजैविक
বিকর্ষণকারী,तिरस्करणीय
অ্যান্টিঅক্সিডেন্ট,अँटिऑक्सिडंट
অ্যান্টিটক্সিন,अँटीटॉक्सिन
অনামিকা আঙুল,अनामिका
1. এফিড 2. মাহু 3. চেপা,1. ऍफिड 2. महू 3. चेपा
শীর্ষ কুঁড়ি,शीर्ष अंकुर
সর্বোচ্চ কার্যকারিতা,शिखर प्रभावीता
মৌমাছি পালন,मधमाशी पालन
অযৌনতা,लैंगिकता
apoptosis,apoptosis
পরিশিষ্ট,परिशिष्ट
ক্ষুধার্ত,भूक वाढवणारे
প্রয়োগ করা,लागू
জলজ আগাছা,जलीय तण
1. গাছ 2. গাছের বাসিন্দা,1. झाड 2. वृक्षवासी
শাখা,शाखा
প্রোটোবোটানিকাল রেকর্ড,प्रोटोबोटॅनिकल रेकॉर्ड
জোন নম্বর,झोन क्रमांक
1. এলাকা 2. এলাকা,1. क्षेत्रफळ 2. क्षेत्रफळ
শুষ্ক বাস্তুতন্ত্র,कोरडे इकोसिस्टम
cotyledon,cotyledon
সৌরভ,सौरभ
সুগন্ধি উদ্ভিদ,सुगंधी वनस्पती
সুগন্ধি চাল,सुवासिक तांदूळ
ইক্ষু পুষ্পন,इक्षु पुष्पन
অ্যাসেপটিক,ऍसेप्टिक
1. অ্যাসেপটিক 2. অ্যাসেপটিক,1. ऍसेप्टिक 2. ऍसेप्टिक
অস্ত্রোপচার,अलैंगिक पुनरुत्पादन
আকার,आकार
সম্পদ,मालमत्ता
1. আত্তীকরণ 2. আত্তীকরণ,1. आत्मसात करणे 2. आत्मसात करणे
1. সমিতি 2. সমিতি,1. संघटना 2. संघटना
1. কলাম 2. কৃপণতা,1. स्तंभ 2. तुरटपणा
হেটেরোজাইগোসিটি,heterozygosity
1. পূর্বপুরুষ 2. অ্যাটাভিজম,1. पूर्वज 2. Atavism
কণা,कण
1. অনিশ্চয়তা 2. দুর্বলতা,1. पुष्टीकरण 2. कमजोरी
স্ব জোড়া,स्वत: ची जोडणी
অটোলাইসিস,ऑटोलिसिस
1. স্বতঃস্ফূর্ত জারণ 2. স্বতঃস্ফূর্ত জারণ,1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण
স্বয়ং মাল্টিপ্লেক্সড,स्वत: मल्टिप्लेक्स
অক্সিন,ऑक्सिन
1. কাঁপানো 2. টোড,1. हादरले 2. टॉड
পেনাল ভাইরাস,दंडात्मक व्हायरस
1. ব্যাসিলাস 2. ব্যাসিলাস,1. बॅसिलस 2. बॅसिलस
1. ব্যাকটেরিয়া 2. ব্যাকটেরিয়া,1. जीवाणू 2. जीवाणू
ব্যাকটেরিয়াল টক্সিন,जिवाणू विष
ব্যাগাস,बॅगासे
ব্যালেন্স শীট,ताळेबंद
সুষম সার ব্যবহার,संतुलित खतांचा वापर
বার গ্রাফ,बार आलेख
বাকল,झाडाची साल
1. ব্যারোমিটার 2. ব্যারোমিটার,1. बॅरोमीटर 2. बॅरोमीटर
1. গুঞ্জন 2. অদৃশ্য 3. অনুর্বর,1. बजर 2. जड 3. वांझ
1. বেস 2. বেস 3. কাপং,1. बेस 2. बेस 3. कपंग
1. টালা 2. বেসিন,1. तळा 2. खोरे
তালাবিসারি,तलाबिसरी
1. বেসিস্টেরনাম 2. রুট ধারক,1. बेसिस्टर्नम 2. रूट धारक
উপসাগরীয় বর্ষা,गल्फ मान्सून
ফলের উদ্ভিদ,फळ वनस्पती
বিছানা,पलंग
বিছানা উদ্ভিদ,बेड प्लांट
বিছানাপত্র,बेडिंग
বীট গুড়,बीट मोलॅसेस
বেল,घुंगरू
1. স্ট্রিপ 2. ভূখণ্ড,1. पट्टी 2. भूप्रदेश
লাভ-খরচ বিশ্লেষণ,नफा-खर्च विश्लेषण
উচ্চাকাঙ্ক্ষী (স্যাম্পলিং),इच्छुक (नमुना)
দ্বিবার্ষিক গাছপালা,द्विवार्षिक वनस्पती
দ্বিপদ,द्विपद
বায়োফ্যাক্টর,बायोफॅक्टर
জৈবিক জলবায়ু,जैविक हवामान
জৈব শক্তি,जैव ऊर्जा
প্রাণীজগতের বাস্তুসংস্থান,प्राणी पर्यावरणशास्त्र
1. বায়ো-প্রসেসর 2. বায়ো-চুল্লি,1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर
জীবজগৎ,बायोस्फीअर
জৈবিক,जैविक
প্রাণীজগত,प्राणी
ডিভিলিঙ্গি,दिविलिंगी
ধওলান,धवलन
1. প্রধবাসন (রোগ) 2. দমকা রোগ,1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग
মিশ্রন,मिश्रण
1. আংমারী (রোগ) 2. ব্লাইট (রোগ),1. अंगमारी (रोग) 2. अनिष्ट (रोग)
1. ফোস্কা 2. ফোস্কা 3. বিস্ফোরণ 4. ফোস্কা,1. फोड 2. फोड 3. उद्रेक 4. फोड
নীল বিপ্লব,निळी क्रांती
প্ল্যানার হিটিং চেম্বার,प्लॅनर हीटिंग चेंबर
প্ল্যানার হিটিং প্রযুক্তি,प्लॅनर हीटिंग तंत्रज्ञान
তুষ,कोंडा
শাখা,शाखा
1. ডালপালা 2. উপশাখা,1. डहाळी 2. उपशाखा
বংশবৃদ্ধি,जाती
প্রজনন,पुनरुत्पादन
প্রাথমিক অঙ্কুর চিকিত্সা,लवकर उगवण उपचार
1. বাচ্চা 2. ডিম 3. ভ্রূণ,1. शावक 2. अंडी 3. गर्भ
উদীয়মান,होतकरू
বাজেট,बजेट
1.অ্যাম্ফোটেরিক 2. বাফার,1.अॅम्फोटेरिक 2. बफर
মিষ্টি আলু,रताळे
বান্ট (রোগ),बंट (रोग)
1. উপজাত 2. উপজাত,1. उप-उत्पादन 2. उप-उत्पादन
c আর্দ্রতা স্পেসিফিকেশন বক্ররেখা,c ओलावा तपशील वक्र
তেল পিষ্টক,तेल केक
1. চুন 2. ক্যালসিয়াম,1. चुना 2. कॅल्शियम
ক্যালসিয়ন,कॅल्शिअन
ফসফেট অপসারণ,फॉस्फेट काढणे
1. কিনাটা 2. কালটা,1. किनटा 2. कॅलाटा
1.ক্যালাস 2. রশ্মি,1.कॉलस 2. किरण
1. সেপালস 2. ক্যালিক্স,1. सेपल्स 2. कॅलिक्स
বহির্মুখী শেষ,बाह्य टोक
এধা,इधा
ক্যানকার (ব্যাকটেরিয়াজনিত রোগ),कॅन्कर (जीवाणूजन्य रोग)
ক্যানিং,कॅनिंग
আকাশ,आकाश
অর্থায়ন,वित्त
পরাগায়ন (ডুমুরের),परागकण (अंजीराचे)
1. ক্যাপসুল 2. ক্যাপসুল 3. ক্যাপসুল,1. कॅप्सूल 2. कॅप्सूल 3. कॅप्सूल
কার্বনাইজড,कार्बनयुक्त
কার্বনান,कार्बनन
ক্যারাপেস,कॅरॅपेस
ব্রেসলেট,ब्रेसलेट
1. ঢালাই (লোহা) 2. ক্ষিপ্তি (পোকা),1. कास्टिंग (लोह) 2. क्षिती (कीटक)
catabolism,अपचय
প্ররোচনা,प्रलोभन
1. শুঁয়োপোকা 2. শুঁয়োপোকা,1. सुरवंट 2. सुरवंट
গ d. এন. ক সংগ্রহ,c d. एन. a संकलन
পরিসীমা,श्रेणी
1. কোষ 2. কোষ,1. सेल 2. सेल
কেন্দ্রীয় ফ্রন্ট সিস্টেম,मध्यवर्ती फ्रंट सिस्टम
1. পয়েন্ট 2. ফোকাস,1. पॉइंट 2. फोकस
কেন্দ্রীকরণ,केंद्रापसारक
সেন্ট্রিফিউজ,अपकेंद्रित्र
তারকা কেন্দ্র,तारा केंद्र
এপিজেনেটিক,epigenetic
কেন্দ্রজা,केंद्रजा
তাঁত,यंत्रमाग
1. সিরিয়াল 2. সিরিয়াল,1. तृणधान्ये 2. मालिका
1. সার্টিফিকেশন 2. সার্টিফিকেশন,1. प्रमाणन 2. प्रमाणन
প্রত্যয়িত বীজ,प्रमाणित बियाणे
1. খড় 2. কুট্টি 3. শলক সহপাত্র,1. पेंढा 2. कुट्टी 3. शलक सहपात्रा
1. নিভাগ 2. কৈলাজা,1. निभाग 2. कैलाजा
কাইমোগ্রাফি,किमोग्राफी
1. কিয়াজমা 2. ব্যস্ত,1. कियाज्मा 2. व्यस्त
সুপার কুলিং ঘন্টা,सुपर कूलिंग तास
তুষারপাত ক্ষতি,दंव नुकसान
1. ভিচিরোটাকি 2. কাইমেরা,1. विचिरोटकी 2. चिमेरा
সবুজ porridge,हिरवी लापशी
1. পাতা 2. সবুজ,1. पर्णसंभार 2. हिरवा
সায়ানোসিস,सायनोसिस
জৈবিক বিতরণ বিজ্ঞান,जैविक वितरण विज्ञान
1. ক্রোমাটিডস 2. অর্ধেক ক্রোমোজোম,1. क्रोमेटिड्स 2. अर्धा गुणसूत्र
ক্রোমাটিন,क्रोमॅटिन
ক্রোমাটোগ্রাফি,क्रोमॅटोग्राफी
ক্রোমাটিনলেশন,क्रोमॅटिनलेशन
অলিন্দ বিন্দু,अलिंद बिंदू
ক্রোমাটোজেনেসিস,क्रोमेटोजेनेसिस
1. ক্রোমোপ্রোটিন 2. পিগমেন্টপ্রোটিন,1. क्रोमोप्रोटीन 2. पिगमेंटप्रोटीन
1. ক্রোমোজোম 2. ক্রোমোজোম,1. गुणसूत्र 2. गुणसूत्र
1. দীর্ঘস্থায়ী 2. দীর্ঘস্থায়ী 3. দীর্ঘস্থায়ী 4. অপ্রচলিত,1. क्रॉनिक 2. क्रॉनिक 3. क्रॉनिक 4. अप्रचलित
citrange,सायरेंज
শরৎ উৎসব,गडी बाद होण्याचा क्रम
শ্রেণীবিভাগ,वर्गीकरण
1. কাদামাটি 2. কাদামাটি,1. चिकणमाती 2. चिकणमाती
1. পরিষ্কার করা 2. স্ক্রাবিং 3. পরিষ্কার করা 4. পরিশোধন,1. स्वच्छता 2. स्क्रबिंग 3. स्वच्छता 4. शुद्धीकरण
অবিরাম পরাগায়ন,सतत परागण
ক্রুসিফেরাস ফল,क्रूसिफेरस फळ
জলবায়ু,हवामान
জলবায়ুবিদ্যা,हवामानशास्त्र
শিয়ার,कातरणे
পিণ্ড (কাদামাটি),ढेकूळ (चिकणमाती)
ক্লোন,क्लोन
1.মেঘ 2.মেঘ,1.ढग 2.ढग
clump,गठ्ठा
গুচ্ছ,घड
1. মোটা 2. রুক্ষ 3. কাঁচা 4. রুক্ষ,1. खडबडीत 2. उग्र 3. कच्चा 4. खडबडीत
1. কভার 2. লেদারেট,1. कव्हर 2. लेदररेट
কোয়া,कोया
1. কোএনজাইম 2. কো-এনজাইম,1. कोएन्झाइम 2. को-एंझाइम
সংহতি,एकसंधता
1. ফাইবার (পাট পাট) 2. নারকেল মোটা,1. फायबर (ज्युट ज्यूट) 2. नारळ भरड
মুলাঙ্কুর চোলা,मुलंकुर चोळ
,
কলয়েড (মাটি),कोलोइड (माती)
1.কলাম 2.columella,1.स्तंभ 2.columella
1. শাস্তি 2. কলাম 3. কলাম,1. दंड 2. स्तंभ 3. स्तंभ
যোগাযোগ,सहभागिता
বাণিজ্যিক ব্যাংক,व्यावसायिक बँक
1. পণ্য 2. পণ্যদ্রব্য,1. वस्तू 2. व्यापारी माल
সম্প্রদায়,समुदाय
কম্প্যাকশন (মাটির),कॉम्पॅक्शन (मातीचे)
1. সামঞ্জস্যতা 2. সামঞ্জস্য,1. सुसंगतता 2. सुसंगतता
সামঞ্জস্য,सुसंगतता
1. ক্ষতিপূরণ 2. ক্ষতিপূরণ,1. भरपाई 2. भरपाई
প্রতিযোগিতামূলক মিথস্ক্রিয়া,स्पर्धात्मक संवाद
সম্পূরক ফসল,पूरक पीक
1. যৌগিক 2. জটিল,1.संमिश्र 2.जटिल
গঠনকারী,घटक
গঠন,रचना
কম্পোস্ট,कंपोस्ट
চক্রবৃদ্ধিহারে সুদ,चक्रवाढ व्याज
গণনা,गणना
1. কম্পিউটার 2. কম্পিউটার,1. संगणक 2. संगणक
1. একাগ্রতা 2. একাগ্রতা,1. एकाग्रता 2. एकाग्रता
1. অপ্টিমাইজার 2. পুনরুজ্জীবিতকারী,1. अनुकूलक 2. पुनरुज्जीवन करणारा
পরিবাহিতা,वाहकता
1. কনফিগারেশন 2. কনফিগারেশন,1. कॉन्फिगरेशन 2. कॉन्फिगरेशन
1. সামঞ্জস্য 2. কনফিগারেশন 3. সামঞ্জস্য,1. अनुरूपता 2. कॉन्फिगरेशन 3. अनुरूपता
1. ইন্টিগ্রেশন 2. হাইব্রিডাইজেশন,1. एकत्रीकरण 2. संकरीकरण
সংযোজন,संयुग्मन
1. সংযোজক 2. সংযোগকারী,1. जोडणारा 2. संयोजी
সুরক্ষা,संरक्षण
একত্রীকরণের,एकत्रीकरण
1. উপাদান 2. উপাদান,1.घटक 2. घटक
ভোক্তা,ग्राहक
খরচ,वापर
দূষণ,दूषित होणे
কনট্যুর রোপণ,समोच्च लागवड
কনট্যুর লাইন,समोच्च रेखा
1. কন্ট্রাক্ট ফার্মিং 2. কন্ট্রাক্ট ফার্মিং 3. কন্ট্রাক্ট ফার্মিং,1. कॉन्ट्रॅक्ट फार्मिंग 2. कॉन्ट्रॅक्ट फार्मिंग 3. कॉन्ट्रॅक्ट फार्मिंग
নিয়ন্ত্রিত বায়ুমণ্ডলীয় স্টোরেজ,नियंत्रित वातावरणीय संचयन
সমবায় ব্যাংক,सहकारी बँक
সমবায় সমিতির সদস্য,सहकारी संस्था सदस्य
গুলমাভান,गुलमावन
cubed,चौकोनी तुकडे
1. ডালপুঞ্জ 2. করোলা,1. दालपुंज 2. कोरोला
1. কর্টেক্স 2. কর্টেক্স,1. कॉर्टेक्स 2. कॉर्टेक्स
খরচ,खर्च
cotyledon,cotyledon
ক্রেডিট কমিটি,क्रेडिट समिती
1. ঋণ 2. ক্রেডিট,1. कर्ज देणे 2. क्रेडिट
1. ঋণদাতা 2. পাওনাদার,1. सावकार 2. कर्जदार
1. ক্রেস্ট 2. শীর্ষবিন্দু 3. স্পায়ার,1. क्रेस्ट 2. शिरोबिंदू 3. स्पायर
প্রত্যাহার,मागे घेणे
সমস্যা,समस्या
পরীক্ষা,चाचणी
সমালোচনামূলক,गंभीर
শস্য বীমা,पीक विमा
ফসল ঋণ,पीक कर्ज
