Hindi,Malayalam
एसीडायड,ആസിഡോയിഡ്
जलोढ़ मृदा,അയോലിയൻ മണ്ണ്
समुच्चय,ആകെത്തുകയായുള്ള
समुच्चयन,സമാഹരണം
सस्य मृदा विज्ञान,അഗ്രോളജി
सस्य विज्ञान,അഗ്രോണമി
"A-संस्तर, A-होराइजन",എ-ചക്രവാളം
Ao-संस्तर/Ao-होराइजन,Ao-ചക്രവാളം
Aoo-संस्तर/होराइजन,Aoo-ചക്രവാളം
मृदा की वायु धारिता,മണ്ണിന്റെ വായു ശേഷി
मृदा का वायु अंग,മണ്ണിന്റെ വായു ഉള്ളടക്കം
वायु पिक्नोमीटर,എയർ പിക്നോമീറ്റർ
एलीटिक मृदा,അല്ലിറ്റിക് മണ്ണ്
जलोढ़ मृदा,എക്കൽ മണ്ണ്
एम्फोलीटायड,ആംഫോളിറ്റോയ്ഡ്
ऋणायन,അനിയോൺ
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;"
कोर,ആരിസ്
बारीक वराश्म चिनाई,അഷ്ലാർ നല്ല കൊത്തുപണി
वराश्म चिनाई,ആഷ്ലാർ കൊത്തുപണി
अस्तरीय मृदा/अक्षेत्रीय मृदा,അസോണൽ മണ്ണ്
कर्ष खनित्र,പിന്നണി നടൻ
पश्च डाट,പിന്നിലെ കമാനം
पश्च पट्ट,ബാക്ക് ബാൻഡ്
उपटा प्रलेप,ബാക്ക് ബ്രഷ്
पश्च रोधक,തിരികെ പരിശോധിക്കുക
पश्च पटल,ബാക്ക് കൗണ്ടർ
पश्च कर्तन,ബാക്ക് കട്ടിംഗ്
उपटा झोंका अवमंदक,ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ
पश्च नली,ബാക്ക് ഡ്രെയിനേജ്
पश्च पट,ബാക്ക് ഡ്രോപ്പ്
पृष्ठ भरण,തിരികെ പൂരിപ്പിക്കുക
पश्च पट्टिका,ബാക്ക് ഫില്ലറ്റ്
पृष्ठ पल्ला कब्जा,ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്
प्रतीप प्रवाह संयोजन,ബാക്ക് ഫ്ലോ കണക്ഷൻ
प्रतीप प्रवाह निरोधक,ബാക്ക് ഫ്ലോ പ്രിവന്റർ
पश्चांतर,ബാക്ക് ഗേജ്
पश्च नली,പിന്നിലെ ഗട്ടർ
अग्निस्थान पृष्ठ,പിന്നിലെ അടുപ്പ്
पीठ/पृष्ठ भाग,പിന്തുണ
पिछला तख्ता,ബാക്കിംഗ് ബോർഡ്
पश्च दाब,പിന്നിലെ മർദ്ദം
पश्च टेक,ബാക്ക് പ്രോപ്പ്
पश्चावलोकन,പിന്നാമ്പുറ കാഴ്ച
पश्चजल,പിൻ വെള്ളം
व्यारोध,തടസ്സപ്പെടുത്തുക
थैला पुशताबंदो,ബാഗ് വർക്ക്
गिट्टी,ബാലസ്റ്റ്
बॉल मृत्तिका,പന്ത് കളിമണ്ണ്
बॉल शंकुआकार शिकंजा,ബോൾ കോൺ ക്ലാമ്പ്
काँटेदार तार,മുള്ളുകമ്പി
छड़ कुत्ता,ബാർ നായ
त्रयंकी पार्श्व फलक,ബാർജ് ബോർഡ്
बेरियम सल्फेट परीक्षण,ബേരിയം സൾഫേറ്റ് പരിശോധന
बैराज,തടയണ
बरेट,ബാരറ്റ്
क्षार,അടിസ്ഥാനം
बेस विनिमय,അടിസ്ഥാന കൈമാറ്റം
आधार रेखा,അടിസ്ഥാന ലൈൻ
तहखाना/अधोभवन,നിലവറ
अधोगृह भित्ति,ബേസ്മെൻറ് മതിൽ
आधार पट्टिका,അടിസ്ഥാന പ്ലേറ്റ്
समायोज्य आधार पट्टिका,"അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന"
क्षार संतृप्ति,അടിസ്ഥാന സാച്ചുറേഷൻ
बेसाइड,ബസോയ്ഡ്
रोड़ा,ബാറ്റ്
स्नानागर व शौच कुण्ड,ബാത്ത് ആൻഡ് ഡബ്ല്യുസി
सलामी खूँटी,ബാറ്റർ കുറ്റി
सलामी पाया,ബാറ്റർ പിയർ
सलामी नियम,ബാറ്റർ ഭരണം
बॉक,ബോൾക്ക് (ബാക്ക്)
खंडक,ബേ
धारक,ചുമക്കുന്നയാൾ
धारण क्षमता,വഹിക്കാനുള്ള ശേഷി
धारक पाइल,ബെയറിംഗ് പൈൽ
धारक स्तर,ബെയറിംഗ് സ്ട്രാറ്റം
आधार तल,കിടക്ക
संस्तरण तल,ബെഡ്ഡിംഗ് വിമാനം
पड़ी दरज,കിടക്ക ജോയിന്റ്
अश्माधार,കിടക്ക പാറ
शयन कक्ष,കിടപ്പുമുറി
मधुमोम,തേനീച്ചമെഴുകിൽ
बैल बॉक्स,മണി പെട്ടി
बैलिंग बकेट,ബെല്ലിംഗ് ബക്കറ്റ്
बैलोफ्राम,ബെല്ലോഫ്രം
पैड़ीदार नींव,ബെഞ്ച് ചെയ്ത അടിത്തറ
पैड़ी बनाना,ബെഞ്ചിംഗ്
निदेश तलचिह्न,ബെഞ്ച് മാർക്ക്
हितलाभ लागत विश्लेषण,ആനുകൂല്യ ചെലവ് വിശകലനം
उपतट,ബെർം
ढालू डेली,ബെവൽഡ് ക്ലോഷർ
संस्तर/B-होराइजन,"ബി-ചക്രവാളം,&quot;ബി-"
बीएट,ബിയാറ്റ്
बंधक,ബൈൻഡർ
बंधक पदार्थ,ബൈൻഡിംഗ് മെറ്റീരിയൽ
बायोट का सिद्धांत,ബയോട്ടിന്റെ സിദ്ധാന്തം
बीटूमन,ബിറ്റുമെൻ
काली मृदा,കറുത്ത പരുത്തി മണ്ണ്
काली मिट्टी,കറുത്ത ഭൂമി
काली शाब्दल मृदा,കറുത്ത ടർഫ് മണ്ണ്
फलक,ബ്ലേഡ്
वात्या भट्टी धातुमल सीमेंट,ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്
खंडीय संरचना,ബ്ലോക്കി ഘടന
बोगी संचलन प्रतिरोध,ബോഗി പ്രതിരോധം
दलदल लोह खनित्र,ബോഗ്-ഇരുമ്പ് അയിര്
चाल (चिनाई की),ബോണ്ട്
बद्ध अवयव,ബന്ധിത അംഗം
बद्ध प्रत्ययित तनन,ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്
बंधक पत्थर,ബോണ്ട് കല്ല്
बद्ध जल,കെട്ടിയ വെള്ളം
पेटिकाकार नाली,ബോക്സ് ഗട്ടർ
बंधनी,ബ്രേസ്
