Odiya,Telugu
ଅସ୍ୱାଭାବିକ |,అసాధారణ
ପରିତ୍ୟାଗ,అబార్ట్
ଅଳିଆ ଆବେଗ,అబ్రేషన్
ଆକସ୍ମିକ,ఆకస్మిక
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,సంపూర్ణ క్షేత్ర బలం
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,సంపూర్ణ ఉష్ణోగ్రత
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,సంపూర్ణ విలువ
ଶୋଷଣ,గ్రహించండి
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,శోషణ సహ-సమర్థత
ଶୋଷଣୀୟ କ୍ଷତି |,శోషణ నష్టం
ବିସ୍ତୃତ,నైరూప్య
ଆକ୍ସଲେରୋମିଟର |,యాక్సిలెరోమీటర్
ଗ୍ରହଣ ପରୀକ୍ଷା,అంగీకార పరీక్ష
ପ୍ରବେଶ,యాక్సెస్
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,యాక్సెస్ నియంత్రణ
ପ୍ରବେଶ ବିନ୍ଦୁ,యాక్సెస్ పాయింట్
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,ప్రాప్యత సమయం
ଅଭିଗମ୍ୟତା |,సౌలభ్యాన్ని
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,సంచిత కణం
ସଠିକତା,ఖచ్చితత్వం
ସଠିକ୍,ఖచ్చితమైనది
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,అచ్రోమాటిక్ లెన్స్
ଏସିଡ୍ |,ఆమ్లము
ଏସିଡ୍ ପ୍ରମାଣ |,యాసిడ్ ప్రూఫ్
ଅମ୍ଳତା,ఆమ్లత్వం
ସ୍ୱୀକୃତି ବିଟ୍,రసీదు బిట్
ଆକାଶବାଣୀ |,శబ్ద
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,ఎకౌస్టిక్ కమ్యూనికేషన్
ଆକାଶବାଣୀ ବିସ୍ତାର,శబ్ద వ్యాప్తి
ଆକାଶବାଣୀ ସମାନତା |,ఎకౌస్టిక్ ఈక్వలైజర్
ଆକାଶବାଣୀ ମତାମତ |,శబ్ద అభిప్రాయం
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,శబ్ద వడపోత
