Punjabi,Marathi
ਐਸਿਡੌਇਡ,ऍसिडॉइड
ਏਓਲੀਅਨ ਮਿੱਟੀ,एओलियन माती
ਕੁੱਲ,एकूण
ਐਗਰੀਗੇਸ਼ਨ,एकत्रीकरण
ਖੇਤੀ ਵਿਗਿਆਨ,कृषीशास्त्र
ਖੇਤੀ ਵਿਗਿਆਨ,कृषीशास्त्र
ਏ-ਹੋਰੀਜ਼ਨ,A-क्षितिज
ਆਉ-ਦਿਮਾਗ,Ao-क्षितिज
ਆਉ—ਅੰਦਾਜ਼,Aoo-क्षितिज
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,मातीची हवेची क्षमता
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,मातीतील हवेचे प्रमाण
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,एअर पिकनोमीटर
ਐਲੀਟਿਕ ਮਿੱਟੀ,ऍलिटिक माती
ਐਲਵੀਅਲ ਮਿੱਟੀ,गाळाची माती
ਐਮਫੋਲੀਟੋਇਡ,अॅम्फोलायटॉइड
ਐਨੀਅਨ,आयन
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
ਅਰਿਸ,ऍरिस
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,Ashlar दंड दगडी बांधकाम
ਐਸ਼ਲਰ ਚਿਣਾਈ,Ashlar दगडी बांधकाम
ਅਜੋਨਲ ਮਿੱਟੀ,अझोनल माती
ਪਿਛਲਾ ਅਦਾਕਾਰ,मागचा अभिनेता
ਪਿਛਲਾ arch,मागची कमान
ਬੈਕ ਬੈਂਡ,बॅक बँड
ਪਿੱਛੇ ਬੁਰਸ਼,मागे ब्रश
ਵਾਪਸ ਜਾਂਚ,परत तपासणी
ਪਿੱਛੇ ਕਾਊਂਟਰ,मागे काउंटर
ਵਾਪਸ ਕੱਟਣਾ,परत कटिंग
ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ,बॅक ड्राफ्ट डँपर
ਬੈਕ ਡਰੇਨ,मागे निचरा
ਬੈਕ ਡਰਾਪ,बॅक ड्रॉप
