Hindi,Marathi
आबेली समूह,अबेलियन गट
आबेली सामिसमूह,अबेलियन अर्धसमूह
भुज,abscissa
"निरपेक्ष, परम, अचर, परिशुद्‌ध",निरपेक्ष
निरपेक्ष अभिसरण,परिपूर्ण अभिसरण
निरपेक्ष त्रुटि,पूर्ण त्रुटी
परम उच्चिष्ठ,परिपूर्ण कमाल
परम निम्निष्ठ,परिपूर्ण किमान
निरपेक्ष मान,परिपूर्ण मूल्य
निरपेक्ष वेग,परिपूर्ण वेग
अमूर्त बीजगणित,अमूर्त बीजगणित
अमूर्त समूह सिद्‌धांत,अमूर्त गट सिद्धांत
त्वरण,प्रवेग
गुरुत्वीय त्वरण,गुरुत्वाकर्षणामुळे प्रवेग
स्वीकार्य वरण-समुच्चय,स्वीकार्य निवड संच
स्वीकार्य गुणता स्तर,स्वीकार्य गुणवत्ता पातळी
स्वीकार्य परिसर,स्वीकार्य श्रेणी
मान्य विश्वसनीयता स्तर,स्वीकार्य विश्वसनीयता पातळी
स्वीकरण-प्रतिचयन,स्वीकार्य नमुना
संचित त्रुटि,संचित त्रुटी
यथार्थता,अचूकता
लगा हुआ बल,अभिनय शक्ती
" क्रिया , कर्म",क्रिया
क्रिया और प्रतिक्रिया,क्रिया आणि प्रतिक्रिया
बीमा विज्ञान,वास्तविक विज्ञान
न्यूनकोण त्रिभुज,तीव्र कोन त्रिकोण
अचक्रीय,अॅसायक्लिक
"योग करना, जोड़ना",जोडा
योजक,जोडणारा
"योग, जोड़, संकलन (स.), योगात्मक (वि.)",या व्यतिरिक्त
योग का सूत्र,जोड सूत्र
सम्मिश्र संख्याओं का योग,जटिल संख्यांची बेरीज
फलनों का योग,कार्ये जोडणे
आव्यूहों का योग,मॅट्रिक्स जोडणे
बहुपदों का योग,बहुपदी जोडणे
प्रायिकताओं का योग,संभाव्यता जोडणे
सदिशों का योग,वेक्टर जोडणे
"योग प्रमेय बेरीज सिद्‌धांत,",अतिरिक्त प्रमेय
योज्य समूह,मिश्रित गट
योज्य व्युत्क्रम,additive inverse
"योज्यता, योगशीलता",अतिरिक्त गुणधर्म
योज्यता,जोड
आसन्नता आव्यूह,संलग्नता मॅट्रिक्स
" संलग्न, निकटवर्ती , आसन्न",समीप
आसन्न कोण,समीप कोन
आसन्न शीर्ष,समीप शिरोबिंदू
सहबद्‌ध करना,संलग्न
"संलग्न संलग्नीत,",शेजारील
सहखंडज सारणिक,संलग्न निर्धारक
संलग्न अवकल समीकरण,संलग्न विभेदक समीकरण
संलग्न समीकरण,संलग्न समीकरण
सहखंडज आव्यूह,संलग्न मॅट्रिक्स
आव्यूह सहखंडज,मॅट्रिक्सचा संलग्न
सहखंडज आव्यूह,मॅट्रिक्स समायोजित करा
ग्राह्य निर्णय फलन,स्वीकार्य निर्णय कार्य
ग्राह्य परिकल्पना,स्वीकार्य गृहीतक
वायुगतिक बल,वायुगतिकीय शक्ती
वायु गतिकी,वायुगतिकी
सजातीय ज्यामिति,affine भूमिती
सजातीय प्रतिचित्रण,affine मॅपिंग
सजातीय रूपांतरण,affine परिवर्तन
समुच्चयी चर,एकत्रित व्हेरिएबल्स
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया",बीजगणित
"बीजतः संवृत, बीजतः",बीजगणितानुसार बंद
बीजीय समीकरण,बीजगणितीय समीकरण
बीजीय व्यंजक,बीजगणितीय अभिव्यक्ती
बीजीय समघात,बीजगणितीय फॉर्म
बीजीय फलन,बीजगणितीय कार्य
बीजीय ज्यामिति,बीजगणितीय भूमिती
बीजीय बहुकता,बीजगणितीय गुणाकार
बीजीय निकाय,बीजगणित प्रणाली
सर्व-पूर्णांक समस्या,सर्व-पूर्णांक समस्या
"नियतन समस्या वाटपप्रश्न,",वाटप समस्या
अक्षरात्मक संकेत पद्‌धति,वर्णक्रमानुसार नोटेशन
अक्षरात्मक संप्रतीक,वर्णमाला वर्ण
एकांतर कोण,पर्यायी कोन
"एकांतर समघात प्रत्यावर्ती रूप,",पर्यायी फॉर्म
एकांतर समूह,पर्यायी गट
एकांतर आव्यूह,पर्यायी मॅट्रिक्स
एकांतर श्रेणी,पर्यायी मालिका
वैकल्पिक परिकल्पना,पर्यायी गृहीतक
वैकल्पिक इष्टमत,पर्यायी ऑप्टिमा
वैकल्पिक परिणाम,पर्यायी परिणाम
अनुरूप-अंकीय परिवर्तक,अॅनालॉग-टू-डिजिटल कनवर्टर
"अनुरूप कम्प्यूटर,",अॅनालॉग संगणक
विश्लेषण,विश्लेषण
सहप्रसरण-विश्लेषण,सहप्रसरणाचे विश्लेषण
गणन-आंकड़ों का विश्लेषण,गणना डेटाचे विश्लेषण
प्रसरण-विश्लेषण,भिन्नतेचे विश्लेषण
विश्लेषिक ज्यामिति,विश्लेषणात्मक भूमिती
विश्लेषिक फलन,विश्लेषणात्मक कार्य
कोण,कोन
स्पर्श-कोण,संपर्क कोन
विक्षेप-कोण,विक्षेपण कोन
अवनमन-कोण,उदासीनता कोन
विचलन-कोण,विचलन कोन
विवर्तन-कोण,विवर्तन कोन
उन्नयन-कोण,उंचीचा कोन
आपतन-कोण,घटनेचा कोन
प्रक्षेप-कोण,प्रक्षेपण कोन
परावर्तन-कोण,परावर्तन कोन
अपवर्तन-कोण,अपवर्तन कोन
घूर्णन-कोण,रोटेशनचा कोन
पूर्ण परावर्तन-कोण,एकूण परावर्तनाचा कोन
कोणीय त्वरण,कोनीय प्रवेग
कोणीय गति,कोणीय गती
कोणीय चाल,कोनीय गती
कोणीय वेग,कोनीय गती
वलयिका,वलय
उत्तर,उत्तर
प्रति-अवकलज,विरोधी व्युत्पन्न
प्रतिसममित फलन,विषमताविरोधी कार्य
"आच्छाद्य , अनु प्रयोज्य, लागू",लागू
"अनुप्रयोग उपयोजन,",अर्ज
अनुप्रयुक्त गतिशील प्रोग्रामन,लागू डायनॅमिक प्रोग्रामिंग
अनुप्रयुक्त ज्यामिति,लागू भूमिती
अनुप्रयुक्त गणित,लागू गणित
अनुप्रयुक्त सांख्यिकी,लागू आकडेवारी
"सन्निकटतः, लगभग",अंदाजे
सन्निकटतः संतत फलन,अंदाजे सतत कार्य
"स्थूल विधि, सन्निकट विधि",अंदाजे पद्धत
सन्निकट हल,अंदाजे उपाय
सन्निकटन-समस्या,अंदाजे समस्या
सन्निकटन-गुणधर्म,अंदाजे मालमत्ता
अभिक्षमता-परीक्षावली,योग्यता चाचणी बॅटरी
आरगाँ आरेख,आर्गंड आकृती
स्वेच्छगहीतृ,अनियंत्रितपणे निवडले
"स्वेच्छ, यादृच्छिक",अनियंत्रित
स्वेच्छ अचर,अनियंत्रित स्थिरांक
स्वेच्छ अवयव,अनियंत्रित घटक
स्वेच्छ बिन्दु,अनियंत्रित बिंदू
आर्किमीडी नियम,आर्किमेडियन कायदा
आर्किमीडीज़ का नियम,आर्किमिडीज तत्त्व
"चाप-दैर्घ्य, चाप-लम्बाई",चाप लांबी
वत्तृ चाप,वर्तुळाचा चाप
प्रतिलोम ज्या बंटन,आर्क साइन वितरण
प्रतिलोम ज्या रूपांतरण,चाप साइन परिवर्तन
" क्षेत्र , क्षेत्रफल",क्षेत्र
क्षेत्रीय विन्यास,क्षेत्रीय पोत
सम्मिश्र संख्या का कोणांक,जटिल संख्येचा युक्तिवाद
समांतर माध्य,अंकगणित सरासरी
अंकीय संक्रिया,अंकगणित ऑपरेशन
अंकीय एकक,अंकगणित एकक
"विन्यास, व्यवस्था",व्यवस्था
"व्यूह , सरणी",रचना
कृत्रिम उपग्रह,कृत्रिम उपग्रह
कृत्रिम चर,कृत्रिम व्हेरिएबल
आरोहण करना,चढणे
आरोही,चढत्या
परिमाण का आरोही क्रम,परिमाणाचा चढता क्रम
आरोही श्रेणी,चढत्या मालिका
कोडांतरक भाषा,असेंबलर भाषा
"नियतन समस्या नियतन प्रश्न,",असाइनमेंट समस्या
साहचर्य नियम,सहयोगी कायदा
संकारकों का साहचर्य नियम,ऑपरेटर्सचा सहयोगी कायदा
साहचर्य-संक्रिया,सहयोगी ऑपरेशन
सहचारिता,सहवास
कल्पित माध्य,सरासरी गृहीत धरले
कल्पित प्रायिकता बंटन,गृहीत संभाव्यता वितरण
" कल्पना , गृहीत,",गृहीतक
ज्योतिष,ज्योतिष
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",अंतराळवीर अभियंता
खगोलज्ञ*,खगोलशास्त्रज्ञ
खगोलीय घड़ी,खगोलशास्त्रीय घड्याळ
खगोलिकी,खगोलशास्त्र
असममित वक्र,असममित वक्र
असममिति,विषमता
अनंतस्पर्शी,लक्षणे
उपगामी,लक्षणे नसलेला
उपगामी दक्ष आकलक,असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता
उपगामी अनभिनत आकलक,asymptotically निष्पक्ष अंदाजकर्ता
उपगामी आचरण,लक्षणे नसलेले वर्तन
उपगामी बंटन-फलन,एसिम्प्टोटिक वितरण कार्य
उपगामी प्रसार,एसिम्प्टोटिक विस्तार
वायु मंडलीय दाब,वातावरणाचा दाब
"यदृच्छया,",यादृच्छिकपणे
गुण*,विशेषता
गुण-प्रतिचयन-क्रियाविधि,गुणधर्म नमुना प्रक्रिया
संवर्धित आव्यूह,संवर्धित मॅट्रिक्स
स्वसहसंबंध गुणांक,स्वयंसंबंध गुणांक
स्वसहसंबंध फलन,स्वयंसंबंध कार्य
स्वसहप्रसरण,autocovariance
स्वचालित अभिकलित्र,स्वयंचलित संगणक
स्वसमाश्रयण,ऑटोरिग्रेशन
सहायक समीकरण,सहाय्यक समीकरण
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),सरासरी नमुना क्रमांक वक्र (ASN वक्र)
" स्वयंसिद्‌ध , अभिगृहीत",स्वयंसिद्ध
अभिगहीती दृष्टिकोण,स्वयंसिद्ध दृष्टीकोन
प्रायिकता अभिगृहीत,संभाव्यतेचे स्वयंसिद्ध
अक्ष,अक्ष
भुजाक्ष,abscissa चा अक्ष
भू-अक्ष,पृथ्वीचा अक्ष
परिक्रमण-अक्ष,क्रांतीची अक्ष
घूर्णन अक्ष,रोटेशनचा अक्ष
प्रचक्रण-अक्ष,फिरकीचा अक्ष
पश्च-प्रतिस्थापन,परत प्रतिस्थापन
पश्चांतर,मागास फरक
पश्च अंतर्वेशन-सूत्र,बॅकवर्ड-इंटरपोलेशन सूत्र
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना",शिल्लक
संतुलित अभिकल्पना,संतुलित डिझाइन
तुलन-पत्र,ताळेबंद
प्रक्षेपास्त्र,बॅलिस्टिक क्षेपणास्त्र
"प्राक्षेपिकी, अस्त्र विज्ञान",बॅलिस्टिक्स
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार",बार
"आधार , क्षारक , अधम , मूल , बेस",पाया
आधार कोण,बेस कोन
"लघुगणक का आधार, लॉगरिथ्म का आधार",लॉगरिदमचा आधार
"आधारी, मूल,",मूलभूत
आधारी सुसंगत हल,मूलभूत व्यवहार्य उपाय
आधारी हल,मूलभूत उपाय
आधारी चर,मूलभूत चल
आधारक,आधार
आधार अवयव,आधार घटक
आधारी आव्यूह,आधार मॅट्रिक्स
सदिश समष्टि का आधार,वेक्टर स्पेसचा आधार
उपसमष्टि का आधार,सबस्पेसचा आधार
बेज़-आकल,बायसियन अंदाज
बेज़-नियम,बायसचा कायदा
बेज़-प्रमेय,बायसचे प्रमेय
बर्नूली-बंटन,बर्नौली वितरण
बर्नूली संख्या,बर्नौली क्रमांक
बर्नूली प्रायिकता-फलन,बर्नौली संभाव्यता कार्य
बर्नूली-समीकरण,बर्नौलीचे समीकरण
बेरी फलन,बेरी फंक्शन
श्रेष्ठतम आसंजन,सर्वोत्तम फिट
श्रेष्ठतम आसंजन रेखा,सर्वोत्तम - फिट लाइन
सर्वोत्तम हल,सर्वोत्तम उपाय
सर्वोत्तम युक्तियाँ,सर्वोत्तम धोरणे
बीटा बंटन,बीटा वितरण
"अभिनति, बायस",पक्षपात
अभिनत आकल,पक्षपाती अंदाज
द्विप्रसंवादी समीकरण,बिहारमोनिक समीकरण
एकैकी आच्छादन,द्विभाजन
एकैकी आच्छादी प्रतिचित्र,द्विभाषिक नकाशा
एकैकी आच्छादी प्रतिचित्रण,द्विजात्मक मॅपिंग
द्विएकघाती समघात,द्विरेखीय फॉर्म
द्विरैखिक फलन,द्विरेखीय कार्य
द्विरैखिक हर्मिटीय समघात,द्विरेखीय हर्मिटियन फॉर्म
"द्वि-चर, द्वि-आधारी, द्वयी",बायनरी
