Hindi,English
ए बी वर्ग प्रवर्धक,A B amplifier
"विपथन, अपेरण",aberration
असामान्य संचरण,abnormal propagation
"असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित",abrupt
लुप्त स्पेक्ट्रम,absent spectrum
"निरपेक्ष, परम, अचर, परिशुद्ध",absolute
निरपेक्ष आर्द्रता,absolute humidity
निरपेक्ष गति,absolute motion
निरपेक्ष प्रेक्षण,absolute observation
परम ताप,absolute temperature
परम शून्य,absolute zero
अवशोषण करना,absorb
"अवशोषक, अवशोषी",absorber
अवशोषण सामर्थ्य,absorbing power
अवशोषणांश,absorptance
अवशोषी,absorptive
अवशोषकता,absorptivity
बाहुल्य अनुपात,abundance ratio
त्वरित करना,accelerate
त्वरित,accelerated
त्वरण,acceleration
गुरुत्व त्वरण,acceleration of gravity
त्वरक,accelerative
"त्वरित्र, त्वरक",accelerator
त्वरणमापी,accelerometer
प्राक्प्रबलक,accentuator
स्वीकारी परीक्षण,acceptance test
"ग्राही, स्वीकारी",acceptor
आदाता अणु,acceptor molecule
"अभिगम, प्रतीक्षा, अभिगम्यता",access
अभिगम्यता,accessibility
"अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)",accessory
अभिगम काल,access time
आगन्तुक त्रुटि,accidental error
समंजन,accommodation
संचित,accumulated
"संचय, संचयन",accumulation
संचायक,accumulator
यथार्थता,accuracy
यथार्थ,accurate
अवर्णक लेन्स,achromat
अवर्णक,achromatic
अवर्णकता,achromatism
ध्वानिक,acoustical
ध्वनिरुद्ध,acoustically insulated
ध्वानिक फ़ओनॉन,acoustical phonon
ध्वनि-मात्रक,acoustical unit
ध्वानिक,acoustic
ध्वनि जनित्र,acoustic generator
क्रिया और प्रतिक्रिया,action and reaction
सक्रियण,activation
सक्रियण उर्जा,"activation, energy"
"सक्रियकारक, सक्रियक",activator
सक्रिय,active
सक्रियता,activity
वास्तविक प्रतिबल,actual stress
क्षिप्र उद्भासन,acute exposure
"योग करना, जोड़ना",add
"योग, जोड़, संकलन (सं.), योगात्मक (वि.)",addition
"संयोजी स्वर, अतिरिक्त टोन (स्वर)",additional tone
"योज्य, योगात्मक",additive
आसंजन,adhesion
आसंजी ऊर्जा,adhesional energy
ऐडियाबैट,adiabat
रुद्धोष्म,adiabatic
उष्मा-अपार्य,adiathermanous
संलग्न,adjacent
समायोज्य,adjustable
प्रवेश्यता,admittance
अधिशोषण,adsorption
अग्रगत,advanced
प्रगामी,advancing
"आकाशी, वायव (वि.), एरियल (सं.)",aerial
ऐन्टेना धारा,aerial current
आकाशी सर्वेक्षण,aerial survey
वायव वेग,aerial velocity
वायुगतिक गुणांक,aerodynamic coefficient
वायुगतिक,aerodynamic
वायुगतिकी,aerodynamics
वैमानिक,aeronautical
वैमानिकी,aeronautics
वायुस्पंद,aeropulse
"वातमंडल, गैसमंडल",aerosphere
अफोकसी तंत्र,afocal system
पश्च ज्वलन,after burning
पश्च दीप्ति,after glow
उत्तरघात,aftershock
"वय, आयु, उम्र, युग (सं.), कालप्रभावित करना (क्रि.), काल, कालप्रभावित होना",age
कालप्रभावित,aged
"कालप्रभावन, जरण",ageing (aging)
कालप्रभावन,aging (=ageing)
