Marathi,Tamil
अॅबॅकस,அபாகஸ்
असामान्य समाप्ती,அசாதாரண நிறுத்தம்
गर्भपात,கருக்கலைப்பு
निरपेक्ष,அறுதி
परिपूर्ण पत्ता,முழுமையான முகவரி
निरपेक्ष संबोधन,முழுமையான முகவரி
परिपूर्ण असेंबलर,முழுமையான அசெம்பிளர்
परिपूर्ण कोड,முழுமையான குறியீடு
निरपेक्ष आज्ञा,முழுமையான கட்டளை
परिपूर्ण डेटा,முழுமையான தரவு
परिपूर्ण सूचना,முழுமையான அறிவுறுத்தல்
परिपूर्ण मोड,முழுமையான பயன்முறை
परिपूर्ण मार्ग,முழுமையான பாதை
परिपूर्ण प्रोग्रामिंग,முழுமையான நிரலாக்கம்
अमूर्त वर्ग,சுருக்க வர்க்கம்
अमूर्त डेटा प्रकार,சுருக்க தரவு வகை
अमूर्त मशीन,சுருக்க இயந்திரம்
अमूर्त चिन्ह,சுருக்க சின்னம்
अमूर्त वाक्यरचना,சுருக்க தொடரியல்
स्वीकृती चाचणी,ஏற்றுக்கொள்ளும் சோதனை
प्रवेश प्रमाणीकरण,அணுகல் அங்கீகாரம்
प्रवेश कोड,அணுகல் குறியீடு
प्रवेश नियंत्रण,நுழைவு கட்டுப்பாடு
प्रवेश स्कॅन,அணுகல் ஸ்கேன்
ऍक्सेसरी,துணை
खाते,கணக்கு
खाते आयडी,கணக்கு ஐடி
संचयक,திரட்டி
अचूकता,துல்லியம்
प्रवेश,அணுகல்
ऍक्सेस कंट्रोल बाइट,அணுகல் கட்டுப்பாட்டு பைட்
प्रवेश निर्देशांक,அணுகல் குறியீடு
प्रवेश की,அணுகல் விசை
ऍक्सेस मॅट्रिक्स,அணுகல் அணி
प्रवेश मोड,அணுகல் முறை
प्रवेश विशेषाधिकार,அணுகல் சலுகை
प्रवेश सुरक्षा,அணுகல் பாதுகாப்பு
ऍक्सेस सर्व्हर,அணுகல் சேவையகம்
प्रवेश वेळ,அணுகல் நேரம்
पोचपावती,ஒப்புகை
ध्वनीशास्त्र,ஒலியியல்
परिवर्णी शब्द,சுருக்கம்
क्रिया संदेश,செயல் செய்தி
सक्रियकरण,செயல்படுத்துதல்
