Kannada,Bengali
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,A B শ্রেণীর পরিবর্ধক
ವಿಪಥನ,বিকৃতি
ಅಸಹಜ ಪ್ರಸರಣ,অস্বাভাবিক সংক্রমণ
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,অনুপস্থিত বর্ণালী
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","পরম, পরম, ধ্রুবক, নিখুঁত"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,পরম আর্দ্রতা
ಸಂಪೂರ್ಣ ವೇಗ,পরম গতি
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,পরম পর্যবেক্ষণ
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,পরম তাপমাত্রা
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,পরম শূন্য
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,শোষণ করা
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","শোষক, শোষক"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,শোষণ ক্ষমতা
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শোষণ
ಹೀರಿಕೊಳ್ಳುವ,শোষক
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শোষণ
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,বহুগুণ অনুপাত
ವೇಗವನ್ನು,ত্বরান্বিত করা
ಆತುರಪಟ್ಟರು,তাড়াতাড়ি
ವೇಗವರ್ಧನೆ,ত্বরণ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,অভিকর্ষের ত্বরণ
ವೇಗವರ್ಧಕ,এক্সিলারেটর
ವೇಗವರ್ಧಕ,এক্সিলারেটর
ವೇಗವರ್ಧಕ,অ্যাক্সিলোমিটার
ಪ್ರಿಸ್ಟ್ರೆಸರ್,prestresser
ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ,গ্রহণযোগ্য পরীক্ষা
ಸ್ವೀಕರಿಸುವವರು,গ্রহণকারী
ದಾನಿ ಅಣು,দাতা অণু
"ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ","অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
ಪ್ರವೇಶಿಸುವಿಕೆ,অ্যাক্সেসযোগ্যতা
"ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)","অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
ಪ್ರವೇಶ ಸಮಯ,প্রবেশাধিকার সময়
ಸಂದರ್ಶಕರ ದೋಷ,ভিজিটর ত্রুটি
ಹೊಂದಾಣಿಕೆ,সমন্বয়
ಸಂಗ್ರಹಿಸಲಾಗಿದೆ,পুঞ্জীভূত
"ಶೇಖರಣೆ, ಶೇಖರಣೆ","accumulation, accumulation"
ಸಂಚಯಕ,সঞ্চয়কারী
ನಿಖರತೆ,সঠিকতা
ರಿಯಾಲಿಟಿ,বাস্তবতা
ವರ್ಣರಹಿತ ಮಸೂರ,অ্যাক্রোমেটিক লেন্স
ವರ್ಣರಹಿತ,অ্যাক্রোমেটিক
ವರ್ಣರಹಿತತೆ,বর্ণহীনতা
ಅಕೌಸ್ಟಿಕ್,শাব্দিক
ಧ್ವನಿ ನಿರೋಧಕ,শব্দরোধী
ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್,শাব্দিক ফোনন
ಧ್ವನಿ ಘಟಕ,শব্দ ইউনিট
ಅಕೌಸ್ಟಿಕ್,শাব্দিক
ಧ್ವನಿ ಜನರೇಟರ್,শব্দ জেনারেটর
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,কর্ম এবং প্রতিক্রিয়া
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,সক্রিয়করণ
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,অ্যাক্টিভেশন শক্তি
"ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್","সক্রিয়কারী, সক্রিয়কারী"
ಸಕ್ರಿಯ,সক্রিয়
ಕ್ರಿಯಾಶೀಲತೆ,সক্রিয়তা
ನಿಜವಾದ ಒತ್ತಡ,প্রকৃত চাপ
ಗುಸುಗುಸು,ফিসফিস
ಒಟ್ಟುಗೂಡಿಸಲು,যোগফল
"ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)","যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)"
"ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)","সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
ಸಂಯೋಜಕ,সংযোজনকারী
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,আনুগত্য
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,আঠালো শক্তি
ಅಡಿಯಾಬಟ್,adiabat
ಅಡಿಯಾಬಾಟಿಕ್,adiabatic
ಶಾಖ ನಿರೋಧಕ,তাপ নিরোধক
ಬಾಂಧವ್ಯ,সংযুক্তি
ಹೊಂದಾಣಿಕೆ,সামঞ্জস্যযোগ্য
