Tamil,Marathi
வெஸ்ட்மின்ஸ்டர் அபே,वेस्टमिन्स्टरचे मठाधीश
துறவு,निषिद्ध
அடிமைத்தனத்தை ஒழித்தல்,गुलामगिरीचे उच्चाटन
பழங்குடியினர்,आदिवासी
ஆபிரகாம் சகாப்தம்,अब्राहम युग
இல்லாத நில உரிமையாளர்கள்,अनुपस्थित जमीनदार
கலைக்கூடம்,अकादमी
அக்ரா மாநாடு,अक्रा परिषद
திரட்டல்கள்,जमा
வளர்ப்பு,संवर्धन
அசெல்டாமா,एसेलडामा
அச்சேயன் (=ஆச்சியன்),आचियन (=अचियन)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),आचियन लीग (=अचियन लीग)
அக்ரோபோலிஸ்,एक्रोपोलिस
ஆக்டா டைர்னா,Acta Diurna
ஆக்டா செனடஸ்,Acta Senatus
Acte Additionel,ऍक्ट अॅडिशनल
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
அடையும் செயல்,प्राप्तकर्त्याची कृती
இழப்பீடு மற்றும் மறதியின் செயல்,नुकसानभरपाई आणि विस्मरणाचा कायदा
தீர்வு சட்டம்,सेटलमेंटचा कायदा
விளம்பர ஒப்பந்த முத்திரை,जाहिरात करार सील
அதுலமைட்டுகள்,अदुल्लामाइट्स
எதிரி,विरोधक
எதிரி,विरोधक
ஏயோன்,एऑन
ஏரேரியம்,एरेरियम
வான்வழிப் போர்,हवाई युद्ध
ஏட்டோலியன் லீக்,एटोलियन लीग
வயது,वय
முதுமை (=வயதான),वृद्धत्व (=वृद्धत्व)
வயதான செயல்முறை,वृद्धत्व प्रक्रिया
அகெலாய்,अगेलाय
வீரத்தின் வயது,पराक्रमाचे वय
அறிவாற்றல் வயது,ज्ञानाचे वय
பெரிக்கிள்ஸ் வயது,पेरिकल्सचे वय
பகுத்தறிவு வயது,कारण वय
விவசாயம்,कृषीवाद
விவசாய இயக்கம்,कृषी चळवळ
அல்பியன்,अल्बिओन
ஆல்பம்,अल्बम
ஆல்டர்மேன்,अल्डरमन
கவர்ச்சியான ஆயுதங்கள்,मोहक हात
அமிட்டி,मैत्री
ஆம்ஃபிக்டியோனிக் கவுன்சில்,एम्फेक्टियोनिक परिषद
ஆம்ஃபிக்டியோனிக் லீக்,एम्फेक्टियोनिक लीग
ஆம்பிதியேட்டர்,अॅम्फिथिएटर
அம்ரி நல் குழு (மட்பாண்டங்கள்),अमरी नल गट (मातीचा)
அனாக்ரோனிசம்,अनाक्रोनिझम
காலமற்ற,अनाक्रोनिस्टिक
மூதாதையர்,पूर्वज
முன்னோர் வழிபாடு,पूर्वजांची पूजा
பரம்பரை,वंशपरंपरा
பரம்பரை,वंशपरंपरा
பரம்பரை,वंशपरंपरा
பரம்பரை,वंशपरंपरा
பண்டைய ஆட்சி,प्राचीन राजवट
பண்டைய,प्राचीन
பழங்கால பாலாட்,प्राचीन बालगीत
பண்டைய நம்பிக்கை,प्राचीन श्रद्धा
பண்டைய வழக்கம்,प्राचीन प्रथा
பண்டைய வரலாறு,प्राचीन इतिहास
பழங்கால நினைவுச்சின்னங்கள்,प्राचीन स्मारके
சிறுகதை,किस्सा
ஏஞ்சலோட்,अँजेलोट
ஏஞ்சலஸ்,एंजलस
ஆஞ்செவின் (=அஞ்செவின்),अँजेविन (=अंजेविन)
கோணங்கள்,कोन
ஆங்கிலிகன்,अँग्लिकन
ஆங்கிலிகன் ஒற்றுமை,अँग्लिकन कम्युनियन
ஆங்கிலிக்கனிசம்,अँग्लिकनवाद
ஆங்கிலோ-போப்,अँग्लो-फोब
ஆங்கிலோ-ஃபோபியா,अँग्लो-फोबिया
ஆங்கிலோ-சாக்சன்,अँग्लो-सॅक्सन
ஆங்கிலோ-சாக்சோனிசம்,अँग्लो-सॅक्सोनवाद
அன்னாலிஸ்ட்,अॅनालिस्ट
அன்னல்,इतिहास
இணைப்பு,संलग्नीकरण
ஆன்டி-பெல்லம்,अँटी-बेलम
முன் தேதி,पूर्वीची तारीख
மதகுருத்துவத்திற்கு எதிரானது,कारकुनविरोधी
மதகுருவுக்கு எதிரான சட்டம்,कारकुनी विरोधी कायदा
பழமை,पुरातन वास्तू
எதிர்ப்பு வாடகை,विरोधी भाडे
எதிர்ப்பு வாடகை,विरोधी भाडे
யூத எதிர்ப்பு,सेमिटिझम विरोधी
அன்சாக்,अँझॅक
அப்பெல்லா,अपेला
அரலு,अरालू
பேராயர்,आर्च बिशप
ஆர்ச் டச்சி,आर्च डची
ஆர்ச் டியூக்,आर्च ड्यूक
காப்பகம் (=காப்பக சேகரிப்பு),आर्काइफ (=अभिलेख संग्रह)
ஆர்க்கிபிஸ்கோபேட்,आर्किपिस्कोपेट
பிரபுத்துவம்,अभिजात वर्ग
பிரபு,कुलीन
பிரபுத்துவ ஸ்னோபரி,खानदानी स्नोबरी
அரிஸ்டாட்டிலியன்,अॅरिस्टोटेलियन
அர்மடா,आरमार
அர்மடா (=ஸ்பானிய அர்மடா),आरमार (=स्पॅनिश आरमार)
கவசக்காரர் (=கவசக்காரர்),आर्मोरिस्ट (= आर्मरिस्ट)
கவசம் (=கவசம்),चिलखत (= चिलखत)
ஆயுதக்கடைக்காரர்,आर्मरिस्ट
ஆர்யன்,आर्यन
ஆர்யன்,आर्यन
அஸ்காரி,अस्करी
ஒதுக்கு,नियुक्त करा
உதவு,Assize
உதவு,Assize
உதவு,Assize
ஆயுதச் சட்டம்,शस्त्रास्त्र कायद्याची मदत
அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்,डॅरेन प्रेझेंटमेंटची मदत
மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்,मॉर्ट &#39;डी&#39; पूर्वजांची मदत
நாவல் Disseisin Assize,कादंबरी Disseisin च्या Assize
கொடுமை,अत्याचार
தாக்குதல்,हल्ला
ஆலிக் கவுன்சில்,ऑलिक कौन्सिल
கோடரியின் கோடாரி (=கெடெஸ் கோடாரி),देवीची कुर्‍हाड (= देवी कुर्हाड)
அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு),अक्ष (=रोम-बर्लिन-टोकियो अक्ष)
பாபிலோன்,बॅबिलोन
பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு),बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद)
