Telugu,Marathi
తగ్గింపు,Uptement
సంక్షిప్తీకరణ,संक्षेप
అపహరణ,अपहरण
Abeyance,अबाधित
సామర్థ్యం,क्षमता
అబ్ ఇనిషియో,अब इनिशिओ
సామర్థ్యం,सक्षम
అసాధారణ,असामान्य
రద్దు,निर्मूलन
నిర్మూలన పోస్ట్,रद्दबातल पोस्ट
పైన పేర్కొన్నారు,वर दिल्याप्रमाणे
పైన కోట్ చేయబడింది,वर उद्धृत
పైన చెప్పారు,वरील म्हणाले
లేకపోవడం,अनुपस्थिती
హాజరుకాని,अनुपस्थित
హాజరుకానితనం,अनुपस्थिति
హాజరుకాని ప్రకటన,अनुपस्थित विधान
సంపూర్ణ,परिपूर्ण
సంపూర్ణ గుత్తాధిపత్యం,परिपूर्ण मक्तेदारी
సంపూర్ణ యాజమాన్యం,परिपूर्ण मालकी
శోషణ,शोषण
నైరూప్య,गोषवारा
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,अमूर्त स्टेटमेंट
అసంబద్ధం,बेशुद्ध
సమృద్ధి,विपुलता
అధికార దుర్వినియోగం,शक्तीचा गैरवापर
దుర్వినియోగ భాష,अपमानास्पद भाषा
విద్యావేత్త,शैक्षणिक
విద్యా చర్చ,शैक्षणिक चर्चा
విద్యా సెలవు,शैक्षणिक रजा
విద్యా అర్హత,शैक्षणिक पात्रता
విద్యా రికార్డు,शैक्षणिक नोंद
ACCEDE,प्रवेश
అంగీకరించండి,स्वीकारा
అంగీకారం,स्वीकृती
కార్యాలయం అంగీకారం,कार्यालय स्वीकारणे
టెండర్ అంగీకారం,निविदा स्वीकारणे
యాక్సెస్,प्रवेश
ప్రవేశం,प्रवेश
అనుబంధ,Ory क्सेसरी
ప్రమాదం,अपघात
అలవాటు,सहनशीलता
వసతి,निवास
తోడు,सोबत
ఒప్పందం,करार
అనుగుణంగా,अनुयायी
దీని ప్రకారం,त्यानुसार
ఖాతా,खाते
జవాబుదారీతనం,उत्तरदायित्व
జవాబుదారీతనం,जबाबदार
అకౌంటెన్సీ,अकाउंटन्सी
అకౌంటెంట్,अकाउंटंट
ఖాతా,साठी खाते
ఖాతా హెడ్,खाते डोके
సేకరించిన ప్రయోజనం,जमा लाभ
పెన్షన్ పెన్షన్,जमा पेन्शन
చేరడం,संचय
ఖచ్చితత్వం,अचूकता
ఖచ్చితమైనది,अचूक
నిందించండి,आरोप
ఆరోపణలు,आरोपी
సాధన,यश
గుర్తింపు,पोचपावती
రసీదు గడువు,पावती देय
పరిచయము,ओळखी
సముపార్జన,संपादन
సముపార్జన,शोध
చట్టం,कायदा
నటన భత్యం,अभिनय भत्ता
చర్య,क्रिया
కార్య ప్రణాళిక,कृती योजना
క్రియాశీల,सक्रिय
చురుకుగా,सक्रियपणे
కార్యకర్త,कार्यकर्ता
దైవఘటన,देवाची करणी
దుష్ప్రవర్తన చర్య,गैरवर्तन कायदा
కమీషన్ మరియు కమీషన్,कमिशनचे कार्य आणि वगळणे
అసలు,वास्तविक
వాస్తవాలు,वास्तविक
అనుసరణ,रुपांतर
అదనంగా,या व्यतिरिक्त
అదనపు ఛార్జ్,अतिरिक्त शुल्क
అదనపు ఫండ్,अतिरिक्त निधी
అదనపు గ్రాంట్,अतिरिक्त अनुदान
అదనపు సమాచారం,अतिरिक्त माहिती
అదనపు వేతనం,अतिरिक्त वेतन
అదనంగా మరియు మార్పు,जोड आणि बदल
చిరునామా,पत्ता
చిరునామా,पत्ता
స్వాగత చిరునామా,स्वागताचा पत्ता
తగినంత,पुरेसे
కట్టుబడి,चे पालन करा
తాత్కాలిక హాక్,अ‍ॅड हॉक
తాత్కాలిక దావా,तदर्थ दावा
తాత్కాలిక కమిటీ,तदर्थ समिती
తాత్కాలిక పెరుగుదల,तदर्थ वाढ
తాత్కాలిక చెల్లింపు,तदर्थ देयक
ప్రక్కనే,समीप
ప్రక్కనే (= పరస్పర),शेजारी (= संमिश्र)
వాయిదా,तहकूब
వాయిదా చలన,तहकूब गती
అనుబంధం,सहभाग
తీర్పు,न्यायाधीश
తీర్పు,निर्णय
న్యాయాధికారి,न्यायाधीश
సర్దుబాటు,समायोजन
నిర్వహించండి,प्रशासकीय
ప్రమాణం చేయండి,शपथ प्रशासित करा
పరిపాలన,प्रशासन
న్యాయం యొక్క పరిపాలన,न्याय प्रशासन
పరిపాలనా,प्रशासकीय
పరిపాలనా చర్య,प्रशासकीय कारवाई
అడ్మినిస్ట్రేటివ్ అప్రైసల్,प्रशासकीय मूल्यांकन
పరిపాలనా ఆమోదం,प्रशासकीय मान्यता
పరిపాలనా అధికారం,प्रशासकीय अधिकार
పరిపాలనా నియంత్రణ,प्रशासकीय नियंत्रण
పరిపాలనా నిర్ణయం,प्रशासकीय निर्णय
పరిపాలనా విభాగం,प्रशासकीय विभाग
అడ్మినిస్ట్రేటివ్ హెడ్,प्रशासकीय प्रमुख
పరిపాలనా ప్రధాన కార్యాలయం,प्रशासकीय मुख्यालय
పరిపాలనా చర్యలు,प्रशासकीय उपाय
పరిపాలనా శక్తి,प्रशासकीय शक्ती
పరిపాలనా అనుమతి,प्रशासकीय मंजुरी
పరిపాలనా సాంకేతికత,प्रशासकीय तंत्र
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,प्रशासकीय न्यायाधिकरण
ప్రవేశం,प्रवेशयोग्यता
ఆమోదయోగ్యమైన వ్యయం,स्वीकार्य खर्च
అంగీకరించండి,कबूल करा
అడ్మిట్ కార్డ్,प्रवेश कार्ड
అంగీకరించారు,दाखल
సలహా,सूचना
దత్తత తీసుకున్న వ్యక్తి,दत्तक
దత్తత,दत्तक
దత్తత,दत्तक
వయోజన,प्रौढ
కల్తీ,भेसळ
వ్యభిచారం,व्यभिचार
వయోజన ఫ్రాంచైజ్,प्रौढ मताधिकार
ప్రకటన విలువ,अ‍ॅड व्हॅलोरम ड्यूटी
అడ్వాన్స్,प्रगती
అడ్వాన్స్ బుకింగ్,अ‍ॅडव्हान्स बुकिंग
ముందస్తు కాపీ,आगाऊ प्रत
ముందస్తు పెరుగుదల,आगाऊ वाढ
ముందస్తు చెల్లింపు,आगाऊ भरणा
ప్రతికూల ప్రవేశం,प्रतिकूल प्रविष्टी
ప్రతికూల వ్యాఖ్యలు,प्रतिकूल टीका
ప్రతికూల నివేదిక,प्रतिकूल अहवाल
ప్రకటన,जाहिरात
సలహా,सल्ला
చెల్లింపు సలహా,देयकाचा सल्ला
సలహా సమితి,सल्लागार समिती
సలహా మండలి,सल्लागार परिषद
న్యాయవాది,वकिली
వ్యవహారాలు,घडामोडी
అఫిడవిట్,प्रतिज्ञापत्र
అనుబంధం,संलग्नता
ధృవీకరణ,पुष्टीकरण
ధృవీకరించేది,होकारार्थी
స్థోమత,परवाना
పైన పేర్కొన్నది,उपरोक्त
అఫ్రెష్,पुन्हा
వ్యతిరేకంగా,विरुद्ध
వయస్సు,वय
వయస్సు ధృవీకరణ పత్రం,वय प्रमाणपत्र
ఓటు హక్కు కోసం వయస్సు,मताधिकार वय
వయో పరిమితి,वय मर्यादा
ఏజెన్సీ,एजन्सी
ఎజెండా,अजेंडा
పదవీ విరమణ వయస్సు,सेवानिवृत्तीचे वय
పర్యవేక్షణ వయస్సు,अधोरेखित वय
సమూహనం,एकत्रिकरण
బాధపడ్డాడు,संताप
ఆందోళన,आंदोलन
AGM,एजीएम
ఒప్పందం,करार
ఒప్పంద ఫారం,करार फॉर्म
వ్యవసాయం,शेती
అగ్రో-ఇండస్ట్రీ,कृषी-उद्योग
సహాయం,मदत
అలారం,गजर
అప్రమత్తత,सतर्कता
అలియాస్,उर्फ
ఆరోపణ,आरोप
విధేయత,निष्ठा
కూటమి,युती
అనుబంధ సేవలు,संबद्ध सेवा
