Bengali,Malayalam
আবেলিয়ান গ্রুপ,അബെലിയൻ ഗ്രൂപ്പ്
আবেলিয়ান সেমিগ্রুপ,അബെലിയൻ സെമിഗ്രൂപ്പ്
abscissa,abscissa
পরম,കേവല
পরম মিলন,കേവലമായ ഒത്തുചേരൽ
পরম ত্রুটি,സമ്പൂർണ്ണ പിശക്
পরম সর্বোচ্চ,കേവല പരമാവധി
পরম সর্বনিম্ন,സമ്പൂർണ്ണ മിനിമം
পরম মান,യഥാർത്ഥ മൂല്യം
পরম বেগ,കേവല വേഗത
বিমূর্ত বীজগণিত,അമൂർത്ത ബീജഗണിതം
বিমূর্ত গ্রুপ তত্ত্ব,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
ত্বরণ,ത്വരണം
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
গ্রহণযোগ্য পছন্দ সেট,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
গ্রহণযোগ্য মানের স্তর,സ്വീകാര്യമായ നിലവാരം
গ্রহণযোগ্য পরিসীমা,സ്വീകാര്യമായ ശ്രേണി
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,സ്വീകാര്യമായ വിശ്വാസ്യത നില
গ্রহণযোগ্য নমুনা,സ്വീകാര്യമായ സാമ്പിൾ
সঞ্চিত ত্রুটি,സഞ്ചിത പിശക്
সঠিকতা,കൃത്യത
অভিনয় শক্তি,പ്രവർത്തന ശക്തി
কর্ম,നടപടി
কর্ম এবং প্রতিক্রিয়া,പ്രവർത്തനവും പ്രതികരണവും
বাস্তব বিজ্ঞান,യഥാർത്ഥ ശാസ്ത്രം
তীব্র কোণযুক্ত ত্রিভুজ,നിശിത കോണുള്ള ത്രികോണം
অ্যাসাইক্লিক,അസൈക്ലിക്
যোগ করুন,ചേർക്കുക
যোগকারী,ചേർക്കുന്നയാൾ
সংযোজন,കൂട്ടിച്ചേർക്കൽ
সংযোজন সূত্র,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
জটিল সংখ্যার সংযোজন,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
ফাংশন সংযোজন,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
ম্যাট্রিক্সের সংযোজন,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
বহুপদ সংযোজন,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
সম্ভাবনার সংযোজন,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
