Gujarati,English
મહારમાન સપાટી,Abaxial surface
પેટ,Abdomen
પેટનો એરોર્ટા,Abdominal aorta
આધાર ગેંગલિયા,Abdominal ganglia
Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ,Abelmoschus esculentus
વિપુલતા,Aberration
નાજુક,Abies
એબિંગ્ડન કાચબો,Abingdon tortoise
સ્વત્વાર્પણ,Abiogenesis
અહંકારી,Abiotic
અભણ પરિબળ,Abiotic factor
અસામાન્ય પેશાબ,Abnormal urine
એબીઓ રક્ત જૂથ,ABO blood group
સદસ્યાટ,Abscisic acid
વિકલાંગતા,Abscission
શોષવું,Absorb
શોષણ ટોચ,Absorption peak
સમાવેશ,Absorption
બાવળ,Acacia catechu
એકરિયા અરબીકા,Acaria arabica
એકર,Acaprin
સ્વીકાર્ય જાતીય વર્તન,Acceptable sexual behaviour
સહાયક ગ્રંથિ,Accessory gland
સહાયક ગ્રંથિ,Accessory gland
સહાયક અંગ,Accessory organ
સ્વાર્થીકરણ,Acclimatization
મામૂલી કરવું,Acclimatize
આવાસ (ધ્યાન કેન્દ્રિત),Accommodation (focusing)
આંખનું સ્થાન,Accommodation of eye
પરિધિ,Accretionary growth
સંચય,Accumulation
કાર્બનિક પદાર્થનું સંચય,Accumulation of organic matter
જમીનનો સંચય,Accumulation of soil
મધ્યમ,Acellular
મધ્ય જીવ,Acellular organism
અકારો,Acetabulum
Ecetaldehyde,Acetaldehyde
એસીટીલ કોએન્ઝાઇમ,Acetyl coenzyme
એકલતા,Achatina
અચેન પ્રકાર,Achene type
અહંકાર,Achene
આચ્છાદન,Achlamydosporeae
એસિડ વરસાદ,Acid rain
અમ્દિન,Acidic
અમ્બલિક ગેસ,Acidic gas
અમલ્ય,Acidity
કોતરણીનો કોષ,Acinar cell
Acાંકણ,Acoelomate
એક જાતની કળા,Aconitum
એકોખી,Acorn worm
ધ્વનિ ક્ષેત્ર,Acoustic zoning
પ્રાપ્ત કરેલું પાત્ર,Acquired character
હસ્તગત પ્રતિરક્ષા,Acquired immunity
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),Acquired immuno deficiency syndrome (AIDS)
ક્રોધાવેશ,Acrania
એસિડાઇન રંગ,Acridine dye
અતિશય,Acrocentric
કરચલી,Acromion
સર્કરો,Acropetal sequence
સરકરાનો હુકમ,Acropetal order
ગળાશ,Acrosin
કાર્ય,Actin
કૃત્ય,Actin-like protein
અભિપ્રાયનું,Actinomorphic
કૃત્ય,Actinomycetes
કાર્ય માટેની ક્ષમતા,Action potential
સક્રિય કાદવ,Activated sludge
સક્રિય કાદવ ફ્લોક,Activated sludge floc
સક્રિય energyર્જા,Activation energy
સક્રિય શોષણ,Active absorption
સક્રિય પ્રતિરક્ષા,Active immunity
સક્રિય કિરણોત્સર્ગ,Active radiation
સક્રિય સ્થળ,Active site
સક્રિય,Activin
અણીદાર,Acuminate
એડ્મસિયા,Adamsia
અનુકૂલનક્ષમતા,Adaptability
અનુકૂલન,Adaptation
પ્રકાશ શાસન માટે અનુકૂલન,Adaptation to light regime
