Gujarati,Bengali
એસિડોઇડ,অ্যাসিডয়েড
એઓલિયન માટી,বায়বীয় মাটি
એકંદર,সমষ্টি
એકત્રીકરણ,সমষ্টি
કૃષિશાસ્ત્ર,কৃষিবিদ্যা
કૃષિવિજ્ઞાન,কৃষিবিদ্যা
A-ક્ષિતિજ,A- দিগন্ত
Ao-ક્ષિતિજ,আও-দিগন্ত
Aoo-ક્ષિતિજ,আও-দিগন্ত
માટીની હવા ક્ષમતા,মাটির বায়ু ক্ষমতা
જમીનની હવાની સામગ્રી,মাটির বায়ু উপাদান
એર પિકનોમીટર,এয়ার পিকনোমিটার
એલિટિક માટી,অ্যালিটিক মাটি
કાંપવાળી માટી,পলিমাটি
એમ્ફોલિટોઇડ,অ্যামফোলাইটয়েড
આયન,অ্যানিয়ন
"દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;","আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;"
એરિસ,আরিস
Ashlar દંડ ચણતર,আশলার সূক্ষ্ম গাঁথনি
Ashlar ચણતર,আশলার রাজমিস্ত্রি
એઝોનલ માટી,অ্যাজোনাল মাটি
પાછળનો અભિનેતા,পেছনের অভিনেতা
પાછળની કમાન,পিছনের খিলান
બેક બેન્ડ,ব্যাক ব্যান্ড
પાછળ બ્રશ,পিছনের ব্রাশ
બેક ચેક,ফিরে চেক
બેક કાઉન્ટર,পিছনে কাউন্টার
પાછળ કટીંગ,পিছনে কাটা
બેક ડ્રાફ્ટ ડેમ્પર,ব্যাক ড্রাফ্ট ড্যাম্পার
બેક ડ્રેઇન,পিছনের ড্রেন
બેક ડ્રોપ,ব্যাকড্রপ
પાછળ ભરો,ব্যাক ফিল
બેક ફીલેટ,ব্যাক ফিললেট
બેક ફ્લૅપ મિજાગરું,পিছনে ফ্ল্যাপ কবজা
બેક ફ્લો કનેક્શન,পিছনে প্রবাহ সংযোগ
બેક ફ્લો નિવારક,পিছনে প্রবাহ প্রতিরোধক
બેક ગેજ,ব্যাক গেজ
પાછળ ગટર,পিছনে নর্দমা
બેક હર્થ,পিছনের চুলা
બેકિંગ,ব্যাকিং
બેકિંગ બોર્ડ,ব্যাকিং বোর্ড
પાછળ ધકેલાતું દબાણ,ফিরতি চাপ
બેક પ્રોપ,পিছনে প্রপ
પાછળની દૃષ્ટિ,পিছনের দৃষ্টি
પાછું પાણી,পিঠের জল
બેફલ,বিভ্রান্ত
બેગવર્ક,ব্যাগওয়ার্ক
બેલાસ્ટ,ব্যালাস্ট
બોલ માટી,বল কাদামাটি
બોલ શંકુ ક્લેમ્બ,বল শঙ্কু বাতা
કાંટાળો તાર,কাঁটাতার
બાર કૂતરો,বার কুকুর
બાર્જ બોર્ડ,বার্জ বোর্ড
બેરિયમ સલ્ફેટ ટેસ્ટ,বেরিয়াম সালফেট পরীক্ষা
બેરેજ,ব্যারেজ
બેરેટ,ব্যারেট
પાયો,বেস
આધાર વિનિમય,বেস বিনিময়
બેઝ લાઇન,বেস লাইন
ભોંયરું,বেসমেন্ট
ભોંયરું દિવાલ,বেসমেন্ট প্রাচীর
બેઝ પ્લેટ,বেস প্লেট
"બેઝ પ્લેટ, એડજસ્ટેબલ","বেস প্লেট, নিয়মিত"
આધાર સંતૃપ્તિ,বেস স্যাচুরেশন
બેસોઇડ,বেসয়েড
બેટ,ব্যাট
સ્નાન અને WC,স্নান এবং WC
સખત મારપીટ,ব্যাটার পেগ
સખત મારપીટ પિયર,ব্যাটার পিয়ার
સખત મારપીટનો નિયમ,ব্যাটারের নিয়ম
બૉલ્ક (બાલ્ક),বাল্ক (বাল্ক)
ખાડી,বে
ધારક,বহনকারী
બેરિંગ ક્ષમતા,ভারবহন ক্ষমতা
બેરિંગ ખૂંટો,ভারবহন গাদা
બેરિંગ સ્ટ્રેટમ,ভারবহন স্তর
પથારી,বিছানা
પથારીનું વિમાન,বেডিং প্লেন
બેડ સંયુક્ત,বেড জয়েন্ট
બેડ રોક,বিছানা শিলা
બેડ રૂમ,শয়নকক্ষ
મીણ,মোম
બેલ બોક્સ,বেল বক্স
બેલિંગ ડોલ,বেলিং বালতি
બેલોફ્રેમ,বেলোফ্রাম
બેન્ચ્ડ ફાઉન્ડેશન,বেঞ্চড ফাউন্ডেশন
બેન્ચિંગ,বেঞ্চিং
બેન્ચ માર્ક,মাপকাঠি
લાભ ખર્ચ વિશ્લેષણ,বেনিফিট খরচ বিশ্লেষণ
બેર્મ,বারম
બેવેલ્ડ બંધ,বেভেলড ক্লোজার
"B-ક્ષિતિજ,&quot;B-","বি-দিগন্ত,&quot;বি-"
બાયટ,বিয়াট
બાઈન્ડર,বাইন্ডার
બંધનકર્તા સામગ્રી,বাঁধাই উপাদান
બાયોટનો સિદ્ધાંત,বায়োটের তত্ত্ব
બીટુમેન,বিটুমেন
કાળી કપાસની માટી,কালো তুলার মাটি
કાળી પૃથ્વી,কালো পৃথিবী
કાળી જડિયાંવાળી જમીન,কালো টার্ফ মাটি
બ્લેડ,ব্লেড
બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ,ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট
બ્લોકી માળખું,অবরুদ্ধ কাঠামো
બોગી પ્રતિકાર,বগি প্রতিরোধ
બોગ-આયર્ન ઓર,বগ-লোহা আকরিক
બોન્ડ,বন্ধন
બંધાયેલા સભ્ય,বন্ডেড সদস্য
બોન્ડેડ પોસ્ટ ટેન્શનિંગ,বন্ধন পোস্ট উত্তেজনা
બોન્ડ પથ્થર,বন্ড পাথর
બંધાયેલ પાણી,আবদ্ধ জল
બોક્સ ગટર,বক্স নর্দমা
તાણવું,বন্ধনী
ઈંટ પર ધાર,ইট-অন-এজ
બ્રિડલ,লাগাম
તેજ,উজ্জ্বলতা
બ્રાઉન માટી,বাদামী মাটি
બિલ્ડીંગ,বিল্ডিং
બિલ્ડીંગ સર્વેયર,বিল্ডিং সার্ভেয়ার
બફર,বাফার
બફર વળાંક,বাফার বক্ররেখা
બફરિંગ,বাফারিং
બફરિંગ ક્ષમતા,বাফার ক্ষমতা
બંદર,বান্দর
બટ્રેસ,বাট্রেস
સી-ક્ષિતિજ,সি-দিগন্ত
કેબલ,তারের
કેબલ મોલ્ડિંગ,তারের ছাঁচনির্মাণ
કેબલિંગ,ক্যাবলিং
કેબિન,কেবিন
કેબિન હૂક,কেবিন হুক
કેબિનેટ,মন্ত্রিসভা
કેબોલ્ટે છોડી દીધું,ক্যাবল্টের পদত্যাগ
કાફેટેરિયા,ক্যাফেটারিয়া
કેજ,খাঁচা
પાંજરાનું બાંધકામ,খাঁচা নির্মাণ
કાઈનનું સૂત્ર,কেইনের সূত্র
કેસોન,কাইসন
કેસોન રોગ,ক্যাসন রোগ
કેસોન ફાઉન્ડેશન,ক্যাসন ফাউন্ডেশন
Caisson ખૂંટો,Caisson pile
કેલ્કેરિયસ ઈંટ,চুনযুক্ত ইট
કેલ્કેરિયસ માટી,চুনযুক্ত কাদামাটি
કેલ્કેરિયસ પોપડો,চুনযুক্ত ভূত্বক
કેલ્સિફિકેશન,ক্যালসিফিকেশন
કેલ્સિનેશન,ক্যালসিনেশন
કેલ્સિન,ক্যালসিন
કેલ્સાઇટ,ক্যালসাইট
કેલ્શિયમ-એલ્યુમિનેટ સિમેન્ટ,ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট
કેલ્શિયમ-સિલિકેટ ઈંટ,ক্যালসিয়াম-সিলিকেট ইট
કેલ્શિયમ-સિલિકેટ હાઇડ્રેટ,ক্যালসিয়াম-সিলিকেট হাইড্রেট
કેલિચે,ক্যালিছে
કેલિફોર્નિયા બેરિંગ રેશિયો,ক্যালিফোর্নিয়া ভারবহন অনুপাত
કેલિપર,ক্যালিপার
કેલરીમીટર,ক্যালোরিমিটার
કેમ્બર,ক্যাম্বার
કેનાલ,খাল
કેનોપી,ক্যানোপি
કેન્ટિલવર ફૂટિંગ,ক্যান্টিলিভার ফুটিং
કેપ,ক্যাপ
ક્ષમતા,ক্ষমতা
એઇલ ટ્રેકની ક્ષમતા,আইল ট্র্যাকের ক্ষমতা
કેપ કેબલ,ক্যাপ তারের
કેપિલેરિટી,কৈশিকতা
કેશિલરી વિરામ,কৈশিক বিরতি
કેશિલરી પ્રવાહ,কৈশিক প্রবাহ
કેશિલરી ભેજ અથવા કેશિલરી પાણી,কৈশিক আর্দ্রতা বা কৈশিক জল
કેશિલરી છિદ્ર જગ્યા,কৈশিক ছিদ্র স্থান
કેશિલરી છિદ્રાળુતા,কৈশিক ছিদ্র
કેશિલરી જગ્યા,কৈশিক স্থান
કેપ્ચર વેગ,ক্যাপচার বেগ
કાર્બોનેશન,কার্বনেশন
કાર્બન બ્લેક,কার্বন কালো
કાસ્ટબલ રીફ્રેક્ટરી,কাস্টবল অবাধ্য
કાસ્ટ-ઇન-પ્લેસ અથવા કાસ્ટ-ઇન-સિટુ,কাস্ট-ইন-প্লেস বা কাস্ট-ইন-সিটু
કાસ્ટ-ઇન-પ્લેસ ખૂંટો,কাস্ট-ইন-প্লেস গাদা
એરંડા,ক্যাস্টর
