Tamil,Assamese
அமிலத்தன்மை,এচিড’ইড
அயோலியன் மண்,ইঅ’লিয়ান মাটি
மதிப்பீட்டு,গোট খোৱা
திரட்டுதல்,সংগ্ৰহ
வேளாண்மை,কৃষি বিজ্ঞান
வேளாண்மை,কৃষি বিজ্ঞান
A- அடிவானம்,এ-দিগন্ত
Ao- அடிவானம்,আও-দিগন্ত
Aoo- அடிவானம்,আও-দিগন্ত
மண்ணின் காற்று திறன்,মাটিৰ বায়ু ক্ষমতা
மண்ணின் காற்றின் உள்ளடக்கம்,মাটিৰ বায়ুৰ পৰিমাণ
காற்று பிக்னோமீட்டர்,এয়াৰ পিকনোমিটাৰ
அல்லிடிக் மண்,এলিটিক মাটি
வண்டல் மண்,জলজ মাটি
ஆம்போலிடாய்டு,এম্ফোলাইট’ইড
அயன்,এনিয়ন
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;","আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;"
அரிஸ்,আৰিছ
Ashlar நன்றாக கொத்து,আছলাৰ মিহি শিলৰ কাম
ஆஷ்லர் கொத்து,আছলাৰ শিলৰ কাম
அசோனல் மண்,এজ’নেল মাটি
பின் நடிகர்,পিঠিৰ অভিনেতা
பின் வளைவு,পিছফালৰ খোলা
பின் இசைக்குழு,বেক বেণ্ড
பின் தூரிகை,পিছফালৰ ব্ৰাছ
மீண்டும் சரிபார்க்கவும்,বেক চেক
பின் கவுண்டர்,বেক কাউণ্টাৰ
முதுகு வெட்டுதல்,পিঠি কাটি থকা
பின் வரைவு damper,বেক ড্ৰাফ্ট ডেম্পাৰ
பின் வடிகால்,বেক ড্ৰেইন
பின் துளி,বেক ড্ৰপ
பின் நிரப்பவும்,বেক ফিল
பின் ஃபில்லட்,পিছফালৰ ফিলেট
பின் மடல் கீல்,বেক ফ্লেপ হিঞ্জ
பின் ஓட்ட இணைப்பு,বেক ফ্ল&#39; সংযোগ
பின் ஓட்டம் தடுப்பான்,বেক ফ্ল’ প্ৰিভেণ্টাৰ
பின் அளவுகோல்,বেক গেজ
பின்புற சாக்கடை,পিছফালৰ নালা
பின் அடுப்பு,পিছফালৰ অগ্নিকুণ্ড
ஆதரவு,বেকিং
பேக்கிங் போர்டு,বেকিং বৰ্ড
பின் அழுத்தம்,পিঠিৰ চাপ
பின் முட்டு,বেক প্ৰপ
பின் பார்வை,পিছফালৰ দৃষ্টি
பின் நீர்,পিছফালৰ পানী
குழப்பம்,বেফেল
பை வேலை,বেগৱৰ্ক
பேலாஸ்ட்,বেলেষ্ট
பந்து களிமண்,বল মাটি
பந்து கூம்பு கவ்வி,বল কন ক্লেম্প
முள்வேலி,কাঁইটীয়া তাঁৰ
பார் நாய்,বাৰ কুকুৰ
விசைப்படகு பலகை,বাৰ্জ বৰ্ড
பேரியம் சல்பேட் சோதனை,বেৰিয়াম ছালফেট পৰীক্ষা
சரமாரி,বেৰেজ
பாரெட்,বেৰেট
அடித்தளம்,ভেঁটি
அடிப்படை பரிமாற்றம்,ভিত্তি বিনিময়
அடிப்படை வரி,ভিত্তি লাইন
அடித்தளம்,বেছমেণ্ট
அடித்தள சுவர்,বেছমেণ্টৰ দেৱাল
அடித்தட்டு,বেচ প্লেট
"அடிப்படை தட்டு, சரிசெய்யக்கூடியது","বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য"
அடிப்படை செறிவு,ভিত্তি পৰিপূৰকতা
பாசாய்டு,বেছ’ইড
வௌவால்,বেট
பாத் மற்றும் WC,বাথ আৰু ডব্লিউ চি
இடி ஆப்பு,বেটাৰ পেগ
பேட்டர் பையர்,বেটাৰ ঘাট
பேட்டர் விதி,বেটাৰৰ নিয়ম
பால்க் (பால்க்),Baulk (বালক)
விரிகுடா,উপসাগৰ
தாங்குபவர்,বাহক
தாங்கும் திறன்,বহন ক্ষমতা
தாங்கும் பைல்,বেয়াৰিং পাইল
தாங்கி அடுக்கு,বহন স্তৰ
படுக்கை,বিছনা
படுக்கை விமானம்,বিচনাৰ বিমান
படுக்கை கூட்டு,বিচনাৰ সংযোগ
படுக்கை பாறை,বিচনাৰ শিল
படுக்கை அறை,শোৱনি কোঠা
தேன் மெழுகு,মৌমাখিৰ মোম
மணி பெட்டி,বেল বাকচ
பெல்லிங் வாளி,বেলিং বাল্টি
பெல்லோஃப்ராம்,বেলোফ্ৰেম
பெஞ்ச் அடித்தளம்,বেঞ্চযুক্ত ভেটি
பெஞ்சிங்,বেঞ্চিং কৰা
பெஞ்ச் மார்க்,বেঞ্চ মাৰ্ক
நன்மை செலவு பகுப்பாய்வு,লাভৰ খৰচ বিশ্লেষণ
பெர்ம்,বাৰ্ম
வளைந்த மூடல்,বেভেলড বন্ধ
"பி-ஹரைசன்,&quot;பி-","খ-দিগন্ত,&quot;খ-"
பயாட்,বিয়াত
பைண்டர்,বাইণ্ডাৰ
பிணைப்பு பொருள்,বান্ধি ৰখা সামগ্ৰী
பயோட்டின் கோட்பாடு,বায়টৰ তত্ত্ব
பிடுமின்,বিটুমিন
கருப்பு பருத்தி மண்,ক’লা কপাহী মাটি
கருப்பு பூமி,ক&#39;লা পৃথিৱী
கருப்பு தரை மண்,ক’লা টাৰ্ফ মাটি
கத்தி,ব্লেড
ஊது உலை கசடு சிமெண்ட்,ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট
தடுப்பு அமைப்பு,ব্লকযুক্ত গঠন
போகி எதிர்ப்பு,বগী প্ৰতিৰোধ
போக்-இரும்பு தாது,বোগ-লোহাৰ অক্সাইড
பத்திரம்,বান্ধোন
பிணைக்கப்பட்ட உறுப்பினர்,বণ্ডেড সদস্য
பிணைக்கப்பட்ட பிந்தைய பதற்றம்,বণ্ডেড পোষ্ট টেনচিং
பத்திர கல்,বণ্ড ষ্টোন
கட்டுப்பட்ட நீர்,বান্ধি থোৱা পানী
பெட்டி சாக்கடை,বক্স নালা
பிரேஸ்,ব্ৰেচ
விளிம்பில் செங்கல்,ইটা-অন-এজ
கடிவாளம்,লজ্জাজনক
பிரகாசம்,উজ্জ্বলতা
பழுப்பு மண்,বাদামী মাটি
கட்டிடம்,ভৱন
கட்டிட சர்வேயர்,বিল্ডিং জৰীপকাৰী
தாங்கல்,বাফাৰ
தாங்கல் வளைவு,বাফাৰ বক্ৰ
தாங்கல்,বাফাৰিং
தாங்கல் திறன்,বাফাৰিং ক্ষমতা
பண்டர்,বাণ্ডাৰ
பட்டர்ஸ்,বাট্ৰেছ
சி-அடிவானம்,গ-দিগন্ত
கேபிள்,কেবল
கேபிள் மோல்டிங்,কেবল মল্ডিং
கேபிளிங்,কেবলিং
அறை,কেবিন
கேபின் ஹூக்,কেবিন হুক
மந்திரி சபை,কেবিনেট
கபோல்ட் வெளியேறினார்,কেবল্টৰ চাকৰি এৰিছে
சிற்றுண்டியகம்,কেফেটেৰিয়া
கூண்டு,সঁজা
கூண்டு கட்டுமானம்,পিঞ্জৰা নিৰ্মাণ
கெய்னின் சூத்திரம்,কয়িনৰ সূত্ৰ
கெய்சன்,কেইচন
கெய்சன் நோய்,কেইচন ৰোগ
கெய்சன் அடித்தளம்,কেইচন ফাউণ্ডেচন
கெய்சன் குவியல்,কেইচন পাইল
சுண்ணாம்பு செங்கல்,কেলকেয়াৰযুক্ত ইটা
சுண்ணாம்பு களிமண்,কেলকেয়াৰযুক্ত মাটি
சுண்ணாம்பு மேலோடு,কেলকেয়াৰযুক্ত খোলা
கால்சிஃபிகேஷன்,কেলচিফিকেশন
கால்சினேஷன்,কেলচিনেচন
கால்சின்,কেলচিন
கால்சைட்,কেলচাইট
கால்சியம்-அலுமினேட் சிமெண்ட்,কেলচিয়াম-এলুমিনেট চিমেণ্ট
கால்சியம்-சிலிகேட் செங்கல்,কেলচিয়াম-চিলিকেট ইটা
கால்சியம்-சிலிகேட் ஹைட்ரேட்,কেলচিয়াম-চিলিকেট হাইড্ৰেট
கலிச்சே,কালিচে
கலிபோர்னியா தாங்கி விகிதம்,কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’
காலிபர்,কেলিপাৰ
கலோரிமீட்டர்,কেলৰিমিটাৰ
கேம்பர்,কেম্বাৰ
கால்வாய்,খাল
விதானம்,কেনপি
கான்டிலீவர் அடிவாரம்,কেন্টিলিভাৰ ফুটিং
தொப்பி,কেপ
திறன்,ক্ষমতা
ஆயில் பாதையின் திறன்,ail ট্ৰেকৰ ক্ষমতা
தொப்பி கேபிள்,কেপ কেবল
கேபிலரிட்டி,কেপিলাৰিটি
தந்துகி முறிவு,কেপিলাৰী ব্ৰেক
தந்துகி ஓட்டம்,কেপিলাৰী প্ৰবাহ
தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்,কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী
தந்துகி துளை இடம்,কেপিলাৰী ছিদ্ৰ স্থান
கேபிலரி போரோசிட்டி,কেপিলাৰী ছিদ্ৰতা
தந்துகி வெளி,কেপিলাৰী স্থান
பிடிப்பு வேகம்,কেপচাৰ বেগ
கார்பனேற்றம்,কাৰ্বনেচন
கார்பன் கருப்பு,কাৰ্বন ব্লেক
காஸ்ட்பிள் பயனற்ற,Castble অবাধ্য
காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு,কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু
காஸ்ட்-இன்-பிளேஸ் பைல்,কাষ্ট-ইন-প্লেচ পাইল
