Kannada,English
ದಾಟುವುದು,Abatement
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,Abbreviation
ಅಪಹರಣ,Abduction
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,Abeyance
ಸಾಮರ್ಥ್ಯ,Ability
ಎಬಿ ಇನಿಶಿಯೋ,Ab initio
ಸಮರ್ಥ,Able
ಅಸಹಜ,Abnormal
ನಿರ್ಮೂಲನ,Abolition
ರದ್ದುಮಾಡುವಿಕೆ,Abolitionof post
ಮೇಲೆ ತಿಳಿಸಿದ,Above mentioned
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,Above quoted
ಮೇಲೆ ಹೇಳಿದರು,Above said
ಅನುಪಸ್ಥಿತಿ,Absence
ಗೈರುಹಾಜರಿ,Absentee
ಗೈರುಹಾಜರಿ,Absenteeism
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,Absentee statement
ಸಂಪೂರ್ಣ,Absolute
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,Absolute monopoly
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,Absolute ownership
ಹೀರುವಿಕೆ,Absorption
ಅಮೂರ್ತ,Abstract
ಅಮೂರ್ತತೆ,Abstractstatement
ಅಸಂಬದ್ಧ,Absurd
ಹೇರಳವಾಗಿರುವುದು,Abundance
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,Abuse of power
ನಿಂದಕ ಭಾಷೆ,Abusive language
ಶೈಕ್ಷಣಿಕ,Academic
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,Academic discussion
ಶೈಕ್ಷಣಿಕ ರಜೆ,Academic leave
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,Academic qualification
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,Academic record
ತಪ್ಪೊಟ್ಟು,Accede
ಒಪ್ಪಿಕೊಳ್ಳಿ,Accept
ಸ್ವೀಕಾರಾರ್ಹತೆ,Acceptance
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,Acceptance of office
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,Acceptance of tender
ಪ್ರವೇಶ,Access
ಪ್ರವೇಶ,Accession
ಪರಿಕರ,Accessory
ಅಪಘಾತ,Accident
ಒಗ್ಗೂಡಿಸುವಿಕೆ,Acclimatization
ಸೌಕರ್ಯ,Accommodation
ಜೊತೆಗಾರ,Accompanist
ಸ ೦ ಗೀತ,Accord
ಪ್ರೇಕ್ಷಕ,Accordance
ಹಾಗೆಯೇ,Accordingly
ಖಾತೆ,Account
ಹೊಣೆಗಾರಿಕೆ,Accountability
ಹೊಣೆಗಾರ,Accountable
ಹೊಣೆ,Accountancy
ಲೆಕ್ಕಪರಿಶೋಧಕ,Accountant
ಇದಕ್ಕೆ ಖಾತೆ,Account for
ಖಾತೆ,Account head
ಸಂಚಿತ ಲಾಭ,Accrued benefit
ಸಂಚಿತ ಪಿಂಚಣಿ,Accrued pension
ಸಂಗ್ರಹಣೆ,Accumulation
ನಿಖರತೆ,Accuracy
ನಿಖರವಾದ,Accurate
ಆರೋಪಿಸು,Accuse
ಆರೋಪಿ,Accused
ಸಾಧನೆ,Achievement
ಸ್ವೀಕೃತಿ,Acknowledgement
ಸ್ವೀಕೃತಿ ಕಾರಣ,Acknowledgement due
ಪರಿಚಯ,Acquaintance
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,Acquisition
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,Acquittance
ಕಯ,Act
ನಟನಾ ಭತ್ಯೆ,Acting allowance
ಕ್ರಿಯಾಶೀಲತೆ,Action
ಕಾರ್ಯ ತಂತ್ರ,Action plan
ಸಕ್ರಿಯ,Active
ಸಕ್ರಿಯವಾಗಿ,Actively
ಕಾರ್ಯಕರ್ತ,Activist
ಭಗವಂತನ ಆಟ,Act of God
ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ,Act of misconduct
ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ,Act of commission and omission
ನಿಜವಾದ,Actual
ವಾಸ್ತವಿಕ,Actuals
ರೂಪಾಂತರ,Adaptation
ಸೇರ್ಪಡೆ,Addition
ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ,Additional charge
ಹೆಚ್ಚುವರಿ ನಿಧಿ,Additional fund
ಹೆಚ್ಚುವರಿ ಅನುದಾನ,Additional grant
ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ,Additional information
ಹೆಚ್ಚುವರಿ ವೇತನ,Additional pay
ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ,Addition and alteration
ಭಾಷಣ,Address
ವಿಳಾಸದಾರ,Addressee
ಸ್ವಾಗತದ ವಿಳಾಸ,Address of welcome
ಸಮರ್ಪಕ,Adequate
ಅಂಟಿಕೊಳ್ಳಿ,Adhere to
ತಾತ್ಕಾಲಿಕ,Ad hoc
ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು,Ad hoc claim
ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ,Ad hoc committee
ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ,Ad hoc increase
ತಾತ್ಕಾಲಿಕ ಪಾವತಿ,Ad hoc payment
ಪಕ್ಕದ,Adjacent
ಪಕ್ಕದ (= ಸಮೀಪ),Adjoining (=contiguous)
ಮುಂದೂಡಿಕೆ,Adjournment
ಮುಂದೂಡುವ ಚಲನೆ,Adjournment motion
ತೀರ್ಪು,Adjudge
ತೀರ್ಮಾನಿಸು,Adjudicate
ಯಜಮಾನ,Adjudication
ತೀರ್ಪುಗಾರ,Adjudicator
ಹೊಂದಾಣಿಕೆ,Adjustment
ನಿರ್ವಹಿಸು,Administer
ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ,Administer oath
ಆಡಳಿತ,Administration
ನ್ಯಾಯದ ಆಡಳಿತ,Administration of justice
ಆಡಳಿತಕಾರಿಯಾದ,Administrative
ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ,Administrative action
ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ,Administrative appraisal
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,Administrative approval
ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ,Administrative authority
ಆಡಳಿತ ನಿಯಂತ್ರಣ,Administrative control
ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ,Administrative decision
ಆಡಳಿತ ಇಲಾಖೆ,Administrative department
ಆಡಳಿತಾಧಿಕಾರಿ,Administrative head
ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ,Administrative headquarters
ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು,Administrative measures
ಆಡಳಿತ ಅಧಿಕಾರ,Administrative power
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,Administrative sanction
ಆಡಳಿತ ತಂತ್ರ,Administrative technique
ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ,Administrative tribunal
ಪ್ರವೇಶಸಾಧ್ಯತೆ,Admissibility
