Malayalam,Punjabi
അജിയോട്ടിക് പുനരുൽപാദനം,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
അസാധാരണമായ,ਅਲੌਕਿਕ
1. നാലാമത്തെ വയറ് 2. ഇവോമസോം,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
സ്റ്റോമറ്റൽ വളർച്ച അവയവം,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
വളർച്ച മുരടിച്ച വിത്ത്,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ,ਲੀਨ cation
ആഗിരണം,ਸਮਾਈ
അബിസീനിയൻ കടുക്,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
1. acaricide,1. ਐਕਰੀਸਾਈਡ
കേന്ദ്രാഭിമുഖം,centripetal
ആംപ്ലിഫിക്കേഷൻ (സെൽ),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
അനുവദിച്ച സഹിഷ്ണുത,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
പൊരുത്തപ്പെടുത്തൽ,ਅਨੁਕੂਲਨ
ശേഖരണം,ਇਕੱਠਾ ਕਰਨਾ
1. vaccuracy 2. കൃത്യത,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
അസിഡിറ്റി,ਐਸਿਡਿਟੀ
അസിഡോഫൈൽ,ਐਸਿਡੋਫਾਈਲ
അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
അസിഡിഫൈഡ്,ਤੇਜ਼ਾਬ
ജലാശയം,aquifer
കൈവശപ്പെടുത്തൽ,ਪ੍ਰਾਪਤੀ
ഏക്കർ,ਏਕੜ
1. ഏരിയ 2. ഏരിയ,1. ਖੇਤਰ 2. ਖੇਤਰ
അവസാന പോയിന്റ് ക്രോമസോം,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
മുന്നോട്ട് നോക്കുന്ന,ਅਗਾਂਹਵਧੂ
അക്രോസോം,acrosome
ആക്റ്റിനോമൈസെറ്റുകൾ,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
സജീവ കോർ,ਸਰਗਰਮ ਕੋਰ
1. ക്രോധം 2. തീവ്രം,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
പൊരുത്തപ്പെടുത്തൽ,ਅਨੁਕੂਲਤਾ
ഇഷ്ടാനുസൃതമാക്കൽ,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
1. അഡീഷൻ 2. അഡീഷൻ,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
സെബാസിയസ്,sebaceous
ക്രമീകരിക്കൽ സമവാക്യം,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
അഡോബ് മണ്ണ്,ਅਡੋਬ ਮਿੱਟੀ
വ്യഭിചാരം,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
എക്ടോപിക്,ਐਕਟੋਪਿਕ
ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
എയറോഡൈനാമിക് പ്രക്രിയ,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
വെൻട്രൽ,ਵੈਂਟ੍ਰਲ
വായുസഞ്ചാരത്തിനായി,ਹਵਾ ਦੇਣ ਲਈ
1. വായു 2. ആകാശി,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
എയറോസോൾ,ਐਰੋਸੋਲ
1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
രോഗ ശാസ്ത്രം,ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
വനവൽക്കരണം,ਜੰਗਲਾਤ
1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
അഗ്മാർക്ക്,ਐਗਮਾਰਕ
1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക,1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ
കാർഷിക ക്ലിനിക്ക്,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
