Gujarati,Marathi
એસી સમકક્ષ સર્કિટ,एसी समतुल्य सर्किट
આંકડાકીય કન્વર્ટર માટે એનાલોગ,एनालॉग ते अंकीय कनवर्टर
સંપૂર્ણ શૂન્ય,पूर्ण शून्य
શોષણ ગુણાંક,शोषण गुणांक
શોષણ સ્પેક્ટ્રમ,शोषण स्पेक्ट्रम
રીસેપ્ટર અણુ,रिसेप्टर अणू
વૈકલ્પિક વર્તમાન જોડાણ,पर्यायी वर्तमान जोडणी
ઇલેક્ટ્રોન લણણી,इलेक्ट्रॉन कापणी
છિદ્ર સંગ્રહ,भोक संचयन
સક્રિયકરણ ઊર્જા,सक्रियता ऊर्जा
સક્રિય એમ્પ્લીફાયર,सक्रिय अॅम्प्लीफायर
સક્રિય ડાયોડ સર્કિટ,सक्रिय डायोड सर्किट
સક્રિય ફિલ્ટર,सक्रिय फिल्टर
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,सक्रिय उच्च वारंवारता पर्केट फिल्टर
સક્રિય લોડ,सक्रिय भार
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,सक्रिय कमी वारंवारता पार्स फिल्टर
સક્રિય વિસ્તાર,सक्रिय क्षेत्र
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,अनुकूली इलेक्ट्रॉनिक्स
ઉમેરનાર,जोडणारा
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,समायोज्य बँड विस्तार
પ્રવેશ,प्रवेश
એરિયલ,एरियल
pep આવર્તન,pep वारंवारता
એર કન્ડીશનર,एअर कंडिशनर
ગોઠવણી,संरेखन
અલ્ગોરિધમ,अल्गोरिदम
બધા પાસ ફિલ્ટર,सर्व पास फिल्टर
એલોય જંકશન,मिश्र धातु जंक्शन
એટેન્યુએશન,क्षीणन
વૈકલ્પિક પ્રવાહ,पर्यायी प्रवाह
આસપાસનું તાપમાન,वातावरणीय तापमान
દ્વિધ્રુવી,द्विध्रुवीय
એમ્પ્લીફિકેશન,प्रवर्धन
એમ્પ્લીફાયર,अॅम्प्लिफायर
એમ્પ્લીફાયર કાર્યક્ષમતા,एम्पलीफायर कार्यक्षमता
પરિમાણો,परिमाण
કંપનવિસ્તાર એટેન્યુએશન,मोठेपणा क्षीणन
કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
કંપનવિસ્તાર મોડ્યુલેશન,मोठेपणा मॉड्यूलेशन
કંપનવિસ્તાર મોડ્યુલેટર,मोठेपणा मॉड्युलेटर
એંગસ્ટ્રોમ એકમ,अँग्स्ट्रोम युनिट
એનાલોગ સર્કિટ,अॅनालॉग सर्किट
એનાલોગ કમ્પ્યુટર,अॅनालॉग संगणक
એનાલોગ ફિલ્ટર,अॅनालॉग फिल्टर
એનાલોગ મલ્ટિમીટર,अॅनालॉग मल्टीमीटर
એનાલોગ સ્વીચ,अॅनालॉग स्विच
અને દરવાજો,आणि गेट
કોણીય આવર્તન,कोनीय वारंवारता
"anion, anion","anion, anion"
એનિલિંગ તાપમાન,एनीलिंग तापमान
એનોડ,एनोड
એનોડ એમ્પ્લીફાયર,एनोड अॅम्प्लिफायर
anodyne,anodyne
એન્ટેના,अँटेना
એન્ટેના ઘટક,अँटेना घटक
વિરોધી પ્રતિબિંબીત કોટિંગ,विरोधी परावर्तक कोटिंग
એન્ટિલોગિન એમ્પ્લીફાયર,अँटिलॉगिन अॅम्प्लिफायर
પ્રતિરોધક સર્કિટ,अँटीरेझोनंट सर्किट
દ્વારક સમયગાળો,द्वारक काळ
વર્ચ્યુઅલ પાવર,आभासी शक्ती
વાયર કનેક્શન,वायर कनेक्शन
અંદાજિત વોલ્ટેજ ગેઇન,अंदाजे व्होल्टेज वाढ
આર્મસ્ટ્રોંગ મોડ્યુલેટર,आर्मस्ट्राँग मॉड्युलेटर
એન્ટેના એરે,अँटेना अॅरे
"કદ ગુણોત્તર, પાસા ગુણોત્તર","आकार गुणोत्तर, गुणोत्तर"
ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ),फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट)
સ્વચાલિત મલ્ટિવાઇબ્રેટર,स्वयंचलित मल्टीव्हायब्रेटर
ફ્લોટિંગ મલ્ટિવાઇબ્રેટર,फ्लोटिंग मल्टीव्हायब्रेटर
અસમપ્રમાણ જંકશન,असममित जंक्शन
અસુમેળ કેલ્ક્યુલેટર,असिंक्रोनस कॅल्क्युलेटर
પરમાણુ,आण्विक
અણુ સંખ્યા,अणुक्रमांक
અણુ માળખું,अणु रचना
ઓડિયો એમ્પ્લીફાયર,ऑडिओ अॅम्प्लीफायर
ઓડિયો એમ્પ્લીફાયર,ऑडिओ अॅम्प्लीफायर
ઓડિયો કેસેટ,ऑडिओ कॅसेट
ઓડિયો સર્કિટ,ऑडिओ सर्किट
સાંભળી શકાય તેવી આવર્તન,ऐकण्यायोग्य वारंवारता
આપોઆપ વોલ્ટેજ નિયંત્રણ,स्वयंचलित व्होल्टेज नियंत्रण
હિમપ્રપાત,हिमस्खलन
સરેરાશ ડિટેક્ટર,सरासरी डिटेक्टर
અક્ષીય મોડ,अक्षीय मोड
અક્ષીય ગુણોત્તર,अक्षीय प्रमाण
એન્ટેના,अँटेना
પાછળનું ઇલેક્ટ્રોમોટિવ બળ,बॅक इलेक्ट्रोमोटिव्ह फोर्स
પાછળનો વિસ્તાર,मागील क्षेत्र
