English,Kannada
A (Ampere unit of current),ಆಂಪಿಯರ್ (ಘಟಕ)
A (angstrom),ಆಂಗ್ಸ್ಟ್ರಮ್
A amplifier,ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್
A-N radio range,ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್
A-scan presentation,ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ
A-scope,a-ದರ್ಶ್
A-scope display,ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ
A-T Cut crystal,A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್
A.c-d.c. gain,"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ"
A.M. (ante meridiem),ಬೆಳಗ್ಗೆ
A.m.u. (atomic mass unit),AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
Aard-vark,aard-vark*
Ab ampere,ಅಬ್-ಆಂಪಿಯರ್
AB amplifier,A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್
Ab initio,ಅದಾ
AB power pack,ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ
Abac=alignment chart=nomograph,abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್
Abbe number (=Abbe constant),ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ)
ABBE refractometer,ಅಬೆ ವಕ್ರೀಕಾರಕ
Abbe sine condition,ಅಬೆ ಸೈನ್ ರಾಜ್ಯ
Abc (automatic bias compensation),ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ
Abcoulomb,abcoulom
Aberration,"ವಿಪಥನ, ವಿಪಥನ"
Aberration corrector lens,ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ
Aberration of light,ಆಕಾಶ ವಿಪಥನ
Abfarad,abfarad
Abhenry,ಎಬೆನ್ರಿ
Abney effect (=Abney law),ಎಬೊನಿ ಎಫೆಕ್ಟ್
Abnormal polarisation,ಅಸಹಜ ಧ್ರುವೀಕರಣ
Abnormal propagation,ಅಸಹಜ ಪ್ರಸರಣ
Abnormal reflection,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ
Abnormal refraction,ಅಸಹಜ ವಕ್ರೀಭವನ*
Abnormal resistance,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ
Abohm,ab-om
Abortion,"ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ"
