Punjabi,Tamil
abacus,அபாகஸ்
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,அசாதாரண நிறுத்தம்
ਅਧੂਰਾ ਛੱਡੋ,கருக்கலைப்பு
ਅਸੀਮ,அறுதி
ਪੂਰਾ ਪਤਾ,முழுமையான முகவரி
ਪੂਰਨ ਸੰਬੋਧਨ,முழுமையான முகவரி
ਪੂਰਨ ਅਸੈਂਬਲਰ,முழுமையான அசெம்பிளர்
ਪੂਰਨ ਕੋਡ,முழுமையான குறியீடு
ਪੂਰਨ ਹੁਕਮ,முழுமையான கட்டளை
ਪੂਰਨ ਡਾਟਾ,முழுமையான தரவு
ਪੂਰਨ ਹਿਦਾਇਤ,முழுமையான அறிவுறுத்தல்
ਪੂਰਨ ਮੋਡ,முழுமையான பயன்முறை
ਪੂਰਨ ਮਾਰਗ,முழுமையான பாதை
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,முழுமையான நிரலாக்கம்
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,சுருக்க வர்க்கம்
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,சுருக்க தரவு வகை
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,சுருக்க இயந்திரம்
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,சுருக்க சின்னம்
ਸੰਖੇਪ ਸੰਟੈਕਸ,சுருக்க தொடரியல்
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,ஏற்றுக்கொள்ளும் சோதனை
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,அணுகல் அங்கீகாரம்
ਐਕਸੈਸ ਕੋਡ,அணுகல் குறியீடு
ਪਹੁੰਚ ਕੰਟਰੋਲ,நுழைவு கட்டுப்பாடு
ਐਕਸੈਸ ਸਕੈਨ,அணுகல் ஸ்கேன்
ਸਹਾਇਕ,துணை
ਖਾਤਾ,கணக்கு
ਖਾਤਾ ID,கணக்கு ஐடி
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,திரட்டி
ਸ਼ੁੱਧਤਾ,துல்லியம்
ਪਹੁੰਚ,அணுகல்
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,அணுகல் கட்டுப்பாட்டு பைட்
ਐਕਸੈਸ ਇੰਡੈਕਸ,அணுகல் குறியீடு
ਪਹੁੰਚ ਕੁੰਜੀ,அணுகல் விசை
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,அணுகல் அணி
ਪਹੁੰਚ ਮੋਡ,அணுகல் முறை
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,அணுகல் சலுகை
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,அணுகல் பாதுகாப்பு
ਪਹੁੰਚ ਸਰਵਰ,அணுகல் சேவையகம்
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,அணுகல் நேரம்
ਮਾਨਤਾ,ஒப்புகை
ਧੁਨੀ ਵਿਗਿਆਨ,ஒலியியல்
ਸੰਖੇਪ ਸ਼ਬਦ,சுருக்கம்
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,செயல் செய்தி
ਸਰਗਰਮੀ,செயல்படுத்துதல்
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),செயலில் உள்ள சர்வர் பக்கம் (ASP)
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,செயலில் உள்ள பதிப்பு
acyclic,அசைக்ளிக்
acyclic ਗ੍ਰਾਫ਼,அசைக்ளிக் வரைபடம்
ਅਦਾ ਭਾਸ਼ਾ,அட மொழி
ਅਡਾਪਟਰ,அடாப்டர்
ਸ਼ਾਮਲ ਕਰੋ,கூட்டு
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,கோப்பை சேர்க்க
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,செயல்பாட்டைச் சேர்க்கவும்
ਜੋੜਨ ਵਾਲਾ,சேர்ப்பான்
ਪਤਾ,முகவரி
ਪਤਾ ਬੱਸ,முகவரி பேருந்து
ਐਡਰੈੱਸ ਫਾਈਲ,முகவரி கோப்பு
ਪਤਾ ਫਾਰਮੈਟ,முகவரி வடிவம்
ਪਤਾ ਜਨਰੇਟਰ,முகவரி ஜெனரேட்டர்
