Kannada,Punjabi
ದಾಟುವುದು,ਪਰੇਸ਼ਾਨੀ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ਸੰਖੇਪ
ಅಪಹರಣ,ਅਗਵਾ
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,ਧਾਰਨਾ
ಸಾಮರ್ಥ್ಯ,ਯੋਗਤਾ
ಎಬಿ ಇನಿಶಿಯೋ,ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
ಸಮರ್ಥ,ਯੋਗ
ಅಸಹಜ,ਅਸਧਾਰਨ
ನಿರ್ಮೂಲನ,ਖਤਮ
ರದ್ದುಮಾಡುವಿಕೆ,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
ಮೇಲೆ ತಿಳಿಸಿದ,ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
ಮೇಲೆ ಹೇಳಿದರು,ਉਪਰੋਕਤ ਕਿਹਾ
ಅನುಪಸ್ಥಿತಿ,ਗੈਰਹਾਜ਼ਰੀ
ಗೈರುಹಾಜರಿ,ਗੈਰਹਾਜ਼ਰ
ಗೈರುಹಾಜರಿ,ਗੈਰਹਾਜ਼ਰ
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
ಸಂಪೂರ್ಣ,ਅਸੀਮ
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,ਸੰਪੂਰਨ ਮਾਲਕੀ
ಹೀರುವಿಕೆ,ਸਮਾਈ
ಅಮೂರ್ತ,ਸਾਰ
ಅಮೂರ್ತತೆ,ਸੰਖੇਪ
ಅಸಂಬದ್ಧ,ਬੇਹੂਦਾ
ಹೇರಳವಾಗಿರುವುದು,ਬਹੁਤਾਤ
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
ನಿಂದಕ ಭಾಷೆ,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
ಶೈಕ್ಷಣಿಕ,ਅਕਾਦਮਿਕ
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
ಶೈಕ್ಷಣಿಕ ರಜೆ,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ
ತಪ್ಪೊಟ್ಟು,ਐੱਸ
ಒಪ್ಪಿಕೊಳ್ಳಿ,ਸਵੀਕਾਰ ਕਰੋ
ಸ್ವೀಕಾರಾರ್ಹತೆ,ਮਨਜ਼ੂਰ
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
ಪ್ರವೇಶ,ਪਹੁੰਚ
ಪ್ರವೇಶ,ਐਕਸੈਸਿੰਗ
ಪರಿಕರ,ਸਹਾਇਕ
ಅಪಘಾತ,ਹਾਦਸਾ
ಒಗ್ಗೂಡಿಸುವಿಕೆ,ਅਨੁਕੂਲਤਾ
ಸೌಕರ್ಯ,ਰਿਹਾਇਸ਼
ಜೊತೆಗಾರ,ਦੇ ਨਾਲ
ಸ ೦ ಗೀತ,ਸਮਝੌਤਾ
ಪ್ರೇಕ್ಷಕ,ਦੇ ਅਨੁਸਾਰ
ಹಾಗೆಯೇ,ਇਸ ਅਨੁਸਾਰ
ಖಾತೆ,ਖਾਤਾ
ಹೊಣೆಗಾರಿಕೆ,ਜਵਾਬਦੇਹੀ
ಹೊಣೆಗಾರ,ਜਵਾਬਦੇਹ
ಹೊಣೆ,ਖਾਤੇ ਦੀ
ಲೆಕ್ಕಪರಿಶೋಧಕ,ਲੇਖਾਕਾਰ
ಇದಕ್ಕೆ ಖಾತೆ,ਲਈ ਖਾਤਾ
ಖಾತೆ,ਖਾਤਾ ਸਿਰ
ಸಂಚಿತ ಲಾಭ,ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ
ಸಂಚಿತ ಪಿಂಚಣಿ,ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ
ಸಂಗ್ರಹಣೆ,ਇਕੱਠਾ
ನಿಖರತೆ,ਸ਼ੁੱਧਤਾ
ನಿಖರವಾದ,ਸਹੀ
ಆರೋಪಿಸು,ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ
ಆರೋಪಿ,ਦੋਸ਼ੀ
ಸಾಧನೆ,ਪ੍ਰਾਪਤੀ
ಸ್ವೀಕೃತಿ,ਪ੍ਰਵਾਨਗੀ
ಸ್ವೀಕೃತಿ ಕಾರಣ,ਬਣ ਰਹੇ
ಪರಿಚಯ,ਜਾਣ-ਪਛਾਣ
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,ਗ੍ਰਹਿਣ
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,ਬਰੀ
ಕಯ,ਐਕਟ
ನಟನಾ ಭತ್ಯೆ,ਅਦਾਕਾਰੀ ਭੱਤਾ
ಕ್ರಿಯಾಶೀಲತೆ,ਕਾਰਵਾਈ
ಕಾರ್ಯ ತಂತ್ರ,ਕਾਰਵਾਈ ਜੁਗਤ
ಸಕ್ರಿಯ,ਕਿਰਿਆਸ਼ੀਲ
ಸಕ್ರಿಯವಾಗಿ,ਸਰਗਰਮੀ ਨਾਲ
ಕಾರ್ಯಕರ್ತ,ਕਾਰਜਕਰਤਾ
ಭಗವಂತನ ಆಟ,ਰੱਬ ਦਾ ਕੰਮ
ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ,ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ
ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ,ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ
ನಿಜವಾದ,ਅਸਲ
ವಾಸ್ತವಿಕ,ਅਸਲ
ರೂಪಾಂತರ,ਅਨੁਕੂਲਤਾ
ಸೇರ್ಪಡೆ,ਜੋੜ
ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ,ਅਤਿਰਿਕਤ ਚਾਰਜ
ಹೆಚ್ಚುವರಿ ನಿಧಿ,ਵਾਧੂ ਫੰਡ
ಹೆಚ್ಚುವರಿ ಅನುದಾನ,ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ
ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ,ਵਧੀਕ ਜਾਣਕਾਰੀ
ಹೆಚ್ಚುವರಿ ವೇತನ,ਵਾਧੂ ਤਨਖਾਹ
