Bengali,Odiya
আবেলিয়ান গ্রুপ,ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |
আবেলিয়ান সেমিগ্রুপ,ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |
abscissa,abscissa
পরম,ସଂପୂର୍ଣ୍ଣ
পরম মিলন,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
পরম ত্রুটি,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
পরম সর্বোচ্চ,ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ
পরম সর্বনিম্ন,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
পরম মান,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
পরম বেগ,ସଂପୂର୍ଣ୍ଣ ବେଗ
বিমূর্ত বীজগণিত,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
বিমূর্ত গ্রুপ তত্ত্ব,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
ত্বরণ,ତ୍ୱରଣ
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
গ্রহণযোগ্য পছন্দ সেট,ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |
গ্রহণযোগ্য মানের স্তর,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
গ্রহণযোগ্য পরিসীমা,ଗ୍ରହଣୀୟ ପରିସର |
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
গ্রহণযোগ্য নমুনা,ଗ୍ରହଣୀୟ ନମୁନା
সঞ্চিত ত্রুটি,ସଂଗୃହିତ ତ୍ରୁଟି |
সঠিকতা,ସଠିକତା
অভিনয় শক্তি,ଅଭିନୟ ଶକ୍ତି
কর্ম,କାର୍ଯ୍ୟ
কর্ম এবং প্রতিক্রিয়া,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
বাস্তব বিজ্ঞান,ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |
তীব্র কোণযুক্ত ত্রিভুজ,ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |
অ্যাসাইক্লিক,acyclic
যোগ করুন,ଯୋଡନ୍ତୁ |
যোগকারী,ଆଡର୍
সংযোজন,ଯୋଗ
সংযোজন সূত্র,ଯୋଗ ସୂତ୍ର
জটিল সংখ্যার সংযোজন,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |
ফাংশন সংযোজন,କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ
ম্যাট্রিক্সের সংযোজন,ମାଟ୍ରିକ୍ସର ଯୋଗ
বহুপদ সংযোজন,ବହୁଭାଷୀ ଯୋଗ |
সম্ভাবনার সংযোজন,ସମ୍ଭାବ୍ୟତାର ଯୋଗ |
ভেক্টর সংযোজন,ଭେକ୍ଟର ଯୋଗ
সংযোজন উপপাদ্য,ଯୋଗ ତତ୍ତ୍ୱ
সংযোজনকারী গ্রুপ,ଯୋଗୀ ଗୋଷ୍ଠୀ |
সংযোজন বিপরীত,ଯୋଗୀ ଓଲଟା |
সংযোজক সম্পত্তি,ଯୋଗୀ ସମ୍ପତ୍ତି |
সংযোজন,ଯୋଗୀତା |
অন্তিক ম্যাট্রিক্স,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
সংলগ্ন,ସଂଲଗ୍ନ
সন্নিহিত কোণ,ସଂଲଗ୍ନ କୋଣ
সংলগ্ন শীর্ষবিন্দু,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
সংলগ্ন,ସଂଲଗ୍ନ
সংলগ্ন,ସଂଲଗ୍ନ
সংলগ্ন নির্ধারক,ନିର୍ଣ୍ଣୟକାରୀ
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ
সংলগ্ন সমীকরণ,ସମୀକରଣ
সংলগ্ন ম্যাট্রিক্স,ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |
ম্যাট্রিক্সের সংলগ্ন,ମାଟ୍ରିକ୍ସର ଯୋଗ
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
গ্রহণযোগ্য অনুমান,ଗ୍ରହଣୀୟ ଅନୁମାନ
এরোডাইনামিক বল,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
বায়ুগতিবিদ্যা,ଏରୋଡାଇନାମିକ୍ସ |
affine জ্যামিতি,ଆଫାଇନ୍ ଜ୍ୟାମିତି |
affine ম্যাপিং,ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |
affine রূপান্তর,ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |
একত্রিত ভেরিয়েবল,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
বীজগণিত,ବୀଜ ବିବେଚନା
বীজগণিতভাবে বন্ধ,ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |
বীজগণিত সমীকরণ,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
বীজগাণিতিক এক্সপ্রেশন,ବୀଜ ବର୍ଣ୍ଣନା
বীজগাণিতিক ফর্ম,ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |
বীজগণিতীয় ফাংশন,ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ
বীজগণিত জ্যামিতি,ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |
বীজগণিতের বহুত্ব,ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |
বীজগণিত ব্যবস্থা,ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |
সমস্ত পূর্ণসংখ্যা সমস্যা,ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |
বরাদ্দ সমস্যা,ବଣ୍ଟନ ସମସ୍ୟା
বর্ণানুক্রমিক স্বরলিপি,ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |
বর্ণানুক্রমিক অক্ষর,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
বিকল্প কোণ,ବିକଳ୍ପ କୋଣ
বিকল্প ফর্ম,ବିକଳ୍ପ ଫର୍ମ |
বিকল্প গোষ্ঠী,ବିକଳ୍ପ ଗୋଷ୍ଠୀ
বিকল্প ম্যাট্রিক্স,ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |
বিকল্প সিরিজ,ବିକଳ୍ପ କ୍ରମ |
বিকল্প অনুমান,ବିକଳ୍ପ ଅନୁମାନ
বিকল্প অপটিমা,ବିକଳ୍ପ ଅପ୍ଟିମା |
