Hindi,Gujarati
एसीडायड,એસિડોઇડ
जलोढ़ मृदा,એઓલિયન માટી
समुच्चय,એકંદર
समुच्चयन,એકત્રીકરણ
सस्य मृदा विज्ञान,કૃષિશાસ્ત્ર
सस्य विज्ञान,કૃષિવિજ્ઞાન
"A-संस्तर, A-होराइजन",A-ક્ષિતિજ
Ao-संस्तर/Ao-होराइजन,Ao-ક્ષિતિજ
Aoo-संस्तर/होराइजन,Aoo-ક્ષિતિજ
मृदा की वायु धारिता,માટીની હવા ક્ષમતા
मृदा का वायु अंग,જમીનની હવાની સામગ્રી
वायु पिक्नोमीटर,એર પિકનોમીટર
एलीटिक मृदा,એલિટિક માટી
जलोढ़ मृदा,કાંપવાળી માટી
एम्फोलीटायड,એમ્ફોલિટોઇડ
ऋणायन,આયન
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;"
कोर,એરિસ
बारीक वराश्म चिनाई,Ashlar દંડ ચણતર
वराश्म चिनाई,Ashlar ચણતર
अस्तरीय मृदा/अक्षेत्रीय मृदा,એઝોનલ માટી
कर्ष खनित्र,પાછળનો અભિનેતા
पश्च डाट,પાછળની કમાન
पश्च पट्ट,બેક બેન્ડ
उपटा प्रलेप,પાછળ બ્રશ
पश्च रोधक,બેક ચેક
पश्च पटल,બેક કાઉન્ટર
पश्च कर्तन,પાછળ કટીંગ
उपटा झोंका अवमंदक,બેક ડ્રાફ્ટ ડેમ્પર
पश्च नली,બેક ડ્રેઇન
पश्च पट,બેક ડ્રોપ
पृष्ठ भरण,પાછળ ભરો
पश्च पट्टिका,બેક ફીલેટ
पृष्ठ पल्ला कब्जा,બેક ફ્લૅપ મિજાગરું
प्रतीप प्रवाह संयोजन,બેક ફ્લો કનેક્શન
प्रतीप प्रवाह निरोधक,બેક ફ્લો નિવારક
पश्चांतर,બેક ગેજ
पश्च नली,પાછળ ગટર
अग्निस्थान पृष्ठ,બેક હર્થ
पीठ/पृष्ठ भाग,બેકિંગ
पिछला तख्ता,બેકિંગ બોર્ડ
पश्च दाब,પાછળ ધકેલાતું દબાણ
पश्च टेक,બેક પ્રોપ
पश्चावलोकन,પાછળની દૃષ્ટિ
पश्चजल,પાછું પાણી
व्यारोध,બેફલ
थैला पुशताबंदो,બેગવર્ક
गिट्टी,બેલાસ્ટ
बॉल मृत्तिका,બોલ માટી
बॉल शंकुआकार शिकंजा,બોલ શંકુ ક્લેમ્બ
काँटेदार तार,કાંટાળો તાર
छड़ कुत्ता,બાર કૂતરો
त्रयंकी पार्श्व फलक,બાર્જ બોર્ડ
बेरियम सल्फेट परीक्षण,બેરિયમ સલ્ફેટ ટેસ્ટ
बैराज,બેરેજ
बरेट,બેરેટ
क्षार,પાયો
बेस विनिमय,આધાર વિનિમય
आधार रेखा,બેઝ લાઇન
तहखाना/अधोभवन,ભોંયરું
अधोगृह भित्ति,ભોંયરું દિવાલ
आधार पट्टिका,બેઝ પ્લેટ
समायोज्य आधार पट्टिका,"બેઝ પ્લેટ, એડજસ્ટેબલ"
क्षार संतृप्ति,આધાર સંતૃપ્તિ
बेसाइड,બેસોઇડ
रोड़ा,બેટ
स्नानागर व शौच कुण्ड,સ્નાન અને WC
सलामी खूँटी,સખત મારપીટ
सलामी पाया,સખત મારપીટ પિયર
सलामी नियम,સખત મારપીટનો નિયમ
बॉक,બૉલ્ક (બાલ્ક)
खंडक,ખાડી
धारक,ધારક
धारण क्षमता,બેરિંગ ક્ષમતા
धारक पाइल,બેરિંગ ખૂંટો
धारक स्तर,બેરિંગ સ્ટ્રેટમ
आधार तल,પથારી
संस्तरण तल,પથારીનું વિમાન
पड़ी दरज,બેડ સંયુક્ત
अश्माधार,બેડ રોક
शयन कक्ष,બેડ રૂમ
मधुमोम,મીણ
बैल बॉक्स,બેલ બોક્સ
बैलिंग बकेट,બેલિંગ ડોલ
बैलोफ्राम,બેલોફ્રેમ
पैड़ीदार नींव,બેન્ચ્ડ ફાઉન્ડેશન
पैड़ी बनाना,બેન્ચિંગ
निदेश तलचिह्न,બેન્ચ માર્ક
हितलाभ लागत विश्लेषण,લાભ ખર્ચ વિશ્લેષણ
उपतट,બેર્મ
ढालू डेली,બેવેલ્ડ બંધ
संस्तर/B-होराइजन,"B-ક્ષિતિજ,&quot;B-"
बीएट,બાયટ
बंधक,બાઈન્ડર
बंधक पदार्थ,બંધનકર્તા સામગ્રી
बायोट का सिद्धांत,બાયોટનો સિદ્ધાંત
बीटूमन,બીટુમેન
काली मृदा,કાળી કપાસની માટી
काली मिट्टी,કાળી પૃથ્વી
काली शाब्दल मृदा,કાળી જડિયાંવાળી જમીન
फलक,બ્લેડ
वात्या भट्टी धातुमल सीमेंट,બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ
खंडीय संरचना,બ્લોકી માળખું
बोगी संचलन प्रतिरोध,બોગી પ્રતિકાર
दलदल लोह खनित्र,બોગ-આયર્ન ઓર
चाल (चिनाई की),બોન્ડ
बद्ध अवयव,બંધાયેલા સભ્ય
बद्ध प्रत्ययित तनन,બોન્ડેડ પોસ્ટ ટેન્શનિંગ
बंधक पत्थर,બોન્ડ પથ્થર
बद्ध जल,બંધાયેલ પાણી
पेटिकाकार नाली,બોક્સ ગટર
बंधनी,તાણવું
खड़ी ईंट,ઈંટ પર ધાર
ब्राइडल,બ્રિડલ
द्युति,તેજ
भूरी मृदा,બ્રાઉન માટી
भवन,બિલ્ડીંગ
भवन सर्वेक्षक,બિલ્ડીંગ સર્વેયર
बफर (रोधक),બફર
रोधनवक या अनुपामन वक,બફર વળાંક
रोधन,બફરિંગ
रोधन क्षमता,બફરિંગ ક્ષમતા
बन्दर,બંદર
पुश्ता,બટ્રેસ
c-संस्तर/c-होराइजन,સી-ક્ષિતિજ
तार/केबल,કેબલ
तारगढ़ाई,કેબલ મોલ્ડિંગ
केबिल तंत्र,કેબલિંગ
केबिन,કેબિન
केबिन अंकुश,કેબિન હૂક
मंजूषा,કેબિનેટ
ध्वनि शोषण चादर,કેબોલ્ટે છોડી દીધું
कैफेटेरिया,કાફેટેરિયા
पिंजरा,કેજ
पिंजरानुमा निर्माण,પાંજરાનું બાંધકામ
केनसूत्र,કાઈનનું સૂત્ર
कैसन (या कॉफर),કેસોન
कैसन रोग,કેસોન રોગ
केसन नींव,કેસોન ફાઉન્ડેશન
कैसन पाइल,Caisson ખૂંટો
चूनेदार ईंट,કેલ્કેરિયસ ઈંટ
चूनेदार मिट्टी,કેલ્કેરિયસ માટી
चूनेदार पपड़ी,કેલ્કેરિયસ પોપડો
केल्सीकरण,કેલ્સિફિકેશન
निस्तापन,કેલ્સિનેશન
कैलसाइन,કેલ્સિન
कैल्साइट,કેલ્સાઇટ
कैल्शियम एल्यूमिनेट सीमेंट,કેલ્શિયમ-એલ્યુમિનેટ સિમેન્ટ
कैल्शियम सिलीकेट ईंट,કેલ્શિયમ-સિલિકેટ ઈંટ
कैल्शियम सिलिकेट हाईड्रेट,કેલ્શિયમ-સિલિકેટ હાઇડ્રેટ
कालीचे,કેલિચે
कैलिफोर्निया असर अनुपात,કેલિફોર્નિયા બેરિંગ રેશિયો
केलिपर,કેલિપર
कैलोरीमीटर,કેલરીમીટર
न्युब्ज़ता/कैम्बर,કેમ્બર
नहर,કેનાલ
कैनॉपी,કેનોપી
बहुधारन पद,કેન્ટિલવર ફૂટિંગ
टोपी,કેપ
धारिता,ક્ષમતા
रेल पथ क्षमता,એઇલ ટ્રેકની ક્ષમતા
टोपी कंडरा,કેપ કેબલ
केशिकत्व,કેપિલેરિટી
केशिका विच्छेद,કેશિલરી વિરામ
केशिका प्रवाह,કેશિલરી પ્રવાહ
केशिका आर्द्रता या केशिका जल,કેશિલરી ભેજ અથવા કેશિલરી પાણી
केशिका रंध्र अवकाश,કેશિલરી છિદ્ર જગ્યા
केशिका रंध्रता,કેશિલરી છિદ્રાળુતા
केशिका अवकाश,કેશિલરી જગ્યા
प्रग्रहण वेग,કેપ્ચર વેગ
कार्बोनेशन,કાર્બોનેશન
कार्बन काजल,કાર્બન બ્લેક
ढलने योग्य उच्च तापसह,કાસ્ટબલ રીફ્રેક્ટરી
स्वस्थान ढली,કાસ્ટ-ઇન-પ્લેસ અથવા કાસ્ટ-ઇન-સિટુ
यथास्थान बनाई पाइल,કાસ્ટ-ઇન-પ્લેસ ખૂંટો
कैस्टर,એરંડા
ढला पत्थर,કાસ્ટ પથ્થર
उत्प्रेरक,ઉત્પ્રેરક
मृदा श्रृंखला,કેટેના
विडाल मुख,બિલાડીનો ચહેરો
कैट हैड,બિલાડીનું માથું
धनायन,કેશન
कैट बॉक,કેટ વોક
कोटरन क्षति,પોલાણ નુકસાન
सेलाइट,સેલાઇટ
कोशिकीय कंक्रीट,સેલ્યુલર કોંક્રિટ
कोशिकीय निर्माण,સેલ્યુલર બાંધકામ
सीमेंट,સિમેન્ટ
बिटुमनी सीमेंट,"સિમેન્ટ, બિટ્યુમિનસ"
शीघ्र सामर्थ्य सीमेंट,"સિમેન્ટ, ઉચ્ચ તાકાત"
जलीय सीमेंट,"સિમેન્ટ, હાઇડ્રોલિક"
न्यून ऊष्मा सीमेंट,"સિમેન્ટ, ઓછી ગરમી"
चिनाई सीमेंट,"સિમેન્ટ, ચણતર"
प्राकृतिक सीमेंट,"સિમેન્ટ, કુદરતી"
पोर्टलैंड सीमेंट,"સિમેન્ટ, પોર્ટલેન્ડ"
पोर्टलैंड वात्या-भट्टी धातुमल सीमेंट,"સિમેન્ટ, પોર્ટલેન્ડ બ્લાસ્ટ ફર્નેસ સ્લેગ"
पोर्टलैंड पोजोलॉन सीमेंट,"સિમેન્ટ, પોર્ટલેન્ડ પોઝોલન"
सीमेंट धातुमल,"સિમેન્ટ, સ્લેગ"
सल्फेट प्रतिरोधी सीमेंट,"સિમેન્ટ, સલ્ફેટ પ્રતિરોધક"
सुपरसल्फेटेड सीमेंट,"સિમેન્ટ, સુપર સલ્ફેટેડ"
श्वेत सीमेंट,"સિમેન્ટ, સફેદ"
सीमेंट मिलावा अनुपात,સિમેન્ટ-એગ્રિગેટ રેશિયો
सीमेंट अंश,સિમેન્ટ સામગ્રી
सेमेंट जेल,સિમેન્ટ જેલ
सीमेंट गन,સિમેન્ટ બંદૂક
सीमेंट भट्टी,સિમેન્ટ ભઠ્ઠી
सीमेंट प्रलेप,સિમેન્ટ પેઇન્ટ
सीमेंट प्लास्टर,સિમેન્ટ પ્લાસ્ટર
सीमेंट शैल,સિમેન્ટ ખડક
सीमेंट घोल,સિમેન્ટ સ્લરી
सीमेंट भंडारण,સિમેન્ટ સંગ્રહ
सीमेंटीकरण प्रक्रम,સિમેન્ટેશન પ્રક્રિયા
ढूला,સેન્ટરિંગ
ढूला बनाना,સેન્ટરિંગ અને શટરિંગ
केन्द्रीय मिश्रित कंक्रीट,કેન્દ્રીય મિશ્રિત કોંક્રિટ
केन्द्रीय मिश्रक,સેન્ટ્રલ મિક્સર
अपकेन्द्री पंखा,કેન્દ્રત્યાગી ચાહક
खड़िया,ચાક
शैम्फर,ચેમ્ફર
निष्कोणन पत्ती,ચેમ્ફર સ્ટ્રીપ
चैनल धरन,ચેનલ બીમ
अभिलाक्षणिक भार,લાક્ષણિક લોડ
