Kannada,Hindi
ಅಸಹಜ,अपसामान्य
ಸ್ಥಗಿತಗೊಳಿಸು,विफलन
ಸವೆದುಹೋಗುವಿಕೆ,"अपघर्षण, घिसाई"
ಹಠಾತ್ತಾಗಿ,"असंलग्न, अचानक, सहसा, विच्छिन्न"
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,निरपेक्ष क्षेत्र सामर्थ्य
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,परम ताप
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,निरपेक्ष मान
ಹೀರಿಕೊಳ್ಳಿ,"अवशोषित करना, अवशोषण करना"
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,अवशोषण गुणांक
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,अवशोषण हानि
ಅಮೂರ್ತ,"अमूर्त, सारांश, सार, संक्षेप"
ವೇಗವರ್ಧಕ ಮಾಪಕ,त्वरणमापी
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,स्वीकृति परीक्षण
ಪ್ರವೇಶ,अभिगम
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,अभिगम नियंत्रण
ಪ್ರವೇಶ,अभिगम बिंदु
ಪ್ರವೇಶ ಸಮಯ,अभिगम काल
ಪ್ರವೇಶಿಸುವಿಕೆ,अभिगम्यता
ಸಂಚಯಕ ಕೋಶ,संचायक सेल
ನಿಖರತೆ,यथार्थता
ನಿಖರವಾದ,यथार्थ
ವರ್ಣರಂಜಿತ ಮಸೂರದ,अवर्णक लेन्स
ಆಮ್ಲ,"अम्ल, ऐसिड"
ಆಮ್ಲ ಪುರಾವೆ,अम्लसह
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,अम्लता
ಸ್ವೀಕೃತ ಬಿಟ್,"पावती द्वयंक, पावती बिट"
Acೇಳ್ಳರದ,ध्वानिक
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,ध्वानिक संचार
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,ध्वानिक विसरण
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,ध्वानिक समकारी
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
ಕೊಳೆತ ಫಿಲ್ಟರ್,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,ध्वानिक प्रतिबाधा
