Hindi,Tamil
"उपशमन, कमी",குறைப்பு
संक्षिप्‍ति,சுருக்கம்
अपहरण,கடத்தல்
प्रास्थगन,நிறுத்துதல்
योग्यता,திறன்
"आदित:, आरंभ से",Ab initio
योग्य,முடியும்
अपसामान्य,அசாதாரணமானது
"उन्मूलन, समाप्‍ति",ஒழிப்பு
पद समाप्‍ति,இடுகை ஒழிப்பு
"ऊपर उल्लिखित, उपर्युक्‍त",மேலே குறிப்பிட்டுள்ள
ऊपर उद्‍धृत,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
उपर्युक्‍त,மேலே கூறினார்
"अनुपस्थिति, गैरहाजि़री, अभाव",இல்லாதது
"अनुपस्थित, ग़ैरहाजि़र",வராதவர்
"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता",இல்லாதது
अनुपस्थिति-विवरण,இல்லாத அறிக்கை
"पूर्ण, निरपेक्ष",அறுதி
पूर्ण एकाधिकार,முழுமையான ஏகபோகம்
पूर्ण स्वामित्व,முழுமையான உரிமை
"आमेलन, अवशोषण",உறிஞ்சுதல்
सार,சுருக்கம்
सार-विवरण,சுருக்கம்
"अर्थहीन, बेतुका",அபத்தமான
प्रचुरता,ஏராளமாக
शक्‍ति का दुरुपयोग,அதிகார துஷ்பிரயோகம்
गाली-गलौज,தவறான மொழி
"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय",கல்வி
शास्त्रीय चर्चा,கல்வி விவாதம்
अकादमिक छुट्टी,கல்வி விடுப்பு
शैक्षिणिक अर्हता,கல்வி தகுதி
"शैक्षिक रिकार्ड, शैक्षिक अभिलेख",கல்வி சாதனையை
"मान लेना, अधिमिलन होना",ஏற்றுக்கொள்ளுங்கள்
"स्वीकार करना, मानना",ஏற்றுக்கொள்
"स्वीकृति, प्रतिग्रहण",ஏற்றுக்கொள்ளல்
पद-स्वीकृति,பதவியை ஏற்றுக்கொள்வது
निविदा की स्वीकृति,டெண்டரை ஏற்றுக்கொள்வது
पहुंच,அணுகல்
"राज्यारोहण, पदारोहण, परिग्रहण",அணுகல்
"अनुषंगी, उपसाधन",துணை
"दुर्घटना, संयोग",விபத்து
पर्यनुकूलन,பழக்கவழக்கமயமாக்கல்
"आवास, निर्वाह, समंजन",தங்குமிடம்
संगकार,துணையுடன்
"समझौता, प्रदान करना, देना",உடன்பாடு
"अनुरूपता, संगति",ஒப்புதல்
तदनुसार,அதன்படி
"लेखा, खाता, हिसाब",கணக்கு
जवाबदेही,பொறுப்புக்கூறல்
"जवाबदेह, देनदार",பொறுப்பு
"लेखा विधि, लेखा कार्य",கணக்கியல்
लेखाकार,கணக்காளர்
"कारण बताना, लेखा-जोखा देना",கணக்கு
लेखा-शीर्ष,கணக்கு தலை
प्रोद्‌भूत हितलाभ,திரட்டப்பட்ட நன்மை
प्रोद्‌भूत पेन्शन,திரட்டப்பட்ட ஓய்வூதியம்
"संचय, संचयन",குவிப்பு
"यथार्थता, परिशुद्‌धता",துல்லியம்
"यथार्थ, सही, परिशुद्‌ध",துல்லியமானது
अभियोग लगाना,குற்றம்
अभियुक्‍त,குற்றம் சாட்டப்பட்டவர்
उपलब्‍धि,சாதனை
"पावती, प्राप्‍ति सूचना, अभिस्वीकृति",ஒப்புதல்
"पावती पत्र, रसीदी",ஒப்புதல் காரணமாக
"(व्यक्‍ति) परिचित, परिचय",அறிமுகம்
"अधिग्रहण, अर्जन",கையகப்படுத்தல்
"भुगतान, भरपाई, निस्तारण",விடுவித்தல்
"कार्य, कृत्य, अधिनियम",நாடகம்
कार्यकारी भत्‍ता,நடிப்பு கொடுப்பனவு
"कार्रवाई, क्रिया, कार्य, संघर्ष",செயல்
कार्य योजना,செயல் திட்டம்
सक्रिय,செயலில்
"सक्रियता से, सक्रियतापूर्वक",சுறுசுறுப்பாக
"कर्मठ कार्यकता, सक्रियतावादी",ஆர்வலர்
दैव कृत्य,கடவுளின் செயல்
कदाचार,தவறான நடத்தை செயல்
भूल-चूक,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
वास्तविक,உண்மையான
वास्तविक आंकडे,உண்மையான
"अनुकूलन, रूपांतर",தழுவல்
"योग, जोड़, परिवर्धन",கூடுதலாக
अतिरिक्‍त प्रभार,கூடுதல் கட்டணம்
अतिरिक्‍त निधि,கூடுதல் நிதி
अतिरिक्‍त अनुदान,கூடுதல் மானியம்
"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी",கூடுதல் தகவல்
अतिरिक्‍त वेतन,கூடுதல் ஊதியம்
परिवर्तन-परिवर्धन,கூட்டல் மற்றும் மாற்றம்
"पता, अभिभाषण, संबोधन, संबोधित करना, मानपत्र, विचार करना",முகவரி
"पाने वाला, प्रेषिती",முகவரி
अभिनंदन पत्र,வரவேற்பின் முகவரி
पर्याप्‍त,போதுமானது
"पर दृढ़ रहना, पर जमे रहना",பின்பற்றவும்
तदर्थ,தற்காலிக
तदर्थ दावा,தற்காலிக உரிமைகோரல்
तदर्थ समिति,தற்காலிக குழு
तदर्थ वृद्‌धि,தற்காலிக அதிகரிப்பு
तदर्थ भुगतान,தற்காலிக கட்டணம்
‍पार्श्‍वस्थ,அருகில்
"लगा होना, सटा होना",அருகிலுள்ள (= தொடர்ச்சியான)
स्थगन,ஒத்திவைப்பு
