Odiya,Kannada
ଅସ୍ୱାଭାବିକ |,ಅಸಹಜ
ପରିତ୍ୟାଗ,ಸ್ಥಗಿತಗೊಳಿಸು
ଅଳିଆ ଆବେଗ,ಸವೆದುಹೋಗುವಿಕೆ
ଆକସ୍ମିକ,ಹಠಾತ್ತಾಗಿ
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ଶୋଷଣ,ಹೀರಿಕೊಳ್ಳಿ
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
ଶୋଷଣୀୟ କ୍ଷତି |,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
ବିସ୍ତୃତ,ಅಮೂರ್ತ
ଆକ୍ସଲେରୋମିଟର |,ವೇಗವರ್ಧಕ ಮಾಪಕ
ଗ୍ରହଣ ପରୀକ୍ଷା,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
ପ୍ରବେଶ,ಪ್ರವೇಶ
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
ପ୍ରବେଶ ବିନ୍ଦୁ,ಪ್ರವೇಶ
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,ಪ್ರವೇಶ ಸಮಯ
ଅଭିଗମ୍ୟତା |,ಪ್ರವೇಶಿಸುವಿಕೆ
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,ಸಂಚಯಕ ಕೋಶ
ସଠିକତା,ನಿಖರತೆ
ସଠିକ୍,ನಿಖರವಾದ
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,ವರ್ಣರಂಜಿತ ಮಸೂರದ
ଏସିଡ୍ |,ಆಮ್ಲ
ଏସିଡ୍ ପ୍ରମାଣ |,ಆಮ್ಲ ಪುರಾವೆ
ଅମ୍ଳତା,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
ସ୍ୱୀକୃତି ବିଟ୍,ಸ್ವೀಕೃತ ಬಿಟ್
ଆକାଶବାଣୀ |,Acೇಳ್ಳರದ
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
ଆକାଶବାଣୀ ବିସ୍ତାର,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
ଆକାଶବାଣୀ ସମାନତା |,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
ଆକାଶବାଣୀ ମତାମତ |,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,ಕೊಳೆತ ಫಿಲ್ಟರ್
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
ଆକାଶବାଣୀ ମାସ୍କିଂ |,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
ଆକାଶବାଣୀ ଶକ୍ତି |,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
ଆକାଶବାଣୀ ଟାଇଲ୍ |,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
ଆକାଶବାଣୀ ତରଙ୍ଗ |,ಸ ೦ ವರ ತರಂಗ
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
ଆକାଶବାଣୀ ବିକୃତି |,ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ
ଆକାଶବାଣୀ ନଳୀ |,ಅಕೌಟಿಕಲ್ ನಾಳ
ଆକାଶବାଣୀ ଶକ୍ତି |,ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ
