Punjabi,Hindi
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,रुद्ध-वृद्धि अंग
ਅਧੂਰਾ,रुद्ध वृद्धि बीज
ਗਰਭਪਾਤ,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
ਸੰਪੂਰਨ ਬੂਟੀ,"अवांछित अपतृण, पूर्ण खरपतवार"
ਸਮਾਈ,अवशोषित धनायन
ਸਮਾਈ,अवशोषण
ਅਬੀਸਨੀਅਨ ਰਾਈ,ऐबिसिनी सरसों
ਅਚੰਭੇ,"एकेरेसनाशी, चिचड़ीनाशी"
ਰਾਜਕੁਮਾਰੀ,अकेंद्री
ਲਹਿਜ਼ਾ (ਸੈੱਲ),प्रवर्धन (कोशिका)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,स्वीकृत सहायता
ਸਹਾਇਕ,"अतिरिक्त, सहायक, गौण"
ਅਨੁਕੂਲਤਾ,पर्यनुकूलन
ਇਕੱਠਾ,संचय
ਸ਼ੁੱਧਤਾ,"यथार्थता, परिशुद्धता"
ਏਸਰਵੂਲਸ,"एसर्वुलस, बीजाणुपात्र"
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,"ऐसीटीकरण, सिरका बनाना"
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,"अम्लीकरण, अम्लन"
ਐਸਿਡਮੀਟਰ,"अम्लतामापी, एसिडीमीटर"
ਐਸਿਡਿਟੀ,अम्लता
ਐਸਿਡੋਫਿਲਿਕ,अम्लरागी
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,अम्लीकृत रॉक फॉस्फेट
ਐਸਿਡੁਰਿਕ,अम्लसह
ਐਕੁਇਫਰ,जलभृत
ਗ੍ਰਹਿਣ,अधिग्रहण
ਏਕੜ,एकड़
ਰਕਬੇ,"क्षेत्रफल, रकबा"
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,उपांत बिंदु क्रोमोसोम
ਐਕਰੋਪੇਟਲ,अग्राभिसारी
ਐਸ਼੍ਰੋਸੋਮ,ऐक्रोसोम
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,एक्टिनोमाइसिटीज
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,सक्रिय मूलक्षेत्र
ਗੰਭੀਰ,"उग्र, तीव्र"
ਅਨੁਕੂਲਤਾ,अनुकूलनशीलता
ਅਨੁਕੂਲਤਾ,अनुकूलन
ਚਿਪਕਿਆ,"आसंजन, अभिलाग, बन्ध"
ADPIPOSE,वसामय
ਵਿਵਸਥ ਸਮੀਕਰਨ,समायोजन समीकरण
ਅਡੋਬ ਮਿੱਟੀ,ऐडोब मृदा
ਮਨਜ਼ੂਰ,अपमिश्रक
ਸਾਹਸੀ,अपस्थानिक
ਏਸੀਡਿਓਸਪੋਰ,"एसीडियोस्पोर, एसीडियम बीजाणु"
ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ,वातोढ़ प्रक्रिया
ਏਓਲੀਅਨ,वातोढ़
Aeate,वातन करना
ਏਰੀਅਲ,"वायव, आकाशी"
ਐਰੋਮੀਟਰ,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
ਐਰੋਸੋਲ,ऐरोसॉल
ਖਰਾਸ਼,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ),"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
ਕਥਾ,वनरोपण
ਅੰਦੋਲਨ,"विलोडन, प्रक्षोभन"
ਆਕਮਾਰਕ,"ऐगमार्क, कृष्यंक"
ਅਗਰਾਰੀਅਨ,"भूमी संबंधी, कृषि संबंधी"
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,कृषि निदानालय
ਖੇਤੀਬਾੜੀ ਕਿਰਤ,"कृषि श्रम, खेतिहर मजदूर"
ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ,कृषि विपणन
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,कृषि प्रद्योगिकी
ਖੇਤੀ ਬਾੜੀ,"कृषि, खेतीबारी, कृषि विज्ञान"
ਐਗਰੀਸਿਲਵੀਕਲਚਰ,कृषि वनवर्धन
ਖੇਰਤ,कृषि जैविक विविधता
ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ,कृषि जैविक दोष
ਅਗਾਹੀਵੋਲੋਜੀ,कृषि जैविकी
ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ,कृषि जलवायुवीय विविधता
ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ,कृषि जलवायुवीय क्षेत्रीकरण
ਐਗਰੋਫੋਰੈਸਟਰੀ,कृषि वानिकी
ਖੇਤੀਬਾਜੀ,सस्य मृदा विज्ञान
ਖੇਤੀਬਾੜੀ,सस्य विज्ञान
ਐਗ੍ਰੋਪਾਸਟਰਲ,कृषि पशुचारणिक
ਸ਼ਿਕਾਰ,फसल प्रसंस्करण
ਐਗਰੋਸਟੋਲੋਜੀ,घास विज्ञान
ਐਗਰੋਟਾਈਪ,सस्य प्ररूप
ਏਅਰ ਪੌਦਾ,अधिपादप
ਅਕੀਓਚੀ ਮਿੱਟੀ,ऐकिओची मृदा
ਅਲਮੀਨੀਜ਼ਮ,"वर्णकहीनता, अवर्णता"
ਐਲਫਿਸੋਲਸ,एल्फिसॉल
ਐਲਗੀ,"शैवाल, काई"
ਐਲਗਲ ਰੋਗ,शैवाल रोग
ਅਲਕਾਲੀ ਪਾਣੀ,क्षार जल
ਐਲਕਲੀਨ,क्षारीय
ਐਲੀਲੇ,विकल्पी
ਐਲਲੋਕਲਿਕਸ,एलीलो रसायन
ਅਲੇਲੋਮੋਰਫ,युग्मविकल्पी
ਅਲੇਲੋਪੈਥੀ,एलीलोपैथी
ਐਲੀ ਫਸਲ,वीथी सस्यन
ਅਲੋਕਰੇਪੀ,परनिषेक-फलता
ਆਲੋਗਮ,परनिषेचन
ਐਲੋਮੈਟਰੀ,"सापेक्षमिति, ऐलोमैट्री"
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,परबहुगुणित
ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ),"परयुग्मन, अपायुग्लन"
ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ,"एकातंर वर्ष फलन, एकांतरित फलन"
ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ,वैकल्पिक भूमि उपयोग
ਅੰਬੀਨਟ,परिवेश
ਅਮਜੀਗਤ,सुधारक
ਅਮਿਤੋਸਿਸ,असूत्रीविभाजन
ਅਮਿਨਾਜਾਈਜ਼,ऐमीनन
ਅਨੁਮੋਧ,अमोनियन
ਅਮੋਨੀਫਾਇਰ,अमोनीकारक
ਅਮੋਰਫ,"अप्रभावी रूप, अरूपी"
ਐਮਫੀਮਿਕਸਿਸ,उभय मिश्रण
ਐਮਫੋਟੇਰਿਕ,उभयधर्मी
ਐਨਾਬੋਲਿਜ਼ਮ,उपचय
ਅਨੀਰੋਬ,"अवायुजीव, अनॉक्सी जीव"
ਅਨੀਉਟਲੋਇਡ,असुगुणित
ਕੋਣ ਲਾਉਣਾ,कोणीय रोपण
ਪਸ਼ੂ ਪਾਲਣ,पशुपालन
ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ,पशु उच्छिष्ट
Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ,सजीव ऊर्जा
ਅਨੀਸੋਪਲੋਇਡ,असमगुणित
ਸਾਲਾਨਾ ਪੌਦਾ,एकवर्षीय पादप
ਸਾਲਾਨਾ,वार्षिक
ਐਥੇਸਮਿਸ,"परागोद्भव, प्रफुल्लन"
ਐਂਥ੍ਰੈਕਸ,ऐन्थ्रेक्स
ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ,मानवजनिक कारक
ਐਂਟੀਬਾਇਸਿਸ,प्रतिजीविता
ਐਂਟੀਬਾਇਓਟਿਕ,"प्रतिजैविक, ऐन्टीबायोटिक"
ਐਂਟੀਡੋਟਾ,प्रतिकारक
ਐਂਟੀਆਕਸੀਡੈਂਟਸ,प्रतिऑक्सीकारक
Antitoxin,प्रतिआविष
ਐਨਾਬੁਲਸ,वलयिका
Aphid,"ऐफिड, माहू, चेपा"
Apical ਮੁਕੁਲ,शीर्ष कलिका
ਏਪਿਕਲ ਦਬਦਬਾ,शिखाग्र प्रभाविता
Apsiculturuet (ਮਧੂ ਮੱਖੀ ਰੱਖਣ),मधुमक्खी पालन
ਅਪੋਮਿਕਸ,असंगजनन
ਅਪੋਪੋਟੋਸਿਸ,एपोप्टोसिस
ਅੰਤਿਕਾ,उपांग
ਭੁੱਖ,क्षुधावर्धक
ਲਾਗੂ ਕੀਤਾ,अनुप्रयुक्त
ਐਕੁਆਟਿਕ ਬੂਟੀ,जलीय खरपतवार
ਅਰਬੋਰੀਅਲ,"वृक्षीय, वृक्षवासी"
ਅਰਬਰਾਈਜ਼ੇਸ਼ਨ,प्रशाखायन
ਏ ਆਰਚਿਓ-ਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ,आद्य वानस्पतिक अभिलेख
ਖੇਤਰ ਦੇ ਅੰਕੜੇ,क्षेत्रांकड़
ਖੇਤਰ,"क्षेत्र, क्षेत्रफल"
ਐੱਫ.ਡੀ.ਆਈ.,शुष्क पारितंत्र
ਅਰਿਲ,"बीजचोल, बीजोपांग"
ਖੁਸ਼ਬੂ,"सौरभ, सुवास"
ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ,सुगंधी पादप
ਖੁਸ਼ਬੂਦਾਰ ਚਾਵਲ,सुगंधित चावल
ਐਰੋਇੰਗ,इक्षु पुष्पन
Espesisis,अपूति
Sseptic,"अपूतित, अज़र्म"
ਅਸਪਸ਼ਟ ਪ੍ਰਸਾਰ,अलैंगिक प्रवर्धन
ਅਨੀ,"आमाप, परख"
ਸੰਪਤੀ,परिसंपत्ति
ਸਹਿਯੋਗ,"स्वांगीकरण, आत्मसात्करण"
ਐਸੋਸੀਏਸ਼ਨ,"साहचर्य, संघ"
ਤੂਫਾਨੀ,"स्तंभक, कषाय"
ਅਸਟੀਪਿਸਿਸ,असूत्रयुग्मन
ਅਟਵੀਵਾਦ,"पूर्वजता, ऐटाविज्म"
ਐਟੋਮਾਈਜ਼ਰ,कणित्र
ਸ਼ੋਸ਼ਣ,"अपुष्टि, क्षीणता"
ਆਟੋਗ੍ਰਾਮ,स्वयुग्मन
ਆਟੋਲਿਸਸਿਸ,स्वलयन
ਆਟੋਮਿਡੇਸ਼ਨ,"स्वतः उपचयन, स्वतः ऑक्सीकरण"
ਆਟੋਪਲਿਪਲਾਈਡ,स्वबहुगुणित
Auxins,ऑक्सिन
ਅੱਲ (ਬ੍ਰਿਸਟਲ),"शूक, तूड़"
ਬਦਾਮ,बादाम
ਐਲੋ,धीकुवार
ਅਮੈਸ਼ਨਥਸ,"चौलाई, रामदाना"
ਅਮਮੀ,अजवाइन
ਅੰਜਨ ਘਾਹ,"अंजन घास, धामन घास"
ਐਂਥਿਰੀਅਮ,एंथूरियम
"ਅੋਂਲਾ, ਇੰਡੀਅਨ ਕਰੌਦਾ",आंवला
ਸੇਬ,सेब
ਖੜਮਾਨੀ,खुबानी
ਅਰਬੀਅਨ ਜੈਸਮੀਨ,"मोगरा, बेला"
ਅਰੇਕਾ ਗਿਰੀਦਾਰ,सुपारी
ਅਰਜੁਨ,अर्जुन
ਓਡੋਏਟਿਡਾ,हींग
ਸੁਆਹ,पेठा
ਅਸ਼ੋਕ ਦਾ ਰੁੱਖ,अशोक
ਅਸ਼ਥਮਾ ਬੂਟੀ (ਯੂਫੋਰਬੀਆ),दूधी
ਐਸਪੈਰਾਗਸ,सतावर
ਆਵਾਕੈਡੋ,अवोकाडो
ਅਲਫਾਲਫਾ (LUSEREN),"रिजक्रा, लूसर्न"
ਕੀੜੀਆਂ,चींटी
ਐਫੀਡਜ਼,"तेला, माहू"
ਆਰਮੀ ਕੀੜੀ,सैनिक कीट
ਖੇਤੀਬਾੜੀ ਅਰਥਵਾਦੀ,कृषि अर्थशास्त्री
ਖੇਤੀਬਾੜੀ ਵਿਸਤ੍ਰਿਤ,कृषि प्रसार विज्ञानी
ਖੇਤੀਬਾੜੀ ਵਿਗਿਆਨੀ,कृषि वैज्ञानिक
ਖੇਤੀਬਾੜੀ ਇੰਜੀਨੀਅਰ,कृषि अभियंता
ਅਗਾਹੀਵੌਇਲੋਜਿਸਟ,कृषि जीवविज्ञानी
ਖੇਤੀਬਾਮੀ,सस्य विज्ञानी
ਅਸ਼ੋਲੀ,कृषि भौतिकीविद्
ਜਾਨਵਰ ਬ੍ਰੀਡਰ,"प्राणि प्रजनक, पशु प्रजनक"
ਬੇਸਿਲਸ ਵਾਇਰਸ,दंड विषाणु
ਬੈਸੀਲਸ,"दंडाणु, बैसिलस"
ਬੈਕਟੀਰੀਆ,"जीवाणु, बैक्टीरिया"
ਬੈਕਟੀਰੋਅਟੌਕਸਿਨ,जीवविष
ਬੈਗਸ,खोई
ਸੰਤੁਲਨ ਸ਼ੀਟ,"तुलन-पत्र, चिट्ठा"
ਸੰਤੁਲਿਤ ਖਾਦ,संतुलित निषेचन
ਬਾਰ ਡਾਇਗਰਾਮ,दंड आरेख
ਸੱਕ,छाल
ਬੈਰੋਮੀਟਰ,"वायुदाबमापी, बैरोमीटर"
ਬੰਜਰ,"बजर, अकृष्य, बांझ"
ਅਧਾਰ,"आधार, बेस, कपांग"
ਬੇਸਿਨ,"थाला, द्रोणी"
ਬਾਸਿਪਟਲ,तलाभिसारी
ਬਾਸੈਸਟਰਨੀਮ,"बेसिस्टर्नम, मूलाधारक"
ਬੇ ਮਾਨਸੂਨ,खाड़ी मानसून
ਬੇਅਰਿੰਗ ਪੌਦਾ,फलदायी पौधा
ਬਿਸਤਰੇ,क्यारी
ਬੇਡਰ,क्यारी - पौधा
ਬਿਸਤਰੇ,क्यारी बनाना
ਬੀਟ ਗੁੜ,चुंकदर शीरा
ਝੁਕੋ,धौंकनी
ਬੈਲਟ,"पट्टी, इलाका"
ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,लाभ-लागत विश्लेषण
ਪੱਖਪਾਤੀ (ਸੈਂਲਿੰਗ),अभिनत (प्रतिचयन)
ਬਨੀਅਲ,द्विवर्षीय पादप
ਬਿਨੀਮਾਇਲ,द्विपद
ਬਾਇਓਜੈਂਟ,जैवकारक
ਬਾਇਓਸੈਲਮੇਟ,जीव जलवायु
ਬਾਇਓਨੇਰਜੀ,जैव ऊर्जा
ਬਯਨੋਮਿਕਸ,जीव पारिस्थितिकी
ਬਾਇਓਰੇਟਰ,"जैव-प्रक्रियापात्र, बायो रिएक्टर"
ਬਾਇਓਸਪੇਅਰ,जीव-मंडल
ਬਾਇਓਟਿਕ,जैविक
ਬਾਇਓਟਾਈਪ,जीव प्रारूप
ਲਿੰਗੀ,द्विलिंगी
ਬਲੈਂਚਿੰਗ,धवलन
ਧਮਾਕਾ,"प्रध्वसं (रोग), झोंका रोग"
