Punjabi,Assamese
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
ਵਿਗਾੜ,বিচ্যুতি
ਅਸਧਾਰਨ ਸੰਚਾਰ,অস্বাভাৱিক সংক্ৰমণ
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,অনুপস্থিত বৰ্ণালী
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
ਪੂਰਨ ਨਮੀ,নিৰপেক্ষ আৰ্দ্ৰতা
ਪੂਰਨ ਗਤੀ,নিৰপেক্ষ গতি
ਪੂਰਨ ਨਿਰੀਖਣ,নিৰপেক্ষ পৰ্যবেক্ষণ
ਪੂਰਨ ਤਾਪਮਾਨ,নিৰপেক্ষ উষ্ণতা
ਪੂਰਨ ਜ਼ੀਰੋ,নিৰপেক্ষ শূন্য
ਸੋਖਣਾ,শুহি লোৱা
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","শোষক, শোষক"
ਸਮਾਈ ਸਮਰੱਥਾ,শোষণ ক্ষমতা
ਸਮਾਈ,শোষণ ক্ষমতা
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,শোষক
ਸਮਾਈ,শোষণ ক্ষমতা
ਗੁਣਾ ਅਨੁਪਾਤ,বহুগুণতা অনুপাত
ਤੇਜ਼ ਕਰੋ,ত্বৰান্বিত কৰক
ਜਲਦੀ,খৰধৰকৈ উঠিল
ਪ੍ਰਵੇਗ,বেগ বৃদ্ধি
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,মাধ্যাকৰ্ষণৰ ত্বৰণ
ਐਕਸਲੇਟਰ,ত্বৰণকাৰী
ਐਕਸਲੇਟਰ,ত্বৰণকাৰী
ਐਕਸਲੇਰੋਮੀਟਰ,এক্সিলেৰমিটাৰ
prestresser,প্ৰিষ্ট্ৰেছাৰ
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,গ্ৰহণযোগ্য পৰীক্ষা
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,গ্ৰহণকাৰী
ਦਾਨੀ ਅਣੂ,দাতা অণু
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
ਪਹੁੰਚਯੋਗਤਾ,অভিগম্যতা
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)","অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,প্ৰৱেশ সময়
ਵਿਜ਼ਟਰ ਗਲਤੀ,দৰ্শকৰ ভুল
ਵਿਵਸਥਾ,সমন্বয়
ਇਕੱਠਾ ਕੀਤਾ,সঞ্চিত কৰা হৈছে
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","সঞ্চয়, সঞ্চয়"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,এক্যুলেটৰ
ਸ਼ੁੱਧਤਾ,শুদ্ধতা
ਅਸਲੀਅਤ,বাস্তৱতা
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,ৰঙীন লেন্স
ਅਕ੍ਰੋਮੈਟਿਕ,achromatic
ਰੰਗੀਨਤਾ,achromaticity
ਧੁਨੀ,একাউষ্টিক
ਸਾਊਂਡਪਰੂਫ਼,শব্দ নিবাৰণ
ਧੁਨੀ ਫੋਨੋਨ,একাউষ্টিক ফ&#39;নন
ਆਵਾਜ਼ ਯੂਨਿਟ,শব্দ একক
ਧੁਨੀ,একাউষ্টিক
ਆਵਾਜ਼ ਜਨਰੇਟਰ,শব্দ উৎপাদক
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
ਸਰਗਰਮੀ,সক্ৰিয়কৰণ
ਸਰਗਰਮੀ ਊਰਜਾ,সক্ৰিয়কৰণ শক্তি
"ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
ਕਿਰਿਆਸ਼ੀਲ,সক্ৰিয়
ਸਰਗਰਮੀ,সক্ৰিয়তা
ਅਸਲ ਤਣਾਅ,প্ৰকৃত মানসিক চাপ
ਘੁਸਰ-ਮੁਸਰ,ফুচফুচাই কোৱা
ਸੰਪੇਕਸ਼ਤ,সামৰণিত
"ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)","যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)"
"ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)","সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
additive,যোগকৰণ
adhesion,আঠাযুক্ততা
