Gujarati,Punjabi
અસામાન્ય,ਅਸਧਾਰਨ
ગર્ભપાત,ਅਧੂਰਾ ਛੱਡਣਾ
ઘર્ષણ,ਘ੍ਰਿਣਾ
અચાનક,ਅਚਾਨਕ
સંપૂર્ણ ક્ષેત્ર શક્તિ,ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ
સંપૂર્ણ તાપમાન,ਪੂਰਨ ਤਾਪਮਾਨ
અબાધિત મૂલ્ય,ਸਹੀ ਮੁੱਲ
શોષવું,ਸੋਖਣਾ
સહ-કાર્યક્ષમ,ਸਮਾਈ ਸਹਿਕਾਰਤਾ
શોષણ,ਸਮਾਈ ਨੁਕਸਾਨ
નિષ્ક્રિય,ਸਾਰ
પ્રવેગમાપક,ਐਕਸੀਲਾਮੀਟਰ
સ્વીકૃતિ કસોટી,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
પ્રવેશ,ਪਹੁੰਚ
વપરાશ નિયંત્રણ,ਐਕਸੈਸ ਕੰਟਰੋਲ
પ્રવેશ -બિંદુ,ਐਕਸੈਸ ਪੁਆਇੰਟ
પ્રવેશ સમય,ਐਕਸੈਸ ਟਾਈਮ
ઉપલ્બધતા,ਪਹੁੰਚਯੋਗਤਾ
સંકુચિત સેલી,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ
ચોકસાઈ,ਸ਼ੁੱਧਤਾ
ચોક્કસ,ਸਹੀ
ઘેટાંના લેન્સ,ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼
તેજાબ,ਐਸਿਡ
એસિડ પ્રૂફ,ਐਸਿਡ ਦਾ ਸਬੂਤ
અમલ્ય,ਐਸਿਡਿਟੀ
સ્વીકૃતિ,ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ
ધ્વનિશાસ્ત્ર,ਧੁਨੀ
ધ્વનિશાસ્ત્ર,ਧੁਨੀ ਸੰਚਾਰ
ધ્વનિ -પ્રસરણ,ਧੁਨੀ ਫੈਲਾਉਣ
ધ્વનિ -બરાબરી,ਧੁਨੀ ਬਰਾਬਰੀ
ધ્વનિ -પ્રતિસાદ,ਧੁਨੀ ਫੀਡਬੈਕ
ધ્વનિ ફિલ્ટર,ਧੁਨੀ ਫਿਲਟਰ
ધ્વનિ અવરોધ,ਧੁਨੀ ਰੁਕਾਵਟ
ધ્વનિ -માસ્કીંગ,ਧੁਨੀ ਮਾਸਕਿੰਗ
ધ્વનિની શક્તિ,ਧੁਨੀ ਸ਼ਕਤੀ
ધ્વનિપક્ષીય મિલકત,ਧੁਨੀ ਸੰਪਤੀ
ધ્વનિની પ્રતિક્રિયા,ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ
ધ્વનિ -પ્રતિબિંબ,ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ
ધ્વનિ ટાઇલ,ਧੁਨੀ ਟਾਈਲ
ધ્વનિ તરંગ,ਧੁਨੀ ਲਹਿਰ
શ્રવ -શોષણ,ਧੁਨੀ ਸਮਾਈ
શ્રવણશક્તિ એટેન્યુએશન,ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ
શ્રવણની ભીનાશ,ਧੁਨੀ ਗਿੱਲੀ
ધ્વનિ વિલંબ રેખા,ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ
ધ્વનિની વિકૃતિ,ਧੁਨੀ ਵਿਗਾੜ
શ્રવણ નલિક,ਧੁਨੀ ਨਲੀ
શ્રવણશક્તિ,ਧੁਨੀ energy ਰਜਾ
શ્રવણશક્તિ,ਧੁਨੀ ਫੀਡਬੈਕ
શ્રદ્ધ ફિલ્ટર,ਧੁਨੀ ਫਿਲਟਰ
શ્રવણનો અવરોધ,ਧਾਰਨਾ
ધ્વનિ -પ્રચાર,ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ
શ્રવણ પ્રતિકાર,ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ
ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ,ਧੁਨੀ
ધ્વનિશાસ્ત્ર,ਧੁਨੀ
સંપાદન,ਗ੍ਰਹਿਣ
ટૂંકાક્ષર,ਐਕਰੋਨਾਈਮ
કાર્યવાહી ક્ષેત્ર,ਕਾਰਵਾਈ ਖੇਤਰ
સક્રિય ફિલામેન્ટ,ਸਰਗਰਮ ਤੰਦ
સક્રિય,ਕਿਰਿਆਸ਼ੀਲ
સક્રિય ક્ષેત્ર,ਐਕਟਿਵ ਖੇਤਰ
સક્રિય બારી,ਐਕਟਿਵ ਵਿੰਡੋ
અનુકૂલનક્ષમતા,ਅਨੁਕੂਲਤਾ
એડેપ્ટર (એડેપ્ટર),ਅਡੈਪਟਰ (ਅਡੈਪਟਰ)
અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન,ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ
સરનામા પુસ્તિકા,ਐਡਰੈੱਸ ਬੁੱਕ
સરનાવ બસ,ਪਤਾ ਬੱਸ
ઠરાવ,ਪਤਾ ਹੱਲ
સંલગ્ન ચેનલ દખલ,ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ
સંલગ્ન ચેનલ પસંદગી,ਨਾਲਤ ਚੈਨਲ ਚੋਣ
સંલગ્ન આવર્તન,ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ
સંલગ્ન આવર્તન ચેનલ,ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ
અડીને ચિત્ર વાહક,ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ
અડીને ધ્વનિ વાહક,ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ
સંલગ્ન મથક,ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ
ગોઠવણપાત્ર,ਵਿਵਸਥਤ
ગોઠવણપાત્ર કન્ડેન્સર,ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ
ગોઠવણ,ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ
સમાયોજન,ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ
સમાયોજન,ਵਿਵਸਥਾ
વહીવટકર્તા,ਪ੍ਰਬੰਧਕ
અદ્યતન ટેકનોલોજી,ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ
હવાઈ,ਏਰੀਅਲ
હવાઈ ​​એરે,ਏਰੀਅਲ ਐਰੇ
હવાઈ ​​બૂસ્ટર,ਏਰੀਅਲ ਬੂਸਟਰ
હવાઈ ​​પ્રવાહ,ਏਰੀਅਲ ਮੌਜੂਦਾ
