English,Marathi
abacus,अॅबॅकस
abnormal termination,असामान्य समाप्ती
abort,गर्भपात
absolute,निरपेक्ष
absolute address,परिपूर्ण पत्ता
absolute addressing,निरपेक्ष संबोधन
absolute assembler,परिपूर्ण असेंबलर
absolute code,परिपूर्ण कोड
absolute command,निरपेक्ष आज्ञा
absolute data,परिपूर्ण डेटा
absolute instruction,परिपूर्ण सूचना
absolute mode,परिपूर्ण मोड
absolute path,परिपूर्ण मार्ग
absolute programming,परिपूर्ण प्रोग्रामिंग
abstract class,अमूर्त वर्ग
abstract data type,अमूर्त डेटा प्रकार
abstract machine,अमूर्त मशीन
abstract symbol,अमूर्त चिन्ह
abstract syntax,अमूर्त वाक्यरचना
acceptance testing,स्वीकृती चाचणी
access authentication,प्रवेश प्रमाणीकरण
access code,प्रवेश कोड
access control,प्रवेश नियंत्रण
access scan,प्रवेश स्कॅन
accessory,ऍक्सेसरी
account,खाते
account ID,खाते आयडी
accumulator,संचयक
accuracy,अचूकता
acess,प्रवेश
acess control byte,ऍक्सेस कंट्रोल बाइट
acess index,प्रवेश निर्देशांक
acess key,प्रवेश की
acess matrix,ऍक्सेस मॅट्रिक्स
acess mode,प्रवेश मोड
acess privilege,प्रवेश विशेषाधिकार
acess security,प्रवेश सुरक्षा
acess server,ऍक्सेस सर्व्हर
acess time,प्रवेश वेळ
acknowledgement,पोचपावती
acoustics,ध्वनीशास्त्र
acronym,परिवर्णी शब्द
action message,क्रिया संदेश
activation,सक्रियकरण
active server page (ASP),सक्रिय सर्व्हर पृष्ठ (एएसपी)
active version,सक्रिय आवृत्ती
acyclic,अॅसायक्लिक
acyclic graph,अॅसायक्लिक आलेख
Ada language,अडा भाषा
adapter,अडॅप्टर
add,जोडा
add file,फाइल जोडा
add operation,ऑपरेशन जोडा
adder,जोडणारा
address,पत्ता
address bus,पत्ता बस
address file,पत्ता फाइल
address format,पत्त्याचे स्वरूप
address generator,पत्ता जनरेटर
address line,पत्ता ओळ
address mapping,पत्ता मॅपिंग
address pointer,पत्ता सूचक
address register,पत्ता नोंदवही
address resolution,पत्ता ठराव
address translation,पत्ता अनुवाद
addressed memory,संबोधित मेमरी
addressing,संबोधित करणे
adequacy criteria,पर्याप्तता निकष
adjoint,संलग्न
administration,प्रशासन
administrator,प्रशासक
adobe acrobat,adobe acrobat
adobe photoshop,अडोब फोटोशाॅप
Advance Business Application Programming (ABAP),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
advanced data,प्रगत डेटा
advanced information system,प्रगत माहिती प्रणाली
advanced technology (AT),प्रगत तंत्रज्ञान (AT)
agent,एजंट
aggregation,एकत्रीकरण
airborne computer system,एअरबोर्न संगणक प्रणाली
aldus page maker,aldus पृष्ठ निर्माता
alert box,इशारा बॉक्स
algol,अल्गोल
algorithm,अल्गोरिदम
algorithm analysis,अल्गोरिदम विश्लेषण
algorithm efficiency,अल्गोरिदम कार्यक्षमता
alias,उर्फ
alignment,संरेखन
allocation,वाटप
alphabetic,वर्णमाला
alphanumeric,अल्फान्यूमेरिक
alphanumeric key board,अल्फान्यूमेरिक की बोर्ड
alpha-test,अल्फा-चाचणी
alpha-version,अल्फा आवृत्ती
alt key,alt की
altavista,altavista
ambiguity,अस्पष्टता
ambiguous grammar,अस्पष्ट व्याकरण
American National Standards Institute (ANSI),अमेरिकन राष्ट्रीय मानक संस्था (ANSI)
American Standard Code For Information Interchange (ASCII),अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII)
analog,अॅनालॉग
analog computer,अॅनालॉग संगणक
analog device,अॅनालॉग डिव्हाइस
analog modem,अॅनालॉग मॉडेम
Analog To Digital Converter (ADC),अॅनालॉग ते डिजिटल कनव्हर्टर (ADC)
AND,आणि
AND circuit,आणि सर्किट
AND gate,आणि गेट
AND not operation (Exclusion),आणि ऑपरेशन नाही (अपवर्जन)
animation,अॅनिमेशन
annotation,भाष्य
anomaly,विसंगती
antecedent,पूर्ववर्ती
anticipatory paging,आगाऊ पेजिंग
anti-symmetric,विरोधी सममित
antivirus program,अँटीव्हायरस प्रोग्राम
applet,ऍपलेट
application developer,अनुप्रयोग विकासक
application programming,अनुप्रयोग प्रोग्रामिंग
application programming interface (API),ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)
application software,अनुप्रयोग सॉफ्टवेअर
applicative language,उपयोजक भाषा
approximation theory,अंदाजे सिद्धांत
architecture,आर्किटेक्चर
area transfer,क्षेत्र हस्तांतरण
argument,युक्तिवाद
