Odiya,Punjabi
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,ਅਬੇਲੀਅਨ ਸਮੂਹ
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ
abscissa,abscissa
ସଂପୂର୍ଣ୍ଣ,ਅਸੀਮ
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,ਪੂਰਨ ਗਲਤੀ
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,ਪੂਰਨ ਅਧਿਕਤਮ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,ਪੂਰਨ ਘੱਟੋ-ਘੱਟ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ਸਹੀ ਮੁੱਲ
ସଂପୂର୍ଣ୍ଣ ବେଗ,ਪੂਰਨ ਗਤੀ
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,ਸਾਰ ਅਲਜਬਰਾ
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
ତ୍ୱରଣ,ਪ੍ਰਵੇਗ
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
ଗ୍ରହଣୀୟ ପରିସର |,ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ
ଗ୍ରହଣୀୟ ନମୁନା,ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ
ସଂଗୃହିତ ତ୍ରୁଟି |,ਸੰਚਿਤ ਗਲਤੀ
ସଠିକତା,ਸ਼ੁੱਧਤਾ
ଅଭିନୟ ଶକ୍ତି,ਐਕਟਿੰਗ ਫੋਰਸ
କାର୍ଯ୍ୟ,ਕਾਰਵਾਈ
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,ਅਸਲ ਵਿਗਿਆਨ
