Tamil,Punjabi
குறைப்பு,ਪਰੇਸ਼ਾਨੀ
சுருக்கம்,ਸੰਖੇਪ
கடத்தல்,ਅਗਵਾ
நிறுத்துதல்,ਧਾਰਨਾ
திறன்,ਯੋਗਤਾ
Ab initio,ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
முடியும்,ਯੋਗ
அசாதாரணமானது,ਅਸਧਾਰਨ
ஒழிப்பு,ਖਤਮ
இடுகை ஒழிப்பு,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
மேலே குறிப்பிட்டுள்ள,ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
மேலே கூறினார்,ਉਪਰੋਕਤ ਕਿਹਾ
இல்லாதது,ਗੈਰਹਾਜ਼ਰੀ
வராதவர்,ਗੈਰਹਾਜ਼ਰ
இல்லாதது,ਗੈਰਹਾਜ਼ਰ
இல்லாத அறிக்கை,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
அறுதி,ਅਸੀਮ
முழுமையான ஏகபோகம்,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
முழுமையான உரிமை,ਸੰਪੂਰਨ ਮਾਲਕੀ
உறிஞ்சுதல்,ਸਮਾਈ
சுருக்கம்,ਸਾਰ
சுருக்கம்,ਸੰਖੇਪ
அபத்தமான,ਬੇਹੂਦਾ
ஏராளமாக,ਬਹੁਤਾਤ
அதிகார துஷ்பிரயோகம்,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
தவறான மொழி,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
கல்வி,ਅਕਾਦਮਿਕ
கல்வி விவாதம்,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
கல்வி விடுப்பு,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
கல்வி தகுதி,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
கல்வி சாதனையை,ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ
ஏற்றுக்கொள்ளுங்கள்,ਐੱਸ
ஏற்றுக்கொள்,ਸਵੀਕਾਰ ਕਰੋ
ஏற்றுக்கொள்ளல்,ਮਨਜ਼ੂਰ
பதவியை ஏற்றுக்கொள்வது,ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
டெண்டரை ஏற்றுக்கொள்வது,ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
அணுகல்,ਪਹੁੰਚ
அணுகல்,ਐਕਸੈਸਿੰਗ
துணை,ਸਹਾਇਕ
விபத்து,ਹਾਦਸਾ
பழக்கவழக்கமயமாக்கல்,ਅਨੁਕੂਲਤਾ
தங்குமிடம்,ਰਿਹਾਇਸ਼
துணையுடன்,ਦੇ ਨਾਲ
உடன்பாடு,ਸਮਝੌਤਾ
ஒப்புதல்,ਦੇ ਅਨੁਸਾਰ
அதன்படி,ਇਸ ਅਨੁਸਾਰ
கணக்கு,ਖਾਤਾ
பொறுப்புக்கூறல்,ਜਵਾਬਦੇਹੀ
பொறுப்பு,ਜਵਾਬਦੇਹ
கணக்கியல்,ਖਾਤੇ ਦੀ
கணக்காளர்,ਲੇਖਾਕਾਰ
கணக்கு,ਲਈ ਖਾਤਾ
கணக்கு தலை,ਖਾਤਾ ਸਿਰ
திரட்டப்பட்ட நன்மை,ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ
திரட்டப்பட்ட ஓய்வூதியம்,ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ
குவிப்பு,ਇਕੱਠਾ
துல்லியம்,ਸ਼ੁੱਧਤਾ
துல்லியமானது,ਸਹੀ
குற்றம்,ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ
குற்றம் சாட்டப்பட்டவர்,ਦੋਸ਼ੀ
சாதனை,ਪ੍ਰਾਪਤੀ
ஒப்புதல்,ਪ੍ਰਵਾਨਗੀ
ஒப்புதல் காரணமாக,ਬਣ ਰਹੇ
அறிமுகம்,ਜਾਣ-ਪਛਾਣ
கையகப்படுத்தல்,ਗ੍ਰਹਿਣ
விடுவித்தல்,ਬਰੀ
நாடகம்,ਐਕਟ
நடிப்பு கொடுப்பனவு,ਅਦਾਕਾਰੀ ਭੱਤਾ
செயல்,ਕਾਰਵਾਈ
செயல் திட்டம்,ਕਾਰਵਾਈ ਜੁਗਤ
செயலில்,ਕਿਰਿਆਸ਼ੀਲ
சுறுசுறுப்பாக,ਸਰਗਰਮੀ ਨਾਲ
