Telugu,Kannada
అబాక్సియల్ ఉపరితలం,ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
ఉదరం,ಹೊಟ್ಟೆ
ఉదర బృహద్ధమని,ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ
ఉదర గాంగ్లియా,ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ
అబెల్మోస్చస్ ఎస్కులెంటస్,ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್
అబెర్రేషన్,ವಿರೂಪಗೊಳಿಸುವಿಕೆ
అబీస్,ಅಬ್ಬರ
అబింగ్డన్ తాబేలు,ಅಬಿಂಗ್ಡನ್ ಆಮೆ
అబియోజెనిసిస్,ಕ್ಷು ತನ್ನತೆ
అబియోటిక్,ಅಸಹ್ಯವಾದ
అబియోటిక్ కారకం,ಉದಾಸೀಯ ಅಂಶ
అసాధారణ మూత్రం,ಅಸಹಜ ಮೂತ್ರ
అబో బ్లడ్ గ్రూప్,ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್
అబ్సిసిక్ ఆమ్లం,ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ
అబ్సిసిషన్,ಕಂದಿಸುವುದು
గ్రహించండి,ಹೀರಿಕೊಳ್ಳಿ
శోషణ శిఖరం,ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ
శోషణ,ಹೀರುವಿಕೆ
అకాసియా కాటెచు,ಅಕಿಯಾ ಕ್ಯಾಟೆಚು
అకారియా అరబికా,ಅಕ್ಯಾಬಿಕಾ
అకాప్రిన్,ಅಣಕಾದ
ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన,ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ
అనుబంధ గ్రంథి,ಪರಿಕರ ಗ್ರಂಥಿ
అనుబంధ గ్రంథి,ಪರಿಕರ ಗ್ರಂಥಿ
అనుబంధ అవయవం,ಪರಿಕರ ಅಂಗ
అలవాటు,ಒಗ್ಗೂಡಿಸುವಿಕೆ
అలవాటు,ಒಗ್ಗಿಸು
వసతి,ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು)
కంటి వసతి,ಕಣ್ಣಿನ ವಸತಿ
అక్రెషన్ పెరుగుదల,ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ
చేరడం,ಸಂಗ್ರಹಣೆ
సేంద్రీయ పదార్థాలు చేరడం,ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ
నేల చేరడం,ಮಣ್ಣಿನ ಸಂಗ್ರಹ
ఎసిల్యులర్,ಉಭಯಾಕಾರದ
ఎసెల్యులర్ జీవి,ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ
ఎసిటాబులం,ಅಸೆಟಾಬುಮ್
ఎసిటాల్డిహైడ్,ಅಸೆಟಾಲ್ಡಿಹೈಡ್
ఎసిటైల్ కోఎంజైమ్,ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್
అచతినా,ಕಸ
అచెనే రకం,ಮೊಲ ಪ್ರಕಾರ
అచెన్,ಉಂಗುರ
అచ్లామిడోస్పోరే,ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ
ఆమ్ల వర్షము,ಆಮ್ಲ ಮಳೆ
ఆమ్ల,ಆಮ್ಲೀಯ
ఆమ్ల వాయువు,ಆಮ್ಲೀಯ ಅನಿಲ
ఆమ్లత్వం,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
అసినార్ సెల్,ಅಸಿನಾರ್ ಕೋಶ
Acoelomate,ಜಾಮಕೀಯ
అకోనిటమ్,ಅನನಟ
ఎకార్న్ పురుగు,ಆಕ್ರೋಶದ ಹುಳು
ఎకౌస్టిక్ జోనింగ్,ಅಕೌಸ್ಟಿಕ್ ವಲಯ
సంపాదించిన పాత్ర,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ
రోగనిరోధక శక్తిని సంపాదించింది,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ
ఇమ్యునో లోపం (AIDS),ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್)
అక్రినియా,ಪ್ರಾದೇಶಿಕ
యాక్రిడిన్ డై,ಅಣಕಾದ ಬಣ್ಣ
అక్రోసెంట్రిక్,ವ್ಯಾಪಕವಾದ
అక్రోమియన్,ಅಕ್ರಾಮನ್
అక్రోపెటల్ సీక్వెన్స్,ಸ್ಥಗಿತದ ಅನುಕ್ರಮ
అక్రోపెటల్ ఆర్డర్,ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ
అక్రోసిన్,ಅಕ್ರೋಸಿನ್
ఆక్టిన్,ಅ ೦ ಗಡಿ
ఆక్టిన్ లాంటి ప్రోటీన్,ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್
ఆక్టినోమోర్ఫిక్,ಕ್ರಿಯಾಶೀಲತೆ
ఆక్టినోమైసెట్స్,ಅಂಧ
చర్య సామర్థ్యం,ಕ್ರಿಯಾಶೀಲತೆ
సక్రియం చేయబడిన బురద,ಸಕ್ರಿಯ ಕೆತ್ತನೆ
సక్రియం చేయబడిన బురద ఫ్లోక్,ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್
యాక్టివేషన్ ఎనర్జీ,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
క్రియాశీల శోషణ,ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
క్రియాశీల రోగనిరోధక శక్తి,ಸಕ್ರಿಯ ವಿನಾಯಿತಿ
క్రియాశీల రేడియేషన్,ಸಕ್ರಿಯ ವಿಕಿರಣ
క్రియాశీల సైట్,ಸಕ್ರಿಯ ಸೈಟ್
యాక్టివిన్,ದಳ
అక్యూమినేట్,ವಕ್ರವಳತಿ ಮಾಡು
ఆడమియా,ಆಡಮ್ಸಿಯಾ
అనుకూలత,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
అనుసరణ,ರೂಪಾಂತರ
కాంతి పాలనకు అనుసరణ,ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು
నీటి కొరతకు అనుసరణ,ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು
అనుకూల లక్షణాలు,ಹೊಂದಾಣಿಕೆಯ ಗುಣಲಕ್ಷಣಗಳು
అనుకూల రోగనిరోధక శక్తి,ಹೊಂದಾಣಿಕೆಯ ವಿನಾಯಿತಿ
అడాప్టివ్ రేడియేషన్,ಅಡಾಪ್ಟಿವ್ ವಿಕಿರಣ
అనుకూల లక్షణం,ಹೊಂದಾಣಿಕೆಯ ಲಕ್ಷಣ
అడాక్సియల్ ఉపరితలం,ಅಡಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ
వ్యసనపరుడైన రుగ్మత,ವ್ಯಸನಕಾರಿ ಕಾಯಿಲೆ
అడెనిన్,ತಿಕ್ಕಲು
అడెనోకార్టికోట్రోపిన్,ಒಂದು ತತ್ತ್ವ
అడెనోహైపోఫిసిస్,ತತ್ತ್ವ
అడెనోసిన్ డిఫాస్ఫేట్,ತಿರಸ್ಕಾರ
అడెనోసిన్ డీమినేస్,ಅಂಧ
అడెనోసిన్ మోనోఫాస్ఫేట్,ಅಸಿನಿನ್ ಮೊನೊಫಾಸ್ಫೇಟ್
గ్రంధి ముడతలు,ಅಡೆನೊಸಿನ್ ಟ್ರೈಫಾಸ್ಫೇಟ್ (ಎಟಿಪಿ)
అడెనిలేట్ సైక్లేస్,ತಿರಸ್ಕಾರ
అంటుకునే శక్తి,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
అడిపేట్,ಅಡಿಪಡಿ
కొవ్వు పెండినవి,ಅಡಿಪೋಸೈಟ್ (ಕೊಬ್ಬಿನ ಕೋಶ)
కొవ్వు కణజాలము,ಅಡಿಪಾಯಿ ಅಂಗಾಂಶ
Adnate,ಮಡಿ
ప్రక్కనే ఉన్న సంఘం,ಪಕ್ಕದ ಸಮುದಾಯ
అడ్రినల్,ಮೂತ್ರಜನಕಾಂಗ
అడ్రినల్ గ్రంథి,ಅಡ್ರಿನಲ್ ಗ್ರಂಥಿ
ఎడ్రినల్ గ్రంథి,ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಎಚ್)
