Hindi,English
ए.सी. समतुल्य परिपथ,A C equivalent circuit
अनुरूप से अंकीय परिवर्तक,A to D converter
परम शून्य,Absolute zero
अवशोषण गुणांक,Absorption coefficient
अवशोषण स्पेक्ट्रम,Absorption spectrum
ग्राही परमाणु,Acceptor atom
प्रत्यावर्ती धारा युग्मन,A C coupling
इलेक्ट्रॉन संचयन,Accumulation of electron
होल संचयन,Accumulation of holes
सक्रियण ऊर्जा,Activation energy
सक्रिय प्रवर्धक,Active amplifier
सक्रिय डायोड परिपथ,Active diode circuit
सक्रिय फिल्टर,Active filter
सक्रिय उच्च आवृत्ति पारक फिल्टर,Active high pass filter
सक्रिय लोड,Active load
सक्रिय निमन आवृत्ति पारक फिल्टर,Active low pass filter
सक्रिय क्षेत्र,Active region
अनुकूली इलेक्ट्रॉनिकी,Adaptive electronics
योजक,Adder
समायोजी बैंड विस्तार,Adjustable band width
प्रवेश्यता,Admittance
एरियल,Aerial
स्फूर्ति आवृत्ति,Agility frequency
वातानुकूलक,Air conditioner
संरेखन,Alignment
आल्गोरिदम,Algorithm
समस्त पारक फिल्टर,All pass filter
मिश्रधातु संधि,Alloy junction
क्षीणन,Attenuation
प्रत्यावर्ती धारा,Alternating current (AC)
परिवेश ताप,Ambient temperature
उभयध्रुवीय,Ambipolar
प्रवर्धन,Amplification
प्रवर्धक,Amplifier
प्रवर्धक दक्षता,Amplifier efficiency
आयाम,Amplitude
आयाम क्षीणन,Amplitude altenuation
आयाम मॉडुलित ए.एम. दोलित्र,Amplitude modulated oscillator
आयाम मॉडुलन,Amplitude modulation
आयाम मॉडुलक,Amplitude modulator
एंगस्ट्रॉम इकाई,Angstrom unit
अनुरूप परिपथ,Analog circuit
अनुरूप कंप्यूटर,Analog computer
अनुरूप फिल्टर,Analog filter
अनुरूप बहुमापी,Analog multimeter
अनुरूप स्विच,Analog switch
AND गेट,AND gate
कोणीय आवृत्ति,Angular frequency
"ऋणायन, एनॉयन",Anion
अनीलन तापमान,Annealing temperature
ऐनोड,Anode
ऐनोड प्रवर्धक,Anode amplifier
ऐनोडी करण,Anodization
ऐन्टेना,Antenna
ऐन्टेना घटक,Antenna elements
परावर्तन रोधी लेपन,Anti-reflection coating
प्रतिलघुगुणक प्रवर्धक,Anti-log amplifier
प्रतिअनुनादी परिपथ,Anti-resonant circuit
द्वारक काल,Aperture time
आभासीय शक्ति,Apparent power
तार संयोजन,Apparent wiring
सन्निकट वोल्टता लब्धि,Approximate voltage gain
आर्मस्ट्रांग माडुलक,Armstrong modulator
ऐन्टेना-व्यूह,Arrays of antenna
"आकार अनुपात, अभिमुखता अनुपात",Aspect ratio
अस्थायी परिपथ (मुक्तचालित परिपथ),Astable circuit (free running circuit)
स्वचालित बहुकंपित्र,Astable multivibrator
अस्थायी बहुकंपित्र,Astable multivibrator
असममित संधि,Asymmetrical junction
अतुल्यकाली गणक,Asynchronous counters
परमाणु,Atom
परमाणु संख्या,Atomic number
परमाणु संरचना,Atomic structure
श्रव्य प्रवर्धक,Audio amplifier
श्रव्य प्रवर्धक,Audio amplifier
श्रव्य कैसेट,Audio cassette
श्रव्य परिपथ,Audio circuit
श्रव्य आवृत्ति,Audio frequency
स्वत: वोल्टता नियंत्रण,Automatic voltage control
एवलांश,Avalanche
औसत संसूचक,Average detector
अक्षीय विधा,Axial mode
अक्षीय अनुपात,Axial ratio
ऐन्टेना,Antenna
पश्च विद्युत वाहक बल,Back e.m.f.
पश्च क्षेत्र,Back field
पश्च प्रकीर्णन,Back scattering
पृष्ठभूमि आवेश,Background charge
पार्श्व रव,Background noise
पश्चगमन,Backlash
पश्चपालि विकिरण,Backlobe radiation
बैकवार्ड डायोड/पश्च डायोड,Backward diode
पश्चगामी तरंग दोलक,Backward wave oscillator
"बाधिका, व्यारोध",Baffle
बाधिका,Baffle shield
संतुलित सेतु,Balanced bridge
संतुलित विमॉडुलक,Balanced demodulator
संतुलित मॉडुलक,Balanced modulator
संतुलित परिपथ,Balanced network
संतुलित ढाल संसूचक,Balancedslope detector
